date,exchange_rate
2023-10-28,3.885566
2023-10-30,3.898773
2023-10-31,3.890927
2023-11-01,3.887372
2023-11-02,3.898922
2023-11-03,3.943357
2023-11-04,3.943357
2023-11-05,3.940417
2023-11-06,3.937575
2023-11-07,3.929244
2023-11-08,3.933627
2023-11-09,3.917877
2023-11-10,3.935492
2023-11-12,3.935525
2023-11-13,3.925144
2023-11-14,3.996892
2023-11-15,3.984852
2023-11-16,3.986272
2023-11-17,4.009529
2023-11-18,4.00965
2023-11-19,4.006905
2023-11-20,4.018203
2023-11-21,4.007794
2023-11-22,3.998479
2023-11-23,4.004979
2023-11-24,4.021251
2023-11-25,4.021338
2023-11-26,4.019575
2023-11-27,4.023336
2023-11-28,4.038698
2023-11-29,4.029631
2023-11-30,3.999348
2023-12-01,3.999906
2023-12-02,3.998043
2023-12-03,3.998732
2023-12-04,3.979056
2023-12-05,3.964879
2023-12-06,3.953702
2023-12-07,3.964703
2023-12-08,3.95224
2023-12-09,3.956462
2023-12-10,3.951092
2023-12-11,3.952543
2023-12-12,3.9641
2023-12-13,3.993475
2023-12-14,4.037379
2023-12-15,4.000765
2023-12-16,4.005986
2023-12-17,4.004261
2023-12-18,4.011501
2023-12-19,4.032799
2023-12-20,4.017514
2023-12-21,4.041664
2023-12-22,4.043829
2023-12-23,4.048842
2023-12-24,4.048668
2023-12-25,4.042707
2023-12-26,4.055176
2023-12-27,4.078606
2023-12-28,4.064168
2023-12-29,4.054194
2023-12-30,4.060123
2023-12-31,4.060079
2024-01-01,4.057221
2024-01-02,4.018811
2024-01-03,4.011019
2024-01-04,4.020211
2024-01-05,4.017001
2024-01-06,4.023117
2024-01-07,4.023443
2024-01-08,4.023322
2024-01-09,4.01318
2024-01-10,4.026665
2024-01-11,4.02821
2024-01-12,4.023535
2024-01-13,4.026406
2024-01-14,4.026321
2024-01-15,4.021917
2024-01-16,3.99277
2024-01-17,3.993704
2024-01-18,3.989985
2024-01-19,4.000315
2024-01-20,4.008391
2024-01-21,4.008814
2024-01-22,3.997255
2024-01-23,3.982975
2024-01-24,3.999009
2024-01-25,3.977067
2024-01-26,3.988241
2024-01-27,3.99025
2024-01-28,3.990121
2024-01-29,3.973839
2024-01-30,3.983296
2024-01-31,3.989339
2024-02-01,3.993345
2024-02-02,3.964476
2024-02-03,3.968771
2024-02-04,3.96925
2024-02-05,3.944457
2024-02-06,3.949003
2024-02-07,3.956472
2024-02-08,3.957225
2024-02-09,3.961805
2024-02-10,3.960639
2024-02-11,3.960639
2024-02-12,3.956832
2024-02-13,3.932123
2024-02-14,3.940385
2024-02-15,3.955291
2024-02-16,3.95921
2024-02-17,3.958657
2024-02-18,3.958079
2024-02-19,3.95897
2024-02-20,3.970155
2024-02-21,3.972454
2024-02-22,3.975174
2024-02-23,3.974831
2024-02-24,3.979243
2024-02-25,3.97866
2024-02-26,3.983055
2024-02-27,3.984791
2024-02-28,3.979945
2024-02-29,3.968769
2024-03-01,3.982114
2024-03-02,3.985487
2024-03-03,3.985408
2024-03-04,3.987149
2024-03-05,3.986004
2024-03-06,4.003878
2024-03-07,4.01906
2024-03-08,4.016759
2024-03-09,4.019796
2024-03-10,4.019813
2024-03-11,4.011733
2024-03-12,4.011515
2024-03-13,4.023294
2024-03-14,3.998823
2024-03-15,3.999763
2024-03-16,4.002509
2024-03-17,4.002509
2024-03-18,3.991983
2024-03-19,3.990374
2024-03-20,3.993675
2024-03-21,3.988049
2024-03-22,3.945252
2024-03-23,3.989558
2024-03-24,3.989452
2024-03-25,3.979712
2024-03-26,3.977275
2024-03-27,3.973922
2024-03-28,3.965346
2024-03-29,3.962544
2024-03-30,3.9662
2024-03-31,3.965979
2024-04-01,3.944484
2024-04-02,3.954184
2024-04-03,3.97796
2024-04-04,3.988924
2024-04-05,3.979552
2024-04-06,3.98384
2024-04-07,3.983836
2024-04-08,3.987559
2024-04-09,3.9862
2024-04-10,3.945338
2024-04-11,3.936087
2024-04-12,3.909733
2024-04-13,3.918742
2024-04-14,3.918799
2024-04-15,3.905657
2024-04-16,3.901267
2024-04-17,3.912181
2024-04-18,3.912516
2024-04-19,3.911596
2024-04-20,3.917534
2024-04-21,3.917534
2024-04-22,3.911309
2024-04-23,3.929395
2024-04-24,3.924839
2024-04-25,3.937035
2024-04-26,3.926875
2024-04-27,3.930971
2024-04-28,3.930971
2024-04-29,3.937307
2024-04-30,3.922303
2024-05-01,3.922015
2024-05-02,3.931971
2024-05-03,3.954438
2024-05-04,3.956377
2024-05-05,3.956377
2024-05-06,3.956513
2024-05-07,3.956853
2024-05-08,3.949496
2024-05-09,3.956274
2024-05-10,3.957746
2024-05-11,3.962013
2024-05-12,3.962117
2024-05-13,3.965838
2024-05-14,3.973239
2024-05-15,3.987548
2024-05-16,3.993105
2024-05-17,3.993155
2024-05-18,4.001553
2024-05-19,4.001553
2024-05-20,3.98982
2024-05-21,3.987073
2024-05-22,3.979998
2024-05-23,3.976113
2024-05-24,3.985939
2024-05-25,3.987017
2024-05-26,3.987017
2024-05-27,3.98851
2024-05-28,3.994407
2024-05-29,3.970317
2024-05-30,3.983272
2024-05-31,3.985918
2024-06-01,3.987651
2024-06-02,3.987651
2024-06-03,3.999804
2024-06-04,3.995332
2024-06-05,3.990764
2024-06-06,3.997148
2024-06-07,3.968601
2024-06-08,3.972126
2024-06-09,3.972126
2024-06-10,3.947403
2024-06-11,3.941326
2024-06-12,3.984317
2024-06-13,3.95305
2024-06-14,3.929459
2024-06-15,3.937439
2024-06-16,3.937439
2024-06-17,3.938215
2024-06-18,3.943663
2024-06-19,3.945475
2024-06-20,3.935172
2024-06-21,3.925076
2024-06-22,3.931539
2024-06-23,3.931539
2024-06-24,3.940622
2024-06-25,3.930048
2024-06-26,3.923818
2024-06-27,3.935541
2024-06-28,3.932739
2024-06-29,3.937439
2024-06-30,3.937439
2024-07-01,3.943599
2024-07-02,3.940825
2024-07-03,3.971058
2024-07-04,3.969323
2024-07-05,3.973068
2024-07-06,3.986585
2024-07-07,3.986585
2024-07-08,3.981118
2024-07-09,3.97288
2024-07-10,3.976506
2024-07-11,3.994107
2024-07-12,4.002192
2024-07-13,4.011166
2024-07-14,4.011166
2024-07-15,4.009112
2024-07-16,3.996833
2024-07-17,4.016519
2024-07-18,4.006131
2024-07-19,3.997779
2024-07-20,4.000915
2024-07-21,4.000915
2024-07-22,3.994633
2024-07-23,3.986644
2024-07-24,3.990975
2024-07-25,3.982603
2024-07-26,3.990896
2024-07-27,3.99352
2024-07-28,3.99352
2024-07-29,3.972511
2024-07-30,3.970109
2024-07-31,3.981779
2024-08-01,3.968703
2024-08-02,4.003916
2024-08-03,4.011166
2024-08-04,4.011166
2024-08-05,4.03392
2024-08-06,4.012091
2024-08-07,4.011809
2024-08-08,4.000786
2024-08-09,4.012433
2024-08-10,4.01184
2024-08-11,4.01184
2024-08-12,4.012905
2024-08-13,4.025889
2024-08-14,4.05435
2024-08-15,4.024164
2024-08-16,4.040352
2024-08-17,4.053009
2024-08-18,4.053009
2024-08-19,4.052552
2024-08-20,4.078483
2024-08-21,4.084359
2024-08-22,4.090959
2024-08-23,4.079743
2024-08-24,4.11645
2024-08-25,4.11645
2024-08-26,4.096872
2024-08-27,4.097314
2024-08-28,4.08195
2024-08-29,4.071279
2024-08-30,4.063616
2024-08-31,4.062479
2024-09-01,4.062479
2024-09-02,4.065826
2024-09-03,4.061762
2024-09-04,4.059851
2024-09-05,4.07821
2024-09-06,4.068652
2024-09-07,4.074348
2024-09-08,4.074348
2024-09-09,4.057007
2024-09-10,4.047346
2024-09-11,4.046991
2024-09-12,4.053529
2024-09-13,4.074763
2024-09-14,4.071429
2024-09-15,4.071429
2024-09-16,4.087126
2024-09-17,4.092247
2024-09-18,4.086344
2024-09-19,4.098382
2024-09-20,4.100887
2024-09-21,4.104397
2024-09-22,4.104397
2024-09-23,4.081747
2024-09-24,4.087013
2024-09-25,4.107342
2024-09-26,4.095611
2024-09-27,4.101079
2024-09-28,4.102105
2024-09-29,4.102105
2024-09-30,4.107941
2024-10-01,4.072074
2024-10-02,4.065685
2024-10-03,4.05301
2024-10-04,4.051349
2024-10-05,4.033632
2024-10-06,4.033632
2024-10-07,4.028174
2024-10-08,4.035382
2024-10-09,4.027676
2024-10-10,4.016441
2024-10-11,4.015337
2024-10-12,4.021503
2024-10-13,4.021503
2024-10-14,4.013161
2024-10-15,4.005661
2024-10-16,4.001655
2024-10-17,3.989709
2024-10-18,3.983256
2024-10-19,3.994155
2024-10-20,3.994155
2024-10-21,3.984367
2024-10-22,3.97669
2024-10-23,3.959756
2024-10-24,3.96615
2024-10-25,3.976798
2024-10-26,3.96678
2024-10-27,3.96678
2024-10-28,3.973477
2024-10-29,3.973802
2024-10-30,3.980563
2024-10-31,3.992104
2024-11-01,3.98757
2024-11-02,3.996561
2024-11-03,3.996561
2024-11-04,4.002228
2024-11-05,4.000735
2024-11-06,3.949532
2024-11-07,3.948013
2024-11-08,3.958262
2024-11-09,3.938479
2024-11-10,3.938479
2024-11-11,3.922464
2024-11-12,3.901403
2024-11-13,3.903195
