date,exchange_rate
2014-11-24,72.418
2014-11-25,72.579
2014-11-26,72.049
2014-11-27,71.839
2014-11-28,71.655
2014-12-01,71.894
2014-12-02,71.358
2014-12-03,71.3
2014-12-04,71.19
2014-12-05,70.798
2014-12-08,71.598
2014-12-09,71.313
2014-12-10,72.34
2014-12-11,71.511
2014-12-12,71.709
2014-12-15,72.263
2014-12-16,72.707
2014-12-17,71.618
2014-12-18,70.816
2014-12-19,70.487
2014-12-22,70.453
2014-12-23,70.756
2014-12-24,70.318
2014-12-25,70.47
2014-12-26,70.222
2014-12-29,71.092
2014-12-30,70.07
2014-12-31,69.732
2015-01-01,69.755
2015-01-02,69.013
2015-01-05,68.815
2015-01-06,68.471
2015-01-07,68.197
2015-01-08,67.89
2015-01-09,68.243
2015-01-12,68.207
2015-01-13,67.853
2015-01-14,68.226
2015-01-15,66.689
2015-01-16,66.688
2015-01-19,67.02
2015-01-20,66.699
2015-01-21,67.001
2015-01-22,65.003
2015-01-23,64.533
2015-01-26,64.547
2015-01-27,65.155
2015-01-28,64.386
2015-01-29,64.664
2015-01-30,64.436
2015-02-02,64.955
2015-02-03,65.67
2015-02-04,64.894
2015-02-05,65.733
2015-02-06,64.79
2015-02-09,64.568
2015-02-10,64.561
2015-02-11,64.965
2015-02-12,66.046
2015-02-13,64.804
2015-02-16,65.031
2015-02-17,65.491
2015-02-18,65.414
2015-02-19,65.167
2015-02-20,64.985
2015-02-23,65.017
2015-02-24,65.073
2015-02-25,65.146
2015-02-26,64.196
2015-02-27,63.906
2015-03-02,64.118
2015-03-03,64.061
2015-03-04,63.481
2015-03-05,63.259
2015-03-06,62.175
2015-03-09,62.547
2015-03-10,61.672
2015-03-11,60.152
2015-03-12,61.332
2015-03-13,60.644
2015-03-16,60.992
2015-03-17,60.582
2015-03-18,62.693
2015-03-19,61.652
2015-03-20,62.154
2015-03-23,63.337
2015-03-24,63.057
2015-03-25,63.365
2015-03-26,62.891
2015-03-27,63.006
2015-03-30,62.577
2015-03-31,62.026
2015-04-01,62.35
2015-04-02,62.982
2015-04-03,63.521
2015-04-06,62.889
2015-04-07,62.633
2015-04-08,62.031
2015-04-09,61.316
2015-04-10,61.29
2015-04-13,60.966
2015-04-14,61.338
2015-04-15,61.488
2015-04-16,61.855
2015-04-17,62.154
2015-04-20,61.788
2015-04-21,61.764
2015-04-22,61.633
2015-04-23,62.189
2015-04-24,62.42
2015-04-27,62.644
2015-04-28,63.188
2015-04-29,64.069
2015-04-30,64.724
2015-05-01,64.543
2015-05-04,64.777
2015-05-05,64.366
2015-05-06,65.856
2015-05-07,65.338
2015-05-08,64.98
2015-05-11,64.692
2015-05-12,65.431
2015-05-13,66.214
2015-05-14,66.504
2015-05-15,66.724
2015-05-18,65.9
2015-05-19,64.833
2015-05-20,64.517
2015-05-21,64.578
2015-05-22,64.005
2015-05-25,63.799
2015-05-26,63.219
2015-05-27,64.217
2015-05-28,64.249
2015-05-29,64.344
2015-06-01,63.905
2015-06-02,65.214
2015-06-03,65.895
2015-06-04,65.51
2015-06-05,64.963
2015-06-08,65.949
2015-06-09,65.872
2015-06-10,66.142
2015-06-11,65.585
2015-06-12,65.696
2015-06-15,65.774
2015-06-16,65.579
2015-06-17,66.05
2015-06-18,66.227
2015-06-19,66.102
2015-06-22,66.027
2015-06-23,64.973
2015-06-24,65.1
2015-06-25,65.073
2015-06-26,65.843
2015-06-29,66.101
2015-06-30,66.528
2015-07-01,66.47
2015-07-02,66.903
2015-07-03,66.859
2015-07-06,66.039
2015-07-07,66.668
2015-07-08,66.372
2015-07-09,66.913
2015-07-10,67.46
2015-07-13,65.916
2015-07-14,65.999
2015-07-15,65.535
2015-07-16,65.829
2015-07-17,65.569
2015-07-20,65.521
2015-07-21,66.1
2015-07-22,66.316
2015-07-23,66.616
2015-07-24,66.528
2015-07-27,67.156
2015-07-28,66.991
2015-07-29,66.509
2015-07-30,66.29
2015-07-31,66.602
2015-08-03,66.56
2015-08-04,66.034
2015-08-05,66.312
2015-08-06,66.802
2015-08-07,67.001
2015-08-10,67.365
2015-08-11,68.391
2015-08-12,70.047
2015-08-13,70.409
2015-08-14,70.139
2015-08-17,70.66
2015-08-18,70.282
2015-08-19,70.796
2015-08-20,71.156
2015-08-21,72.561
2015-08-24,73.752
2015-08-25,74.161
2015-08-26,72.864
2015-08-27,73.168
2015-08-28,72.713
2015-08-31,72.742
2015-09-01,73.321
2015-09-02,71.608
2015-09-03,71.021
2015-09-04,71.161
2015-09-07,71.28
2015-09-08,71.38
2015-09-09,71.4
2015-09-10,71.859
2015-09-11,72.167
2015-09-14,72.094
2015-09-15,72.069
2015-09-16,72.135
2015-09-17,73.524
2015-09-18,72.774
2015-09-21,71.96
2015-09-22,71.543
2015-09-23,71.934
2015-09-24,71.788
2015-09-25,71.899
2015-09-28,72.169
2015-09-29,72.62
2015-09-30,71.603
2015-10-01,71.89
2015-10-02,72.012
2015-10-05,72.05
2015-10-06,72.495
2015-10-07,72.37
2015-10-08,72.483
2015-10-09,73.042
2015-10-12,73.043
2015-10-13,73.329
2015-10-14,73.888
2015-10-15,73.305
2015-10-16,73.128
2015-10-19,73.033
2015-10-20,73.214
2015-10-21,73.236
2015-10-22,71.601
2015-10-23,71.054
2015-10-26,71.363
2015-10-27,71.248
2015-10-28,70.643
2015-10-29,70.862
2015-10-30,71.174
2015-11-02,71.484
2015-11-03,71.181
2015-11-04,70.565
2015-11-05,70.848
2015-11-06,69.896
2015-11-09,70.619
2015-11-10,70.401
2015-11-11,71.03
2015-11-12,71.697
2015-11-13,71.451
2015-11-16,71.482
2015-11-17,71.268
2015-11-18,72.25
2015-11-19,73.279
2015-11-20,72.671
2015-11-23,71.021
2015-11-24,70.892
2015-11-25,69.669
2015-11-26,69.565
2015-11-27,69.461
2015-11-30,70.402
2015-12-01,70.432
2015-12-02,70.299
2015-12-03,73.126
2015-12-04,72.694
2015-12-07,72.297
2015-12-08,72.68
2015-12-09,73.23
2015-12-10,72.298
2015-12-11,72.628
2015-12-14,72.631
2015-12-15,72.198
2015-12-16,72.015
2015-12-17,71.5
2015-12-18,71.706
2015-12-21,72.006
2015-12-22,72.212
2015-12-23,71.913
2015-12-24,72.296
2015-12-25,72.374
2015-12-28,72.415
2015-12-29,72.073
2015-12-30,74.805
2015-12-31,74.39
2016-01-01,74.334
2016-01-04,74.226
2016-01-05,73.685
2016-01-06,73.83
2016-01-07,74.883
2016-01-08,74.86
2016-01-11,74.52
2016-01-12,74.313
2016-01-13,74.746
2016-01-14,74.659
2016-01-15,74.959
2016-01-18,74.63
2016-01-19,74.839
2016-01-20,74.694
2016-01-21,74.64
2016-01-22,74.101
2016-01-25,74.472
2016-01-26,74.455
2016-01-27,74.902
2016-01-28,75.139
2016-01-29,74.329
2016-02-01,74.751
2016-02-02,74.967
2016-02-03,76.068
2016-02-04,76.878
2016-02-05,76.559
2016-02-08,76.569
2016-02-09,77.764
2016-02-10,77.683
2016-02-11,77.921
2016-02-12,77.533
2016-02-15,76.87
2016-02-16,76.701
2016-02-17,77.04
2016-02-18,76.934
2016-02-19,77.203
2016-02-22,76.171
2016-02-23,75.897
2016-02-24,76.256
2016-02-25,75.773
2016-02-26,75.159
2016-02-29,74.684
2016-03-01,74.535
2016-03-02,74.535
2016-03-03,75.1
2016-03-04,75.099
2016-03-07,75.428
2016-03-08,75.384
2016-03-09,75.334
2016-03-10,76.382
2016-03-11,76.281
2016-03-14,75.887
2016-03-15,75.909
2016-03-16,76.676
2016-03-17,77.335
2016-03-18,77.025
2016-03-21,76.814
2016-03-22,76.647
2016-03-23,76.43
2016-03-24,76.452
2016-03-25,76.36
2016-03-28,76.556
2016-03-29,77.467
2016-03-30,77.669
2016-03-31,78.111
2016-04-01,78.171
2016-04-04,78.091
2016-04-05,78.065
2016-04-06,78.17
2016-04-07,77.968
2016-04-08,78.144
2016-04-11,78.203
2016-04-12,77.856
2016-04-13,76.969
2016-04-14,76.982
2016-04-15,77.123
2016-04-18,77.337
2016-04-19,77.67
2016-04-20,77.169
2016-04-21,77.143
2016-04-22,76.742
2016-04-25,77.004
2016-04-26,77.145
2016-04-27,77.446
2016-04-28,77.618
2016-04-29,78.234
2016-05-02,78.718
2016-05-03,78.54
2016-05-04,78.461
2016-05-05,77.98
2016-05-06,77.978
2016-05-09,78.019
2016-05-10,77.901
2016-05-11,78.296
2016-05-12,77.982
2016-05-13,77.504
2016-05-16,77.548
2016-05-17,77.589
2016-05-18,76.987
2016-05-19,76.782
2016-05-20,77.083
2016-05-23,77.106
2016-05-24,76.575
2016-05-25,76.792
2016-05-26,77.038
2016-05-27,76.492
2016-05-30,76.674
2016-05-31,76.626
2016-06-01,77.16
2016-06-02,76.884
2016-06-03,78.436
2016-06-06,78.43
2016-06-07,78.404
2016-06-08,78.923
2016-06-09,78.348
2016-06-10,77.903
2016-06-13,78.213
2016-06-14,77.885
2016-06-15,78.218
2016-06-16,77.985
2016-06-17,78.3
2016-06-20,78.233
2016-06-21,77.705
2016-06-22,78.09
2016-06-23,78.486
2016-06-24,76.567
2016-06-27,75.68
2016-06-28,75.85
2016-06-29,75.964
2016-06-30,75.906
2016-07-01,76.16
2016-07-04,76.279
2016-07-05,75.934
2016-07-06,76.166
2016-07-07,75.931
2016-07-08,75.842
2016-07-11,75.852
2016-07-12,75.966
2016-07-13,76.125
2016-07-14,76.244
2016-07-15,75.964
2016-07-18,76.186
2016-07-19,75.788
2016-07-20,75.688
2016-07-21,75.822
2016-07-22,75.399
2016-07-25,75.84
2016-07-26,75.78
2016-07-27,76.272
2016-07-28,76.377
2016-07-29,77.036
2016-08-01,76.575
2016-08-02,77.273
2016-08-03,76.747
2016-08-04,76.147
2016-08-05,72.699
2016-08-08,74.871
2016-08-09,75.526
2016-08-10,75.921
2016-08-11,75.598
2016-08-12,75.777
2016-08-15,75.481
2016-08-16,76.126
2016-08-17,76.069
2016-08-18,76.547
2016-08-19,76.372
2016-08-22,76.284
2016-08-23,76.061
2016-08-24,75.799
2016-08-25,75.515
2016-08-26,74.936
2016-08-29,74.723
2016-08-30,74.261
2016-08-31,74.461
2016-09-01,74.716
2016-09-02,74.425
2016-09-05,76.74
2016-09-06,75.0
2016-09-07,74.92
2016-09-08,75.06
2016-09-09,74.856
2016-09-12,74.875
2016-09-13,74.734
2016-09-14,74.95
2016-09-15,74.96
2016-09-16,74.356
2016-09-19,74.434
2016-09-20,74.433
2016-09-21,74.452
2016-09-22,74.649
2016-09-23,74.773
2016-09-26,74.929
2016-09-27,74.689
2016-09-28,74.694
2016-09-29,74.791
2016-09-30,73.79
2016-10-03,73.987
2016-10-04,73.83
2016-10-05,73.849
2016-10-06,73.434
2016-10-07,73.815
2016-10-10,73.212
2016-10-11,72.666
2016-10-12,72.362
2016-10-13,72.654
2016-10-14,72.109
2016-10-17,72.342
2016-10-18,72.49
2016-10-19,72.455
2016-10-20,72.177
2016-10-21,71.85
2016-10-24,71.795
2016-10-25,71.917
2016-10-26,72.02
2016-10-27,71.946
2016-10-28,72.537
2016-10-31,72.456
2016-11-01,73.234
2016-11-02,73.127
2016-11-03,73.217
2016-11-04,73.431
2016-11-07,72.708
2016-11-08,72.514
2016-11-09,71.882
2016-11-10,71.64
2016-11-11,71.41
2016-11-14,70.673
2016-11-15,70.538
2016-11-16,71.533
2016-11-17,71.02
2016-11-18,70.762
2016-11-21,70.911
2016-11-22,70.899
2016-11-23,70.364
2016-11-24,70.395
2016-11-25,70.637
2016-11-28,70.77
2016-11-29,70.954
2016-11-30,70.586
2016-12-01,73.598
2016-12-02,71.048
2016-12-05,71.722
2016-12-06,71.499
2016-12-07,71.648
2016-12-08,70.652
2016-12-09,70.28
2016-12-12,70.719
2016-12-13,70.589
2016-12-14,69.938
2016-12-15,69.169
2016-12-16,69.369
2016-12-19,69.054
2016-12-20,68.96
2016-12-21,69.226
2016-12-22,69.279
2016-12-23,69.358
2016-12-26,69.427
2016-12-27,69.432
2016-12-28,69.104
2016-12-29,70.266
2016-12-30,70.251
2017-01-02,70.014
2017-01-03,69.601
2017-01-04,70.076
2017-01-05,70.854
2017-01-06,70.359
2017-01-09,70.724
