date,exchange_rate
2014-11-10,136.2
2014-11-12,136.39999
2014-11-13,136.5
2014-11-14,136.7
2014-11-17,136.89999
2014-11-18,136.2
2014-11-19,137.10001
2014-11-20,136.2
2014-11-21,137.10001
2014-11-24,136.2
2014-11-25,136.2
2014-11-26,136.2
2014-11-27,136.89999
2014-11-28,137.10001
2014-12-01,137.10001
2014-12-02,136.2
2014-12-03,137.10001
2014-12-04,137.10001
2014-12-05,137.10001
2014-12-08,137.10001
2014-12-09,137.10001
2014-12-10,137.10001
2014-12-11,137.10001
2014-12-12,137.10001
2014-12-15,137.10001
2014-12-16,136.2
2014-12-17,136.2
2014-12-18,136.2
2014-12-19,136.2
2014-12-23,137.2
2014-12-24,137.0
2014-12-26,137.0
2014-12-30,136.89999
2014-12-31,137.0
2015-01-02,137.0
2015-01-05,137.0
2015-01-06,137.0
2015-01-07,137.0
2015-01-08,137.0
2015-01-09,137.10001
2015-01-12,137.10001
2015-01-13,137.10001
2015-01-14,137.2
2015-01-15,137.2
2015-01-16,137.2
2015-01-19,137.2
2015-01-20,137.2
2015-01-21,137.2
2015-01-22,137.2
2015-01-23,137.2
2015-01-26,137.0
2015-01-27,137.0
2015-01-28,136.8
2015-01-29,136.8
2015-01-30,136.8
2015-02-02,136.8
2015-02-03,136.8
2015-02-05,136.8
2015-02-06,136.8
2015-02-09,136.8
2015-02-10,136.8
2015-02-11,137.0
2015-02-12,137.0
2015-02-13,137.0
2015-02-16,136.2
2015-02-17,137.2
2015-02-18,137.39999
2015-02-19,137.39999
2015-02-20,137.39999
2015-02-23,137.2
2015-02-24,137.2
2015-02-25,137.2
2015-02-26,137.2
2015-02-27,137.2
2015-03-02,137.2
2015-03-03,137.3
2015-03-04,136.2
2015-03-05,136.2
2015-03-09,137.2
2015-03-10,136.2
2015-03-11,136.2
2015-03-12,136.2
2015-03-13,137.2
2015-03-16,137.2
2015-03-17,137.2
2015-03-18,136.2
2015-03-19,136.2
2015-03-20,136.2
2015-03-23,137.3
2015-03-25,136.2
2015-03-27,137.3
2015-03-30,137.3
2015-03-31,136.2
2015-04-01,137.3
2015-04-02,137.3
2015-04-03,137.3
2015-04-06,137.3
2015-04-07,137.3
2015-04-08,137.3
2015-04-09,137.3
2015-04-10,137.3
2015-04-13,137.3
2015-04-14,137.3
2015-04-15,137.3
2015-04-16,137.3
2015-04-17,137.2
2015-04-20,137.2
2015-04-21,137.10001
2015-04-22,137.10001
2015-04-24,137.0
2015-04-27,137.0
2015-04-28,137.0
2015-04-29,137.2
2015-04-30,137.2
2015-05-01,137.3
2015-05-04,137.3
2015-05-05,137.39999
2015-05-06,137.39999
2015-05-07,137.39999
2015-05-08,137.39999
2015-05-11,137.2
2015-05-12,137.5
2015-05-13,137.7
2015-05-14,137.7
2015-05-15,137.89999
2015-05-18,137.89999
2015-05-19,137.89999
2015-05-20,137.89999
2015-05-21,137.89999
2015-05-22,137.89999
2015-05-25,137.89999
2015-05-26,137.89999
2015-05-27,137.89999
2015-05-28,137.89999
2015-06-01,137.89999
2015-06-02,137.89999
2015-06-03,137.8
2015-06-04,137.8
2015-06-08,137.8
2015-06-09,137.8
2015-06-10,137.89999
2015-06-11,137.89999
