date,exchange_rate
2023-10-28,424.864108
2023-10-30,426.956386
2023-10-31,425.436398
2023-11-01,425.876951
2023-11-02,426.397545
2023-11-03,428.437692
2023-11-04,428.437692
2023-11-05,428.120823
2023-11-06,431.222454
2023-11-07,430.753729
2023-11-08,431.471542
2023-11-09,429.523603
2023-11-10,431.319853
2023-11-12,429.864745
2023-11-13,429.892063
2023-11-14,438.740518
2023-11-15,435.342501
2023-11-16,437.491882
2023-11-17,439.762458
2023-11-18,437.476958
2023-11-19,437.190695
2023-11-20,440.032231
2023-11-21,438.680027
2023-11-22,438.092835
2023-11-23,438.663437
2023-11-24,440.357599
2023-11-25,439.150086
2023-11-26,438.967014
2023-11-27,440.718782
2023-11-28,442.032056
2023-11-29,441.669311
2023-11-30,438.41095
2023-12-01,438.743527
2023-12-02,438.48659
2023-12-03,438.59667
2023-12-04,436.754462
2023-12-05,435.074326
2023-12-06,433.050494
2023-12-07,435.528394
2023-12-08,434.248833
2023-12-09,434.999699
2023-12-10,434.78608
2023-12-11,432.17766
2023-12-12,435.653305
2023-12-13,438.805405
2023-12-14,444.117556
2023-12-15,438.039967
2023-12-16,443.616849
2023-12-17,443.434818
2023-12-18,442.67014
2023-12-19,445.616502
2023-12-20,442.464916
2023-12-21,446.12755
2023-12-22,445.876239
2023-12-23,445.888595
2023-12-24,445.888769
2023-12-25,446.177272
2023-12-26,447.406118
2023-12-27,449.148435
2023-12-28,450.685427
2023-12-29,446.501889
2023-12-30,447.961892
2023-12-31,447.963015
2024-01-01,448.047447
2024-01-02,443.024473
2024-01-03,442.583395
2024-01-04,442.666099
2024-01-05,440.406426
2024-01-06,441.346795
2024-01-07,441.346953
2024-01-08,442.837492
2024-01-09,441.846277
2024-01-10,444.534457
2024-01-11,444.238774
2024-01-12,442.812781
2024-01-13,442.777168
2024-01-14,442.778601
2024-01-15,442.459329
2024-01-16,440.952638
2024-01-17,439.790873
2024-01-18,440.247381
2024-01-19,440.828225
2024-01-20,439.763476
2024-01-21,440.364427
2024-01-22,440.079858
2024-01-23,438.404493
2024-01-24,441.729436
2024-01-25,437.671674
2024-01-26,440.508178
2024-01-27,441.063972
2024-01-28,441.063739
2024-01-29,438.543375
2024-01-30,438.110761
2024-01-31,439.625247
2024-02-01,441.275999
2024-02-02,438.3467
2024-02-03,438.863042
2024-02-04,438.863293
2024-02-05,436.351365
2024-02-06,436.81385
2024-02-07,437.474613
2024-02-08,437.941036
2024-02-09,436.377604
2024-02-10,437.424649
2024-02-11,435.731363
2024-02-12,435.808057
2024-02-13,434.279219
2024-02-14,435.338766
2024-02-15,435.330281
2024-02-16,437.591567
2024-02-17,437.466391
2024-02-18,435.401038
2024-02-19,437.593902
2024-02-20,438.855646
2024-02-21,439.34505
2024-02-22,437.628523
2024-02-23,439.47774
2024-02-24,439.484158
2024-02-25,439.48438
2024-02-26,440.751756
2024-02-27,440.621554
2024-02-28,438.981955
2024-02-29,436.717019
2024-03-01,437.990156
2024-03-02,437.144737
2024-03-03,437.146979
2024-03-04,436.586812
2024-03-05,438.41046
2024-03-06,440.341316
2024-03-07,441.420344
2024-03-08,441.407573
2024-03-09,441.158166
2024-03-10,441.161119
2024-03-11,440.267072
2024-03-12,439.816783
2024-03-13,441.410481
2024-03-14,438.628223
2024-03-15,438.461275
2024-03-16,438.825484
2024-03-17,437.326202
2024-03-18,437.42723
2024-03-19,437.108445
2024-03-20,436.425786
2024-03-21,434.076484
2024-03-22,430.435149
2024-03-23,430.964798
2024-03-24,430.965634
2024-03-25,428.996038
2024-03-26,428.563176
2024-03-27,427.0598
2024-03-28,425.280845
2024-03-29,424.293981
2024-03-30,424.680796
2024-03-31,425.429731
2024-04-01,421.022747
2024-04-02,420.985111
2024-04-03,422.083017
2024-04-04,422.025122
2024-04-05,420.908897
2024-04-06,420.931973
2024-04-07,420.932113
2024-04-08,422.369066
2024-04-09,422.843469
2024-04-10,418.417963
2024-04-11,419.577797
2024-04-12,419.286531
2024-04-13,420.253137
2024-04-14,421.926735
2024-04-15,420.891655
2024-04-16,419.86047
2024-04-17,420.888148
2024-04-18,419.824391
2024-04-19,418.149479
2024-04-20,419.447425
2024-04-21,419.447425
2024-04-22,416.871423
2024-04-23,417.318098
2024-04-24,416.925718
2024-04-25,416.560926
2024-04-26,414.912212
2024-04-27,416.943737
2024-04-28,416.943737
2024-04-29,415.727934
2024-04-30,414.346618
2024-05-01,414.333571
2024-05-02,414.97698
2024-05-03,417.009194
2024-05-04,416.734021
2024-05-05,416.734021
2024-05-06,417.863764
2024-05-07,417.710975
2024-05-08,417.224614
2024-05-09,417.992164
2024-05-10,418.096072
2024-05-11,418.547537
2024-05-12,418.142569
2024-05-13,418.556085
2024-05-14,419.39184
2024-05-15,420.723265
2024-05-16,421.923808
2024-05-17,421.387791
2024-05-18,420.556929
2024-05-19,420.556929
2024-05-20,421.433441
2024-05-21,421.438527
2024-05-22,420.828564
2024-05-23,419.562862
2024-05-24,420.819085
2024-05-25,420.250791
2024-05-26,420.250791
2024-05-27,421.36411
2024-05-28,421.327542
2024-05-29,418.875658
2024-05-30,421.134453
2024-05-31,420.393765
2024-06-01,421.262601
2024-06-02,421.262601
2024-06-03,422.01101
2024-06-04,421.343188
2024-06-05,421.763351
2024-06-06,421.872112
2024-06-07,418.924104
2024-06-08,421.973972
2024-06-09,421.973972
2024-06-10,416.496803
2024-06-11,415.9047
2024-06-12,420.474595
2024-06-13,418.002046
2024-06-14,415.371956
2024-06-15,414.958024
2024-06-16,414.958024
2024-06-17,416.855045
2024-06-18,417.376444
2024-06-19,417.725633
2024-06-20,415.860242
2024-06-21,415.181075
2024-06-22,414.610392
2024-06-23,414.610392
2024-06-24,416.322819
2024-06-25,415.367685
2024-06-26,414.847056
2024-06-27,415.866692
2024-06-28,415.606436
2024-06-29,416.101441
2024-06-30,415.712885
2024-07-01,416.753742
2024-07-02,416.46252
2024-07-03,419.741478
2024-07-04,419.267965
