date,exchange_rate
2014-11-24,2.2039
2014-11-25,2.2099
2014-11-26,2.2155
2014-11-27,2.209
2014-11-28,2.206
2014-12-01,2.2096
2014-12-02,2.1939
2014-12-03,2.1804
2014-12-04,2.1929
2014-12-05,2.1759
2014-12-08,2.1815
2014-12-09,2.1925
2014-12-10,2.2049
2014-12-11,2.197
2014-12-12,2.2074
2014-12-15,2.2039
2014-12-16,2.2162
2014-12-17,2.1845
2014-12-18,2.1762
2014-12-19,2.1661
2014-12-22,2.1658
2014-12-23,2.156
2014-12-24,2.1609
2014-12-25,2.1655
2014-12-26,2.1579
2014-12-29,2.1537
2014-12-30,2.1531
2014-12-31,2.1427
2015-01-01,2.1434
2015-01-02,2.1254
2015-01-05,2.1136
2015-01-06,2.103
2015-01-07,2.0964
2015-01-08,2.0879
2015-01-09,2.0971
2015-01-12,2.096
2015-01-13,2.0858
2015-01-14,2.0881
2015-01-15,2.06
2015-01-16,2.0493
2015-01-19,2.0563
2015-01-20,2.0464
2015-01-21,2.0575
2015-01-22,2.0066
2015-01-23,1.9844
2015-01-26,1.9911
2015-01-27,2.014
2015-01-28,1.9968
2015-01-29,2.0061
2015-01-30,1.9991
2015-02-02,2.0074
2015-02-03,2.0314
2015-02-04,2.0091
2015-02-05,2.0322
2015-02-06,2.0038
2015-02-09,2.0059
2015-02-10,2.0036
2015-02-11,2.0068
2015-02-12,2.0189
2015-02-13,2.0158
2015-02-16,2.0106
2015-02-17,2.0211
2015-02-18,2.0196
2015-02-19,2.0129
2015-02-20,2.0162
2015-02-23,2.0084
2015-02-24,2.008
2015-02-25,2.012
2015-02-26,1.9827
2015-02-27,1.9823
2015-03-02,1.9803
2015-03-03,1.9795
2015-03-04,1.9623
2015-03-05,1.9537
2015-03-06,1.9212
2015-03-09,1.9206
2015-03-10,1.8931
2015-03-11,1.8673
2015-03-12,1.881
2015-03-13,1.8597
2015-03-16,1.8713
2015-03-17,1.8757
2015-03-18,1.9175
2015-03-19,1.889
2015-03-20,1.915
2015-03-23,1.9407
2015-03-24,1.932
2015-03-25,1.9412
2015-03-26,1.925
2015-03-27,1.9292
2015-03-30,1.917
2015-03-31,1.9011
2015-04-01,1.9068
2015-04-02,1.9252
2015-04-03,1.9431
2015-04-06,1.9354
2015-04-07,1.9159
2015-04-08,1.909
2015-04-09,1.8877
2015-04-10,1.8761
2015-04-13,1.871
2015-04-14,1.8855
2015-04-15,1.8891
2015-04-16,1.9037
2015-04-17,1.912
2015-04-20,1.9
2015-04-21,1.8999
2015-04-22,1.8969
2015-04-23,1.9147
2015-04-24,1.9218
2015-04-27,1.9244
2015-04-28,1.9418
2015-04-29,1.9666
2015-04-30,1.9866
2015-05-01,1.9813
2015-05-04,1.9715
2015-05-05,1.9777
2015-05-06,2.0065
2015-05-07,1.9914
2015-05-08,1.9803
2015-05-11,1.9718
2015-05-12,1.9828
2015-05-13,2.0073
2015-05-14,2.0164
2015-05-15,2.0242
2015-05-18,2.0019
2015-05-19,1.9719
2015-05-20,1.9646
2015-05-21,1.9662
2015-05-22,1.9491
2015-05-25,1.9428
2015-05-26,1.9268
2015-05-27,1.9298
2015-05-28,1.941
2015-05-29,1.9446
2015-06-01,1.9327
2015-06-02,1.972
2015-06-03,1.993
2015-06-04,1.981
2015-06-05,1.9643
2015-06-08,1.994
2015-06-09,1.9923
2015-06-10,2.0008
2015-06-11,1.9863
2015-06-12,1.9897
2015-06-15,1.9928
2015-06-16,1.9872
2015-06-17,1.9998
2015-06-18,2.0062
2015-06-19,2.0027
2015-06-22,2.0008
2015-06-23,1.97
2015-06-24,1.9754
2015-06-25,1.9754
2015-06-26,1.9689
2015-06-29,1.9777
2015-06-30,1.9638
2015-07-01,1.949
2015-07-02,1.9542
2015-07-03,1.9604
2015-07-06,1.9493
2015-07-07,1.9379
2015-07-08,1.9501
2015-07-09,1.9469
2015-07-10,1.9638
2015-07-13,1.9379
2015-07-14,1.939
2015-07-15,1.9279
2015-07-16,1.9148
2015-07-17,1.9066
2015-07-20,1.9056
2015-07-21,1.9249
2015-07-22,1.923
2015-07-23,1.933
2015-07-24,1.9314
2015-07-27,1.9507
2015-07-28,1.9457
2015-07-29,1.9325
2015-07-30,1.9231
2015-07-31,1.932
2015-08-03,1.9265
2015-08-04,1.9156
2015-08-05,1.9171
2015-08-06,1.9218
2015-08-07,1.9274
2015-08-10,1.938
2015-08-11,1.9421
2015-08-12,1.9621
2015-08-13,1.9614
2015-08-14,1.9538
2015-08-17,1.9481
2015-08-18,1.9312
2015-08-19,1.9468
2015-08-20,1.9676
2015-08-21,1.9954
2015-08-24,2.0282
2015-08-25,2.0203
2015-08-26,1.985
2015-08-27,1.9688
2015-08-28,1.958
2015-08-31,1.9633
2015-09-01,1.9796
2015-09-02,1.9645
2015-09-03,1.9478
2015-09-04,1.9529
2015-09-07,1.9561
