date,exchange_rate
2023-10-28,875.362859
2023-10-30,882.076373
2023-10-31,880.301514
2023-11-01,880.036513
2023-11-02,882.645324
2023-11-03,893.771654
2023-11-04,893.771654
2023-11-05,893.096195
2023-11-06,891.398448
2023-11-07,884.774922
2023-11-08,889.959785
2023-11-09,886.92666
2023-11-10,890.925022
2023-11-12,890.925022
2023-11-13,888.572369
2023-11-14,905.360787
2023-11-15,903.749706
2023-11-16,904.054299
2023-11-17,903.570398
2023-11-18,903.570398
2023-11-19,902.979127
2023-11-20,915.951295
2023-11-21,906.759653
2023-11-22,901.111543
2023-11-23,911.405617
2023-11-24,910.97846
2023-11-25,910.97846
2023-11-26,910.59858
2023-11-27,911.431661
2023-11-28,910.213067
2023-11-29,910.736809
2023-11-30,901.489932
2023-12-01,906.268709
2023-12-02,905.775394
2023-12-03,906.002214
2023-12-04,897.976365
2023-12-05,898.794523
2023-12-06,895.165913
2023-12-07,898.735692
2023-12-08,895.989303
2023-12-09,896.897542
2023-12-10,895.723183
2023-12-11,894.903414
2023-12-12,897.554169
2023-12-13,905.257669
2023-12-14,914.089484
2023-12-15,905.826681
2023-12-16,906.959268
2023-12-17,906.584062
2023-12-18,905.287281
2023-12-19,914.11351
2023-12-20,909.571597
2023-12-21,915.049142
2023-12-22,915.576822
2023-12-23,916.711975
2023-12-24,916.705628
2023-12-25,915.289082
2023-12-26,915.121851
2023-12-27,925.11321
2023-12-28,921.764564
2023-12-29,914.880514
2023-12-30,916.2063
2023-12-31,916.203884
2024-01-01,915.553701
2024-01-02,910.932883
2024-01-03,909.126857
2024-01-04,907.204026
2024-01-05,909.502538
2024-01-06,909.79197
2024-01-07,909.784463
2024-01-08,909.775856
2024-01-09,905.526214
2024-01-10,908.544123
2024-01-11,908.99258
2024-01-12,909.787404
2024-01-13,910.436574
2024-01-14,910.423536
2024-01-15,907.497807
2024-01-16,902.797638
2024-01-17,903.077111
2024-01-18,903.312238
2024-01-19,902.668141
2024-01-20,930.84321
2024-01-21,904.577475
2024-01-22,904.386543
2024-01-23,902.337236
2024-01-24,905.312145
2024-01-25,901.420991
2024-01-26,903.9671
2024-01-27,904.400074
2024-01-28,904.393611
2024-01-29,900.718932
2024-01-30,902.873496
2024-01-31,904.226189
2024-02-01,904.613147
2024-02-02,898.604988
2024-02-03,899.663483
2024-02-04,899.660601
2024-02-05,894.013034
2024-02-06,893.991777
2024-02-07,896.888857
2024-02-08,895.960874
2024-02-09,896.920907
2024-02-10,896.198428
2024-02-11,896.198264
2024-02-12,895.786451
2024-02-13,890.186936
2024-02-14,892.053872
2024-02-15,896.508357
2024-02-16,896.418097
2024-02-17,896.16167
2024-02-18,896.160931
2024-02-19,892.799222
2024-02-20,898.778857
2024-02-21,896.073349
2024-02-22,896.679288
2024-02-23,899.856883
2024-02-24,900.821845
2024-02-25,900.817045
2024-02-26,898.575737
2024-02-27,898.84404
2024-02-28,897.743464
2024-02-29,899.02223
2024-03-01,898.263854
2024-03-02,902.774155
2024-03-03,902.778647
2024-03-04,899.506597
2024-03-05,899.150146
2024-03-06,907.662416
2024-03-07,912.050932
2024-03-08,913.72326
2024-03-09,914.41417
2024-03-10,914.426153
2024-03-11,912.585747
2024-03-12,911.43068
2024-03-13,912.065086
2024-03-14,906.518779
2024-03-15,906.730695
2024-03-16,911.670862
2024-03-17,911.669188
2024-03-18,904.967274
2024-03-19,904.442878
2024-03-20,908.554336
2024-03-21,904.200046
2024-03-22,899.861303
2024-03-23,907.65916
2024-03-24,907.661926
2024-03-25,909.086181
2024-03-26,901.830511
2024-03-27,906.681009
2024-03-28,898.928722
2024-03-29,898.294515
2024-03-30,905.016458
2024-03-31,905.016363
2024-04-01,894.347481
2024-04-02,896.50896
2024-04-03,901.77669
2024-04-04,909.017199
2024-04-05,906.89361
2024-04-06,907.956813
2024-04-07,907.956507
2024-04-08,909.791406
2024-04-09,909.480424
2024-04-10,899.763798
2024-04-11,892.45485
2024-04-12,886.634143
2024-04-13,892.603753
2024-04-14,892.596286
2024-04-15,885.70991
2024-04-16,884.704014
2024-04-17,887.177912
2024-04-18,892.246643
2024-04-19,890.939159
2024-04-20,892.796485
2024-04-21,892.796485
2024-04-22,891.37865
2024-04-23,894.466649
2024-04-24,891.356291
2024-04-25,897.748451
2024-04-26,891.727436
2024-04-27,892.66338
2024-04-28,892.66338
2024-04-29,896.708297
2024-04-30,890.694416
2024-05-01,890.642557
2024-05-02,892.903451
2024-05-03,897.992838
2024-05-04,900.522423
2024-05-05,900.522423
