date,exchange_rate
2014-11-24,10.595
2014-11-25,10.624
2014-11-26,10.657
2014-11-27,10.62
2014-11-28,10.619
2014-12-01,10.638
2014-12-02,10.572
2014-12-03,10.504
2014-12-04,10.564
2014-12-05,10.492
2014-12-08,10.521
2014-12-09,10.581
2014-12-10,10.647
2014-12-11,10.604
2014-12-12,10.66
2014-12-15,10.64
2014-12-16,10.699
2014-12-17,10.547
2014-12-18,10.515
2014-12-19,10.457
2014-12-22,10.459
2014-12-23,10.409
2014-12-24,10.432
2014-12-25,10.455
2014-12-26,10.418
2014-12-29,10.4
2014-12-30,10.396
2014-12-31,10.346
2015-01-01,10.349
2015-01-02,10.261
2015-01-05,10.201
2015-01-06,10.149
2015-01-07,10.147
2015-01-08,10.125
2015-01-09,10.168
2015-01-12,10.167
2015-01-13,10.117
2015-01-14,10.129
2015-01-15,9.998
2015-01-16,9.945
2015-01-19,9.986
2015-01-20,9.949
2015-01-21,10.006
2015-01-22,9.796
2015-01-23,9.657
2015-01-26,9.698
2015-01-27,9.813
2015-01-28,9.731
2015-01-29,9.777
2015-01-30,9.748
2015-02-02,9.805
2015-02-03,9.931
2015-02-04,9.803
2015-02-05,9.93
2015-02-06,9.788
2015-02-09,9.815
2015-02-10,9.804
2015-02-11,9.818
2015-02-12,9.885
2015-02-13,9.881
2015-02-16,9.848
2015-02-17,9.907
2015-02-18,9.899
2015-02-19,9.877
2015-02-20,9.901
2015-02-23,9.869
2015-02-24,9.883
2015-02-25,9.907
2015-02-26,9.761
2015-02-27,9.758
2015-03-02,9.758
2015-03-03,9.762
2015-03-04,9.68
2015-03-05,9.647
2015-03-06,9.497
2015-03-09,9.497
2015-03-10,9.363
2015-03-11,9.259
2015-03-12,9.32
2015-03-13,9.216
2015-03-16,9.303
2015-03-17,9.303
2015-03-18,9.515
2015-03-19,9.377
2015-03-20,9.508
2015-03-23,9.622
2015-03-24,9.578
2015-03-25,9.626
2015-03-26,9.564
2015-03-27,9.595
2015-03-30,9.544
2015-03-31,9.462
2015-04-01,9.492
2015-04-02,9.592
2015-04-03,9.691
2015-04-06,9.659
2015-04-07,9.565
2015-04-08,9.529
2015-04-09,9.426
2015-04-10,9.375
2015-04-13,9.362
2015-04-14,9.44
2015-04-15,9.46
2015-04-16,9.542
2015-04-17,9.593
2015-04-20,9.524
2015-04-21,9.524
2015-04-22,9.513
2015-04-23,9.63
2015-04-24,9.675
2015-04-27,9.686
2015-04-28,9.775
2015-04-29,9.897
2015-04-30,10.008
2015-05-01,9.989
2015-05-04,9.941
2015-05-05,9.955
2015-05-06,10.1
2015-05-07,10.036
2015-05-08,9.99
2015-05-11,9.964
2015-05-12,10.024
2015-05-13,10.145
2015-05-14,10.205
2015-05-15,10.247
2015-05-18,10.131
2015-05-19,9.973
2015-05-20,9.922
2015-05-21,9.957
2015-05-22,9.892
2015-05-25,9.885
2015-05-26,9.789
2015-05-27,9.786
2015-05-28,9.849
2015-05-29,9.895
2015-06-01,9.844
2015-06-02,10.029
2015-06-03,10.147
2015-06-04,10.093
2015-06-05,10.013
2015-06-08,10.176
2015-06-09,10.178
2015-06-10,10.22
2015-06-11,10.15
2015-06-12,10.175
2015-06-15,10.193
2015-06-16,10.156
2015-06-17,10.266
2015-06-18,10.318
2015-06-19,10.341
2015-06-22,10.278
2015-06-23,10.12
2015-06-24,10.156
2015-06-25,10.159
2015-06-26,10.144
2015-06-29,10.199
2015-06-30,10.119
2015-07-01,10.054
2015-07-02,10.093
2015-07-03,10.115
2015-07-06,10.063
2015-07-07,10.022
2015-07-08,10.095
2015-07-09,10.097
2015-07-10,10.187
2015-07-13,10.04
2015-07-14,10.053
2015-07-15,10.0
2015-07-16,9.93
2015-07-17,9.884
2015-07-20,9.877
2015-07-21,10.011
2015-07-22,10.007
2015-07-23,10.065
2015-07-24,10.083
2015-07-27,10.182
2015-07-28,10.166
2015-07-29,10.081
2015-07-30,10.055
2015-07-31,10.103
2015-08-03,10.067
2015-08-04,10.013
2015-08-05,10.037
2015-08-06,10.059
2015-08-07,10.124
2015-08-10,10.155
2015-08-11,10.187
2015-08-12,10.295
2015-08-13,10.295
2015-08-14,10.264
2015-08-17,10.239
2015-08-18,10.216
2015-08-19,10.273
2015-08-20,10.409
2015-08-21,10.547
2015-08-24,10.749
2015-08-25,10.691
2015-08-26,10.512
2015-08-27,10.434
2015-08-28,10.389
2015-08-31,10.427
2015-09-01,10.525
2015-09-02,10.438
2015-09-03,10.357
2015-09-04,10.392
2015-09-07,10.397
2015-09-08,10.431
2015-09-09,10.481
2015-09-10,10.549
2015-09-11,10.604
2015-09-14,10.577
2015-09-15,10.547
2015-09-16,10.578
2015-09-17,10.707
2015-09-18,10.602
2015-09-21,10.519
2015-09-22,10.451
2015-09-23,10.505
2015-09-24,10.5
2015-09-25,10.515
2015-09-28,10.567
2015-09-29,10.605
2015-09-30,10.526
2015-10-01,10.548
2015-10-02,10.568
2015-10-05,10.63
2015-10-06,10.641
2015-10-07,10.603
2015-10-08,10.622
2015-10-09,10.726
2015-10-12,10.699
2015-10-13,10.78
2015-10-14,10.849
2015-10-15,10.788
2015-10-16,10.749
2015-10-19,10.757
2015-10-20,10.746
2015-10-21,10.779
2015-10-22,10.561
2015-10-23,10.48
2015-10-26,10.525
2015-10-27,10.495
2015-10-28,10.404
2015-10-29,10.454
2015-10-30,10.472
2015-11-02,10.507
2015-11-03,10.456
2015-11-04,10.395
2015-11-05,10.401
2015-11-06,10.202
2015-11-09,10.3
2015-11-10,10.265
2015-11-11,10.31
2015-11-12,10.372
2015-11-13,10.352
2015-11-16,10.29
2015-11-17,10.257
2015-11-18,10.266
2015-11-19,10.359
2015-11-20,10.272
2015-11-23,10.256
2015-11-24,10.28
2015-11-25,10.227
2015-11-26,10.264
2015-11-27,10.238
2015-11-30,10.245
2015-12-01,10.285
2015-12-02,10.267
2015-12-03,10.598
2015-12-04,10.574
2015-12-07,10.515
2015-12-08,10.571
2015-12-09,10.715
2015-12-10,10.65
2015-12-11,10.713
2015-12-14,10.753
2015-12-15,10.688
2015-12-16,10.7
2015-12-17,14.414
2015-12-18,14.267
2015-12-21,13.957
2015-12-22,14.171
2015-12-23,14.145
2015-12-24,14.498
2015-12-25,14.51
2015-12-28,14.34
2015-12-29,14.169
2015-12-30,14.147
2015-12-31,14.029
2016-01-01,14.043
2016-01-04,14.277
2016-01-05,14.661
2016-01-06,14.926
2016-01-07,15.165
2016-01-08,15.159
2016-01-11,14.864
2016-01-12,14.621
2016-01-13,14.726
2016-01-14,14.383
2016-01-15,14.801
2016-01-18,14.727
2016-01-19,14.69
2016-01-20,14.616
2016-01-21,14.681
2016-01-22,14.79
2016-01-25,14.917
2016-01-26,15.021
2016-01-27,15.09
2016-01-28,15.131
2016-01-29,15.032
2016-02-01,15.349
2016-02-02,15.42
2016-02-03,15.674
2016-02-04,15.854
2016-02-05,15.905
2016-02-08,16.004
2016-02-09,16.117
2016-02-10,16.062
2016-02-11,16.482
2016-02-12,16.642
2016-02-15,16.519
2016-02-16,16.474
2016-02-17,16.531
2016-02-18,16.575
2016-02-19,16.702
2016-02-22,16.593
2016-02-23,16.786
2016-02-24,16.824
2016-02-25,16.812
2016-02-26,16.807
2016-02-29,16.872
2016-03-01,17.171
2016-03-02,17.063
2016-03-03,17.082
2016-03-04,16.785
2016-03-07,16.742
2016-03-08,16.952
2016-03-09,16.831
2016-03-10,16.99
2016-03-11,16.956
2016-03-14,16.476
2016-03-15,16.413
2016-03-16,16.207
2016-03-17,16.467
2016-03-18,16.795
2016-03-21,16.594
2016-03-22,16.134
2016-03-23,16.084
2016-03-24,16.189
2016-03-25,16.183
2016-03-28,16.227
2016-03-29,16.696
2016-03-30,16.569
2016-03-31,16.639
2016-04-01,16.853
