date,exchange_rate
2014-11-24,2.2257
2014-11-25,2.2317
2014-11-26,2.2374
2014-11-27,2.2309
2014-11-28,2.2281
2014-12-01,2.2314
2014-12-02,2.2155
2014-12-03,2.1896
2014-12-04,2.2022
2014-12-05,2.1851
2014-12-08,2.1908
2014-12-09,2.2017
2014-12-10,2.2143
2014-12-11,2.2063
2014-12-12,2.2298
2014-12-15,2.2134
2014-12-16,2.2259
2014-12-17,2.194
2014-12-18,2.1857
2014-12-19,2.1755
2014-12-22,2.1752
2014-12-23,2.1654
2014-12-24,2.1825
2014-12-25,2.1872
2014-12-26,2.1795
2014-12-29,2.1752
2014-12-30,2.1748
2014-12-31,2.1643
2015-01-01,2.165
2015-01-02,2.1471
2015-01-05,2.1228
2015-01-06,2.1121
2015-01-07,2.1174
2015-01-08,2.1089
2015-01-09,2.118
2015-01-12,2.1051
2015-01-13,2.1067
2015-01-14,2.1091
2015-01-15,2.069
2015-01-16,2.0582
2015-01-19,2.0652
2015-01-20,2.0553
2015-01-21,2.078
2015-01-22,2.0269
2015-01-23,2.0046
2015-01-26,2.0113
2015-01-27,2.0345
2015-01-28,2.0168
2015-01-29,2.0263
2015-01-30,2.0191
2015-02-02,2.0276
2015-02-03,2.0517
2015-02-04,2.0292
2015-02-05,2.0526
2015-02-06,2.0238
2015-02-09,2.0264
2015-02-10,2.0237
2015-02-11,2.0268
2015-02-12,2.0395
2015-02-13,2.036
2015-02-16,2.042
2015-02-17,2.0414
2015-02-18,2.0398
2015-02-19,2.0331
2015-02-20,2.0363
2015-02-23,2.0284
2015-02-24,2.0284
2015-02-25,2.0325
2015-02-26,2.0028
2015-02-27,2.0018
2015-03-02,2.0004
2015-03-03,1.9996
2015-03-04,1.9822
2015-03-05,1.9846
2015-03-06,1.9516
2015-03-09,1.9402
2015-03-10,1.9123
2015-03-11,1.8866
2015-03-12,1.9002
2015-03-13,1.8788
2015-03-16,1.8906
2015-03-17,1.895
2015-03-18,1.9373
2015-03-19,1.9084
2015-03-20,1.9563
2015-03-23,1.9825
2015-03-24,1.9737
2015-03-25,1.9834
2015-03-26,1.9669
2015-03-27,1.9712
2015-03-30,1.9587
2015-03-31,1.9318
2015-04-01,1.9375
2015-04-02,1.9673
2015-04-03,1.964
2015-04-06,1.986
2015-04-07,1.966
2015-04-08,1.9588
2015-04-09,1.9367
2015-04-10,1.9068
2015-04-13,1.9017
2015-04-14,1.9166
2015-04-15,1.9206
2015-04-16,1.9355
2015-04-17,1.9438
2015-04-20,1.9311
2015-04-21,1.9311
2015-04-22,1.928
2015-04-23,1.9455
2015-04-24,1.9533
2015-04-27,1.9568
2015-04-28,1.9745
2015-04-29,1.9996
2015-04-30,2.02
2015-05-01,2.0147
2015-05-04,2.005
2015-05-05,2.0113
2015-05-06,2.0405
2015-05-07,2.0139
2015-05-08,2.0028
2015-05-11,1.9946
2015-05-12,2.0176
2015-05-13,2.0428
2015-05-14,2.0517
2015-05-15,2.0485
2015-05-18,2.0242
2015-05-19,1.9938
2015-05-20,1.9851
2015-05-21,1.987
2015-05-22,1.97
2015-05-25,1.9637
2015-05-26,1.9475
2015-05-27,1.9616
2015-05-28,1.9733
2015-05-29,1.9773
2015-06-01,1.9654
2015-06-02,2.0057
2015-06-03,2.0274
2015-06-04,2.0155
2015-06-05,1.9987
2015-06-08,2.0301
2015-06-09,2.0284
2015-06-10,2.0371
2015-06-11,2.0223
2015-06-12,2.0257
2015-06-15,2.0289
2015-06-16,2.0232
2015-06-17,2.0391
2015-06-18,2.0456
2015-06-19,2.0425
2015-06-22,2.0405
2015-06-23,2.0093
2015-06-24,2.0043
2015-06-25,2.0152
2015-06-26,2.0086
2015-06-29,2.0175
2015-06-30,2.0033
2015-07-01,1.9882
2015-07-02,1.9936
2015-07-03,1.9999
2015-07-06,1.9775
2015-07-07,1.9794
2015-07-08,1.9919
2015-07-09,1.9889
2015-07-10,2.0062
2015-07-13,1.9799
2015-07-14,1.9814
2015-07-15,1.9701
2015-07-16,1.9567
2015-07-17,1.9375
2015-07-20,1.9475
2015-07-21,1.9674
2015-07-22,1.9656
2015-07-23,1.9762
2015-07-24,1.9746
2015-07-27,1.9945
2015-07-28,1.9896
2015-07-29,1.9763
2015-07-30,1.9665
2015-07-31,1.9758
2015-08-03,1.9703
2015-08-04,1.9589
2015-08-05,1.9607
2015-08-06,1.9655
2015-08-07,1.9713
2015-08-10,1.9713
2015-08-11,1.9755
2015-08-12,2.0068
2015-08-13,2.006
2015-08-14,1.9983
2015-08-17,1.9926
2015-08-18,1.9835
2015-08-19,1.9996
2015-08-20,2.0209
2015-08-21,2.0495
2015-08-24,2.0832
2015-08-25,2.0751
2015-08-26,2.0389
2015-08-27,2.0222
2015-08-28,2.0112
2015-08-31,2.0166
2015-09-01,2.0333
2015-09-02,2.0178
2015-09-03,2.0006
2015-09-04,2.0058
2015-09-07,1.9972
2015-09-08,2.0161
2015-09-09,2.0183
2015-09-10,2.0313
2015-09-11,2.0399
2015-09-14,2.0347
2015-09-15,2.0276
2015-09-16,2.0311
2015-09-17,2.0426
2015-09-18,2.0347
2015-09-21,2.0123
2015-09-22,1.9914
2015-09-23,2.0128
2015-09-24,2.0103
2015-09-25,2.0134
2015-09-28,2.021
2015-09-29,2.0241
2015-09-30,2.0098
2015-10-01,2.0131
2015-10-02,2.0166
2015-10-05,2.0129
2015-10-06,2.0269
2015-10-07,2.0219
2015-10-08,2.0282
2015-10-09,2.0432
2015-10-12,2.0429
2015-10-13,2.0477
2015-10-14,2.0636
2015-10-15,2.0464
2015-10-16,2.0415
2015-10-19,2.0379
2015-10-20,2.0423
2015-10-21,2.0397
2015-10-22,1.9973
2015-10-23,1.982
2015-10-26,1.9891
2015-10-27,1.9859
2015-10-28,1.966
2015-10-29,1.9766
2015-10-30,1.9807
2015-11-02,1.9811
2015-11-03,1.9718
2015-11-04,1.9547
2015-11-05,1.9564
2015-11-06,1.9317
2015-11-09,1.9345
2015-11-10,1.9293
2015-11-11,1.9334
2015-11-12,1.9442
2015-11-13,1.9381
2015-11-16,1.9224
2015-11-17,1.9046
2015-11-18,1.9172
2015-11-19,1.9303
2015-11-20,1.9148
2015-11-23,1.9131
2015-11-24,1.9151
2015-11-25,1.9108
2015-11-26,1.9079
2015-11-27,1.905
2015-11-30,1.901
2015-12-01,1.9006
2015-12-02,1.8976
2015-12-03,1.966
2015-12-04,1.9556
2015-12-07,1.9487
2015-12-08,1.9599
2015-12-09,1.9821
2015-12-10,1.9679
2015-12-11,1.9769
2015-12-14,1.9784
2015-12-15,1.9666
2015-12-16,1.9622
2015-12-17,1.9491
2015-12-18,1.9547
2015-12-21,1.9635
2015-12-22,1.9592
2015-12-23,1.9618
2015-12-24,1.9616
2015-12-25,1.9744
2015-12-28,1.974
2015-12-29,1.9647
2015-12-30,1.9662
2015-12-31,1.9422
2016-01-01,1.9538
2016-01-04,1.9481
2016-01-05,1.9345
2016-01-06,1.9286
2016-01-07,1.9645
2016-01-08,1.9648
2016-01-11,1.953
2016-01-12,1.9532
2016-01-13,1.9575
2016-01-14,1.9552
2016-01-15,1.9636
2016-01-18,1.9485
2016-01-19,1.9628
2016-01-20,1.959
2016-01-21,1.9561
2016-01-22,1.942
2016-01-25,1.9517
2016-01-26,1.9541
2016-01-27,1.9616
2016-01-28,1.9571
2016-01-29,1.948
2016-02-01,1.9591
2016-02-02,1.9647
2016-02-03,1.9936
2016-02-04,2.0148
2016-02-05,2.0079
2016-02-08,2.0147
2016-02-09,2.0309
2016-02-10,2.0291
2016-02-11,2.0353
2016-02-12,2.0246
2016-02-15,2.0079
2016-02-16,2.0043
2016-02-17,2.0016
2016-02-18,1.9982
2016-02-19,2.002
2016-02-22,1.9833
2016-02-23,1.9825
2016-02-24,1.9818
2016-02-25,1.983
2016-02-26,1.9669
2016-02-29,1.9579
2016-03-01,1.9548
2016-03-02,1.9548
2016-03-03,1.9696
2016-03-04,1.9797
2016-03-07,1.9811
2016-03-08,1.98
2016-03-09,1.9787
2016-03-10,2.0106
2016-03-11,2.0065
2016-03-14,1.9976
2016-03-15,1.9982
2016-03-16,2.0174
2016-03-17,2.0357
2016-03-18,2.0275
2016-03-21,2.022
2016-03-22,2.0176
2016-03-23,2.0119
2016-03-24,2.011
2016-03-25,2.0085
2016-03-28,2.0143
2016-03-29,2.0306
2016-03-30,2.0385
2016-03-31,2.0471
2016-04-01,2.0502
2016-04-04,2.0487
2016-04-05,2.0474
2016-04-06,2.0502
2016-04-07,2.0464
2016-04-08,2.0504
2016-04-11,2.0526
2016-04-12,2.0482
2016-04-13,2.029
2016-04-14,2.0264
2016-04-15,2.0301
2016-04-18,2.0346
2016-04-19,2.043
2016-04-20,2.0328
2016-04-21,2.0306
2016-04-22,2.0201
2016-04-25,2.027
2016-04-26,2.0322
2016-04-27,2.0371
2016-04-28,2.0422
2016-04-29,2.0486
2016-05-02,2.0736
2016-05-03,2.0683
2016-05-04,2.0669
2016-05-05,2.0512
2016-05-06,2.0511
2016-05-09,2.0477
2016-05-10,2.0461
2016-05-11,2.055
2016-05-12,2.0467
2016-05-13,2.0342
2016-05-16,2.0354
2016-05-17,2.0349
2016-05-18,2.0191
2016-05-19,2.0152
2016-05-20,2.0187
2016-05-23,2.0179
2016-05-24,2.004
2016-05-25,2.0067
2016-05-26,2.0131
2016-05-27,1.9989
2016-05-30,2.0036
2016-05-31,2.0024
2016-06-01,2.012
2016-06-02,2.0062
2016-06-03,2.044
2016-06-06,2.0427
2016-06-07,2.0429
2016-06-08,2.0505
2016-06-09,2.0356
2016-06-10,2.024
2016-06-13,2.0306
2016-06-14,2.0162
2016-06-15,2.0263
2016-06-16,2.0197
2016-06-17,2.0185
2016-06-20,2.0355
2016-06-21,2.0247
2016-06-22,2.0362
2016-06-23,2.0501
2016-06-24,2.0
2016-06-27,1.982
2016-06-28,1.9922
2016-06-29,2.0011
2016-06-30,1.9966
2016-07-01,2.0033
2016-07-04,2.0064
2016-07-05,1.9901
2016-07-06,1.9961
2016-07-07,1.99
2016-07-08,1.9771
2016-07-11,1.9894
2016-07-12,1.99
2016-07-13,1.9965
2016-07-14,1.9997
2016-07-15,1.9909
2016-07-18,1.9923
2016-07-19,1.9819
2016-07-20,1.9807
2016-07-21,1.9837
2016-07-22,1.9746
2016-07-25,1.9775
2016-07-26,1.976
2016-07-27,1.9894
2016-07-28,1.993
2016-07-29,2.0102
2016-08-01,2.0083
2016-08-02,2.0193
2016-08-03,2.0055
2016-08-04,2.0018
2016-08-05,1.9939
2016-08-08,1.9936
2016-08-09,1.9998
2016-08-10,2.0117
2016-08-11,2.0034
2016-08-12,2.0082
2016-08-15,2.0119
2016-08-16,2.0291
2016-08-17,2.0199
2016-08-18,2.0422
2016-08-19,2.0378
2016-08-22,2.0363
2016-08-23,2.0334
2016-08-24,2.0264
2016-08-25,2.03
2016-08-26,2.0144
2016-08-29,2.0126
2016-08-30,2.0046
2016-08-31,2.0073
2016-09-01,2.0142
2016-09-02,2.0067
2016-09-05,2.0053
2016-09-06,2.0231
2016-09-07,2.0224
2016-09-08,2.0262
2016-09-09,2.0198
2016-09-12,2.0212
2016-09-13,2.0174
2016-09-14,2.0233
2016-09-15,2.0235
2016-09-16,2.0072
2016-09-19,2.0108
2016-09-20,2.0063
2016-09-21,2.0131
2016-09-22,2.0166
2016-09-23,2.02
2016-09-26,2.0242
2016-09-27,2.0177
2016-09-28,2.0179
2016-09-29,2.0189
2016-09-30,2.0223
2016-10-03,2.0169
2016-10-04,2.0157
2016-10-05,2.0162
2016-10-06,2.0049
2016-10-07,2.0153
2016-10-10,2.0034
2016-10-11,1.9884
2016-10-12,1.9836
2016-10-13,1.9881
2016-10-14,1.9732
2016-10-17,1.9796
2016-10-18,1.9746
2016-10-19,1.9779
2016-10-20,1.97
2016-10-21,1.9572
2016-10-24,1.9557
2016-10-25,1.959
2016-10-26,1.9618
2016-10-27,1.9598
2016-10-28,1.9759
2016-10-31,1.9737
2016-11-01,1.9897
2016-11-02,1.9965
2016-11-03,1.9977
2016-11-04,2.0054
2016-11-07,1.9866
2016-11-08,1.9812
2016-11-09,1.964
2016-11-10,1.9583
2016-11-11,1.9526
2016-11-14,1.9324
2016-11-15,1.9287
2016-11-16,1.9237
2016-11-17,1.9114
2016-11-18,1.9044
2016-11-21,1.9127
2016-11-22,1.911
2016-11-23,1.898
2016-11-24,1.8988
2016-11-25,1.9053
2016-11-28,1.9089
2016-11-29,1.9156
2016-11-30,1.9054
2016-12-01,1.9176
2016-12-02,1.9193
2016-12-05,1.9361
2016-12-06,1.9284
2016-12-07,1.9347
2016-12-08,1.9086
2016-12-09,1.8997
2016-12-12,1.9133
2016-12-13,1.9118
2016-12-14,1.8943
2016-12-15,1.8747
2016-12-16,1.8799
2016-12-19,1.871
2016-12-20,1.8688
2016-12-21,1.8757
2016-12-22,1.8774
2016-12-23,1.8796
2016-12-26,1.8811
2016-12-27,1.8813
2016-12-28,1.8724
2016-12-29,1.8864
2016-12-30,1.8945
2017-01-02,1.8827
2017-01-03,1.8718
2017-01-04,1.8868
2017-01-05,1.8969
2017-01-06,1.8945
