date,exchange_rate
2014-11-24,0.972
2014-11-25,0.9741
2014-11-26,0.9781
2014-11-27,0.9805
2014-11-28,0.9759
2014-12-01,0.9759
2014-12-02,0.9773
2014-12-03,0.9698
2014-12-04,0.9649
2014-12-05,0.9705
2014-12-08,0.9639
2014-12-09,0.9668
2014-12-10,0.9716
2014-12-11,0.9754
2014-12-12,0.972
2014-12-15,0.9758
2014-12-16,0.9769
2014-12-17,0.9791
2014-12-18,0.9674
2014-12-19,0.963
2014-12-22,0.96
2014-12-24,0.9545
2014-12-25,0.9578
2014-12-26,0.9572
2014-12-29,0.9557
2014-12-30,0.9508
2015-01-05,0.9357
2015-01-06,0.9374
2015-01-07,0.9311
2015-01-08,0.9267
2015-01-09,0.925
2015-01-12,0.9294
2015-01-13,0.927
2015-01-14,0.9246
2015-01-15,0.9221
2015-01-16,0.9117
2015-01-19,0.9061
2015-01-21,0.9082
2015-01-22,0.9116
2015-01-23,0.8884
2015-01-26,0.8776
2015-01-27,0.8803
2015-01-30,0.8893
2015-02-02,0.886
2015-02-03,0.8881
2015-02-04,0.9001
2015-02-05,0.8893
2015-02-06,0.8991
2015-02-09,0.8888
2015-02-10,0.8885
2015-02-11,0.8874
2015-02-12,0.887
2015-02-13,0.8966
2015-02-16,0.8952
2015-02-17,0.8918
2015-02-18,0.8953
2015-02-19,0.8967
2015-02-20,0.893
2015-02-23,1.1873
2015-02-24,1.1891
2015-02-25,1.1917
2015-02-26,1.1929
2015-02-27,1.1769
2015-03-02,1.1721
2015-03-04,1.1712
2015-03-05,1.158
2015-03-06,1.1555
2015-03-10,1.1319
2015-03-11,1.121
2015-03-12,1.1048
2015-03-13,1.1087
2015-03-16,1.1044
2015-03-17,1.1068
2015-03-18,1.1095
2015-03-19,1.1296
2015-03-30,1.1384
2015-03-31,1.1316
2015-04-01,1.1305
2015-04-02,1.1291
2015-04-03,1.1403
2015-04-06,1.1507
2015-04-07,1.1461
2015-04-08,1.1432
2015-04-09,1.1322
2015-04-10,1.1225
2015-04-13,1.1156
2015-04-14,1.109
2015-04-15,1.1165
2015-04-16,1.1229
2015-04-17,1.1303
2015-04-20,1.131
2015-04-21,1.127
2015-04-22,1.1275
2015-04-23,1.1252
2015-04-24,1.1341
2015-04-27,1.1403
2015-04-28,1.1408
2015-04-29,1.1503
2015-04-30,1.1624
2015-05-01,1.1744
2015-05-04,1.1728
2015-05-05,1.1666
2015-05-06,1.1765
2015-05-07,1.1897
2015-05-08,1.1753
2015-05-12,1.1716
2015-05-13,1.1784
2015-05-14,1.1894
2015-05-15,1.1936
2015-05-18,1.1962
2015-05-19,1.1852
2015-05-20,1.1673
2015-05-21,1.1654
2015-05-22,1.1682
2015-05-25,1.1515
2015-05-26,1.1466
2015-05-27,1.1439
2015-05-29,1.1484
2015-06-01,1.1498
2015-06-02,1.1479
2015-06-03,1.1715
2015-06-04,1.1802
2015-06-05,1.1759
2015-06-08,1.1654
2015-06-09,1.1859
2015-06-10,1.183
2015-06-11,1.184
2015-06-12,1.1763
2015-06-16,1.1809
2015-06-17,1.179
2015-06-18,1.1887
2015-06-19,1.1888
2015-06-22,1.1927
2015-06-23,1.1812
2015-06-24,1.1719
2015-06-25,1.1733
2015-06-29,1.1553
2015-06-30,1.1724
2015-07-01,1.1672
2015-07-02,1.1605
2015-07-03,1.1629
2015-07-06,1.1565
2015-07-07,1.1567
2015-07-08,1.1547
2015-07-09,1.1636
2015-07-10,1.1653
2015-07-13,1.1679
2015-07-14,1.1546
2015-07-15,1.1533
2015-07-16,1.1469
2015-07-21,1.135
2015-07-22,1.1478
2015-07-23,1.1526
2015-07-24,1.1507
2015-07-27,1.1546
2015-07-28,1.1619
2015-07-29,1.1592
2015-07-30,1.151
2015-07-31,1.1484
2015-08-03,1.1514
2015-08-04,1.149
2015-08-05,1.1398
2015-08-06,1.1455
2015-08-07,1.1457
2015-08-10,1.1507
2015-08-11,1.1509
2015-08-12,1.1611
2015-08-13,1.1671
2015-08-14,1.1691
2015-08-17,1.1631
2015-08-18,1.1592
2015-08-19,1.1588
2015-08-20,1.1668
2015-08-21,1.1827
2015-08-24,1.2003
2015-08-25,1.208
2015-08-26,1.2011
2015-08-27,1.1875
2015-08-28,1.1792
2015-08-31,1.1795
2015-09-01,1.1806
2015-09-02,1.1815
2015-09-03,1.1762
2015-09-04,1.1669
2015-09-07,1.1679
2015-09-08,1.1749
2015-09-09,1.1702
2015-09-10,1.1743
2015-09-11,1.1826
2015-09-14,1.1876
2015-09-15,1.1849
2015-09-16,1.1824
2015-09-17,1.1831
2015-09-18,1.1941
2015-09-21,1.1844
2015-09-22,1.1722
2015-09-23,1.1665
2015-09-28,1.1712
2015-09-29,1.18
2015-09-30,1.1779
2015-10-01,1.1688
2015-10-02,1.171
2015-10-05,1.1771
2015-10-06,1.172
2015-10-07,1.1797
2015-10-08,1.1793
2015-10-09,1.1821
2015-10-12,1.1908
2015-10-13,1.1903
2015-10-14,1.1925
2015-10-15,1.2019
2015-10-16,1.192
2015-10-19,1.1904
2015-10-20,1.1863
2015-10-21,1.1893
2015-10-22,1.187
2015-10-23,1.1647
2015-10-26,1.1569
2015-10-28,1.1569
2015-10-29,1.1476
2015-10-30,1.1517
2015-11-02,1.1571
2015-11-03,1.1554
2015-11-04,1.1488
2015-11-05,1.1411
2015-11-06,1.1416
2015-11-10,1.1293
2015-11-11,1.1289
2015-11-12,1.1294
2015-11-13,1.1312
2015-11-16,1.1264
2015-11-17,1.1196
2015-11-18,1.1184
2015-11-19,1.1244
2015-11-20,1.1261
2015-11-23,1.1156
2015-11-24,1.1165
2015-11-25,1.1199
2015-11-26,1.1159
2015-11-27,1.1153
2015-11-30,1.1119
2015-12-01,1.1118
2015-12-02,1.1145
2015-12-03,1.1125
2015-12-04,1.1465
2015-12-07,1.1404
2015-12-08,1.1395
2015-12-09,1.1449
2015-12-10,1.1536
2015-12-11,1.1479
2015-12-14,1.1503
2015-12-15,1.1563
2015-12-16,1.1477
2015-12-17,1.1392
2015-12-18,1.1387
2015-12-21,1.6831
2015-12-22,1.6919
2015-12-23,1.697
2015-12-24,1.7014
2015-12-25,1.7039
2015-12-28,1.7063
2015-12-29,1.7093
2015-12-30,1.7043
2016-01-05,1.6901
2016-01-06,1.6783
2016-01-07,1.6904
2016-01-08,1.7013
2016-01-11,1.7071
2016-01-12,1.7063
2016-01-13,1.6982
2016-01-14,1.7073
2016-01-15,1.7081
2016-01-18,1.7279
2016-01-19,1.7432
2016-01-21,1.7467
2016-01-22,1.7356
2016-01-25,1.7357
2016-01-26,1.7417
2016-01-27,1.7426
2016-01-28,1.7441
2016-01-29,1.7455
