date,exchange_rate
2013-11-03,2.6324
2013-11-04,2.6311
2013-11-05,2.6286
2013-11-06,2.6313
2013-11-07,2.631
2013-11-10,2.614
2013-11-11,2.6093
2013-11-12,2.6069
2013-11-13,2.6132
2013-11-14,2.617
2013-11-17,2.6197
2013-11-18,2.6197
2013-11-19,2.6197
2013-11-20,2.6315
2013-11-21,2.6315
2013-11-24,2.6326
2013-11-25,2.6348
2013-11-26,2.6348
2013-11-27,2.6392
2013-11-28,2.6445
2013-12-01,2.6481
2013-12-02,2.6367
2013-12-03,2.6445
2013-12-04,2.6474
2013-12-05,2.6471
2013-12-08,2.6636
2013-12-09,2.6662
2013-12-10,2.6715
2013-12-11,2.6759
2013-12-12,2.6799
2013-12-15,2.6673
2013-12-16,2.6795
2013-12-17,2.6795
2013-12-18,2.6724
2013-12-19,2.6599
2013-12-22,2.6529
2013-12-23,2.6591
2013-12-24,2.6591
2013-12-25,2.6584
2013-12-26,2.6584
2013-12-29,2.6944
2013-12-30,2.6756
2013-12-31,2.6758
2014-01-01,2.6758
2014-01-02,2.6602
2014-01-05,2.6505
2014-01-06,2.6437
2014-01-07,2.65
2014-01-08,2.6393
2014-01-09,2.6428
2014-01-12,2.642
2014-01-13,2.656
2014-01-14,2.6579
2014-01-15,2.6463
2014-01-16,2.6453
2014-01-19,2.6421
2014-01-20,2.6333
2014-01-21,2.6267
2014-01-22,2.6332
2014-01-23,2.6485
2014-01-26,2.6663
2014-01-27,2.657
2014-01-28,2.6513
2014-01-29,2.6547
2014-01-30,2.6421
2014-02-02,2.6327
2014-02-03,2.6242
2014-02-04,2.6257
2014-02-05,2.6267
2014-02-06,2.6265
2014-02-09,2.6368
2014-02-10,2.6488
2014-02-11,2.6556
2014-02-12,2.6383
2014-02-13,2.6552
2014-02-16,2.6641
2014-02-17,2.6637
2014-02-18,2.6678
2014-02-19,2.672
2014-02-20,2.6345
2014-02-23,2.6365
2014-02-24,2.6422
2014-02-25,2.6443
2014-02-26,2.6708
2014-02-27,2.6449
2014-03-02,2.6708
2014-03-03,2.6649
2014-03-04,2.6645
2014-03-05,2.6577
2014-03-06,2.6615
2014-03-09,2.6925
2014-03-10,2.6864
2014-03-11,2.682
2014-03-12,2.6858
2014-03-13,2.7025
2014-03-16,2.6889
2014-03-17,2.6895
2014-03-18,2.6982
2014-03-19,2.7508
2014-03-20,2.72
2014-03-23,2.7298
2014-03-24,2.7233
2014-03-25,2.732
2014-03-26,2.7288
2014-03-27,2.7238
