date,exchange_rate
2014-11-24,96.17
2014-11-25,96.45
2014-11-26,96.69
2014-11-27,96.41
2014-11-28,96.26
2014-12-01,96.44
2014-12-02,95.75
2014-12-03,95.14
2014-12-04,95.68
2014-12-05,94.9
2014-12-08,95.21
2014-12-09,95.66
2014-12-10,96.19
2014-12-11,95.86
2014-12-12,96.29
2014-12-15,96.17
2014-12-16,96.74
2014-12-17,95.33
2014-12-18,94.99
2014-12-19,94.52
2014-12-22,95.33
2014-12-23,94.9
2014-12-24,95.08
2014-12-25,95.26
2014-12-26,94.95
2014-12-29,94.71
2014-12-30,94.72
2014-12-31,94.24
2015-01-01,94.27
2015-01-02,93.46
2015-01-05,92.91
2015-01-06,92.45
2015-01-07,92.16
2015-01-08,91.77
2015-01-09,92.15
2015-01-12,92.13
2015-01-13,91.69
2015-01-14,91.76
2015-01-15,90.54
2015-01-16,90.09
2015-01-19,90.35
2015-01-20,89.96
2015-01-21,90.45
2015-01-22,88.2
2015-01-23,87.25
2015-01-26,87.5
2015-01-27,88.48
2015-01-28,87.79
2015-01-29,87.74
2015-01-30,87.43
2015-02-02,88.2
2015-02-03,89.25
2015-02-04,88.21
2015-02-05,89.36
2015-02-06,88.09
2015-02-09,88.19
2015-02-10,88.09
2015-02-11,88.22
2015-02-12,88.76
2015-02-13,88.62
2015-02-16,88.42
2015-02-17,88.91
2015-02-18,88.7
2015-02-19,88.53
2015-02-20,88.67
2015-02-23,88.35
2015-02-24,88.36
2015-02-25,88.54
2015-02-26,87.23
2015-02-27,87.22
2015-03-02,87.13
2015-03-03,87.09
2015-03-04,86.34
2015-03-05,85.83
2015-03-06,84.42
2015-03-09,84.36
2015-03-10,83.29
2015-03-11,82.14
2015-03-12,82.76
2015-03-13,81.82
2015-03-16,82.33
2015-03-17,82.52
2015-03-18,84.36
2015-03-19,83.1
2015-03-20,84.26
2015-03-23,85.39
2015-03-24,85.02
2015-03-25,85.41
2015-03-26,84.74
2015-03-27,84.9
2015-03-30,84.37
2015-03-31,83.65
2015-04-01,83.92
2015-04-02,84.71
2015-04-03,85.5
2015-04-06,85.19
2015-04-07,84.31
2015-04-08,84.03
2015-04-09,83.1
2015-04-10,82.57
2015-04-13,82.37
2015-04-14,82.99
2015-04-15,83.19
2015-04-16,83.78
2015-04-17,84.12
2015-04-20,83.67
2015-04-21,83.62
2015-04-22,83.53
2015-04-23,84.26
2015-04-24,84.69
2015-04-27,84.75
2015-04-28,85.5
2015-04-29,86.57
2015-04-30,87.41
2015-05-01,87.24
2015-05-04,86.84
2015-05-05,87.09
2015-05-06,88.36
2015-05-07,87.49
2015-05-08,87.18
2015-05-11,86.71
2015-05-12,87.33
2015-05-13,88.4
2015-05-14,88.74
2015-05-15,89.16
2015-05-18,88.11
2015-05-19,86.77
2015-05-20,86.41
2015-05-21,86.47
2015-05-22,85.75
2015-05-25,85.47
2015-05-26,84.75
2015-05-27,84.91
2015-05-28,85.42
2015-05-29,85.56
2015-06-01,85.07
2015-06-02,86.79
2015-06-03,87.73
2015-06-04,87.23
2015-06-05,86.51
2015-06-08,87.74
2015-06-09,87.73
2015-06-10,88.17
2015-06-11,87.48
2015-06-12,87.57
2015-06-15,87.74
2015-06-16,87.57
2015-06-17,88.16
2015-06-18,88.52
2015-06-19,88.38
2015-06-22,88.26
2015-06-23,86.97
2015-06-24,87.26
2015-06-25,87.17
2015-06-26,86.92
2015-06-29,87.33
2015-06-30,86.69
2015-07-01,85.99
2015-07-02,86.35
2015-07-03,86.57
2015-07-06,86.04
2015-07-07,85.64
2015-07-08,86.13
2015-07-09,86.08
2015-07-10,86.73
2015-07-13,85.65
2015-07-14,85.69
2015-07-15,85.21
2015-07-16,84.54
2015-07-17,84.2
2015-07-20,84.21
2015-07-21,85.03
2015-07-22,85.06
2015-07-23,85.46
2015-07-24,85.44
2015-07-27,86.22
2015-07-28,86.01
2015-07-29,85.43
2015-07-30,85.1
2015-07-31,85.52
2015-08-03,85.32
2015-08-04,84.79
2015-08-05,84.9
2015-08-06,85.08
2015-08-07,85.36
2015-08-10,85.76
2015-08-11,85.88
2015-08-12,86.84
2015-08-13,86.84
2015-08-14,86.46
2015-08-17,86.22
2015-08-18,85.84
2015-08-19,86.55
2015-08-20,87.46
2015-08-21,88.63
2015-08-24,90.24
2015-08-25,89.75
2015-08-26,88.23
2015-08-27,87.53
2015-08-28,87.05
2015-08-31,87.35
2015-09-01,87.98
2015-09-02,87.32
2015-09-03,86.58
2015-09-04,86.82
2015-09-07,86.96
2015-09-08,87.27
2015-09-09,87.33
2015-09-10,87.9
2015-09-11,88.3
2015-09-14,88.05
2015-09-15,87.63
2015-09-16,87.91
2015-09-17,88.94
2015-09-18,88.07
2015-09-21,87.1
2015-09-22,86.65
2015-09-23,87.09
2015-09-24,87.02
2015-09-25,87.13
2015-09-28,87.48
2015-09-29,87.5
2015-09-30,86.98
2015-10-01,87.12
2015-10-02,87.29
2015-10-05,87.12
2015-10-06,87.68
