date,exchange_rate
2014-11-10,1.9529
2014-11-11,1.9561
2014-11-12,1.9544
2014-11-13,1.9553
2014-11-14,1.9509
2014-11-17,1.9518
2014-11-18,1.9558
2014-11-19,1.9569
2014-11-20,1.958
2014-11-21,1.954
2014-11-24,1.955
2014-11-25,1.9535
2014-11-26,1.9571
2014-11-27,1.9554
2014-11-28,1.9546
2014-12-01,1.956
2014-12-02,1.9527
2014-12-03,1.9521
2014-12-04,1.9657
2014-12-05,1.9454
2014-12-08,1.9579
2014-12-09,1.9586
2014-12-10,1.9551
2014-12-11,1.9523
2014-12-12,1.9547
2014-12-15,1.9559
2014-12-16,1.9534
2014-12-17,1.9565
2014-12-18,1.9545
2014-12-19,1.9555
2014-12-22,1.9549
2014-12-23,1.9499
2014-12-24,1.9561
2014-12-25,1.9558
2014-12-26,1.9558
2014-12-30,1.9561
2014-12-31,1.9562
2015-01-01,1.9558
2015-01-02,1.9558
2015-01-05,1.9577
2015-01-06,1.9545
2015-01-07,1.9551
2015-01-08,1.9577
2015-01-09,1.9493
2015-01-12,1.9567
2015-01-13,1.9521
2015-01-14,1.9625
2015-01-15,1.9478
2015-01-16,1.9523
2015-01-19,1.9568
2015-01-20,1.9557
2015-01-21,1.9617
2015-01-22,1.948
2015-01-23,1.948
2015-01-26,1.9562
2015-01-27,1.9644
2015-01-28,1.9597
2015-01-29,1.958
2015-01-30,1.9558
2015-02-02,1.9559
2015-02-03,1.9634
2015-02-04,1.9526
2015-02-05,1.9583
2015-02-06,1.948
2015-02-09,1.9617
2015-02-10,1.9558
2015-02-11,1.954
2015-02-12,1.9587
2015-02-13,1.9574
2015-02-16,1.9548
2015-02-17,1.9537
2015-02-18,1.9555
2015-02-19,1.9524
2015-02-20,1.9539
2015-02-23,1.959
2015-02-24,1.9528
2015-02-25,1.9547
2015-02-26,1.9446
2015-02-27,1.9461
2015-03-02,1.9552
2015-03-03,1.9538
2015-03-04,1.9538
2015-03-05,1.945
2015-03-06,1.9409
2015-03-09,1.9536
2015-03-10,1.9563
2015-03-11,1.9573
2015-03-12,1.9519
2015-03-13,1.9442
2015-03-16,1.948
2015-03-17,1.9542
2015-03-18,1.9576
2015-03-19,1.9534
2015-03-20,1.9588
2015-03-23,1.9565
2015-03-24,1.9472
2015-03-25,1.9524
2015-03-26,1.9446
2015-03-27,1.9596
2015-03-30,1.9547
2015-03-31,1.9507
2015-04-01,1.9581
