date,exchange_rate
2023-10-28,0.397966
2023-10-30,0.397915
2023-10-31,0.399501
2023-11-01,0.399149
2023-11-02,0.400174
2023-11-03,0.401535
2023-11-04,0.401535
2023-11-05,0.401238
2023-11-06,0.404082
2023-11-07,0.403338
2023-11-08,0.403819
2023-11-09,0.402174
2023-11-10,0.403939
2023-11-12,0.402467
2023-11-13,0.402493
2023-11-14,0.410194
2023-11-15,0.409026
2023-11-16,0.409134
2023-11-17,0.411467
2023-11-18,0.409685
2023-11-19,0.409417
2023-11-20,0.412354
2023-11-21,0.411169
2023-11-22,0.410346
2023-11-23,0.411004
2023-11-24,0.413666
2023-11-25,0.411353
2023-11-26,0.411182
2023-11-27,0.412689
2023-11-28,0.414364
2023-11-29,0.413603
2023-11-30,0.410342
2023-12-01,0.412308
2023-12-02,0.410407
2023-12-03,0.41051
2023-12-04,0.40829
2023-12-05,0.407009
2023-12-06,0.406038
2023-12-07,0.406953
2023-12-08,0.405673
2023-12-09,0.4065
2023-12-10,0.4063
2023-12-11,0.405609
2023-12-12,0.40684
2023-12-13,0.409943
2023-12-14,0.414415
2023-12-15,0.410688
2023-12-16,0.413423
2023-12-17,0.413253
2023-12-18,0.411786
2023-12-19,0.413914
2023-12-20,0.41223
2023-12-21,0.414884
2023-12-22,0.415047
2023-12-23,0.414996
2023-12-24,0.415596
2023-12-25,0.414019
2023-12-26,0.416344
2023-12-27,0.418627
2023-12-28,0.417139
2023-12-29,0.416089
2023-12-30,0.417364
2023-12-31,0.417366
2024-01-01,0.417444
2024-01-02,0.412464
2024-01-03,0.411548
2024-01-04,0.41263
2024-01-05,0.412232
2024-01-06,0.411257
2024-01-07,0.411257
2024-01-08,0.412901
2024-01-09,0.411894
2024-01-10,0.413291
2024-01-11,0.41343
2024-01-12,0.412887
2024-01-13,0.412686
2024-01-14,0.412687
2024-01-15,0.412828
2024-01-16,0.409794
2024-01-17,0.409877
2024-01-18,0.409487
2024-01-19,0.410516
2024-01-20,0.410366
2024-01-21,0.410367
2024-01-22,0.410212
2024-01-23,0.408828
2024-01-24,0.410367
2024-01-25,0.408079
2024-01-26,0.409302
2024-01-27,0.409867
2024-01-28,0.409866
2024-01-29,0.407794
2024-01-30,0.408853
2024-01-31,0.409458
2024-02-01,0.409881
2024-02-02,0.406898
2024-02-03,0.41027
2024-02-04,0.410271
2024-02-05,0.404774
2024-02-06,0.405258
2024-02-07,0.405853
2024-02-08,0.40612
2024-02-09,0.406597
2024-02-10,0.406116
2024-02-11,0.406116
2024-02-12,0.406081
2024-02-13,0.403505
2024-02-14,0.404389
2024-02-15,0.405907
2024-02-16,0.406318
2024-02-17,0.404684
2024-02-18,0.406304
2024-02-19,0.406321
2024-02-20,0.407386
2024-02-21,0.407526
2024-02-22,0.407862
2024-02-23,0.407736
2024-02-24,0.407892
2024-02-25,0.407893
2024-02-26,0.408716
2024-02-27,0.408912
2024-02-28,0.408416
2024-02-29,0.407164
2024-03-01,0.408674
2024-03-02,0.407655
2024-03-03,0.407657
2024-03-04,0.409055
2024-03-05,0.4089
2024-03-06,0.410677
2024-03-07,0.412386
2024-03-08,0.412083
2024-03-09,0.412161
2024-03-10,0.412164
2024-03-11,0.411548
2024-03-12,0.411703
2024-03-13,0.41282
2024-03-14,0.410326
2024-03-15,0.41044
2024-03-16,0.410905
2024-03-17,0.410905
2024-03-18,0.409586
2024-03-19,0.409401
2024-03-20,0.409839
2024-03-21,0.409252
2024-03-22,0.407329
2024-03-23,0.407767
2024-03-24,0.407767
2024-03-25,0.408345
2024-03-26,0.408269
2024-03-27,0.407837
2024-03-28,0.40691
2024-03-29,0.406736
2024-03-30,0.406633
2024-03-31,0.406633
2024-04-01,0.406728
2024-04-02,0.405789
2024-04-03,0.408269
2024-04-04,0.409338
2024-04-05,0.408385
2024-04-06,0.408434
2024-04-07,0.408434
2024-04-08,0.409268
2024-04-09,0.409105
2024-04-10,0.404921
2024-04-11,0.404048
2024-04-12,0.401323
2024-04-13,0.402278
2024-04-14,0.40123
2024-04-15,0.400814
2024-04-16,0.400224
2024-04-17,0.401429
2024-04-18,0.401543
2024-04-19,0.401519
2024-04-20,0.401354
2024-04-21,0.401354
2024-04-22,0.401416
2024-04-23,0.403425
2024-04-24,0.402717
2024-04-25,0.404149
2024-04-26,0.403044
2024-04-27,0.404442
2024-04-28,0.404442
2024-04-29,0.404167
2024-04-30,0.402477
2024-05-01,0.402624
2024-05-02,0.40354
2024-05-03,0.405837
2024-05-04,0.405636
2024-05-05,0.405636
2024-05-06,0.406048
2024-05-07,0.406087
2024-05-08,0.405444
2024-05-09,0.406032
2024-05-10,0.406251
2024-05-11,0.40666
2024-05-12,0.405944
2024-05-13,0.406817
2024-05-14,0.407733
2024-05-15,0.409308
2024-05-16,0.409857
2024-05-17,0.409803
2024-05-18,0.409858
2024-05-19,0.408658
2024-05-20,0.409446
2024-05-21,0.409174
2024-05-22,0.408359
2024-05-23,0.408066
2024-05-24,0.409009
2024-05-25,0.408649
2024-05-26,0.408649
2024-05-27,0.409359
2024-05-28,0.409995
2024-05-29,0.407459
2024-05-30,0.408839
2024-05-31,0.409073
2024-06-01,0.408364
2024-06-02,0.408364
2024-06-03,0.410549
2024-06-04,0.410059
2024-06-05,0.409441
2024-06-06,0.41018
2024-06-07,0.407213
2024-06-08,0.407578
2024-06-09,0.407578
2024-06-10,0.405026
2024-06-11,0.404474
2024-06-12,0.408852
2024-06-13,0.40571
2024-06-14,0.40326
2024-06-15,0.403062
2024-06-16,0.403362
2024-06-17,0.404165
2024-06-18,0.404701
2024-06-19,0.404863
2024-06-20,0.403802
2024-06-21,0.402778
2024-06-22,0.40261
2024-06-23,0.40301
2024-06-24,0.40436
2024-06-25,0.403324
2024-06-26,0.402702
2024-06-27,0.4039
2024-06-28,0.403569
2024-06-29,0.403613
2024-06-30,0.403713
2024-07-01,0.404731
2024-07-02,0.404434
2024-07-03,0.407553
2024-07-04,0.407374
2024-07-05,0.407762
2024-07-06,0.408643
2024-07-07,0.408643
2024-07-08,0.408453
2024-07-09,0.407724
2024-07-10,0.408098
2024-07-11,0.409879
2024-07-12,0.410665
2024-07-13,0.411265
2024-07-14,0.411265
2024-07-15,0.411363
2024-07-16,0.410121
2024-07-17,0.412143
2024-07-18,0.411129
2024-07-19,0.410212
2024-07-20,0.410243
2024-07-21,0.410243
2024-07-22,0.409895
2024-07-23,0.409064
2024-07-24,0.409509
2024-07-25,0.408636
2024-07-26,0.409518
2024-07-27,0.409001
2024-07-28,0.409001
2024-07-29,0.407675
2024-07-30,0.407395
2024-07-31,0.408651
2024-08-01,0.407277
2024-08-02,0.410849
2024-08-03,0.411265
2024-08-04,0.408065
2024-08-05,0.413878
2024-08-06,0.411735
2024-08-07,0.41162
2024-08-08,0.410593
2024-08-09,0.411931
2024-08-10,0.411645
2024-08-11,0.411208
2024-08-12,0.411821
2024-08-13,0.413012
2024-08-14,0.415993
2024-08-15,0.412888
2024-08-16,0.414573
2024-08-17,0.414362
2024-08-18,0.414362
2024-08-19,0.415786
2024-08-20,0.418496
2024-08-21,0.419019
2024-08-22,0.41973
2024-08-23,0.418565
2024-08-24,0.421767
2024-08-25,0.421767
2024-08-26,0.420362
2024-08-27,0.420425
2024-08-28,0.418856
2024-08-29,0.417737
2024-08-30,0.417027
2024-08-31,0.416294
2024-09-01,0.416294
2024-09-02,0.417054
2024-09-03,0.416771
2024-09-04,0.416651
2024-09-05,0.418514
2024-09-06,0.417496
2024-09-07,0.417727
2024-09-08,0.418627
2024-09-09,0.416301
2024-09-10,0.415127
2024-09-11,0.415226
2024-09-12,0.415927
2024-09-13,0.41815
2024-09-14,0.418092
2024-09-15,0.418092
2024-09-16,0.419302
2024-09-17,0.419763
2024-09-18,0.419302
2024-09-19,0.420584
2024-09-20,0.420783
2024-09-21,0.42042
2024-09-22,0.42042
2024-09-23,0.418777
2024-09-24,0.419297
2024-09-25,0.421306
2024-09-26,0.420214
2024-09-27,0.420788
2024-09-28,0.420474
2024-09-29,0.420474
2024-09-30,0.421516
2024-10-01,0.417864
