date,exchange_rate
2014-11-24,1934.43
2014-11-25,1939.71
2014-11-26,1928.36
2014-11-27,1922.74
2014-11-28,1938.81
2014-12-01,1939.42
2014-12-02,1925.63
2014-12-03,1897.78
2014-12-04,1908.67
2014-12-05,1891.42
2014-12-08,1900.04
2014-12-09,1924.41
2014-12-10,1935.34
2014-12-11,1928.41
2014-12-12,1944.03
2014-12-15,1934.61
2014-12-16,1945.48
2014-12-17,1917.66
2014-12-18,1909.12
2014-12-19,1901.45
2014-12-22,1882.87
2014-12-23,1892.64
2014-12-24,1878.61
2014-12-25,1882.66
2014-12-26,1876.06
2014-12-29,1890.57
2014-12-30,1882.31
2014-12-31,1873.24
2015-01-01,1873.85
2015-01-02,1880.31
2015-01-05,1855.41
2015-01-06,1846.12
2015-01-07,1840.34
2015-01-08,1824.77
2015-01-09,1840.94
2015-01-12,1839.96
2015-01-13,1831.04
2015-01-14,1841.42
2015-01-15,1808.43
2015-01-16,1790.9
2015-01-19,1805.12
2015-01-20,1801.11
2015-01-21,1806.19
2015-01-22,1761.8
2015-01-23,1759.19
2015-01-26,1748.22
2015-01-27,1762.68
2015-01-28,1753.01
2015-01-29,1761.21
2015-01-30,1738.07
2015-02-02,1762.35
2015-02-03,1783.3
2015-02-04,1763.77
2015-02-05,1784.07
2015-02-06,1759.09
2015-02-09,1762.19
2015-02-10,1759.01
2015-02-11,1769.62
2015-02-12,1782.71
2015-02-13,1781.04
2015-02-16,1775.24
2015-02-17,1774.39
2015-02-18,1772.94
2015-02-19,1769.44
2015-02-20,1755.14
2015-02-23,1763.09
2015-02-24,1763.07
2015-02-25,1766.59
2015-02-26,1740.83
2015-02-27,1751.16
2015-03-02,1738.73
2015-03-03,1738.08
2015-03-04,1719.63
2015-03-05,1701.09
2015-03-06,1686.93
2015-03-09,1678.82
2015-03-10,1648.35
2015-03-11,1644.92
2015-03-12,1665.48
2015-03-13,1633.13
2015-03-16,1643.35
2015-03-17,1647.16
2015-03-18,1669.86
2015-03-19,1658.83
2015-03-20,1681.65
2015-03-23,1720.62
2015-03-24,1696.63
2015-03-25,1697.26
2015-03-26,1678.75
2015-03-27,1687.31
2015-03-30,1692.39
2015-03-31,1678.37
2015-04-01,1662.88
2015-04-02,1691.12
2015-04-03,1692.5
2015-04-06,1716.47
2015-04-07,1682.91
2015-04-08,1669.32
2015-04-09,1643.47
2015-04-10,1632.36
2015-04-13,1643.8
2015-04-14,1656.69
2015-04-15,1660.18
2015-04-16,1673.0
2015-04-17,1696.42
2015-04-20,1662.19
2015-04-21,1677.18
2015-04-22,1666.97
2015-04-23,1676.66
2015-04-24,1688.85
2015-04-27,1677.23
2015-04-28,1694.6
2015-04-29,1730.58
2015-04-30,1729.19
2015-05-01,1725.76
2015-05-04,1719.65
2015-05-05,1738.47
2015-05-06,1773.92
2015-05-07,1752.7
2015-05-08,1733.02
2015-05-11,1744.87
2015-05-12,1743.92
2015-05-13,1765.68
2015-05-14,1773.41
2015-05-15,1780.51
2015-05-18,1751.5
2015-05-19,1733.03
2015-05-20,1725.46
2015-05-21,1725.99
2015-05-22,1712.37
2015-05-25,1706.85
2015-05-26,1679.74
2015-05-27,1695.58
2015-05-28,1712.26
2015-05-29,1712.4
2015-06-01,1698.88
2015-06-02,1733.67
2015-06-03,1769.29
2015-06-04,1743.25
2015-06-05,1733.16
2015-06-08,1758.11
2015-06-09,1755.52
2015-06-10,1759.62
2015-06-11,1740.14
2015-06-12,1736.34
2015-06-15,1760.39
2015-06-16,1765.63
2015-06-17,1754.59
2015-06-18,1760.2
2015-06-19,1801.75
2015-06-22,1751.48
2015-06-23,1724.82
2015-06-24,1748.83
2015-06-25,1756.4
2015-06-26,1736.14
2015-06-29,1753.26
2015-06-30,1722.68
2015-07-01,1710.84
2015-07-02,1784.15
2015-07-03,1720.86
2015-07-06,1774.56
2015-07-07,1803.1
2015-07-08,1809.24
2015-07-09,1810.95
2015-07-10,1791.79
2015-07-13,1798.33
2015-07-14,1805.2
2015-07-15,1789.65
2015-07-16,1777.25
2015-07-17,1739.33
2015-07-20,1775.44
2015-07-21,1788.03
2015-07-22,1782.1
2015-07-23,1801.54
2015-07-24,1767.12
2015-07-27,1711.8
2015-07-28,1707.6
2015-07-29,1710.65
2015-07-30,1695.98
2015-07-31,1702.85
2015-08-03,1695.39
2015-08-04,1695.42
2015-08-05,1713.32
2015-08-06,1691.28
2015-08-07,1699.58
2015-08-10,1724.02
2015-08-11,1728.11
2015-08-12,1726.6
2015-08-13,1719.65
2015-08-14,1716.06
2015-08-17,1712.4
2015-08-18,1706.8
2015-08-19,1719.52
2015-08-20,1731.97
2015-08-21,1773.77
2015-08-24,1792.47
2015-08-25,1786.49
2015-08-26,1745.86
2015-08-27,1753.52
2015-08-28,1730.54
2015-08-31,1735.21
2015-09-01,1750.03
2015-09-02,1731.79
2015-09-03,1717.59
2015-09-04,1723.18
2015-09-07,1741.57
2015-09-08,1730.32
2015-09-09,1736.67
2015-09-10,1764.77
2015-09-11,1746.24
2015-09-14,1760.39
2015-09-15,1740.42
2015-09-16,1747.68
2015-09-17,1786.83
2015-09-18,1746.29
2015-09-21,1724.8
2015-09-22,1739.58
2015-09-23,1727.49
2015-09-24,1736.51
2015-09-25,1728.44
2015-09-28,1738.98
2015-09-29,1733.83
2015-09-30,1729.94
2015-10-01,1725.54
2015-10-02,1730.7
2015-10-05,1742.57
2015-10-06,1757.07
2015-10-07,1733.24
2015-10-08,1738.18
2015-10-09,1750.14
2015-10-12,1751.24
2015-10-13,1787.04
2015-10-14,1782.57
2015-10-15,1777.92
2015-10-16,1767.96
2015-10-19,1754.09
2015-10-20,1752.54
2015-10-21,1740.37
2015-10-22,1715.27
2015-10-23,1706.01
2015-10-26,1710.45
2015-10-27,1704.61
2015-10-28,1687.53
2015-10-29,1701.96
2015-10-30,1712.09
2015-11-02,1695.88
2015-11-03,1708.74
2015-11-04,1677.66
2015-11-05,1686.77
2015-11-06,1669.19
2015-11-09,1660.28
2015-11-10,1660.19
2015-11-11,1658.8
2015-11-12,1680.49
2015-11-13,1664.46
2015-11-16,1647.77
2015-11-17,1666.95
2015-11-18,1645.5
2015-11-19,1661.0
2015-11-20,1657.29
2015-11-23,1647.07
2015-11-24,1659.64
2015-11-25,1637.83
2015-11-26,1635.38
2015-11-27,1632.91
2015-11-30,1629.47
2015-12-01,1640.38
2015-12-02,1663.26
2015-12-03,1703.74
2015-12-04,1678.4
2015-12-07,1673.57
2015-12-08,1681.97
2015-12-09,1701.08
2015-12-10,1690.04
2015-12-11,1692.26
2015-12-14,1709.01
2015-12-15,1710.72
2015-12-16,1710.29
2015-12-17,1672.84
2015-12-18,1688.53
2015-12-21,1699.36
2015-12-22,1713.66
2015-12-23,1687.05
2015-12-24,1716.89
2015-12-25,1684.69
2015-12-28,1692.04
2015-12-29,1698.26
2015-12-30,1682.05
2015-12-31,1690.11
2016-01-01,1671.44
2016-01-04,1668.75
2016-01-05,1660.29
