date,exchange_rate
2014-11-24,1.2428
2014-11-25,1.2462
2014-11-26,1.2494
2014-11-27,1.2448
2014-11-28,1.2441
2014-12-01,1.246
2014-12-02,1.2371
2014-12-03,1.2296
2014-12-04,1.2366
2014-12-05,1.2274
2014-12-08,1.2302
2014-12-09,1.2364
2014-12-10,1.2435
2014-12-11,1.239
2014-12-12,1.245
2014-12-15,1.243
2014-12-16,1.2499
2014-12-17,1.2321
2014-12-18,1.2274
2014-12-19,1.2217
2014-12-22,1.2215
2014-12-23,1.216
2014-12-24,1.2187
2014-12-25,1.2209
2014-12-26,1.2171
2014-12-29,1.2146
2014-12-30,1.2144
2014-12-31,1.2085
2015-01-01,1.2089
2015-01-02,1.1988
2015-01-05,1.192
2015-01-06,1.186
2015-01-07,1.1823
2015-01-08,1.1776
2015-01-09,1.1827
2015-01-12,1.1819
2015-01-13,1.1764
2015-01-14,1.1777
2015-01-15,1.1618
2015-01-16,1.1557
2015-01-19,1.1591
2015-01-20,1.1542
2015-01-21,1.1604
2015-01-22,1.1347
2015-01-23,1.1193
2015-01-26,1.1225
2015-01-27,1.136
2015-01-28,1.1262
2015-01-29,1.1314
2015-01-30,1.1274
2015-02-02,1.1322
2015-02-03,1.1457
2015-02-04,1.1321
2015-02-05,1.1461
2015-02-06,1.1301
2015-02-09,1.1313
2015-02-10,1.1304
2015-02-11,1.1318
2015-02-12,1.1387
2015-02-13,1.1369
2015-02-16,1.1333
2015-02-17,1.1399
2015-02-18,1.139
2015-02-19,1.1353
2015-02-20,1.1371
2015-02-23,1.1327
2015-02-24,1.1328
2015-02-25,1.1351
2015-02-26,1.1183
2015-02-27,1.1178
2015-03-02,1.1169
2015-03-03,1.1167
2015-03-04,1.1068
2015-03-05,1.102
2015-03-06,1.0837
2015-03-09,1.0833
2015-03-10,1.0678
2015-03-11,1.054
2015-03-12,1.061
2015-03-13,1.0491
2015-03-16,1.0557
2015-03-17,1.0581
2015-03-18,1.0822
2015-03-19,1.0656
2015-03-20,1.0803
2015-03-23,1.0948
2015-03-24,1.0899
2015-03-25,1.0953
2015-03-26,1.0864
2015-03-27,1.0885
2015-03-30,1.0816
2015-03-31,1.0726
2015-04-01,1.0758
2015-04-02,1.0864
2015-04-03,1.0955
2015-04-06,1.0923
2015-04-07,1.0811
2015-04-08,1.0772
2015-04-09,1.0652
2015-04-10,1.0588
2015-04-13,1.0559
2015-04-14,1.0639
2015-04-15,1.0665
2015-04-16,1.0747
2015-04-17,1.0794
2015-04-20,1.0726
2015-04-21,1.0725
2015-04-22,1.0708
2015-04-23,1.0805
2015-04-24,1.0861
2015-04-27,1.0865
2015-04-28,1.0964
2015-04-29,1.1103
2015-04-30,1.12
2015-05-01,1.1187
2015-05-04,1.1135
2015-05-05,1.1168
