date,exchange_rate
2014-11-24,1.6204
2014-11-25,1.6248
2014-11-26,1.6252
2014-11-27,1.6205
2014-11-28,1.6214
2014-12-01,1.6271
2014-12-02,1.6205
2014-12-03,1.6132
2014-12-04,1.6225
2014-12-05,1.6225
2014-12-08,1.6255
2014-12-09,1.6262
2014-12-10,1.6334
2014-12-11,1.6269
2014-12-12,1.6311
2014-12-15,1.632
2014-12-16,1.6281
2014-12-17,1.606
2014-12-18,1.6137
2014-12-19,1.6056
2014-12-22,1.6115
2014-12-23,1.6079
2014-12-24,1.6128
2014-12-25,1.6162
2014-12-26,1.6106
2014-12-29,1.608
2014-12-30,1.6056
2014-12-31,1.5979
2015-01-01,1.5984
2015-01-02,1.5947
2015-01-05,1.5921
2015-01-06,1.5843
2015-01-07,1.5859
2015-01-08,1.5776
2015-01-09,1.5833
2015-01-12,1.5797
2015-01-13,1.57
2015-01-14,1.5703
2015-01-15,1.5448
2015-01-16,1.5323
2015-01-19,1.5448
2015-01-20,1.5444
2015-01-21,1.5493
2015-01-22,1.4831
2015-01-23,1.5045
2015-01-26,1.5096
2015-01-27,1.5231
2015-01-28,1.5238
2015-01-29,1.5318
2015-01-30,1.5269
2015-02-02,1.5306
2015-02-03,1.5441
2015-02-04,1.5247
2015-02-05,1.5423
2015-02-06,1.5243
2015-02-09,1.533
2015-02-10,1.5326
2015-02-11,1.5396
2015-02-12,1.5473
2015-02-13,1.5431
2015-02-16,1.539
2015-02-17,1.5448
2015-02-18,1.5494
2015-02-19,1.5433
2015-02-20,1.5463
2015-02-23,1.5395
2015-02-24,1.5378
2015-02-25,1.5382
2015-02-26,1.5115
2015-02-27,1.5226
2015-03-02,1.5232
2015-03-03,1.5223
2015-03-04,1.5135
2015-03-05,1.5091
2015-03-06,1.4908
2015-03-09,1.4946
2015-03-10,1.4829
2015-03-11,1.4613
2015-03-12,1.4636
2015-03-13,1.4573
2015-03-16,1.4678
2015-03-17,1.4705
2015-03-18,1.5056
2015-03-19,1.4779
2015-03-20,1.4934
2015-03-23,1.5022
2015-03-24,1.4838
2015-03-25,1.4969
2015-03-26,1.4846
2015-03-27,1.49
2015-03-30,1.4869
2015-03-31,1.4724
2015-04-01,1.4695
2015-04-02,1.4745
2015-04-03,1.4773
2015-04-06,1.4754
2015-04-07,1.4686
2015-04-08,1.459
2015-04-09,1.4454
2015-04-10,1.4454
2015-04-13,1.4503
2015-04-14,1.4475
2015-04-15,1.4501
2015-04-16,1.4549
2015-04-17,1.453
2015-04-20,1.4474
2015-04-21,1.4495
2015-04-22,1.4415
2015-04-23,1.4575
2015-04-24,1.4488
2015-04-27,1.4487
2015-04-28,1.4493
2015-04-29,1.4658
2015-04-30,1.4878
2015-05-01,1.4855
2015-05-04,1.4817
2015-05-05,1.4925
2015-05-06,1.5032
2015-05-07,1.4971
2015-05-08,1.4856
2015-05-11,1.4871
2015-05-12,1.4986
2015-05-13,1.5028
2015-05-14,1.502
2015-05-15,1.5177
