date,exchange_rate
2014-11-24,8.47
2014-11-25,8.5
2014-11-26,8.52
2014-11-27,8.49
2014-11-28,8.48
2014-12-01,8.49
2014-12-02,8.43
2014-12-03,8.38
2014-12-04,8.43
2014-12-05,8.36
2014-12-08,8.38
2014-12-09,8.43
2014-12-10,8.48
2014-12-11,8.44
2014-12-12,8.49
2014-12-15,8.47
2014-12-16,8.52
2014-12-17,8.4
2014-12-18,8.36
2014-12-19,8.33
2014-12-22,8.32
2014-12-23,8.29
2014-12-24,8.3
2014-12-25,8.32
2014-12-26,8.29
2014-12-29,8.28
2014-12-30,8.28
2014-12-31,8.23
2015-01-01,8.24
2015-01-02,8.17
2015-01-05,8.12
2015-01-06,8.08
2015-01-07,8.05
2015-01-08,8.02
2015-01-09,8.06
2015-01-12,8.05
2015-01-13,8.01
2015-01-14,8.02
2015-01-15,7.91
2015-01-16,7.87
2015-01-19,7.9
2015-01-20,7.86
2015-01-21,7.9
2015-01-22,7.7
2015-01-23,7.62
2015-01-26,7.64
2015-01-27,7.73
2015-01-28,7.67
2015-01-29,7.7
2015-01-30,7.67
2015-02-02,7.71
2015-02-03,7.8
2015-02-04,7.71
2015-02-05,7.8
2015-02-06,7.69
2015-02-09,7.7
2015-02-10,7.69
2015-02-11,7.7
2015-02-12,7.75
2015-02-13,7.73
2015-02-16,7.71
2015-02-17,7.76
2015-02-18,7.75
2015-02-19,7.73
2015-02-20,7.74
2015-02-23,7.71
2015-02-24,7.7
2015-02-25,7.73
2015-02-26,7.61
2015-02-27,7.61
2015-03-02,7.6
2015-03-03,7.6
2015-03-04,7.53
2015-03-05,7.5
2015-03-06,7.37
2015-03-09,7.37
2015-03-10,7.26
2015-03-11,7.16
2015-03-12,7.22
2015-03-13,7.13
2015-03-16,7.18
2015-03-17,7.18
2015-03-18,7.36
2015-03-19,7.25
2015-03-20,7.35
2015-03-23,7.45
2015-03-24,7.41
2015-03-25,7.45
2015-03-26,7.39
2015-03-27,7.4
2015-03-30,7.35
2015-03-31,7.3
2015-04-01,7.31
2015-04-02,7.39
2015-04-03,7.46
2015-04-06,7.43
2015-04-07,7.35
2015-04-08,7.32
2015-04-09,7.25
2015-04-10,7.2
2015-04-13,7.17
2015-04-14,7.24
2015-04-15,7.25
2015-04-16,7.31
2015-04-17,7.34
2015-04-20,7.3
2015-04-21,7.28
2015-04-22,7.27
2015-04-23,7.34
2015-04-24,7.37
2015-04-27,7.38
2015-04-28,7.46
2015-04-29,7.56
2015-04-30,7.62
2015-05-01,7.6
2015-05-04,7.57
2015-05-05,7.59
2015-05-06,7.7
2015-05-07,7.65
2015-05-08,7.61
2015-05-11,7.57
2015-05-12,7.63
2015-05-13,7.71
2015-05-14,7.76
2015-05-15,7.78
2015-05-18,7.69
2015-05-19,7.57
2015-05-20,7.54
2015-05-21,7.55
2015-05-22,7.48
2015-05-25,7.46
2015-05-26,7.39
2015-05-27,7.41
2015-05-28,7.44
2015-05-29,7.47
2015-06-01,7.42
2015-06-02,7.57
2015-06-03,7.65
2015-06-04,7.61
2015-06-05,7.55
2015-06-08,7.66
2015-06-09,7.66
2015-06-10,7.69
2015-06-11,7.63
2015-06-12,7.65
2015-06-15,7.65
2015-06-16,7.64
2015-06-17,7.7
2015-06-18,7.72
2015-06-19,7.7
2015-06-22,7.7
2015-06-23,7.58
2015-06-24,7.6
2015-06-25,7.6
2015-06-26,7.58
2015-06-29,7.61
2015-06-30,7.55
2015-07-01,7.49
2015-07-02,7.52
2015-07-03,7.53
2015-07-06,7.5
2015-07-07,7.47
2015-07-08,7.5
2015-07-09,7.49
2015-07-10,7.56
2015-07-13,7.47
2015-07-14,7.48
2015-07-15,7.42
