date,exchange_rate
2023-10-28,5.304153
2023-10-30,5.357843
2023-10-31,5.327794
2023-11-01,5.244326
2023-11-02,5.259171
2023-11-03,5.261798
2023-11-04,5.276564
2023-11-05,5.257474
2023-11-06,5.237329
2023-11-07,5.213039
2023-11-08,5.25901
2023-11-09,5.264402
2023-11-10,5.256383
2023-11-12,5.256919
2023-11-13,5.254243
2023-11-14,5.295021
2023-11-15,5.275488
2023-11-16,5.27857
2023-11-17,5.355496
2023-11-18,5.355496
2023-11-19,5.282355
2023-11-20,5.309299
2023-11-21,5.347586
2023-11-22,5.342137
2023-11-23,5.347962
2023-11-24,5.368206
2023-11-25,5.367768
2023-11-26,5.365529
2023-11-27,5.364482
2023-11-28,5.357302
2023-11-29,5.381581
2023-11-30,5.363242
2023-12-01,5.31627
2023-12-02,5.359669
2023-12-03,5.361015
2023-12-04,5.356549
2023-12-05,5.323213
2023-12-06,5.278209
2023-12-07,5.302278
2023-12-08,5.307895
2023-12-09,5.292496
2023-12-10,5.289897
2023-12-11,5.31452
2023-12-12,5.357504
2023-12-13,5.349791
2023-12-14,5.404499
2023-12-15,5.37942
2023-12-16,5.39109
2023-12-17,5.388877
2023-12-18,5.349283
2023-12-19,5.345619
2023-12-20,5.378929
2023-12-21,5.369629
2023-12-22,5.350336
2023-12-23,5.357039
2023-12-24,5.357035
2023-12-25,5.385484
2023-12-26,5.316521
2023-12-27,5.365102
2023-12-28,5.372788
2023-12-29,5.356467
2023-12-30,5.374243
2023-12-31,5.364239
2024-01-01,5.361937
2024-01-02,5.384935
2024-01-03,5.371764
2024-01-04,5.370925
2024-01-05,5.333831
2024-01-06,5.339981
2024-01-07,5.343147
2024-01-08,5.336601
2024-01-09,5.361974
2024-01-10,5.363289
2024-01-11,5.347402
2024-01-12,5.320127
2024-01-13,5.322059
2024-01-14,5.32207
2024-01-15,5.329186
2024-01-16,5.358923
2024-01-17,5.361258
2024-01-18,5.356403
2024-01-19,5.367266
2024-01-20,5.382033
2024-01-21,5.381964
2024-01-22,5.426299
2024-01-23,5.374872
2024-01-24,5.369937
2024-01-25,5.328269
2024-01-26,5.333331
2024-01-27,5.339579
2024-01-28,5.33957
2024-01-29,5.355689
2024-01-30,5.363156
2024-01-31,5.351911
2024-02-01,5.34506
2024-02-02,5.361817
2024-02-03,5.369754
2024-02-04,5.369756
2024-02-05,5.350136
2024-02-06,5.335999
2024-02-07,5.351082
2024-02-08,5.380317
2024-02-09,5.347526
2024-02-10,5.342251
2024-02-11,5.343328
2024-02-12,5.336497
2024-02-13,5.303298
2024-02-14,5.331016
2024-02-15,5.351002
2024-02-16,5.353368
2024-02-17,5.353346
2024-02-18,5.353351
2024-02-19,5.347678
2024-02-20,5.32719
2024-02-21,5.343474
2024-02-22,5.357474
2024-02-23,5.398579
2024-02-24,5.411518
2024-02-25,5.411518
2024-02-26,5.400151
2024-02-27,5.353053
2024-02-28,5.391141
2024-02-29,5.37105
2024-03-01,5.369764
2024-03-02,5.376174
2024-03-03,5.376198
2024-03-04,5.371385
2024-03-05,5.379502
2024-03-06,5.389196
2024-03-07,5.399124
2024-03-08,5.447213
2024-03-09,5.450802
2024-03-10,5.450838
2024-03-11,5.433185
2024-03-12,5.426004
2024-03-13,5.44544
2024-03-14,5.430648
2024-03-15,5.439193
2024-03-16,5.445373
2024-03-17,5.445261
2024-03-18,5.461109
2024-03-19,5.448593
2024-03-20,5.431173
2024-03-21,5.40088
2024-03-22,5.399282
2024-03-23,5.434853
2024-03-24,5.434422
2024-03-25,5.392969
2024-03-26,5.395064
2024-03-27,5.387393
2024-03-28,5.402863
2024-03-29,5.411132
2024-03-30,5.416277
2024-03-31,5.416272
2024-04-01,5.434512
2024-04-02,5.446242
2024-04-03,5.453869
2024-04-04,5.452149
2024-04-05,5.492616
2024-04-06,5.495566
2024-04-07,5.495568
2024-04-08,5.462227
2024-04-09,5.436042
2024-04-10,5.452825
2024-04-11,5.450679
2024-04-12,5.464758
2024-04-13,5.461774
2024-04-14,5.461877
2024-04-15,5.513619
2024-04-16,5.586278
2024-04-17,5.604325
2024-04-18,5.613029
2024-04-19,5.544248
2024-04-20,5.549954
2024-04-21,5.549954
2024-04-22,5.518878
2024-04-23,5.501395
2024-04-24,5.516717
2024-04-25,5.537407
2024-04-26,5.466557
2024-04-27,5.535481
2024-04-28,5.475787
2024-04-29,5.486762
2024-04-30,5.532166
2024-05-01,5.54854
2024-05-02,5.473613
2024-05-03,5.457656
2024-05-04,5.46389
2024-05-05,5.46389
2024-05-06,5.461681
2024-05-07,5.454175
2024-05-08,5.468185
2024-05-09,5.553976
2024-05-10,5.55763
2024-05-11,5.562654
2024-05-12,5.562654
2024-05-13,5.570029
2024-05-14,5.548189
2024-05-15,5.570747
2024-05-16,5.577681
2024-05-17,5.553325
2024-05-18,5.561152
2024-05-19,5.558231
2024-05-20,5.539118
2024-05-21,5.555755
2024-05-22,5.576845
2024-05-23,5.575092
2024-05-24,5.589363
2024-05-25,5.577874
2024-05-26,5.577874
2024-05-27,5.61902
2024-05-28,5.60483
2024-05-29,5.623567
2024-05-30,5.643655
2024-05-31,5.684724
2024-06-01,5.695669
2024-06-02,5.695669
2024-06-03,5.702242
2024-06-04,5.75276
2024-06-05,5.743684
2024-06-06,5.720329
2024-06-07,5.697201
2024-06-08,5.72459
2024-06-09,5.78034
2024-06-10,5.761678
2024-06-11,5.746783
2024-06-12,5.864469
2024-06-13,5.780318
2024-06-14,5.729508
2024-06-15,5.735638
2024-06-16,5.76438
2024-06-17,5.815151
2024-06-18,5.801701
2024-06-19,5.872154
2024-06-20,5.832287
2024-06-21,5.819286
2024-06-22,5.825946
2024-06-23,5.814398
