date,exchange_rate
2014-11-24,1.2432
2014-11-25,1.2466
2014-11-26,1.2496
2014-11-27,1.246
2014-11-28,1.2444
2014-12-01,1.2464
2014-12-02,1.2376
2014-12-03,1.2299
2014-12-04,1.237
2014-12-05,1.2274
2014-12-08,1.2306
2014-12-09,1.2368
2014-12-10,1.2438
2014-12-11,1.2393
2014-12-12,1.2452
2014-12-15,1.2432
2014-12-16,1.2503
2014-12-17,1.2324
2014-12-18,1.2277
2014-12-19,1.222
2014-12-22,1.2218
2014-12-23,1.2163
2014-12-24,1.2191
2014-12-25,1.2217
2014-12-26,1.2174
2014-12-29,1.2177
2014-12-30,1.2174
2014-12-31,1.2116
2015-01-01,1.212
2015-01-02,1.1988
2015-01-05,1.195
2015-01-06,1.189
2015-01-07,1.1853
2015-01-08,1.1806
2015-01-09,1.1857
2015-01-12,1.185
2015-01-13,1.1793
2015-01-14,1.1807
2015-01-15,1.1647
2015-01-16,1.1586
2015-01-19,1.1626
2015-01-20,1.157
2015-01-21,1.1633
2015-01-22,1.1347
2015-01-23,1.1221
2015-01-26,1.1259
2015-01-27,1.1389
2015-01-28,1.129
2015-01-29,1.1343
2015-01-30,1.1303
2015-02-02,1.135
2015-02-03,1.1485
2015-02-04,1.1359
2015-02-05,1.149
2015-02-06,1.1329
2015-02-09,1.1341
2015-02-10,1.1329
2015-02-11,1.1346
2015-02-12,1.1415
2015-02-13,1.1397
2015-02-16,1.1367
2015-02-17,1.1428
2015-02-18,1.1418
2015-02-19,1.1381
2015-02-20,1.1399
2015-02-23,1.1355
2015-02-24,1.1355
2015-02-25,1.1377
2015-02-26,1.1211
2015-02-27,1.1066
2015-03-02,1.1198
2015-03-03,1.1194
2015-03-04,1.1096
2015-03-05,1.1048
2015-03-06,1.0864
2015-03-09,1.0861
2015-03-10,1.0705
2015-03-11,1.0559
2015-03-12,1.0637
2015-03-13,1.0517
2015-03-16,1.0583
2015-03-17,1.0607
2015-03-18,1.0845
2015-03-19,1.0683
2015-03-20,1.083
2015-03-23,1.0975
2015-03-24,1.0926
2015-03-25,1.098
2015-03-26,1.0888
2015-03-27,1.0912
2015-03-30,1.0843
2015-03-31,1.0753
2015-04-01,1.0785
2015-04-02,1.0891
2015-04-03,1.0992
2015-04-06,1.0949
2015-04-07,1.0838
2015-04-08,1.0799
2015-04-09,1.068
2015-04-10,1.0615
2015-04-13,1.0586
2015-04-14,1.0669
2015-04-15,1.0691
2015-04-16,1.0774
2015-04-17,1.0821
2015-04-20,1.0753
2015-04-21,1.0753
2015-04-22,1.0735
2015-04-23,1.0836
2015-04-24,1.0876
2015-04-27,1.0892
2015-04-28,1.0991
2015-04-29,1.1131
2015-04-30,1.1245
2015-05-01,1.1215
2015-05-04,1.1161
2015-05-05,1.1196
2015-05-06,1.1359
2015-05-07,1.1273
2015-05-08,1.1211
2015-05-11,1.1165
2015-05-12,1.1231
2015-05-13,1.1372
2015-05-14,1.1421
2015-05-15,1.1467
2015-05-18,1.1331
2015-05-19,1.1161
2015-05-20,1.1112
