date,exchange_rate
2023-10-28,3.103477e-05
2023-10-30,3.0779751e-05
2023-10-31,3.0547771e-05
2023-11-01,2.9875087e-05
2023-11-02,3.0469166e-05
2023-11-03,3.096427e-05
2023-11-04,3.0720463e-05
2023-11-05,3.039867e-05
2023-11-06,3.0613078e-05
2023-11-07,3.0248986e-05
2023-11-08,2.9906031e-05
2023-11-09,2.9140483e-05
2023-11-10,2.9268732e-05
2023-11-12,2.8901684e-05
2023-11-13,2.8985013e-05
2023-11-14,3.0550628e-05
2023-11-15,2.8765427e-05
2023-11-16,2.9970139e-05
2023-11-17,2.9900579e-05
2023-11-18,2.987304e-05
2023-11-19,2.9545994e-05
2023-11-20,2.9188641e-05
2023-11-21,2.969488e-05
2023-11-22,2.916091e-05
2023-11-23,2.9286363e-05
2023-11-24,2.9242319e-05
2023-11-25,2.9263163e-05
2023-11-26,2.9225657e-05
2023-11-27,2.9527386e-05
2023-11-28,2.9105921e-05
2023-11-29,2.9174663e-05
2023-11-30,2.8936337e-05
2023-12-01,2.8356396e-05
2023-12-02,2.8100901e-05
2023-12-03,2.77191e-05
2023-12-04,2.6547565e-05
2023-12-05,2.4381163e-05
2023-12-06,2.4521257e-05
2023-12-07,2.4878637e-05
2023-12-08,2.4231292e-05
2023-12-09,2.45034e-05
2023-12-10,2.4535822e-05
2023-12-11,2.6120199e-05
2023-12-12,2.6246957e-05
2023-12-13,2.5297274e-05
2023-12-14,2.5574412e-05
2023-12-15,2.5822541e-05
2023-12-16,2.5819392e-05
2023-12-17,2.6016216e-05
2023-12-18,2.5761519e-05
2023-12-19,2.5872788e-05
2023-12-20,2.5089717e-05
2023-12-21,2.5128038e-05
2023-12-22,2.5199296e-05
2023-12-23,2.5180665e-05
2023-12-24,2.5321633e-05
2023-12-25,2.5346184e-05
2023-12-26,2.6121407e-05
2023-12-27,2.5608334e-05
2023-12-28,2.6008182e-05
2023-12-29,2.6267966e-05
2023-12-30,2.6138818e-05
2023-12-31,2.5976267e-05
2024-01-01,2.5263625e-05
2024-01-02,2.4355609e-05
2024-01-03,2.5549961e-05
2024-01-04,2.5585282e-05
2024-01-05,2.4934006e-05
2024-01-06,2.4941925e-05
2024-01-07,2.4748904e-05
2024-01-08,2.330962e-05
2024-01-09,2.3386452e-05
2024-01-10,2.3938491e-05
2024-01-11,2.3375373e-05
2024-01-12,2.4965748e-05
2024-01-13,2.5550281e-05
2024-01-14,2.5660766e-05
2024-01-15,2.5431982e-05
2024-01-16,2.5180317e-05
2024-01-17,2.5521852e-05
2024-01-18,2.6407295e-05
2024-01-19,2.5948054e-05
2024-01-20,2.6156552e-05
2024-01-21,2.6157208e-05
2024-01-22,2.7081253e-05
2024-01-23,2.7610328e-05
2024-01-24,2.7310228e-05
2024-01-25,2.713797e-05
2024-01-26,2.5797199e-05
2024-01-27,2.5858345e-05
2024-01-28,2.5988846e-05
2024-01-29,2.5130959e-05
2024-01-30,2.4885265e-05
2024-01-31,2.5005708e-05
2024-02-01,2.5139581e-05
2024-02-02,2.5076819e-05
2024-02-03,2.5106791e-05
2024-02-04,2.5313812e-05
2024-02-05,2.5217936e-05
2024-02-06,2.4848855e-05
2024-02-07,2.4794482e-05
2024-02-08,2.3745782e-05
2024-02-09,2.2650711e-05
2024-02-10,2.2697445e-05
2024-02-11,2.2402017e-05
2024-02-12,2.1669374e-05
2024-02-13,2.1730651e-05
2024-02-14,2.085475e-05
2024-02-15,2.0712537e-05
2024-02-16,2.0791165e-05
2024-02-17,2.0951503e-05
2024-02-18,2.0804355e-05
2024-02-19,2.0770759e-05
2024-02-20,2.0844372e-05
2024-02-21,2.1215699e-05
2024-02-22,2.0955199e-05
2024-02-23,2.1128798e-05
2024-02-24,2.1018477e-05
2024-02-25,2.100584e-05
2024-02-26,2.0225153e-05
2024-02-27,1.8994204e-05
2024-02-28,1.7771881e-05
2024-02-29,1.7861606e-05
2024-03-01,1.7438988e-05
2024-03-02,1.7468519e-05
2024-03-03,1.7265502e-05
2024-03-04,1.629797e-05
2024-03-05,1.6988722e-05
2024-03-06,1.6267953e-05
2024-03-07,1.6152006e-05
2024-03-08,1.5903025e-05
2024-03-09,1.5988119e-05
2024-03-10,1.5770095e-05
2024-03-11,1.5111213e-05
2024-03-12,1.5336704e-05
2024-03-13,1.4970446e-05
2024-03-14,1.5411224e-05
2024-03-15,1.5730393e-05
2024-03-16,1.6264329e-05
2024-03-17,1.592374e-05
