date,exchange_rate
2014-11-24,75.28
2014-11-25,75.54
2014-11-26,75.88
2014-11-27,76.05
2014-11-28,75.68
2014-12-01,75.91
2014-12-02,76.11
2014-12-03,75.36
2014-12-04,74.88
2014-12-08,74.64
2014-12-09,74.9
2014-12-10,75.32
2014-12-11,75.84
2014-12-12,75.89
2014-12-15,76.22
2014-12-16,76.93
2014-12-18,76.98
2014-12-19,76.31
2014-12-22,75.88
2014-12-23,76.01
2014-12-24,75.92
2014-12-25,76.17
2014-12-26,76.25
2014-12-29,76.23
2014-12-30,76.0
2014-12-31,75.92
2015-01-02,74.93
2015-01-05,74.29
2015-01-06,74.3
2015-01-07,73.92
2015-01-08,73.62
2015-01-09,72.74
2015-01-12,72.61
2015-01-13,72.41
2015-01-14,71.86
2015-01-15,71.99
2015-01-16,70.38
2015-01-19,70.26
2015-01-21,70.12
2015-01-23,68.85
2015-01-26,67.53
2015-01-27,67.93
2015-01-30,68.44
2015-02-02,68.74
2015-02-03,68.83
2015-02-04,69.56
2015-02-05,68.97
2015-02-06,69.61
2015-02-09,68.79
2015-02-11,68.97
2015-02-12,69.16
2015-02-13,69.97
2015-02-16,69.68
2015-02-17,69.41
2015-02-19,69.77
2015-02-24,69.32
2015-02-25,69.42
2015-02-26,69.3
2015-02-27,68.09
2015-03-05,67.5
2015-03-06,67.39
2015-03-10,66.17
2015-03-11,65.77
2015-03-12,64.77
2015-03-13,65.23
2015-03-17,65.23
2015-03-18,65.3
2015-03-19,66.4
2015-03-20,65.7
2015-03-23,66.41
2015-03-24,66.86
2015-03-25,66.8
2015-03-26,67.25
2015-03-27,67.01
2015-03-30,66.77
2015-03-31,66.4
2015-04-01,66.32
2015-04-02,65.93
2015-04-03,66.45
2015-04-06,67.0
2015-04-07,66.84
2015-04-08,66.46
2015-04-09,65.93
2015-04-10,65.29
2015-04-13,64.85
2015-04-14,64.79
2015-04-15,66.06
2015-04-16,65.62
2015-04-17,65.94
2015-04-20,66.09
2015-04-21,66.24
2015-04-22,66.23
2015-04-23,66.21
2015-04-24,67.02
2015-04-27,67.82
2015-04-29,68.56
2015-04-30,69.05
2015-05-01,70.09
2015-05-04,69.81
2015-05-05,69.69
2015-05-07,70.82
2015-05-08,70.83
2015-05-11,70.04
2015-05-12,70.14
2015-05-13,70.98
2015-05-14,71.52
2015-05-18,71.4
2015-05-19,70.65
2015-05-20,69.68
2015-05-21,69.73
2015-05-22,69.76
2015-05-25,68.52
2015-05-26,68.41
2015-05-27,68.3
2015-05-28,68.64
2015-05-29,68.78
2015-06-01,68.7
2015-06-03,69.92
2015-06-05,70.61
2015-06-08,69.62
2015-06-09,71.22
2015-06-10,70.9
2015-06-11,70.98
2015-06-12,70.67
2015-06-15,70.58
2015-06-16,70.99
2015-06-17,71.02
2015-06-19,71.7
2015-06-22,71.19
2015-06-23,70.38
2015-06-24,70.01
2015-06-25,70.14
2015-06-29,68.82
2015-06-30,70.25
2015-07-01,69.66
2015-07-02,69.2
2015-07-03,69.27
2015-07-06,68.83
2015-07-07,68.78
2015-07-08,68.59
2015-07-09,69.18
2015-07-10,69.17
2015-07-13,69.38
2015-07-14,68.59
2015-07-15,68.57
2015-07-16,68.1
2015-07-17,68.0
2015-07-21,67.48
2015-07-22,68.26
2015-07-24,68.75
2015-07-27,69.15
2015-07-28,69.81
2015-07-29,69.53
2015-07-31,68.76
2015-08-03,69.16
2015-08-04,68.75
2015-08-05,68.04
2015-08-06,68.33
2015-08-07,68.4
2015-08-10,68.76
2015-08-11,68.83
2015-08-12,69.84
2015-08-13,70.95
2015-08-14,71.31
2015-08-17,70.89
2015-08-18,71.1
2015-08-19,70.92
2015-08-20,71.31
2015-08-21,72.58
2015-08-24,74.16
2015-08-25,75.64
2015-08-26,74.87
2015-08-27,73.73
2015-08-28,72.91
2015-08-31,73.18
2015-09-01,73.49
2015-09-02,73.6
2015-09-03,73.0
2015-09-04,72.35
2015-09-07,72.82
2015-09-09,73.14
2015-09-10,73.14
2015-09-11,73.66
2015-09-14,74.14
2015-09-15,73.77
2015-09-16,73.67
2015-09-17,73.7
2015-09-18,74.1
2015-09-21,73.17
2015-09-28,72.18
2015-09-29,73.14
2015-09-30,72.98
2015-10-01,72.0
2015-10-02,72.04
2015-10-05,72.39
2015-10-06,71.67
2015-10-07,72.43
2015-10-08,71.92
2015-10-09,72.21
2015-10-12,72.39
2015-10-13,72.42
2015-10-14,72.81
2015-10-15,73.44
2015-10-16,72.46
2015-10-19,72.42
2015-10-20,72.2
2015-10-21,72.47
2015-10-23,71.13
2015-10-26,70.41
2015-10-28,70.42
2015-10-29,69.82
2015-10-30,70.24
2015-11-02,70.68
2015-11-04,70.56
2015-11-05,70.02
2015-11-06,70.3
2015-11-12,69.5
2015-11-13,70.03
2015-11-16,69.69
2015-11-17,69.01
2015-11-18,69.0
2015-11-19,69.72
2015-11-20,69.62
2015-11-23,69.08
2015-12-02,69.64
2015-12-03,69.33
2015-12-04,72.53
2015-12-07,72.11
2015-12-09,73.07
2015-12-10,73.13
2015-12-11,73.04
2015-12-14,73.15
2015-12-15,73.71
2015-12-16,73.09
2015-12-17,72.55
2015-12-18,72.41
2015-12-21,72.1
2015-12-22,72.28
2015-12-23,72.46
2015-12-24,72.23
2015-12-25,72.31
2015-12-28,72.41
2015-12-29,72.52
2015-12-30,72.43
2015-12-31,72.53
2016-01-01,71.79
