date,exchange_rate
2014-11-24,11.3686
2014-11-25,11.4573
2014-11-26,11.4493
2014-11-27,11.4435
2014-11-28,11.452
2014-12-01,11.5294
2014-12-02,11.4435
2014-12-03,11.4733
2014-12-04,11.4923
2014-12-05,11.5274
2014-12-08,11.523
2014-12-09,11.7112
2014-12-10,11.6401
2014-12-11,11.7725
2014-12-12,11.7921
2014-12-15,11.7539
2014-12-16,11.8846
2014-12-17,11.8659
2014-12-18,11.7042
2014-12-19,11.6421
2014-12-22,11.645
2014-12-23,11.6286
2014-12-24,11.6523
2014-12-29,11.6066
2014-12-30,11.61
2014-12-31,11.5607
2015-01-05,11.5032
2015-01-06,11.4457
2015-01-07,11.4393
2015-01-08,11.351
2015-01-09,11.297
2015-01-12,11.2618
2015-01-13,11.2918
2015-01-14,11.2727
2015-01-15,11.1876
2015-01-16,11.128
2015-01-19,11.0919
2015-01-20,11.1658
2015-01-21,11.1086
2015-01-22,11.137
2015-01-23,10.8179
2015-01-26,10.7752
2015-01-27,10.8687
2015-01-30,10.8811
2015-02-02,10.9291
2015-02-03,10.8785
2015-02-04,10.8843
2015-02-05,10.8834
2015-02-06,10.8478
2015-02-09,10.8829
2015-02-10,10.8844
2015-02-11,10.9429
2015-02-12,11.0299
2015-02-13,11.0295
2015-02-16,10.9999
2015-02-17,10.9448
2015-02-18,10.9821
2015-02-19,10.9953
2015-02-20,10.9202
2015-02-23,10.9196
2015-02-24,10.9284
2015-02-25,10.881
2015-02-26,10.8615
2015-02-27,10.779
2015-03-02,10.8226
2015-03-04,10.8601
2015-03-05,10.7847
2015-03-06,10.7092
2015-03-09,10.7668
2015-03-10,10.7076
2015-03-11,10.6308
2015-03-12,10.6403
2015-03-13,10.6352
2015-03-16,10.6578
2015-03-17,10.6883
2015-03-18,10.7043
2015-03-19,10.6032
2015-03-20,10.6928
2015-03-23,10.6908
2015-03-24,10.7992
2015-03-25,10.735
2015-03-26,10.8149
2015-03-27,10.6947
2015-03-30,10.7534
2015-03-31,10.683
2015-04-01,10.6411
2015-04-02,10.6667
2015-04-07,10.5999
2015-04-08,10.6476
2015-04-09,10.5693
2015-04-10,10.4901
2015-04-13,10.5234
2015-04-14,10.5651
2015-04-15,10.4988
2015-04-16,10.5561
2015-04-17,10.6806
2015-04-20,10.6406
2015-04-21,10.6376
2015-04-22,10.7178
2015-04-23,10.7375
2015-04-24,10.7974
2015-04-27,10.7315
2015-04-28,10.7414
2015-04-29,10.763
2015-04-30,10.9184
2015-05-04,10.944
2015-05-05,10.9152
2015-05-06,11.0112
2015-05-07,11.1383
2015-05-08,11.0384
2015-05-11,10.9287
2015-05-12,11.0923
2015-05-13,11.0074
2015-05-15,11.0096
2015-05-18,11.032
2015-05-19,10.9184
2015-05-20,10.8892
