date,exchange_rate
2016-07-01,2.2316
2016-07-04,2.2351
2016-07-05,2.2168
2016-07-06,2.2297
2016-07-07,2.2278
2016-07-08,2.2197
2016-07-11,2.223
2016-07-13,2.224
2016-07-14,2.2164
2016-07-15,2.2067
2016-07-18,2.204
2016-07-20,2.1789
2016-07-21,2.1822
2016-07-22,2.1722
2016-07-25,2.1864
2016-07-26,2.1847
2016-07-27,2.1995
2016-07-28,2.1924
2016-07-29,2.2225
2016-08-01,2.2093
2016-08-02,2.2157
2016-08-03,2.2062
2016-08-04,2.2132
2016-08-05,2.1934
2016-08-08,2.182
2016-08-09,2.1832
2016-08-10,2.1962
2016-08-11,2.1872
2016-08-12,2.1812
2016-08-15,2.1797
2016-08-16,2.187
2016-08-17,2.1886
2016-08-18,2.1897
2016-08-19,2.1851
2016-08-22,2.1892
2016-08-23,2.1917
2016-08-24,2.1954
2016-08-25,2.2105
2016-08-26,2.1824
2016-08-29,2.1916
2016-08-30,2.1829
2016-08-31,2.1859
2016-09-01,2.1933
2016-09-02,2.1851
2016-09-05,2.2004
2016-09-06,2.203
2016-09-07,2.1911
2016-09-08,2.1839
2016-09-09,2.177
2016-09-12,2.201
2016-09-13,2.1969
2016-09-14,2.192
2016-09-15,2.1922
2016-09-16,2.1746
2016-09-19,2.1785
2016-09-20,2.1736
2016-09-21,2.181
2016-09-22,2.1624
2016-09-23,2.1659
2016-09-26,2.1705
2016-09-27,2.1523
2016-09-28,2.1637
2016-09-29,2.1592
2016-09-30,2.1628
2016-10-03,2.1459
2016-10-04,2.1502
2016-10-05,2.1507
2016-10-06,2.133
2016-10-07,2.1441
2016-10-10,2.1314
2016-10-11,2.11
2016-10-12,2.1122
2016-10-13,2.1318
2016-10-14,2.1103
2016-10-17,2.1171
2016-10-18,2.1008
2016-10-19,2.0943
2016-10-20,2.0863
2016-10-21,2.0714
2016-10-24,2.0644
2016-10-25,2.0624
2016-10-26,2.0708
2016-10-27,2.0796
2016-10-28,2.0967
2016-10-31,2.0889
2016-11-01,2.0994
2016-11-02,2.1075
2016-11-03,2.1143
2016-11-04,2.1224
2016-11-07,2.1964
2016-11-08,2.0914
2016-11-09,2.0732
2016-11-10,2.0726
2016-11-11,2.1045
2016-11-14,2.0989
2016-11-15,2.0895
2016-11-16,2.0841
2016-11-17,2.0601
2016-11-18,2.0632
2016-11-21,2.0722
2016-11-22,2.0597
2016-11-23,2.0457
2016-11-24,2.0466
2016-11-25,2.0642
2016-11-28,2.0787
2016-11-29,2.0967
2016-11-30,2.0907
2016-12-01,2.0882
2016-12-02,2.0953
2016-12-05,2.1137
2016-12-06,2.1052
2016-12-07,2.1175
2016-12-08,2.089
2016-12-09,2.0792
2016-12-12,2.0941
2016-12-13,2.0925
2016-12-14,2.0733
2016-12-15,2.0623
2016-12-16,2.068
2016-12-19,2.0479
2016-12-20,2.0454
2016-12-21,2.053
2016-12-22,2.0548
2016-12-23,2.0572
2016-12-26,2.0589
2016-12-27,2.0695
2016-12-28,2.0598
2016-12-29,2.0751
2016-12-30,2.0814
2017-01-02,2.071
2017-01-03,2.0591
2017-01-04,2.0756
2017-01-05,2.0984
2017-01-06,2.0837
2017-01-09,2.0945
2017-01-10,2.0893
2017-01-11,2.0941
2017-01-12,2.1
2017-01-13,2.0741
2017-01-16,2.0708
2017-01-17,2.0821
2017-01-18,2.0668
2017-01-19,2.0722
2017-01-20,2.0805
2017-01-23,2.0773
2017-01-24,2.0646
2017-01-25,2.0623
2017-01-26,2.0599
2017-01-27,2.0636
2017-01-30,2.0628
2017-01-31,2.0818
2017-02-01,2.0766
2017-02-02,2.076
2017-02-03,2.0692
2017-02-06,2.0408
2017-02-07,2.0495
2017-02-08,2.039
2017-02-09,2.034
2017-02-10,2.0204
2017-02-13,1.9907
2017-02-14,1.982
2017-02-15,1.9706
2017-02-16,1.9839
2017-02-17,1.9833
2017-02-20,1.994
2017-02-21,1.974
2017-02-22,1.9727
2017-02-23,1.9774
2017-02-24,1.9723
2017-02-27,1.9891
2017-02-28,1.9865
2017-03-01,1.9921
2017-03-02,1.9896
2017-03-03,2.0274
2017-03-06,2.009
2017-03-07,2.007
2017-03-08,2.0018
2017-03-09,2.0198
2017-03-10,2.0373
2017-03-13,2.0334
2017-03-14,2.0249
2017-03-15,2.0487
2017-03-16,2.0349
2017-03-17,2.0226
2017-03-20,2.0176
2017-03-21,2.0196
2017-03-22,2.0286
2017-03-23,2.0256
2017-03-24,2.018
