date,exchange_rate
2014-11-24,13475.0
2014-11-25,13537.0
2014-11-26,13509.0
2014-11-27,13469.0
2014-11-28,13464.0
2014-12-01,13510.0
2014-12-02,13402.0
2014-12-03,13393.0
2014-12-04,13470.0
2014-12-05,13316.0
2014-12-08,13474.0
2014-12-09,13430.0
2014-12-10,13693.0
2014-12-11,13471.0
2014-12-12,13797.0
2014-12-15,13526.0
2014-12-16,13640.0
2014-12-17,13420.0
2014-12-18,13381.0
2014-12-19,13454.0
2014-12-22,13366.0
2014-12-23,13330.0
2014-12-24,13360.0
2014-12-25,13389.0
2014-12-26,13342.0
2014-12-29,13316.0
2014-12-30,14359.0
2014-12-31,14290.0
2015-01-01,14294.0
2015-01-02,14293.0
2015-01-05,14452.0
2015-01-06,14498.0
2015-01-07,14572.0
2015-01-08,16235.0
2015-01-09,16303.0
2015-01-12,16947.0
2015-01-13,16889.0
2015-01-14,16908.0
2015-01-15,17459.0
2015-01-16,17322.0
2015-01-19,17166.0
2015-01-20,17136.0
2015-01-21,17327.0
2015-01-22,16890.0
2015-01-23,16721.0
2015-01-26,16968.0
2015-01-27,17414.0
2015-01-28,17150.0
2015-01-29,17411.0
2015-01-30,17395.0
2015-02-02,17524.0
2015-02-03,17698.0
2015-02-04,17198.0
2015-02-05,17694.0
2015-02-06,17288.0
2015-02-09,17239.0
2015-02-10,17220.0
2015-02-11,17382.0
2015-02-12,17454.0
2015-02-13,17187.0
2015-02-16,16881.0
2015-02-17,17028.0
2015-02-18,17014.0
2015-02-19,16799.0
2015-02-20,16826.0
2015-02-23,16846.0
2015-02-24,17004.0
2015-02-25,16942.0
2015-02-26,16515.0
2015-02-27,16647.0
2015-03-02,16730.0
2015-03-03,16780.0
2015-03-04,16706.0
2015-03-05,16561.0
2015-03-06,16123.0
2015-03-09,16216.0
2015-03-10,16010.0
2015-03-11,15988.0
2015-03-12,16015.0
2015-03-13,15825.0
2015-03-16,15860.0
2015-03-17,15897.0
2015-03-18,16371.0
2015-03-19,15748.0
2015-03-20,16003.0
2015-03-23,16064.0
2015-03-24,15905.0
2015-03-25,15972.0
2015-03-26,15763.0
2015-03-27,15961.0
2015-03-30,15958.0
2015-03-31,15793.0
2015-04-01,15861.0
2015-04-02,15979.0
2015-04-03,16126.0
2015-04-06,15937.0
2015-04-07,15690.0
2015-04-08,15655.0
2015-04-09,15307.0
2015-04-10,15197.0
2015-04-13,15272.0
2015-04-14,15371.0
2015-04-15,15307.0
2015-04-16,15356.0
2015-04-17,15449.0
2015-04-20,15352.0
2015-04-21,15352.0
2015-04-22,15638.0
2015-04-23,15547.0
2015-04-24,15474.0
2015-04-27,15508.0
2015-04-28,15988.0
2015-04-29,16091.0
2015-04-30,16031.0
2015-05-01,15989.0
2015-05-04,15901.0
2015-05-05,16186.0
2015-05-06,16171.0
2015-05-07,16061.0
2015-05-08,15995.0
2015-05-11,15974.0
2015-05-12,16023.0
2015-05-13,16087.0
2015-05-14,16180.0
2015-05-15,16211.0
2015-05-18,15894.0
2015-05-19,15801.0
2015-05-20,15865.0
2015-05-21,15980.0
2015-05-22,15777.0
2015-05-25,15727.0
2015-05-26,15826.0
2015-05-27,15961.0
2015-05-28,16253.0
2015-05-29,16374.0
2015-06-01,16194.0
2015-06-02,16628.0
2015-06-03,16843.0
2015-06-04,16948.0
2015-06-05,17023.0
2015-06-08,17383.0
2015-06-09,17454.0
2015-06-10,17387.0
2015-06-11,17247.0
2015-06-12,17130.0
2015-06-15,17336.0
2015-06-16,17356.0
2015-06-17,17532.0
2015-06-18,17468.0
2015-06-19,17368.0
2015-06-22,17379.0
2015-06-23,17114.0
2015-06-24,17227.0
2015-06-25,17231.0
2015-06-26,17180.0
2015-06-29,17116.0
2015-06-30,17074.0
2015-07-01,16979.0
2015-07-02,16980.0
2015-07-03,17078.0
2015-07-06,16968.0
2015-07-07,16945.0
2015-07-08,17110.0
2015-07-09,17095.0
2015-07-10,17165.0
2015-07-13,16682.0
2015-07-14,16733.0
2015-07-15,16813.0
2015-07-16,16671.0
2015-07-17,16454.0
2015-07-20,16442.0
2015-07-21,16620.0
2015-07-22,16607.0
2015-07-23,16601.0
2015-07-24,16598.0
2015-07-27,16777.0
2015-07-28,16808.0
2015-07-29,16714.0
2015-07-30,16640.0
2015-07-31,16749.0
2015-08-03,16803.0
2015-08-04,16881.0
2015-08-05,16972.0
2015-08-06,17167.0
2015-08-07,17196.0
2015-08-10,17422.0
2015-08-11,17420.0
2015-08-12,17838.0
2015-08-13,17844.0
2015-08-14,17770.0
2015-08-17,17758.0
2015-08-18,17931.0
2015-08-19,18260.0
2015-08-20,18538.0
2015-08-21,19039.0
2015-08-24,19323.0
2015-08-25,20581.0
2015-08-26,20017.0
2015-08-27,19859.0
2015-08-28,19617.0
2015-08-31,19558.0
2015-09-01,19669.0
2015-09-02,19626.0
2015-09-03,19548.0
2015-09-04,19721.0
2015-09-07,19754.0
2015-09-08,19968.0
2015-09-09,19978.0
2015-09-10,20146.0
2015-09-11,20170.0
2015-09-14,20090.0
2015-09-15,19986.0
2015-09-16,19964.0
2015-09-17,20116.0
2015-09-18,19762.0
2015-09-21,19589.0
2015-09-22,19554.0
2015-09-23,19706.0
2015-09-24,19748.0
2015-09-25,19812.0
2015-09-28,19842.0
2015-09-29,19907.0
2015-09-30,19727.0
2015-10-01,19765.0
2015-10-02,19855.0
2015-10-05,19863.0
2015-10-06,19872.0
2015-10-07,19513.0
2015-10-08,19507.0
2015-10-09,19503.0
2015-10-12,19466.0
2015-10-13,19672.0
2015-10-14,19899.0
2015-10-15,19602.0
2015-10-16,19532.0
2015-10-19,19464.0
2015-10-20,19563.0
2015-10-21,19584.0
2015-10-22,19165.0
2015-10-23,19008.0
2015-10-26,19142.0
2015-10-27,19155.0
2015-10-28,19073.0
2015-10-29,19123.0
2015-10-30,19210.0
2015-11-02,19230.0
2015-11-03,19074.0
2015-11-04,18886.0
2015-11-05,19018.0
2015-11-06,18794.0
2015-11-09,18977.0
2015-11-10,18895.0
2015-11-11,18961.0
2015-11-12,19282.0
2015-11-13,19260.0
2015-11-16,19129.0
2015-11-17,19057.0
2015-11-18,19105.0
2015-11-19,19213.0
2015-11-20,19056.0
2015-11-23,19124.0
2015-11-24,19218.0
2015-11-25,19301.0
2015-11-26,19272.0
2015-11-27,19243.0
2015-11-30,19056.0
2015-12-01,19158.0
2015-12-02,19211.0
2015-12-03,19881.0
2015-12-04,19657.0
2015-12-07,19674.0
2015-12-08,19909.0
2015-12-09,20135.0
2015-12-10,19953.0
2015-12-11,20057.0
2015-12-14,20117.0
2015-12-15,19981.0
2015-12-16,19920.0
2015-12-17,19852.0
2015-12-18,19936.0
2015-12-21,20014.0
2015-12-22,20125.0
2015-12-23,19992.0
2015-12-24,20071.0
2015-12-25,20093.0
2015-12-28,20161.0
2015-12-29,20278.0
2015-12-30,20276.0
2015-12-31,20164.0
2016-01-01,20148.0
2016-01-04,20169.0
2016-01-05,20100.0
2016-01-06,20271.0
2016-01-07,20487.0
2016-01-08,20396.0
2016-01-11,20595.0
2016-01-12,20887.0
2016-01-13,20976.0
2016-01-14,21212.0
2016-01-15,21692.0
2016-01-18,22209.0
2016-01-19,22184.0
2016-01-20,22250.0
2016-01-21,23610.0
2016-01-22,22252.0
2016-01-25,22689.0
2016-01-26,22771.0
2016-01-27,23239.0
2016-01-28,23149.0
2016-01-29,22916.0
2016-02-01,22937.0
2016-02-02,23604.0
2016-02-03,23895.0
2016-02-04,23926.0
2016-02-05,24078.0
2016-02-08,24192.0
2016-02-09,24760.0
2016-02-10,24716.0
2016-02-11,24961.0
2016-02-12,24751.0
2016-02-15,24290.0
2016-02-16,24225.0
2016-02-17,24158.0
2016-02-18,23951.0
2016-02-19,24133.0
2016-02-22,23827.0
2016-02-23,23784.0
2016-02-24,23842.0
2016-02-25,23856.0
2016-02-26,23497.0
2016-02-29,23409.0
2016-03-01,23123.0
2016-03-02,23121.0
2016-03-03,23389.0
2016-03-04,23360.0
2016-03-07,23041.0
2016-03-08,23020.0
2016-03-09,23034.0
2016-03-10,23272.0
2016-03-11,22979.0
2016-03-14,22943.0
2016-03-15,22961.0
2016-03-16,23250.0
2016-03-17,23024.0
2016-03-18,22859.0
2016-03-21,22861.0
2016-03-22,22679.0
2016-03-23,22550.0
2016-03-24,22670.0
2016-03-25,22643.0
2016-03-28,22531.0
2016-03-29,22876.0
2016-03-30,22734.0
2016-03-31,22864.0
2016-04-01,22791.0
2016-04-04,23018.0
2016-04-05,23054.0
2016-04-06,23064.0
2016-04-07,22858.0
2016-04-08,22831.0
2016-04-11,22774.0
2016-04-12,22619.0
2016-04-13,22390.0
2016-04-14,22519.0
2016-04-15,22467.0
2016-04-18,22870.0
2016-04-19,22536.0
2016-04-20,22409.0
2016-04-21,22183.0
2016-04-22,22109.0
2016-04-25,22211.0
2016-04-26,22141.0
2016-04-27,22172.0
2016-04-28,22006.0
2016-04-29,21998.0
2016-05-02,22117.0
2016-05-03,21985.0
2016-05-04,22291.0
2016-05-05,22110.0
2016-05-06,22160.0
2016-05-09,22119.0
2016-05-10,22102.0
2016-05-11,22233.0
2016-05-12,21886.0
2016-05-13,21788.0
2016-05-16,21805.0
2016-05-17,21780.0
2016-05-18,21749.0
2016-05-19,21950.0
2016-05-20,22006.0
2016-05-23,22077.0
2016-05-24,22013.0
2016-05-25,21981.0
2016-05-26,21957.0
2016-05-27,21881.0
2016-05-30,21933.0
2016-05-31,22028.0
2016-06-01,22233.0
2016-06-02,22229.0
2016-06-03,22739.0
2016-06-06,22553.0
2016-06-07,22556.0
2016-06-08,22579.0
2016-06-09,22265.0
2016-06-10,22305.0
2016-06-13,22501.0
2016-06-14,22429.0
2016-06-15,22564.0
2016-06-16,22490.0
2016-06-17,22517.0
2016-06-20,22324.0
2016-06-21,22222.0
2016-06-22,22367.0
2016-06-23,22568.0
2016-06-24,22282.0
2016-06-27,22070.0
2016-06-28,22182.0
2016-06-29,22283.0
2016-06-30,22236.0
2023-10-28,20734.068422
2023-10-30,20804.695917
2023-10-31,20735.247882
2023-11-01,20744.027441
2023-11-02,20805.687068
2023-11-03,21042.451229
2023-11-04,21042.451229
2023-11-05,21026.888406
