date,exchange_rate
2014-11-24,2.4836
2014-11-25,2.4902
2014-11-26,2.4967
2014-11-27,2.4894
2014-11-28,2.486
2014-12-01,2.4898
2014-12-02,2.4723
2014-12-03,2.4569
2014-12-04,2.471
2014-12-05,2.4519
2014-12-08,2.4584
2014-12-09,2.4706
2014-12-10,2.4847
2014-12-11,2.4758
2014-12-12,2.4877
2014-12-15,2.4838
2014-12-16,2.4976
2014-12-17,2.462
2014-12-18,2.4525
2014-12-19,2.4412
2014-12-22,2.4408
2014-12-23,2.4299
2014-12-24,2.4354
2014-12-25,2.4406
2014-12-26,2.4321
2014-12-29,2.4271
2014-12-30,2.4268
2014-12-31,2.4151
2015-01-01,2.4159
2015-01-02,2.3952
2015-01-05,2.3821
2015-01-06,2.3699
2015-01-07,2.3627
2015-01-08,2.3532
2015-01-09,2.3635
2015-01-12,2.3621
2015-01-13,2.3507
2015-01-14,2.3535
2015-01-15,2.3216
2015-01-16,2.3096
2015-01-19,2.3174
2015-01-20,2.3064
2015-01-21,2.3188
2015-01-22,2.2617
2015-01-23,2.2368
2015-01-26,2.2444
2015-01-27,2.2702
2015-01-28,2.2505
2015-01-29,2.261
2015-01-30,2.2531
2015-02-02,2.2625
2015-02-03,2.2895
2015-02-04,2.2644
2015-02-05,2.2903
2015-02-06,2.2583
2015-02-09,2.2607
2015-02-10,2.2582
2015-02-11,2.2616
2015-02-12,2.2755
2015-02-13,2.2718
2015-02-16,2.266
2015-02-17,2.2779
2015-02-18,2.276
2015-02-19,2.2687
2015-02-20,2.2723
2015-02-23,2.2634
2015-02-24,2.2635
2015-02-25,2.268
2015-02-26,2.2348
2015-02-27,2.2345
2015-03-02,2.2321
2015-03-03,2.2314
2015-03-04,2.2118
2015-03-05,2.2023
2015-03-06,2.1656
2015-03-09,2.165
2015-03-10,2.1339
2015-03-11,2.1049
2015-03-12,2.1203
2015-03-13,2.0966
2015-03-16,2.1097
2015-03-17,2.1145
2015-03-18,2.1618
2015-03-19,2.1295
2015-03-20,2.1589
2015-03-23,2.1877
2015-03-24,2.1781
2015-03-25,2.1887
2015-03-26,2.1705
2015-03-27,2.1753
2015-03-30,2.1616
2015-03-31,2.1435
2015-04-01,2.15
2015-04-02,2.171
2015-04-03,2.191
2015-04-06,2.1825
2015-04-07,2.1604
2015-04-08,2.1527
2015-04-09,2.1289
2015-04-10,2.116
2015-04-13,2.1102
2015-04-14,2.1268
2015-04-15,2.1312
2015-04-16,2.1478
2015-04-17,2.157
2015-04-20,2.1436
2015-04-21,2.1434
2015-04-22,2.1399
2015-04-23,2.1601
2015-04-24,2.168
2015-04-27,2.1713
2015-04-28,2.1909
2015-04-29,2.2188
2015-04-30,2.2415
2015-05-01,2.2356
2015-05-04,2.2248
2015-05-05,2.2317
2015-05-06,2.2642
2015-05-07,2.2471
2015-05-08,2.2349
2015-05-11,2.2256
2015-05-12,2.2388
2015-05-13,2.2667
2015-05-14,2.2767
2015-05-15,2.2858
2015-05-18,2.2587
2015-05-19,2.2248
2015-05-20,2.2151
2015-05-21,2.2171
2015-05-22,2.1983
2015-05-25,2.1912
2015-05-26,2.1732
2015-05-27,2.1767
2015-05-28,2.1897
2015-05-29,2.194
2015-06-01,2.181
2015-06-02,2.2256
2015-06-03,2.2496
2015-06-04,2.2365
2015-06-05,2.2179
2015-06-08,2.2639
2015-06-09,2.2565
2015-06-10,2.2661
2015-06-11,2.2496
2015-06-12,2.2479
2015-06-15,2.2626
2015-06-16,2.2564
2015-06-17,2.2742
2015-06-18,2.2813
2015-06-19,2.2779
2015-06-22,2.2757
2015-06-23,2.2408
2015-06-24,2.2472
2015-06-25,2.2475
2015-06-26,2.2401
2015-06-29,2.25
2015-06-30,2.2342
2015-07-01,2.2174
2015-07-02,2.2234
2015-07-03,2.2304
2015-07-06,2.2178
2015-07-07,2.2075
2015-07-08,2.2215
2015-07-09,2.2182
2015-07-10,2.2374
2015-07-13,2.208
2015-07-14,2.2098
2015-07-15,2.1972
2015-07-16,2.1822
2015-07-17,2.1729
2015-07-20,2.172
2015-07-21,2.1941
2015-07-22,2.1922
2015-07-23,2.204
2015-07-24,2.2022
2015-07-27,2.2244
2015-07-28,2.219
2015-07-29,2.2041
2015-07-30,2.1932
2015-07-31,2.2035
2015-08-03,2.1974
2015-08-04,2.1847
2015-08-05,2.1867
2015-08-06,2.1921
2015-08-07,2.1986
2015-08-10,2.2105
2015-08-11,2.2152
2015-08-12,2.2381
2015-08-13,2.2372
2015-08-14,2.2287
2015-08-17,2.2223
2015-08-18,2.2122
2015-08-19,2.219
2015-08-20,2.2426
2015-08-21,2.2743
2015-08-24,2.3116
2015-08-25,2.3026
2015-08-26,2.2624
2015-08-27,2.2439
2015-08-28,2.2317
2015-08-31,2.2377
2015-09-01,2.2562
2015-09-02,2.239
2015-09-03,2.22
2015-09-04,2.2257
2015-09-07,2.2295
2015-09-08,2.2428
2015-09-09,2.2453
2015-09-10,2.2597
2015-09-11,2.2694
2015-09-14,2.2636
2015-09-15,2.2557
2015-09-16,2.2539
2015-09-17,2.28
2015-09-18,2.2578
2015-09-21,2.2329
2015-09-22,2.2215
2015-09-23,2.2336
2015-09-24,2.2308
2015-09-25,2.2343
2015-09-28,2.2427
2015-09-29,2.2462
2015-09-30,2.2303
2015-10-01,2.234
2015-10-02,2.2378
2015-10-05,2.2337
2015-10-06,2.2493
2015-10-07,2.2437
2015-10-08,2.2507
2015-10-09,2.2673
2015-10-12,2.267
2015-10-13,2.2724
2015-10-14,2.29
2015-10-15,2.2708
2015-10-16,2.2654
2015-10-19,2.2614
2015-10-20,2.2663
2015-10-21,2.2635
2015-10-22,2.2164
2015-10-23,2.1994
2015-10-26,2.2073
2015-10-27,2.2037
2015-10-28,2.1817
2015-10-29,2.1934
2015-10-30,2.1979
2015-11-02,2.1984
2015-11-03,2.1881
2015-11-04,2.1692
2015-11-05,2.171
2015-11-06,2.1436
2015-11-09,2.1467
2015-11-10,2.141
2015-11-11,2.1455
2015-11-12,2.1574
2015-11-13,2.1507
2015-11-16,2.1333
2015-11-17,2.1253
2015-11-18,2.1276
2015-11-19,2.1421
2015-11-20,2.1249
2015-11-23,2.123
2015-11-24,2.1252
2015-11-25,2.1204
2015-11-26,2.1172
2015-11-27,2.114
2015-11-30,2.1096
2015-12-01,2.1209
2015-12-02,2.1176
2015-12-03,2.1817
2015-12-04,2.1701
2015-12-07,2.1625
2015-12-08,2.1749
2015-12-09,2.1996
2015-12-10,2.1838
2015-12-11,2.1937
2015-12-14,2.1955
2015-12-15,2.1824
2015-12-16,2.1775
2015-12-17,2.1629
2015-12-18,2.1692
2015-12-21,2.1789
2015-12-22,2.1861
2015-12-23,2.1771
2015-12-24,2.1887
2015-12-25,2.191
2015-12-28,2.1906
2015-12-29,2.1803
2015-12-30,2.1819
2015-12-31,2.1698
2016-01-01,2.1682
2016-01-04,2.1619
2016-01-05,2.1467
2016-01-06,2.1519
2016-01-07,2.18
2016-01-08,2.1803
2016-01-11,2.1672
2016-01-12,2.1675
2016-01-13,2.1722
2016-01-14,2.1697
2016-01-15,2.1791
2016-01-18,2.1752
2016-01-19,2.1781
2016-01-20,2.1739
2016-01-21,2.1707
2016-01-22,2.1551
2016-01-25,2.1659
2016-01-26,2.1685
2016-01-27,2.1768
2016-01-28,2.1837
2016-01-29,2.1617
2016-02-01,2.174
2016-02-02,2.1803
2016-02-03,2.2123
2016-02-04,2.2359
2016-02-05,2.2282
2016-02-08,2.2357
2016-02-09,2.2537
2016-02-10,2.2517
2016-02-11,2.2586
2016-02-12,2.2467
2016-02-15,2.2282
2016-02-16,2.2242
2016-02-17,2.2211
2016-02-18,2.2174
2016-02-19,2.2217
2016-02-22,2.2008
2016-02-23,2.1999
2016-02-24,2.1992
2016-02-25,2.2005
2016-02-26,2.1827
2016-02-29,2.1727
2016-03-01,2.1693
2016-03-02,2.1693
2016-03-03,2.1857
2016-03-04,2.1969
2016-03-11,2.2268
2016-03-14,2.2169
2016-03-15,2.2175
2016-03-16,2.2389
2016-03-17,2.2592
2016-03-18,2.2501
2016-03-21,2.244
2016-03-22,2.2391
2016-03-23,2.2328
2016-03-24,2.2318
2016-03-25,2.2291
2016-03-28,2.2355
2016-03-29,2.2535
2016-03-30,2.2623
2016-03-31,2.2719
2016-04-01,2.2753
2016-04-04,2.2736
2016-04-05,2.2722
2016-04-06,2.2753
2016-04-07,2.271
2016-04-08,2.2755
