date,exchange_rate
2014-11-07,1139.31995
2014-11-10,1135.41003
2014-11-11,1144.98999
2014-11-12,1139.81995
2014-11-13,1145.18994
2014-11-14,1148.42004
2014-11-17,1141.5
2014-11-18,1147.70996
2014-11-19,1146.69995
2014-11-20,1146.31995
2014-11-21,1132.68994
2014-11-24,1138.20996
2014-11-25,1141.31995
2014-11-26,1141.70996
2014-11-27,1138.38
2014-11-28,1151.78003
2014-12-01,1144.89001
2014-12-02,1130.56006
2014-12-03,1124.82996
2014-12-04,1131.29004
2014-12-05,1129.89001
2014-12-08,1136.53003
2014-12-09,1136.03003
2014-12-10,1144.96997
2014-12-11,1134.67004
2014-12-12,1153.90002
2014-12-15,1134.58997
2014-12-16,1143.46997
2014-12-17,1130.81995
2014-12-18,1127.72998
2014-12-19,1124.92004
2014-12-22,1121.10999
2014-12-23,1123.35999
2014-12-24,1122.22998
2014-12-25,1124.65002
2014-12-26,1120.70996
2014-12-30,1109.76001
2014-12-31,1104.42004
2015-01-01,1104.78003
2015-01-02,1111.09998
2015-01-05,1089.32996
2015-01-06,1083.88
2015-01-07,1084.03003
2015-01-08,1075.0
2015-01-09,1076.09998
2015-01-12,1081.43994
2015-01-13,1078.56006
2015-01-14,1084.52002
2015-01-15,1061.75
2015-01-16,1056.20996
2015-01-19,1064.44995
2015-01-20,1063.97998
2015-01-21,1066.23999
2015-01-22,1034.37
2015-01-23,1020.72998
2015-01-26,1034.27002
2015-01-27,1038.22998
2015-01-28,1028.07996
2015-01-29,1032.89001
2015-01-30,1033.76001
2015-02-02,1035.82996
2015-02-03,1048.14001
2015-02-04,1041.19995
2015-02-05,1052.03003
2015-02-06,1033.91003
2015-02-09,1050.92004
2015-02-10,1033.85999
2015-02-11,1038.83997
2015-02-12,1054.30005
2015-02-13,1053.20996
2015-02-16,1039.67004
2015-02-17,1047.46997
2015-02-18,1044.32996
2015-02-19,1040.93005
2015-02-20,1040.29004
2015-02-23,1039.66003
2015-02-24,1036.25
2015-02-25,1042.85999
2015-02-26,1031.01001
2015-02-27,1040.56995
2015-03-02,1026.41003
2015-03-03,1026.03003
2015-03-04,1014.89001
2015-03-05,1011.56
2015-03-06,991.5
2015-03-09,993.35999
2015-03-10,979.12
2015-03-11,979.48999
2015-03-12,976.08002
2015-03-13,967.21997
2015-03-16,965.88
2015-03-17,974.46997
2015-03-18,991.90002
2015-03-19,979.25
2015-03-20,998.12
2015-03-23,1009.29999
2015-03-24,1001.56
2015-03-25,1009.76001
2015-03-26,998.07001
2015-03-27,1000.23999
2015-03-30,988.53003
2015-03-31,983.56
2015-04-01,988.63
2015-04-02,996.13
2015-04-03,1002.06
2015-04-06,997.03003
2015-04-07,994.54999
2015-04-08,994.21002
2015-04-09,982.20001
2015-04-10,968.77002
2015-04-13,970.37
2015-04-14,982.23999
2015-04-15,980.03998
2015-04-16,987.60999
2015-04-17,992.95001
2015-04-20,984.59998
2015-04-21,989.94
2015-04-22,984.04999
2015-04-23,997.60999
2015-04-24,996.96997
2015-04-27,993.02002
2015-04-28,1002.0
2015-04-29,1014.72998
2015-04-30,1025.10999
2015-05-01,1022.41998
2015-05-04,1017.46997
2015-05-05,1020.66998
2015-05-06,1040.03003
2015-05-07,1027.69995
2015-05-08,1022.07001
2015-05-11,1016.76001
2015-05-12,1024.98999
2015-05-13,1036.65002
2015-05-14,1042.31995
2015-05-15,1045.35999
2015-05-18,1034.09998
2015-05-19,1017.47998
2015-05-20,1013.03003
2015-05-21,1013.98999
2015-05-22,1004.23999
2015-05-25,1001.01001
2015-05-26,993.85999
2015-05-27,999.84998
