date,exchange_rate
2014-11-24,0.02975
2014-11-25,0.02997
2014-11-26,0.03005
2014-11-27,0.03006
2014-11-28,0.03036
2014-12-01,0.03059
2014-12-02,0.03046
2014-12-03,0.03001
2014-12-04,0.03021
2014-12-05,0.03007
2014-12-08,0.03008
2014-12-09,0.03036
2014-12-10,0.03061
2014-12-11,0.03057
2014-12-12,0.03079
2014-12-15,0.03077
2014-12-16,0.03103
2014-12-17,0.03036
2014-12-18,0.03015
2014-12-19,0.02983
2014-12-22,0.0297
2014-12-23,0.02964
2014-12-24,0.02962
2014-12-25,0.0297
2014-12-26,0.02954
2014-12-29,0.02953
2014-12-30,0.02947
2014-12-31,0.0293
2015-01-01,0.02929
2015-01-02,0.02939
2015-01-05,0.0294
2015-01-06,0.02921
2015-01-07,0.02899
2015-01-08,0.02882
2015-01-09,0.02903
2015-01-12,0.02912
2015-01-13,0.02913
2015-01-14,0.02947
2015-01-15,0.02905
2015-01-16,0.02901
2015-01-19,0.02918
2015-01-20,0.02903
2015-01-21,0.02916
2015-01-22,0.02827
2015-01-23,0.028
2015-01-26,0.02801
2015-01-27,0.02834
2015-01-28,0.02807
2015-01-29,0.02843
2015-01-30,0.02861
2015-02-02,0.02857
2015-02-03,0.02872
2015-02-04,0.02846
2015-02-05,0.02866
2015-02-06,0.02843
2015-02-09,0.02832
2015-02-10,0.0284
2015-02-11,0.02859
2015-02-12,0.02842
2015-02-13,0.02819
2015-02-16,0.02825
2015-02-17,0.02831
2015-02-18,0.02829
2015-02-19,0.02819
2015-02-20,0.02694
2015-02-23,0.02828
2015-02-24,0.02808
2015-02-25,0.02806
2015-02-26,0.02776
2015-02-27,0.02763
2015-03-02,0.02757
2015-03-03,0.02759
2015-03-04,0.02741
2015-03-05,0.02737
2015-03-06,0.02714
2015-03-09,0.02723
2015-03-10,0.02721
2015-03-11,0.02687
2015-03-12,0.02693
2015-03-13,0.02685
2015-03-16,0.02705
2015-03-17,0.02713
2015-03-18,0.0275
2015-03-19,0.02728
2015-03-20,0.02728
2015-03-23,0.02731
2015-03-24,0.02708
2015-03-25,0.02717
2015-03-26,0.02702
2015-03-27,0.02709
2015-03-30,0.02706
2015-03-31,0.02674
2015-04-01,0.02652
2015-04-02,0.02666
2015-04-03,0.02691
2015-04-06,0.02663
2015-04-07,0.02628
2015-04-08,0.02625
2015-04-09,0.02616
2015-04-10,0.02612
2015-04-13,0.02592
2015-04-14,0.02599
2015-04-15,0.02601
2015-04-16,0.02612
2015-04-17,0.02626
2015-04-20,0.02628
2015-04-21,0.02627
2015-04-22,0.02635
2015-04-23,0.02641
2015-04-24,0.02642
2015-04-27,0.02635
2015-04-28,0.0264
2015-04-29,0.02683
2015-04-30,0.02724
2015-05-01,0.02716
2015-05-04,0.02714
2015-05-05,0.02701
2015-05-06,0.0275
2015-05-07,0.02717
2015-05-08,0.02682
2015-05-11,0.02689
2015-05-12,0.0268
2015-05-13,0.02707
2015-05-14,0.02682
2015-05-15,0.02704
2015-05-18,0.02683
2015-05-19,0.02659
2015-05-20,0.02646
2015-05-21,0.0265
2015-05-22,0.02644
2015-05-25,0.02646
2015-05-26,0.02632
2015-05-27,0.02644
2015-05-28,0.02665
2015-05-29,0.02678
2015-06-01,0.02688
2015-06-02,0.02734
2015-06-03,0.02788
2015-06-04,0.02775
2015-06-05,0.02786
2015-06-08,0.02804
2015-06-09,0.02775
2015-06-10,0.02814
2015-06-11,0.02787
2015-06-12,0.02798
2015-06-15,0.02815
2015-06-16,0.02811
2015-06-17,0.0283
2015-06-18,0.02816
2015-06-19,0.02827
2015-06-22,0.02816
2015-06-23,0.02781
2015-06-24,0.02787
2015-06-25,0.02781
2015-06-26,0.02789
2015-06-29,0.02823
2015-06-30,0.02798
2015-07-01,0.02775
2015-07-02,0.02763
2015-07-03,0.02784
2015-07-06,0.02787
2015-07-07,0.02808
2015-07-08,0.02837
2015-07-09,0.02805
2015-07-10,0.02837
2015-07-13,0.02779
2015-07-14,0.02774
2015-07-15,0.02764
2015-07-16,0.02745
2015-07-17,0.02742
2015-07-20,0.0276
2015-07-21,0.02792
2015-07-22,0.02802
2015-07-23,0.0283
2015-07-24,0.02844
2015-07-27,0.02894
2015-07-28,0.02885
2015-07-29,0.0287
2015-07-30,0.02877
2015-07-31,0.02901
2015-08-03,0.02918
2015-08-04,0.02909
2015-08-05,0.02909
2015-08-06,0.02904
2015-08-07,0.0291
2015-08-10,0.029
2015-08-11,0.02945
2015-08-12,0.02984
2015-08-13,0.02992
2015-08-14,0.02976
2015-08-17,0.02994
2015-08-18,0.02991
2015-08-19,0.03015
2015-08-20,0.03023
2015-08-21,0.0311
2015-08-24,0.03189
2015-08-25,0.03187
2015-08-26,0.03122
2015-08-27,0.03048
2015-08-28,0.03017
2015-08-31,0.03031
2015-09-01,0.03056
2015-09-02,0.03019
2015-09-03,0.02991
2015-09-04,0.03013
2015-09-07,0.03028
2015-09-08,0.0302
2015-09-09,0.03022
2015-09-10,0.03017
2015-09-11,0.0304
2015-09-14,0.03031
2015-09-15,0.03
2015-09-16,0.02973
2015-09-17,0.02995
2015-09-18,0.02988
2015-09-21,0.02978
2015-09-22,0.03021
2015-09-23,0.03059
2015-09-24,0.03026
2015-09-25,0.03047
2015-09-28,0.0308
2015-09-29,0.03074
2015-09-30,0.03016
2015-10-01,0.03022
2015-10-02,0.02994
2015-10-05,0.02961
2015-10-06,0.02971
2015-10-07,0.02956
2015-10-08,0.02958
2015-10-09,0.02972
2015-10-12,0.02972
2015-10-13,0.0301
2015-10-14,0.03018
2015-10-15,0.02965
2015-10-16,0.02962
2015-10-19,0.02978
2015-10-20,0.03019
2015-10-21,0.03039
2015-10-22,0.02955
2015-10-23,0.0292
2015-10-26,0.02936
2015-10-27,0.02931
2015-10-28,0.029
2015-10-29,0.0292
2015-10-30,0.02937
2015-11-02,0.02936
2015-11-03,0.02909
2015-11-04,0.02898
2015-11-05,0.02911
2015-11-06,0.02886
2015-11-09,0.02903
2015-11-10,0.0289
2015-11-11,0.02891
2015-11-12,0.02919
2015-11-13,0.02926
2015-11-16,0.02929
2015-11-17,0.02916
2015-11-18,0.0293
2015-11-19,0.02934
2015-11-20,0.0292
2015-11-23,0.0292
2015-11-24,0.02908
2015-11-25,0.02911
2015-11-26,0.02908
2015-11-27,0.02913
2015-11-30,0.02883
2015-12-01,0.02869
2015-12-02,0.02866
2015-12-03,0.02941
2015-12-04,0.02924
2015-12-07,0.02934
2015-12-08,0.0295
