date,exchange_rate
2014-11-24,741.51
2014-11-25,747.09
2014-11-26,749.19
2014-11-27,749.09
2014-11-28,757.41
2014-12-01,763.79
2014-12-02,760.88
2014-12-03,750.14
2014-12-04,755.01
2014-12-05,752.04
2014-12-08,752.94
2014-12-09,760.08
2014-12-10,766.4
2014-12-11,765.61
2014-12-12,770.66
2014-12-15,770.11
2014-12-16,776.51
2014-12-17,760.55
2014-12-18,754.77
2014-12-19,747.12
2014-12-22,744.22
2014-12-23,742.43
2014-12-24,741.94
2014-12-25,745.47
2014-12-26,739.99
2014-12-29,739.67
2014-12-30,738.2
2014-12-31,734.18
2015-01-02,736.18
2015-01-05,736.47
2015-01-06,731.46
2015-01-07,726.28
2015-01-08,722.52
2015-01-09,727.41
2015-01-12,729.4
2015-01-13,729.38
2015-01-14,737.59
2015-01-15,726.9
2015-01-16,725.99
2015-01-19,728.85
2015-01-20,726.55
2015-01-21,729.48
2015-01-22,709.62
2015-01-23,700.8
2015-01-26,700.72
2015-01-27,709.23
2015-01-28,702.42
2015-01-29,710.55
2015-01-30,714.32
2015-02-02,714.23
2015-02-03,717.71
2015-02-04,710.69
2015-02-05,715.9
2015-02-06,710.07
2015-02-09,706.92
2015-02-10,708.78
2015-02-11,714.58
2015-02-12,709.85
2015-02-13,704.09
2015-02-16,705.11
2015-02-17,707.06
2015-02-18,706.27
2015-02-19,704.17
2015-02-20,700.9
2015-02-23,706.06
2015-02-24,701.65
2015-02-25,701.14
2015-02-26,693.87
2015-02-27,690.72
2015-03-02,689.16
2015-03-03,689.58
2015-03-04,685.15
2015-03-05,684.27
2015-03-06,678.63
2015-03-09,681.26
2015-03-10,680.68
2015-03-11,673.29
2015-03-12,673.67
2015-03-13,672.08
2015-03-16,677.16
2015-03-17,678.86
2015-03-18,688.7
2015-03-19,682.72
2015-03-20,683.07
2015-03-23,683.8
2015-03-24,678.8
2015-03-25,680.66
2015-03-26,677.42
2015-03-27,678.72
2015-03-30,678.56
2015-03-31,670.96
2015-04-01,665.53
2015-04-02,668.89
2015-04-03,674.58
2015-04-06,668.65
2015-04-07,660.01
2015-04-08,659.51
2015-04-09,657.26
2015-04-10,656.58
2015-04-13,651.66
2015-04-14,653.68
2015-04-15,654.35
2015-04-16,657.3
2015-04-17,660.74
2015-04-20,661.74
2015-04-21,661.4
2015-04-22,663.71
2015-04-23,665.28
2015-04-24,666.41
2015-04-27,664.12
2015-04-28,665.74
2015-04-29,676.48
2015-04-30,686.2
2015-05-01,685.06
2015-05-04,684.98
2015-05-05,682.05
2015-05-06,694.09
2015-05-07,685.8
2015-05-08,677.73
2015-05-11,679.52
2015-05-12,677.66
2015-05-13,684.48
2015-05-14,678.32
2015-05-15,683.69
2015-05-18,679.08
2015-05-19,673.19
2015-05-20,670.11
2015-05-21,671.4
2015-05-22,669.37
