date,exchange_rate
2024-04-04,7.870023
2024-04-05,7.850211
2024-04-06,7.862018
2024-04-07,7.862021
2024-04-08,7.864078
2024-04-09,7.857077
2024-04-10,7.799786
2024-04-11,7.77714
2024-04-12,7.738146
2024-04-13,7.75463
2024-04-14,7.754631
2024-04-15,7.720668
2024-04-16,7.716925
2024-04-17,7.722297
2024-04-18,7.723919
2024-04-19,7.721025
2024-04-20,7.734265
2024-04-21,7.734265
2024-04-22,7.722597
2024-04-23,7.770033
2024-04-24,7.77223
2024-04-25,7.782958
2024-04-26,7.769219
2024-04-27,7.778885
2024-04-28,7.778885
2024-04-29,7.761359
2024-04-30,7.746475
2024-05-01,7.735223
2024-05-02,7.731156
2024-05-03,7.746529
2024-05-04,7.746541
2024-05-05,7.746541
2024-05-06,7.77211
2024-05-07,7.7798
2024-05-08,7.772543
2024-05-09,7.782197
2024-05-10,7.794296
2024-05-11,7.803707
2024-05-12,7.803707
2024-05-13,7.815572
2024-05-14,7.832316
2024-05-15,7.842449
2024-05-16,7.854297
2024-05-17,7.863087
2024-05-18,7.88097
2024-05-19,7.88097
2024-05-20,7.870616
2024-05-21,7.866998
2024-05-22,7.860202
2024-05-23,7.855196
2024-05-24,7.880717
2024-05-25,7.882748
2024-05-26,7.882748
2024-05-27,7.883268
2024-05-28,7.898139
2024-05-29,7.863238
2024-05-30,7.866137
2024-05-31,7.883617
2024-06-01,7.884424
2024-06-02,7.884424
2024-06-03,7.900786
2024-06-04,7.884118
2024-06-05,7.888027
2024-06-06,7.905244
2024-06-07,7.848859
2024-06-08,7.854799
2024-06-09,7.854799
2024-06-10,7.80956
2024-06-11,7.804855
2024-06-12,7.866365
2024-06-13,7.82163
2024-06-14,7.781695
2024-06-15,7.794428
2024-06-16,7.794428
2024-06-17,7.796607
2024-06-18,7.808351
2024-06-19,7.820718
2024-06-20,7.80961
2024-06-21,7.791271
2024-06-22,7.803519
2024-06-23,7.803519
2024-06-24,7.815423
2024-06-25,7.800518
2024-06-26,7.796555
2024-06-27,7.82287
2024-06-28,7.815968
2024-06-29,7.825354
2024-06-30,7.825354
2024-07-01,7.841904
2024-07-02,7.839881
2024-07-03,7.888076
2024-07-04,7.883921
2024-07-05,7.88881
2024-07-06,7.910964
2024-07-07,7.910964
2024-07-08,7.898928
2024-07-09,7.8864
2024-07-10,7.892641
2024-07-11,7.901596
2024-07-12,7.920203
2024-07-13,7.941824
2024-07-14,7.941824
2024-07-15,7.936417
2024-07-16,7.934448
2024-07-17,7.954929
2024-07-18,7.931046
2024-07-19,7.927965
2024-07-20,7.936051
2024-07-21,7.936051
2024-07-22,7.934414
2024-07-23,7.912336
2024-07-24,7.903121
2024-07-25,7.843952
2024-07-26,7.888859
2024-07-27,7.896898
2024-07-28,7.896898
2024-07-29,7.865729
2024-07-30,7.852056
2024-07-31,7.82516
2024-08-01,7.834616
2024-08-02,7.824986
2024-08-03,7.825618
2024-08-04,7.825618
2024-08-05,7.79618
2024-08-06,7.802149
2024-08-07,7.843207
2024-08-08,7.821417
2024-08-09,7.830182
2024-08-10,7.835997
2024-08-11,7.835997
2024-08-12,7.843855
2024-08-13,7.844188
2024-08-14,7.874476
2024-08-15,7.867513
2024-08-16,7.88553
2024-08-17,7.903605
2024-08-18,7.903605
2024-08-19,7.88218
2024-08-20,7.919246
2024-08-21,7.92732
2024-08-22,7.950523
2024-08-23,7.93387
2024-08-24,7.975385
2024-08-25,7.975385
2024-08-26,7.947464
2024-08-27,7.952896
2024-08-28,7.933703
2024-08-29,7.866769
2024-08-30,7.836364
2024-08-31,7.842132
2024-09-01,7.842132
2024-09-02,7.877154
2024-09-03,7.880755
2024-09-04,7.871217
2024-09-05,7.87035
2024-09-06,7.861634
2024-09-07,7.869682
2024-09-08,7.869682
2024-09-09,7.858966
2024-09-10,7.859043
2024-09-11,7.852551
2024-09-12,7.863983
2024-09-13,7.873801
2024-09-14,7.871238
2024-09-15,7.871238
2024-09-16,7.891556
2024-09-17,7.903163
2024-09-18,7.884223
2024-09-19,7.884272
2024-09-20,7.875532
2024-09-21,7.870123
2024-09-22,7.870123
2024-09-23,7.843636
2024-09-24,7.826379
2024-09-25,7.854779
2024-09-26,7.801641
2024-09-27,7.80087
2024-09-28,7.796932
2024-09-29,7.796932
2024-09-30,7.822546
2024-10-01,7.789079
2024-10-02,7.781098
2024-10-03,7.777187
2024-10-04,7.79518
2024-10-05,7.796148
2024-10-06,7.796148
2024-10-07,7.751419
2024-10-08,7.750669
2024-10-09,7.755812
2024-10-10,7.747161
2024-10-11,7.730627
2024-10-12,7.74406
2024-10-13,7.74406
2024-10-14,7.74831
2024-10-15,7.772759
2024-10-16,7.761918
2024-10-17,7.75142
2024-10-18,7.719834
2024-10-19,7.740249
2024-10-20,7.740249
2024-10-21,7.722916
2024-10-22,7.707993
2024-10-23,7.675169
2024-10-24,7.687647
2024-10-25,7.708076
2024-10-26,7.688635
2024-10-27,7.688635
2024-10-28,7.701783
2024-10-29,7.702239
2024-10-30,7.715469
2024-10-31,7.737817
2024-11-01,7.728997
2024-11-02,7.74636
2024-11-03,7.74636
2024-11-04,7.757463
2024-11-05,7.754505
2024-11-06,7.655197
2024-11-07,7.652399
2024-11-08,7.672274
2024-11-09,7.63378
2024-11-10,7.63378
2024-11-11,7.602795
2024-11-12,7.562013
2024-11-14,7.634087
2024-11-15,7.642535
2024-11-16,7.630566
2024-11-17,7.630566
2024-11-18,7.653651
2024-11-19,7.63571
2024-11-20,7.655859
2024-11-21,7.62214
2024-11-22,7.558032
2024-11-23,7.562783
2024-11-24,7.562783
2024-11-25,7.600721
2024-11-26,7.630017
2024-11-27,7.62971
2024-11-28,7.650405
2024-11-29,7.651112
2024-11-30,7.668074
2024-12-01,7.668074
2024-12-02,7.67064
2024-12-03,7.67809
2024-12-04,7.646705
2024-12-05,7.656189
2024-12-06,7.695284
2024-12-07,7.703397
2024-12-08,7.703397
2024-12-09,7.695906
2024-12-10,7.644861
2024-12-11,7.637343
2024-12-12,7.639386
2024-12-13,7.639631
2024-12-14,7.647189
2024-12-15,7.647189
2024-12-16,7.650192
2024-12-17,7.650886
2024-12-18,7.656498
2024-12-19,7.60643
2024-12-20,7.58532
2024-12-21,7.606363
2024-12-22,7.606363
2024-12-23,7.598403
2024-12-24,7.587944
2024-12-25,7.609039
2024-12-26,7.59742
2024-12-27,7.615207
2024-12-28,7.613279
2024-12-29,7.613279
2024-12-30,7.639873
2024-12-31,7.639304
2025-01-01,7.634657
2025-01-02,7.567586
2025-01-03,7.572848
2025-01-04,7.588886
2025-01-05,7.588886
2025-01-06,7.623999
2025-01-07,7.645562
2025-01-08,7.588043
2025-01-09,7.579645
2025-01-10,7.567162
2025-01-11,7.551092
2025-01-12,7.551092
2025-01-13,7.50195
2025-01-14,7.53674
2025-01-15,7.566275
2025-01-16,7.562877
2025-01-17,7.576926
2025-01-18,7.573126
2025-01-19,7.573126
2025-01-20,7.549163
2025-01-21,7.547097
2025-01-22,7.598267
2025-01-23,7.589953
2025-01-24,7.604708
2025-01-25,7.609151
2025-01-26,7.609151
2025-01-27,7.623008
2025-01-28,7.587415
2025-01-29,7.562888
2025-01-30,7.559556
2025-01-31,7.577959
2025-02-01,7.585656
2025-02-02,7.585656
2025-02-03,7.528411
2025-02-04,7.533521
2025-02-05,7.585748
2025-02-06,7.557405
2025-02-07,7.569418
2025-02-08,7.546363
2025-02-09,7.546363
2025-02-10,7.552224
2025-02-11,7.542205
2025-02-12,7.586699
2025-02-13,7.60388
2025-02-14,7.611168
2025-02-15,7.620484
2025-02-16,7.620484
2025-02-17,7.614458
2025-02-18,7.618827
2025-02-19,7.599318
2025-02-20,7.577439
2025-02-21,7.596017
2025-02-22,7.589571
2025-02-23,7.589571
2025-02-24,7.589858
2025-02-25,7.609415
2025-02-26,7.622226
2025-02-27,7.621575
2025-02-28,7.575537
2025-03-01,7.571395
2025-03-02,7.571395
2025-03-03,7.623813
2025-03-04,7.645673
2025-03-05,7.768406
2025-03-06,7.823068
2025-03-07,7.856742
2025-03-08,7.851233
2025-03-09,7.851233
2025-03-10,7.885929
2025-03-11,7.885386
2025-03-12,7.913028
2025-03-13,7.879801
2025-03-14,7.866269
2025-03-15,7.90727
2025-03-16,7.90727
2025-03-17,7.891452
2025-03-18,7.904134
2025-03-19,7.883314
2025-03-20,7.857496
2025-03-21,7.861918
2025-03-22,7.8946
2025-03-23,7.8946
2025-03-24,7.868191
2025-03-25,7.847651
2025-03-26,7.853384
2025-03-27,7.834826
2025-03-28,7.834507
2025-03-29,7.914197
2025-03-30,7.914197
2025-03-31,7.861945
2025-04-01,7.862268
2025-04-02,7.860933
2025-04-03,8.065854
2025-04-04,7.977389
2025-04-05,7.994999
2025-04-06,7.994999
2025-04-07,8.041751
2025-04-08,8.035758
2025-04-09,8.145163
2025-04-10,8.122124
2025-04-11,8.334517
2025-04-12,8.27647
2025-04-13,8.27647
2025-04-14,8.331427
2025-04-15,8.303679
2025-04-16,8.304708
2025-04-17,8.301548
2025-04-18,8.30818
2025-04-19,8.306019
2025-04-20,8.306019
2025-04-21,8.28726
2025-04-22,8.416619
2025-04-23,8.336974
2025-04-24,8.298609
2025-04-25,8.271588
2025-04-26,8.310114
2025-04-27,8.294982
2025-04-28,8.288566
2025-04-29,8.280834
2025-04-30,8.25976
2025-05-01,8.235766
2025-05-02,8.205386
2025-05-03,8.149807
2025-05-04,8.149807
2025-05-05,8.167268
2025-05-06,8.16223
2025-05-07,8.206937
2025-05-08,8.168253
2025-05-09,8.151304
2025-05-10,8.147858
2025-05-11,8.147858
2025-05-12,8.02137
2025-05-13,7.996056
2025-05-14,8.096357
2025-05-15,8.081183
2025-05-16,8.069146
2025-05-17,8.048713
2025-05-18,8.048713
2025-05-19,8.125024
2025-05-20,8.12968
2025-05-21,8.159065
2025-05-22,8.143012
2025-05-23,8.146489
2025-05-24,8.155272
2025-05-25,8.155272
2025-05-26,8.175624
2025-05-27,8.163317
2025-05-28,8.148096
2025-05-29,8.108534
2025-05-30,8.156524
2025-05-31,8.177272
2025-06-01,8.177272
2025-06-02,8.239945
2025-06-03,8.20522
2025-06-04,8.190791
2025-06-05,8.197201
2025-06-06,8.200431
2025-06-07,8.198291
2025-06-08,8.198291
2025-06-09,8.216284
2025-06-10,8.20237
2025-06-11,8.220471
2025-06-12,8.289778
2025-06-13,8.28211
2025-06-14,8.307576
2025-06-15,8.307576
2025-06-16,8.31441
2025-06-17,8.303748
2025-06-18,8.271874
2025-06-19,8.251061
2025-06-20,8.274387
2025-06-21,8.272986
2025-06-22,8.272986
2025-06-23,8.243184
2025-06-24,8.318072
2025-06-25,8.318084
2025-06-26,8.403504
2025-06-27,8.392293
2025-06-28,8.406054
2025-06-29,8.406054
2025-06-30,8.397989
2025-07-01,8.459235
2025-07-02,8.435188
2025-07-03,8.441364
2025-07-04,8.435672
2025-07-05,8.439249
2025-07-06,8.439249
2025-07-07,8.418216
2025-07-08,8.428313
2025-07-09,8.418394
2025-07-10,8.421392
2025-07-11,8.377367
2025-07-12,8.386416
2025-07-13,8.386416
2025-07-14,8.375915
2025-07-15,8.387029
2025-07-16,8.34851
2025-07-17,8.33203
2025-07-18,8.357951
2025-07-19,8.346165
2025-07-20,8.346165
2025-07-21,8.356888
2025-07-22,8.395586
2025-07-23,8.401615
2025-07-24,8.414394
2025-07-25,8.416953
2025-07-26,8.419418
2025-07-27,8.419418
2025-07-28,8.378145
2025-07-29,8.307448
2025-07-30,8.304757
2025-07-31,8.239353
2025-08-01,8.244293
2025-08-02,8.339061
2025-08-03,8.339061
2025-08-04,8.298292
2025-08-05,8.3008
2025-08-06,8.329398
2025-08-07,8.387714
2025-08-08,8.367002
2025-08-09,8.374014
2025-08-10,8.374014
2025-08-11,8.372263
2025-08-12,8.357517
