date,exchange_rate
2014-11-07,2614.06006
2014-11-10,2602.66992
2014-11-11,2630.63989
2014-11-12,2630.32007
2014-11-13,2657.29004
2014-11-14,2704.02002
2014-11-17,2686.5
2014-11-18,2694.08008
2014-11-19,2698.81006
2014-11-20,2710.44995
2014-11-21,2658.17993
2014-11-24,2675.28003
2014-11-25,2705.67
2014-11-26,2707.51
2014-11-27,2695.59
2014-11-28,2760.71
2014-12-01,2829.36
2014-12-02,2847.03003
2014-12-03,2822.11011
2014-12-04,2838.31
2014-12-05,2848.05005
2014-12-08,2861.82007
2014-12-09,2912.04
2014-12-10,2947.25
2014-12-11,2986.31006
2014-12-12,2998.23
2014-12-15,2984.71997
2014-12-16,3071.56
2014-12-17,2991.87012
2014-12-18,2850.4
2014-12-19,2813.71997
2014-12-22,2825.59009
2014-12-23,2849.37988
2014-12-24,2867.98999
2014-12-25,2874.17
2014-12-26,2864.1
2014-12-29,2885.16
2014-12-30,2907.71
2014-12-31,2893.7
2015-01-01,2894.65
2015-01-02,2873.69995
2015-01-05,2899.52002
2015-01-06,2919.26
2015-01-07,2879.53003
2015-01-08,2845.66992
2015-01-09,2861.23999
2015-01-12,2857.63
2015-01-13,2874.4
2015-01-14,2880.09
2015-01-15,2809.83008
2015-01-16,2775.51
2015-01-19,2732.51001
2015-01-20,2745.8501
2015-01-21,2754.06006
2015-01-22,2696.39
2015-01-23,2672.47
2015-01-26,2686.40991
2015-01-27,2713.45996
2015-01-28,2665.1001
2015-01-29,2733.06
2015-01-30,2769.68994
2015-02-02,2726.8999
2015-02-03,2724.91
2015-02-04,2711.8501
2015-02-05,2729.11011
2015-02-06,2699.22
2015-02-09,2677.82
2015-02-10,2695.45996
2015-02-11,2724.74
2015-02-12,2752.78
2015-02-13,2698.37
2015-02-16,2712.03
2015-02-17,2747.81006
2015-02-18,2770.65
2015-02-19,2782.08008
2015-02-20,2788.71997
2015-02-23,2833.49
2015-02-24,2818.71
2015-02-25,2824.27
2015-02-26,2780.91992
2015-02-27,2797.41
2015-03-02,2804.40991
2015-03-03,2859.25
2015-03-04,2849.88
2015-03-05,2810.67993
2015-03-06,2784.88
2015-03-09,2801.37
2015-03-10,2787.95996
2015-03-11,2769.36
2015-03-12,2770.21
2015-03-13,2758.03
2015-03-16,2820.74
2015-03-17,2843.16
2015-03-18,2880.66
2015-03-19,2796.1
2015-03-20,2828.06
2015-03-23,2822.11
2015-03-24,2794.34009
2015-03-25,2752.1
2015-03-26,2760.67
2015-03-27,2795.02002
2015-03-30,2770.93
2015-03-31,2766.21997
2015-04-01,2774.42
2015-04-02,2796.13
2015-04-03,2814.07007
2015-04-06,2770.1001
2015-04-07,2751.17993
2015-04-08,2677.66992
2015-04-09,2650.33008
2015-04-10,2659.08
2015-04-13,2651.29004
2015-04-14,2721.17
2015-04-15,2718.29004
2015-04-16,2681.18
2015-04-17,2701.48
2015-04-20,2675.90991
2015-04-21,2654.23999
2015-04-22,2649.01
2015-04-23,2670.8501
2015-04-24,2666.54004
2015-04-27,2668.19995
2015-04-28,2644.04
2015-04-29,2679.86011
2015-04-30,2672.06006
2015-05-01,2677.75
2015-05-04,2664.80005
2015-05-05,2692.18
2015-05-06,2676.82007
2015-05-07,2666.17
2015-05-08,2641.01001
2015-05-11,2630.17993
2015-05-12,2693.88989
2015-05-13,2700.25
2015-05-14,2712.07
2015-05-15,2765.22998
2015-05-18,2733.68
2015-05-19,2769.68994
2015-05-20,2757.47998
2015-05-21,2766.77002
2015-05-22,2754.18
2015-05-25,2745.31
2015-05-26,2757.55005
2015-05-27,2781.69995
2015-05-28,2787.30005
2015-05-29,2781.9
2015-06-01,2799.23999
2015-06-02,2846.41992
2015-06-03,2904.56
2015-06-04,2906.23999
2015-06-05,2912.02002
2015-06-08,2948.7
2015-06-09,2882.41
2015-06-10,2893.16
2015-06-11,2854.22
2015-06-12,2847.81006
2015-06-15,2847.65991
2015-06-16,2838.58008
2015-06-17,2875.65
2015-06-18,2900.2
2015-06-19,2900.25
2015-06-22,2875.01001
2015-06-23,2843.68994
2015-06-24,2868.58
2015-06-25,2866.56006
2015-06-26,2858.29
2015-06-29,2899.0
2015-06-30,2876.41992
2015-07-01,2919.25
2015-07-02,2919.39
2015-07-03,2893.76001
2015-07-06,2953.66
2015-07-07,2963.08
2015-07-08,2971.34
2015-07-09,2960.07
2015-07-10,2981.5
2015-07-13,2955.36
2015-07-14,2954.04
2015-07-15,2961.3
2015-07-16,2979.05
2015-07-17,2988.15
2015-07-20,2986.93
2015-07-21,3028.26
2015-07-22,3040.91
2015-07-23,3098.96
2015-07-24,3133.02
2015-07-27,3172.04
2015-07-28,3144.35
2015-07-29,3129.31
2015-07-30,3145.29
2015-07-31,3157.6
2015-08-03,3163.09
2015-08-04,3169.9
2015-08-05,3217.47
2015-08-06,3229.72
2015-08-07,3221.69
2015-08-10,3205.26
2015-08-11,3246.15
2015-08-12,3270.81
2015-08-13,3269.48
