date,exchange_rate
2014-11-24,668.94
2014-11-25,670.8
2014-11-26,672.16
2014-11-27,670.2
2014-11-28,669.04
2014-12-01,669.8
2014-12-02,663.86
2014-12-03,659.28
2014-12-04,663.06
2014-12-05,657.62
2014-12-08,659.21
2014-12-09,662.32
2014-12-10,666.64
2014-12-11,664.26
2014-12-12,667.4
2014-12-15,666.4
2014-12-16,670.14
2014-12-17,660.43
2014-12-18,656.81
2014-12-19,653.63
2014-12-22,653.48
2014-12-23,654.68
2014-12-24,658.96
2014-12-25,660.38
2014-12-26,658.06
2014-12-29,656.81
2014-12-30,657.24
2014-12-31,654.07
2015-01-01,654.29
2015-01-02,648.79
2015-01-05,645.08
2015-01-06,641.63
2015-01-07,639.36
2015-01-08,637.17
2015-01-09,639.87
2015-01-12,639.65
2015-01-13,636.43
2015-01-14,637.16
2015-01-15,625.6
2015-01-16,621.88
2015-01-19,623.87
2015-01-20,621.07
2015-01-21,624.42
2015-01-22,608.9
2015-01-23,602.25
2015-01-26,604.1
2015-01-27,611.11
2015-01-28,617.59
2015-01-29,608.41
2015-01-30,607.11
2015-02-02,610.05
2015-02-03,617.42
2015-02-04,610.55
2015-02-05,618.38
2015-02-06,610.73
2015-02-09,611.4
2015-02-10,610.59
2015-02-11,611.47
2015-02-12,614.92
2015-02-13,613.1
2015-02-16,611.26
2015-02-17,614.22
2015-02-18,613.61
2015-02-19,611.27
2015-02-20,612.0
2015-02-23,609.23
2015-02-24,609.05
2015-02-25,610.27
2015-02-26,601.32
2015-02-27,601.04
2015-03-02,599.42
2015-03-03,599.14
2015-03-04,592.43
2015-03-05,591.33
2015-03-06,581.34
2015-03-09,581.38
2015-03-10,573.15
2015-03-11,565.3
2015-03-12,569.34
2015-03-13,561.85
2015-03-16,564.63
2015-03-17,565.99
2015-03-18,578.36
2015-03-19,569.79
2015-03-20,577.41
2015-03-23,585.09
2015-03-24,582.34
2015-03-25,585.35
2015-03-26,580.41
2015-03-27,581.73
2015-03-30,578.07
2015-03-31,574.25
2015-04-01,575.95
2015-04-02,581.42
2015-04-03,586.64
2015-04-06,583.9
2015-04-07,578.06
2015-04-08,575.71
2015-04-09,569.38
2015-04-10,565.89
2015-04-13,564.2
2015-04-14,568.68
2015-04-15,569.5
2015-04-16,573.63
2015-04-17,575.73
2015-04-20,572.08
2015-04-21,571.95
2015-04-22,571.03
2015-04-23,576.28
2015-04-24,579.23
2015-04-27,580.1
2015-04-28,585.73
2015-04-29,593.17
2015-04-30,599.13
2015-05-01,597.72
2015-05-04,594.83
2015-05-05,596.64
2015-05-06,605.25
2015-05-07,600.7
2015-05-08,597.41
2015-05-11,595.46
2015-05-12,599.07
2015-05-13,606.49
2015-05-14,609.09
2015-05-15,611.65
2015-05-18,604.46
2015-05-19,595.39
2015-05-20,592.73
2015-05-21,593.3
2015-05-22,588.12
2015-05-25,586.23
2015-05-26,581.4
2015-05-27,582.3
2015-05-28,585.72
2015-05-29,586.78
2015-06-01,587.37
2015-06-02,599.29
2015-06-03,606.15
