date,exchange_rate
2014-11-07,1.2411
2014-11-10,1.2371
2014-11-11,1.2426
2014-11-12,1.2386
2014-11-13,1.2425
2014-11-14,1.2475
2014-11-17,1.2401
2014-11-18,1.2485
2014-11-19,1.2504
2014-11-20,1.249
2014-11-21,1.234
2014-11-24,1.2392
2014-11-25,1.2427
2014-11-26,1.2456
2014-11-27,1.2417
2014-11-28,1.2391
2014-12-01,1.2419
2014-12-02,1.2331
2014-12-03,1.226
2014-12-04,1.2333
2014-12-05,1.224
2014-12-08,1.2277
2014-12-09,1.2322
2014-12-10,1.2394
2014-12-11,1.2348
2014-12-12,1.2408
2014-12-15,1.2384
2014-12-16,1.2462
2014-12-17,1.2287
2014-12-18,1.2238
2014-12-19,1.2176
2014-12-22,1.218
2014-12-23,1.212
2014-12-24,1.2153
2014-12-25,1.2173
2014-12-26,1.2128
2014-12-30,1.2106
2014-12-31,1.2048
2015-01-01,1.2055
2015-01-02,1.1952
2015-01-05,1.1885
2015-01-06,1.1844
2015-01-07,1.1787
2015-01-08,1.1745
2015-01-09,1.1789
2015-01-12,1.1784
2015-01-13,1.1722
2015-01-14,1.1736
2015-01-15,1.1579
2015-01-16,1.1508
2015-01-19,1.1555
2015-01-20,1.1504
2015-01-21,1.156
2015-01-22,1.1287
2015-01-23,1.1156
2015-01-26,1.1209
2015-01-27,1.131
2015-01-29,1.1269
2015-01-30,1.1241
2015-02-02,1.1286
2015-02-03,1.1431
2015-02-04,1.1295
2015-02-05,1.1428
2015-02-06,1.1271
2015-02-09,1.1273
2015-02-10,1.1263
2015-02-11,1.1244
2015-02-12,1.1354
2015-02-13,1.1335
2015-02-16,1.1299
2015-02-17,1.1363
2015-02-18,1.1348
2015-02-19,1.1315
2015-02-20,1.133
2015-02-23,1.128
2015-02-24,1.1292
2015-02-25,1.131
2015-02-26,1.1146
2015-02-27,1.1143
2015-03-02,1.114
2015-03-03,1.1123
2015-03-04,1.1028
2015-03-05,1.0977
2015-03-06,1.0796
2015-03-09,1.0802
2015-03-10,1.0649
2015-03-11,1.0497
2015-03-12,1.0584
2015-03-13,1.0437
2015-03-16,1.0526
2015-03-17,1.0541
2015-03-18,1.087
2015-03-19,1.0589
2015-03-20,1.0772
2015-03-23,1.0895
2015-03-24,1.0874
2015-03-25,1.0924
2015-03-26,1.0838
2015-03-27,1.0841
2015-03-30,1.0773
2015-03-31,1.0694
2015-04-01,1.0711
2015-04-02,1.0832
2015-04-03,1.092
2015-04-06,1.089
2015-04-07,1.0764
2015-04-08,1.0731
2015-04-09,1.0603
2015-04-10,1.0548
2015-04-13,1.0516
2015-04-14,1.0603
2015-04-15,1.0635
2015-04-16,1.0711
2015-04-17,1.0755
2015-04-20,1.0687
2015-04-21,1.0685
2015-04-22,1.0676
2015-04-23,1.0781
2015-04-24,1.0811
2015-04-27,1.0833
2015-04-28,1.0925
2015-04-29,1.1061
2015-04-30,1.1174
2015-05-01,1.1148
2015-05-04,1.1094
2015-05-05,1.1135
2015-05-06,1.1297
2015-05-07,1.1217
2015-05-08,1.1157
2015-05-11,1.1102
2015-05-12,1.1161
2015-05-13,1.1299
2015-05-14,1.1358
2015-05-15,1.1396
2015-05-18,1.1265
2015-05-19,1.1098
2015-05-20,1.1046
2015-05-21,1.1063
2015-05-22,1.0958
2015-05-25,1.0929
2015-05-26,1.0826
2015-05-27,1.0854
2015-05-28,1.0898
2015-05-29,1.0936
2015-06-01,1.0874
2015-06-02,1.1099
2015-06-03,1.1224
2015-06-04,1.1194
2015-06-05,1.1064
2015-06-08,1.1243
2015-06-09,1.1233
2015-06-10,1.1279
2015-06-11,1.1213
2015-06-12,1.1212
2015-06-15,1.1233
2015-06-16,1.12
2015-06-17,1.1281
2015-06-18,1.1308
2015-06-19,1.1301
2015-06-22,1.1292
2015-06-23,1.1121
2015-06-24,1.115
2015-06-25,1.1155
2015-06-26,1.1119
2015-06-29,1.1186
2015-06-30,1.1099
2015-07-01,1.1009
2015-07-02,1.1036
2015-07-03,1.1057
2015-07-06,1.1007
2015-07-07,1.0962
2015-07-08,1.1026
2015-07-09,1.098
2015-07-10,1.1114
2015-07-13,1.0952
2015-07-14,1.0961
2015-07-15,1.0899
2015-07-16,1.0828
2015-07-17,1.0781
2015-07-20,1.077
2015-07-21,1.0884
2015-07-22,1.0836
2015-07-23,1.094
2015-07-24,1.0934
2015-07-27,1.1042
2015-07-28,1.1007
2015-07-29,1.0935
2015-07-30,1.0881
2015-07-31,1.0934
2015-08-03,1.0905
2015-08-04,1.0837
2015-08-05,1.0856
2015-08-06,1.0875
2015-08-07,1.0908
2015-08-10,1.0968
2015-08-11,1.0993
2015-08-12,1.1118
2015-08-13,1.1107
2015-08-14,1.1062
2015-08-17,1.1029
2015-08-18,1.097
2015-08-19,1.1071
2015-08-20,1.1186
2015-08-21,1.1336
2015-08-24,1.1553
2015-08-25,1.1473
2015-08-26,1.1261
2015-08-27,1.1202
2015-08-28,1.113
2015-08-31,1.1162
2015-09-01,1.1256
2015-09-02,1.1181
2015-09-03,1.1083
2015-09-04,1.1099
2015-09-07,1.1121
2015-09-08,1.116
2015-09-09,1.1155
2015-09-10,1.1223
2015-09-11,1.1289
2015-09-14,1.1266
2015-09-15,1.122
2015-09-16,1.1236
2015-09-17,1.1372
2015-09-18,1.1253
2015-09-21,1.114
2015-09-22,1.1082
2015-09-23,1.1132
2015-09-24,1.1179
2015-09-25,1.1157
2015-09-28,1.1179
2015-09-29,1.12
2015-09-30,1.1124
2015-10-01,1.1145
2015-10-02,1.1164
2015-10-05,1.1134
2015-10-06,1.1224
2015-10-07,1.119
2015-10-08,1.1222
2015-10-09,1.1313
2015-10-12,1.1313
2015-10-13,1.1332
2015-10-14,1.1425
2015-10-15,1.1328
2015-10-16,1.1301
2015-10-19,1.127
2015-10-20,1.1291
2015-10-21,1.1289
2015-10-22,1.1059
2015-10-23,1.0957
2015-10-26,1.097
2015-10-27,1.0999
2015-10-28,1.0875
2015-10-29,1.0927
2015-10-30,1.0947
2015-11-02,1.0964
2015-11-03,1.0899
2015-11-04,1.0809
2015-11-05,1.0815
2015-11-06,1.0694
2015-11-09,1.0703
2015-11-10,1.0669
2015-11-11,1.0691
2015-11-12,1.077
2015-11-13,1.0701
2015-11-16,1.0638
2015-11-17,1.0591
2015-11-18,1.0604
2015-11-19,1.0682
2015-11-20,1.0597
2015-11-23,1.0586
2015-11-24,1.0591
2015-11-25,1.0569
2015-11-26,1.0557
2015-11-27,1.0546
2015-11-30,1.0516
2015-12-01,1.0583
2015-12-02,1.0561
2015-12-03,1.0898
2015-12-04,1.0832
2015-12-07,1.0789
2015-12-08,1.0842
2015-12-09,1.0976
2015-12-10,1.0891
2015-12-11,1.0936
2015-12-14,1.0941
2015-12-15,1.0881
2015-12-16,1.0867
2015-12-17,1.0777
2015-12-18,1.0819
2015-12-21,1.0871
2015-12-22,1.0907
2015-12-23,1.0864
2015-12-24,1.0914
2015-12-25,1.0926
2015-12-28,1.0921
2015-12-29,1.0884
2015-12-30,1.0881
2015-12-31,1.0813
2016-01-01,1.081
2016-01-04,1.0781
2016-01-05,1.0697
2016-01-06,1.0734
2016-01-07,1.0886
2016-01-08,1.0874
2016-01-11,1.0806
2016-01-12,1.0807
2016-01-13,1.0828
2016-01-14,1.0819
2016-01-15,1.0862
2016-01-18,1.0849
2016-01-19,1.086
2016-01-20,1.0842
2016-01-21,1.0828
2016-01-22,1.0751
2016-01-25,1.0801
2016-01-26,1.0809
2016-01-27,1.0845
2016-01-28,1.0891
2016-01-29,1.0784
2016-02-01,1.0842
2016-02-02,1.0868
2016-02-03,1.1056
2016-02-04,1.1158
2016-02-05,1.1108
2016-02-08,1.1146
2016-02-09,1.1246
2016-02-10,1.1243
2016-02-11,1.127
2016-02-12,1.1206
2016-02-15,1.1128
2016-02-16,1.1096
2016-02-18,1.1048
2016-02-19,1.1083
2016-02-22,1.0974
2016-02-24,1.096
2016-02-25,1.0977
2016-02-26,1.0889
2016-02-29,1.0827
2016-03-01,1.0817
2016-03-02,1.0818
2016-03-03,1.0911
2016-03-04,1.0958
2016-03-07,1.0962
2016-03-08,1.0961
2016-03-09,1.0955
2016-03-10,1.1127
2016-03-11,1.1103
2016-03-14,1.1053
2016-03-15,1.1062
2016-03-16,1.1181
2016-03-17,1.1267
2016-03-18,1.122
2016-03-21,1.1193
2016-03-22,1.1167
2016-03-23,1.1131
2016-03-24,1.1127
2016-03-25,1.1118
2016-03-28,1.1148
2016-03-29,1.1244
2016-03-30,1.129
2016-03-31,1.1329
2016-04-01,1.1341
2016-04-04,1.1345
2016-04-05,1.1334
2016-04-06,1.1346
2016-04-07,1.1323
2016-04-08,1.1349
2016-04-11,1.1357
2016-04-12,1.1337
2016-04-13,1.1237
2016-04-14,1.1211
2016-04-15,1.1242
2016-04-18,1.1263
2016-04-19,1.1312
2016-04-20,1.1243
2016-04-21,1.1238
2016-04-22,1.118
2016-04-25,1.1217
2016-04-26,1.1241
2016-04-27,1.1271
2016-04-28,1.1302
2016-04-29,1.1402
2016-05-02,1.1484
2016-05-03,1.1456
2016-05-04,1.1439
2016-05-05,1.1352
2016-05-06,1.1356
2016-05-09,1.1334
2016-05-10,1.1322
2016-05-11,1.1374
2016-05-12,1.1327
2016-05-13,1.1257
2016-05-16,1.1271
2016-05-17,1.1265
2016-05-18,1.1172
2016-05-19,1.1151
2016-05-20,1.1168
2016-05-23,1.1166
2016-05-24,1.1092
2016-05-25,1.1105
2016-05-26,1.1139
2016-05-27,1.1064
2016-05-30,1.1091
2016-05-31,1.1079
2016-06-01,1.1138
2016-06-02,1.1102
2016-06-03,1.1315
2016-06-06,1.1309
2016-06-07,1.1308
2016-06-08,1.1346
2016-06-09,1.1265
2016-06-10,1.1201
2016-06-13,1.1244
2016-06-14,1.1157
2016-06-15,1.121
2016-06-16,1.1173
2016-06-17,1.1229
2016-06-20,1.1264
2016-06-21,1.1205
2016-06-22,1.1248
2016-06-23,1.1337
2016-06-24,1.1043
2016-06-27,1.0969
2016-06-28,1.1028
2016-06-29,1.1072
2016-06-30,1.1052
2016-07-01,1.1087
2016-07-04,1.1106
2016-07-05,1.1018
2016-07-06,1.1049
2016-07-07,1.1014
2016-07-08,1.1003
2016-07-11,1.1006
2016-07-12,1.101
2016-07-13,1.1043
2016-07-14,1.1069
2016-07-15,1.0985
2016-07-18,1.1024
2016-07-19,1.0969
2016-07-20,1.0962
2016-07-21,1.0972
2016-07-22,1.0924
2016-07-25,1.0941
2016-07-26,1.0935
2016-07-27,1.1008
2016-07-28,1.1028
2016-07-29,1.1121
2016-08-01,1.111
2016-08-02,1.1174
2016-08-03,1.1099
2016-08-04,1.1079
2016-08-05,1.1038
2016-08-08,1.1036
2016-08-09,1.1064
2016-08-10,1.1128
2016-08-11,1.1089
2016-08-12,1.1111
2016-08-15,1.1133
2016-08-16,1.1224
2016-08-17,1.1235
2016-08-18,1.1304
2016-08-19,1.1272
2016-08-22,1.1271
2016-08-23,1.1254
2016-08-24,1.1215
2016-08-25,1.123
2016-08-26,1.1148
2016-08-29,1.1137
2016-08-30,1.109
2016-08-31,1.1107
2016-09-01,1.1149
