date,exchange_rate
2023-10-28,28.033307
2023-10-30,27.986799
2023-10-31,28.034901
2023-11-01,28.046772
2023-11-02,28.130138
2023-11-03,28.450253
2023-11-04,28.450253
2023-11-05,28.429211
2023-11-06,28.408996
2023-11-07,28.34891
2023-11-08,28.380194
2023-11-09,28.266516
2023-11-10,28.393746
2023-11-12,28.393746
2023-11-13,28.319232
2023-11-14,28.836616
2023-11-15,28.750753
2023-11-16,28.760426
2023-11-17,28.928539
2023-11-18,28.928539
2023-11-19,28.909609
2023-11-20,28.990422
2023-11-21,28.915918
2023-11-22,28.849818
2023-11-23,28.898905
2023-11-24,29.015527
2023-11-25,29.015527
2023-11-26,29.003431
2023-11-27,29.029966
2023-11-28,29.1385
2023-11-29,29.077749
2023-11-30,28.859246
2023-12-01,28.865517
2023-12-02,28.849805
2023-12-03,28.857047
2023-12-04,28.712437
2023-12-05,28.610141
2023-12-06,28.529135
2023-12-07,28.608457
2023-12-08,28.520844
2023-12-09,28.549755
2023-12-10,28.512559
2023-12-11,28.520701
2023-12-12,28.60529
2023-12-13,28.816094
2023-12-14,29.132091
2023-12-15,28.868662
2023-12-16,28.904757
2023-12-17,28.892897
2023-12-18,28.945773
2023-12-19,29.099445
2023-12-20,28.988363
2023-12-21,29.163021
2023-12-22,29.179398
2023-12-23,29.215576
2023-12-24,29.215587
2023-12-25,29.170565
2023-12-26,29.26012
2023-12-27,29.430383
2023-12-28,29.323833
2023-12-29,29.252193
2023-12-30,29.294583
2023-12-31,29.294656
2024-01-01,29.273675
2024-01-02,28.99658
2024-01-03,28.939135
2024-01-04,29.006606
2024-01-05,28.985811
2024-01-06,29.029948
2024-01-07,29.029958
2024-01-08,29.029484
2024-01-09,28.955894
2024-01-10,29.052398
2024-01-11,29.066738
2024-01-12,29.029802
2024-01-13,29.050516
2024-01-14,29.05061
2024-01-15,29.01894
2024-01-16,28.809044
2024-01-17,28.81578
2024-01-18,28.788545
2024-01-19,28.862688
2024-01-20,28.923686
2024-01-21,28.923739
2024-01-22,28.840241
2024-01-23,28.740307
2024-01-24,28.852488
2024-01-25,28.693783
2024-01-26,28.774791
2024-01-27,28.788573
2024-01-28,28.788558
2024-01-29,28.671282
2024-01-30,28.740318
2024-01-31,28.783093
2024-02-01,28.812806
2024-02-02,28.604106
2024-02-03,28.6378
2024-02-04,28.637816
2024-02-05,28.458211
