date,exchange_rate
2023-10-28,110.255686
2023-10-30,110.933533
2023-10-31,110.093275
2023-11-01,111.076193
2023-11-02,109.88196
2023-11-03,110.274702
2023-11-04,110.274702
2023-11-05,110.193143
2023-11-06,110.688277
2023-11-07,110.854971
2023-11-08,110.627115
2023-11-09,110.239587
2023-11-10,110.736033
2023-11-12,110.255957
2023-11-13,110.262964
2023-11-14,112.516106
2023-11-15,110.717803
2023-11-16,110.700526
2023-11-17,111.347976
2023-11-18,110.233996
2023-11-19,110.161865
2023-11-20,111.202596
2023-11-21,110.589781
2023-11-22,110.054969
2023-11-23,110.240709
2023-11-24,110.920225
2023-11-25,110.252469
2023-11-26,110.206507
2023-11-27,110.697122
2023-11-28,110.67161
2023-11-29,110.325362
2023-11-30,110.01378
2023-12-01,110.564621
2023-12-02,110.186244
2023-12-03,110.213906
2023-12-04,110.786655
2023-12-05,110.716232
2023-12-06,110.402638
2023-12-07,110.653
2023-12-08,110.643545
2023-12-09,110.264924
2023-12-10,110.210775
2023-12-11,110.692791
2023-12-12,111.587653
2023-12-13,111.200681
2023-12-14,113.642654
2023-12-15,110.436292
2023-12-16,110.244336
2023-12-17,110.199099
2023-12-18,110.760268
2023-12-19,110.742554
2023-12-20,110.347187
2023-12-21,110.936697
2023-12-22,110.234402
2023-12-23,110.237457
2023-12-24,110.2375
2023-12-25,110.279629
2023-12-26,110.801807
2023-12-27,110.691565
2023-12-28,110.285904
2023-12-29,109.895282
2023-12-30,110.255621
2023-12-31,110.255897
2024-01-01,110.276678
2024-01-02,109.585465
2024-01-03,110.46035
2024-01-04,110.769531
2024-01-05,110.966866
2024-01-06,110.226737
2024-01-07,110.226776
2024-01-08,110.640284
2024-01-09,110.174782
2024-01-10,110.591016
2024-01-11,110.64555
2024-01-12,110.247311
2024-01-13,110.23442
2024-01-14,110.234776
2024-01-15,110.205055
2024-01-16,109.854518
2024-01-17,110.777619
2024-01-18,110.693653
2024-01-19,110.662699
2024-01-20,110.255894
2024-01-21,110.256093
2024-01-22,110.55082
2024-01-23,110.758647
2024-01-24,110.511668
2024-01-25,110.281657
2024-01-26,110.620114
2024-01-27,110.255994
2024-01-28,110.255936
2024-01-29,110.899672
2024-01-30,110.786249
2024-01-31,110.760551
2024-02-01,111.010983
2024-02-02,110.584979
2024-02-03,110.715241
2024-02-04,110.714804
2024-02-05,110.611089
2024-02-06,110.79513
2024-02-07,110.587369
2024-02-08,110.6084
2024-02-09,110.510476
2024-02-10,110.29643
2024-02-11,110.296461
2024-02-12,110.541357
2024-02-13,110.590976
2024-02-14,110.633745
2024-02-15,110.784459
2024-02-16,110.879751
2024-02-17,110.848033
2024-02-18,110.26611
2024-02-19,110.264998
2024-02-20,110.658898
2024-02-21,110.695851
2024-02-22,110.662818
2024-02-23,110.655779
2024-02-24,110.235943
2024-02-25,110.235999
2024-02-26,110.625601
2024-02-27,110.658857
2024-02-28,110.235357
2024-02-29,110.550324
2024-03-01,110.858511
2024-03-02,110.22585
2024-03-03,110.226416
2024-03-04,110.633219
2024-03-05,110.317958
2024-03-06,110.700859
2024-03-07,111.12108
2024-03-08,110.592294
2024-03-09,110.254545
2024-03-10,110.255283
2024-03-11,110.699493
2024-03-12,110.747821
2024-03-13,110.799158
2024-03-14,110.670518
2024-03-15,110.696463
2024-03-16,110.346846
2024-03-17,110.346856
2024-03-18,110.698297
2024-03-19,110.653677
2024-03-20,110.975061
2024-03-21,109.753367
2024-03-22,110.67919
2024-03-23,110.255994
2024-03-24,110.256208
2024-03-25,110.791488
2024-03-26,110.688782
2024-03-27,110.68102
2024-03-28,110.447028
2024-03-29,110.52908
2024-03-30,110.246771
2024-03-31,110.24679
2024-04-01,110.043826
2024-04-02,110.524434
2024-04-03,111.174366
2024-04-04,110.721787
2024-04-05,110.843988
2024-04-06,110.247183
2024-04-07,110.24722
2024-04-08,111.070316
2024-04-09,110.53743
2024-04-10,109.421755
2024-04-11,110.13949
2024-04-12,108.430961
2024-04-13,108.680946
2024-04-14,110.245856
2024-04-15,110.471301
2024-04-16,108.619232
2024-04-17,110.317645
2024-04-18,108.93219
2024-04-19,110.634667
2024-04-20,110.224905
2024-04-21,110.224905
2024-04-22,110.623564
2024-04-23,111.005916
2024-04-24,110.27077
2024-04-25,111.124639
2024-04-26,109.826996
2024-04-27,110.276568
2024-04-28,110.276568
2024-04-29,110.656077
2024-04-30,110.581021
2024-05-01,110.346604
2024-05-02,111.069458
2024-05-03,110.461706
2024-05-04,110.247545
2024-05-05,110.247545
2024-05-06,110.267726
2024-05-07,110.587466
2024-05-08,110.378972
2024-05-09,110.664163
2024-05-10,110.226154
2024-05-11,110.344978
2024-05-12,110.249857
2024-05-13,110.37808
2024-05-14,110.660565
2024-05-15,111.064073
2024-05-16,110.707475
2024-05-17,110.812279
2024-05-18,110.253708
2024-05-19,110.253708
2024-05-20,110.69118
2024-05-21,110.615666
2024-05-22,110.57859
2024-05-23,110.064725
2024-05-24,111.100255
2024-05-25,110.278328
2024-05-26,110.278328
2024-05-27,110.233091
2024-05-28,110.142504
2024-05-29,110.002052
2024-05-30,111.009756
2024-05-31,110.243446
2024-06-01,110.255212
2024-06-02,110.255212
2024-06-03,110.641276
2024-06-04,110.52011
2024-06-05,110.282589
2024-06-06,110.387877
2024-06-07,109.77615
2024-06-08,110.232078
2024-06-09,110.232078
2024-06-10,110.292185
2024-06-11,110.527596
2024-06-12,111.86864
2024-06-13,110.186459
2024-06-14,110.242402
2024-06-15,110.227286
2024-06-16,110.227286
2024-06-17,110.366773
2024-06-18,110.474685
2024-06-19,110.218992
2024-06-20,110.093773
2024-06-21,110.299736
2024-06-22,110.267764
2024-06-23,110.267764
2024-06-24,110.255563
2024-06-25,110.532191
2024-06-26,110.269684
2024-06-27,110.431903
2024-06-28,110.24846
2024-06-29,110.379626
2024-06-30,110.268418
2024-07-01,110.147055
2024-07-02,110.382286
2024-07-03,110.779338
2024-07-04,110.349919
2024-07-05,110.197819
2024-07-06,110.276519
2024-07-07,110.276519
2024-07-08,110.353059
2024-07-09,110.249437
2024-07-10,110.298085
2024-07-11,110.500967
2024-07-12,110.329148
2024-07-13,110.789494
2024-07-14,110.789494
2024-07-15,110.297043
2024-07-16,110.117289
2024-07-17,110.280445
2024-07-18,110.020479
2024-07-19,110.225115
2024-07-20,110.276622
2024-07-21,110.276622
2024-07-22,110.158173
2024-07-23,110.1361
2024-07-24,110.523855
2024-07-25,110.19655
2024-07-26,110.346587
2024-07-27,110.26515
2024-07-28,110.26515
2024-07-29,110.088221
2024-07-30,110.055009
2024-07-31,110.305213
2024-08-01,110.379366
2024-08-02,110.995216
2024-08-03,110.255492
2024-08-04,110.255492
2024-08-05,110.547386
2024-08-06,110.4477
2024-08-07,110.290683
2024-08-08,109.921514
2024-08-09,110.35149
2024-08-10,110.698867
2024-08-11,110.698867
2024-08-12,110.275038
2024-08-13,110.612212
2024-08-14,110.424111
2024-08-15,109.709109
2024-08-16,110.344104
2024-08-17,110.254785
2024-08-18,110.254785
2024-08-19,110.238395
2024-08-20,110.461639
2024-08-21,110.306232
2024-08-22,110.275023
2024-08-23,110.186307
2024-08-24,110.256303
2024-08-25,110.256303
2024-08-26,110.103865
2024-08-27,110.135892
2024-08-28,110.118561
2024-08-29,110.15191
2024-08-30,110.106563
2024-08-31,110.855642
2024-09-01,110.236826
2024-09-02,110.294618
2024-09-03,110.468112
2024-09-04,110.331374
2024-09-05,110.265235
2024-09-06,109.984762
2024-09-07,110.245847
2024-09-08,110.245847
2024-09-09,110.593799
2024-09-10,110.095324
2024-09-11,109.934189
2024-09-12,110.457866
2024-09-13,110.308905
2024-09-14,110.236418
2024-09-15,110.236418
2024-09-16,110.375216
2024-09-17,110.365193
2024-09-18,110.250634
2024-09-19,110.304737
2024-09-20,110.357055
2024-09-21,110.244101
2024-09-22,110.244101
2024-09-23,109.822283
2024-09-24,110.475589
2024-09-25,110.15523
2024-09-26,110.398296
2024-09-27,110.22869
2024-09-28,110.844247
2024-09-29,110.844247
2024-09-30,110.398348
2024-10-01,109.751077
2024-10-02,110.301605
2024-10-03,110.218887
2024-10-04,110.21751
2024-10-05,110.257177
2024-10-06,110.257177
2024-10-07,110.22878
2024-10-08,110.314562
2024-10-09,110.173913
2024-10-10,110.209537
2024-10-11,110.206921
2024-10-12,110.256947
2024-10-13,110.256947
2024-10-14,110.319806
2024-10-15,110.226815
2024-10-16,110.355451
2024-10-17,110.257427
2024-10-18,110.426234
2024-10-19,110.242136
2024-10-20,110.242136
2024-10-21,110.092634
2024-10-22,110.372599
2024-10-23,110.061324
2024-10-24,110.358269
2024-10-25,110.317699
2024-10-26,110.247792
2024-10-27,110.247792
2024-10-28,110.436322
2024-10-29,110.295815
2024-10-30,110.427071
2024-10-31,110.514089
2024-11-01,110.027923
2024-11-02,110.930143
2024-11-03,110.257865
2024-11-04,110.263398
2024-11-05,110.718968
2024-11-06,108.895125
2024-11-07,110.58358
2024-11-08,110.160051
2024-11-09,110.256399
2024-11-10,110.256399
2024-11-11,109.842155
2024-11-12,109.991174
2024-11-13,110.245529
2024-11-14,109.889154
2024-11-15,110.578953
2024-11-16,110.255856
2024-11-17,110.255856
2024-11-18,110.49011
2024-11-19,109.728652
2024-11-20,109.857142
2024-11-21,109.992969
2024-11-22,109.61197
2024-11-23,110.252195
2024-11-24,110.252195
2024-11-25,110.876599
2024-11-26,110.806087
2024-11-27,110.563313
2024-11-28,110.163643
2024-11-29,110.277714
2024-11-30,110.23069
2024-12-01,110.23069
2024-12-02,110.213943
2024-12-03,110.638024
2024-12-04,110.292684
2024-12-05,110.403901
2024-12-06,110.437708
2024-12-07,110.268656
2024-12-08,110.268656
2024-12-09,110.576695
2024-12-10,110.029734
2024-12-11,109.839055
2024-12-12,110.256481
2024-12-13,110.556405
2024-12-14,110.236129
2024-12-15,110.236129
2024-12-16,109.984419
2024-12-17,109.973394
2024-12-18,110.213925
2024-12-19,110.575195
2024-12-20,110.466486
2024-12-21,110.644164
2024-12-22,110.230581
2024-12-23,109.830765
2024-12-24,110.195607
2024-12-25,110.296509
2024-12-26,110.170149
2024-12-27,110.371475
2024-12-28,110.286907
2024-12-29,110.286907
2024-12-30,110.502084
2024-12-31,110.332074
2025-01-01,109.74678
2025-01-02,108.822173
2025-01-03,110.582093
2025-01-04,110.254178
2025-01-05,110.254178
2025-01-06,111.097334
2025-01-07,110.754198
2025-01-08,109.908611
2025-01-09,110.168219
2025-01-10,110.262202
2025-01-11,110.247027
2025-01-12,110.247027
2025-01-13,109.754851
2025-01-14,110.360515
2025-01-15,110.290475
2025-01-16,110.28203
2025-01-17,110.305349
2025-01-18,110.367959
2025-01-19,110.367959
2025-01-20,110.433576
2025-01-21,109.99321
2025-01-22,110.738898
2025-01-23,110.323884
2025-01-24,111.037568
2025-01-25,110.245534
2025-01-26,110.245534
2025-01-27,110.788868
2025-01-28,110.168756
2025-01-29,109.975084
2025-01-30,110.056749
2025-01-31,110.177981
2025-02-01,110.077004
2025-02-02,110.261307
2025-02-03,110.385037
2025-02-04,110.371636
2025-02-05,110.820749
2025-02-06,109.807245
2025-02-07,110.213386
2025-02-08,110.229528
2025-02-09,110.229528
2025-02-10,110.469206
2025-02-11,110.764061
2025-02-12,110.717569
2025-02-13,110.525575
2025-02-14,110.497422
2025-02-15,110.254921
2025-02-16,110.254921
2025-02-17,110.041995
2025-02-18,110.221976
2025-02-19,110.023553
2025-02-20,110.371754
2025-02-21,110.078117
2025-02-22,110.255356
2025-02-23,110.255356
2025-02-24,109.754617
2025-02-25,110.321382
2025-02-26,110.063754
2025-02-27,110.241904
2025-02-28,110.349341
2025-03-01,110.788592
2025-03-02,110.788592
2025-03-03,110.500526
2025-03-04,110.528703
2025-03-05,111.046235
2025-03-06,109.977959
2025-03-07,111.049708
2025-03-08,110.265368
2025-03-09,110.265368
2025-03-10,110.322161
2025-03-11,110.668003
2025-03-12,110.398002
2025-03-13,110.092038
2025-03-14,110.412239
2025-03-15,110.263904
2025-03-16,110.263904
2025-03-17,110.447664
2025-03-18,110.481493
2025-03-19,109.844319
2025-03-20,109.635722
2025-03-21,110.081814
2025-03-22,111.329034
2025-03-23,110.262418
2025-03-24,110.36999
2025-03-25,110.289677
2025-03-26,110.31777
2025-03-27,110.300412
2025-03-28,110.055592
2025-03-29,110.245085
2025-03-30,110.245085
2025-03-31,110.060001
2025-04-01,109.999929
2025-04-02,110.272822
2025-04-03,111.680186
2025-04-04,109.498622
2025-04-05,110.234821
2025-04-06,110.234821
2025-04-07,110.380642
2025-04-08,110.026659
2025-04-09,110.474128
2025-04-10,110.838484
2025-04-11,111.158504
2025-04-12,110.25734
2025-04-13,110.25734
2025-04-14,110.730501
2025-04-15,110.647565
2025-04-16,110.53982
2025-04-17,110.307772
2025-04-18,110.760836
2025-04-19,110.77121
2025-04-20,110.77121
2025-04-21,110.770244
2025-04-22,112.0107
2025-04-23,110.636485
2025-04-24,110.63605
2025-04-25,110.275157
2025-04-26,110.93768
2025-04-27,110.735677
2025-04-28,110.184804
2025-04-29,110.193149
2025-04-30,110.157094
2025-05-01,110.216388
2025-05-02,110.450249
2025-05-03,110.234228
2025-05-04,110.234228
2025-05-05,110.583583
2025-05-06,110.785142
2025-05-07,110.659083
2025-05-08,109.914502
2025-05-09,109.825114
2025-05-10,110.567117
2025-05-11,110.567117
2025-05-12,108.998201
2025-05-13,110.33759
2025-05-14,111.533028
2025-05-15,110.163559
2025-05-16,110.986073
2025-05-17,110.261592
2025-05-18,110.261592
2025-05-19,111.053603
2025-05-20,110.535973
2025-05-21,110.51775
2025-05-22,110.016932
2025-05-23,110.660807
2025-05-24,110.279972
2025-05-25,110.279972
2025-05-26,110.110388
2025-05-27,109.771421
2025-05-28,110.280126
2025-05-29,109.815157
2025-05-30,110.731038
2025-05-31,110.396649
2025-06-01,110.396649
2025-06-02,110.871863
2025-06-03,109.979329
2025-06-04,110.359866
2025-06-05,110.828202
2025-06-06,110.297352
2025-06-07,110.274222
2025-06-08,110.274222
2025-06-09,110.583237
2025-06-10,110.53108
2025-06-11,110.984827
2025-06-12,110.516326
2025-06-13,110.519964
2025-06-14,110.263047
2025-06-15,110.263047
2025-06-16,110.675566
2025-06-17,110.49544
2025-06-18,109.719096
2025-06-19,110.316056
2025-06-20,110.75547
2025-06-21,110.237892
2025-06-22,110.237892
2025-06-23,110.002256
2025-06-24,110.212819
2025-06-25,110.493535
2025-06-26,110.628097
2025-06-27,110.411623
2025-06-28,110.892518
2025-06-29,110.233503
2025-06-30,110.325358
2025-07-01,111.186961
2025-07-02,109.902191
2025-07-03,110.19655
2025-07-04,110.221145
2025-07-05,110.27203
2025-07-06,110.27203
2025-07-07,109.889448
2025-07-08,110.306199
2025-07-09,110.843575
2025-07-10,110.143583
2025-07-11,110.686938
2025-07-12,110.21674
2025-07-13,110.21674
2025-07-14,110.151585
2025-07-15,110.423087
2025-07-16,110.430283
2025-07-17,110.030548
2025-07-18,110.408564
2025-07-19,110.199718
2025-07-20,110.199718
2025-07-21,110.51124
2025-07-22,110.349279
2025-07-23,110.131028
2025-07-24,110.257494
2025-07-25,110.125744
2025-07-26,110.247953
2025-07-27,110.247953
2025-07-28,109.455964
2025-07-29,108.9423
2025-07-30,110.892683
2025-07-31,109.770277
2025-08-01,109.564068
2025-08-02,110.29378
2025-08-03,110.29378
2025-08-04,110.189691
2025-08-05,109.990533
2025-08-06,110.727102
2025-08-07,110.534681
2025-08-08,110.441746
2025-08-09,110.29926
2025-08-10,110.242929
2025-08-11,110.278175
2025-08-12,110.248179
2025-08-13,111.120738
2025-08-14,110.423655
2025-08-15,111.121559
2025-08-16,111.096105
2025-08-17,111.096105
2025-08-18,109.997224
2025-08-19,110.616689
2025-08-20,110.601819
2025-08-21,110.203737
2025-08-22,110.066906
2025-08-23,110.713796
2025-08-24,110.240537
2025-08-25,110.345512
2025-08-26,109.969604
2025-08-27,109.834642
2025-08-28,110.929704
2025-08-29,110.292252
2025-08-30,110.568575
2025-08-31,110.240632
2025-09-01,110.505778
2025-09-02,109.730038
2025-09-03,110.556007
2025-09-04,110.171624
2025-09-05,110.512077
2025-09-06,110.259345
2025-09-07,110.259345
2025-09-08,110.438539
2025-09-09,110.874116
2025-09-10,110.277247
2025-09-11,110.258
2025-09-12,110.247271
2025-09-13,110.257064
2025-09-14,110.257064
2025-09-15,110.304569
2025-09-16,111.105193
2025-09-17,110.132734
2025-09-18,110.237717
2025-09-19,110.207681
2025-09-20,110.15731
2025-09-21,110.256247
2025-09-22,110.450156
