date,exchange_rate
2013-10-30,25.7081
2013-10-31,25.774
2013-11-03,25.8096
2013-11-04,25.8084
2013-11-05,25.8328
2013-11-06,25.7459
2013-11-07,26.968
2013-11-10,26.9738
2013-11-11,26.9925
2013-11-12,27.005
2013-11-13,27.0637
2013-11-14,27.0881
2013-11-17,27.123
2013-11-18,27.0978
2013-11-19,27.302
2013-11-20,27.247
2013-11-21,27.2161
2013-11-24,27.284
2013-11-25,27.273
2013-11-26,27.3226
2013-11-27,27.3194
2013-11-28,27.3487
2013-12-01,27.3282
2013-12-02,27.461
2013-12-03,27.3755
2013-12-04,27.4596
2013-12-05,27.4084
2013-12-08,27.4347
2013-12-09,27.454
2013-12-10,27.389
2013-12-11,27.4513
2013-12-12,27.4722
2013-12-15,27.4787
2013-12-16,27.5658
2013-12-17,27.6715
2013-12-18,27.6282
2013-12-19,27.6384
2013-12-22,27.5755
2013-12-23,27.4633
2013-12-24,27.4558
2013-12-25,27.5028
2013-12-26,27.5117
2013-12-29,27.4157
2013-12-30,27.3725
2013-12-31,27.3138
2014-01-01,27.323
2014-01-02,27.481
2014-01-05,27.5345
2014-01-06,27.4638
2014-01-07,27.4663
2014-01-08,27.458
2014-01-09,27.4023
2014-01-12,27.3713
2014-01-13,27.3463
2014-01-14,27.4093
2014-01-15,27.4313
2014-01-16,27.4863
2014-01-19,27.4473
2014-01-20,27.5138
2014-01-21,27.564
2014-01-22,27.4748
2014-01-23,27.4588
2014-01-26,27.4558
2014-01-27,27.4818
2014-01-28,27.4592
2014-01-29,27.5226
2014-01-30,27.5963
2014-02-02,27.5118
2014-02-03,27.533
2014-02-04,27.5348
2014-02-05,27.512
2014-02-06,27.4958
2014-02-09,27.5008
2014-02-10,27.5153
2014-02-11,27.4788
2014-02-12,27.509
2014-02-13,27.4963
2014-02-16,27.3788
2014-02-17,27.3763
2014-02-18,27.3255
2014-02-19,27.3738
2014-02-20,27.358
2014-02-23,27.3538
2014-02-24,27.3263
2014-02-25,27.294
2014-02-26,27.305
2014-02-27,27.3163
