date,exchange_rate
2014-11-24,227.54
2014-11-25,226.92
2014-11-26,227.49
2014-11-27,226.83
2014-11-28,223.31
2014-12-01,226.88
2014-12-02,225.33
2014-12-03,223.88
2014-12-04,225.17
2014-12-05,223.42
2014-12-08,224.07
2014-12-09,225.13
2014-12-10,226.4
2014-12-11,225.66
2014-12-12,223.48
2014-12-15,226.32
2014-12-16,227.66
2014-12-17,224.34
2014-12-18,223.48
2014-12-19,222.44
2014-12-22,222.41
2014-12-23,221.41
2014-12-24,222.09
2014-12-25,222.57
2014-12-26,221.67
2014-12-29,221.17
2014-12-30,221.12
2014-12-31,220.12
2015-01-01,220.19
2015-01-02,213.48
2015-01-05,217.11
2015-01-06,216.02
2015-01-07,215.29
2015-01-08,214.43
2015-01-09,215.53
2015-01-12,215.36
2015-01-13,214.2
2015-01-14,214.45
2015-01-15,211.61
2015-01-16,210.45
2015-01-19,211.16
2015-01-20,210.15
2015-01-21,211.29
2015-01-22,206.09
2015-01-23,203.26
2015-01-26,204.5
2015-01-27,206.86
2015-01-28,205.12
2015-01-29,206.02
2015-01-30,205.3
2015-02-02,206.16
2015-02-03,208.61
2015-02-04,206.32
2015-02-05,208.7
2015-02-06,205.78
2015-02-09,201.36
2015-02-10,205.65
2015-02-11,206.08
2015-02-12,202.7
2015-02-13,202.35
2015-02-16,206.47
2015-02-17,207.57
2015-02-18,207.23
2015-02-19,206.72
2015-02-20,207.05
2015-02-23,206.24
2015-02-24,206.24
2015-02-25,206.65
2015-02-26,203.64
2015-02-27,198.25
2015-03-02,203.34
2015-03-03,203.32
2015-03-04,201.55
2015-03-05,200.67
2015-03-06,197.33
2015-03-09,197.27
2015-03-10,194.44
2015-03-11,187.42
2015-03-12,193.2
2015-03-13,191.03
2015-03-16,192.23
2015-03-17,192.57
2015-03-18,196.98
2015-03-19,194.04
2015-03-20,196.66
2015-03-23,199.35
2015-03-24,198.47
2015-03-25,199.38
2015-03-26,197.56
2015-03-27,197.93
2015-03-30,196.96
2015-03-31,195.32
2015-04-01,190.68
2015-04-02,192.55
2015-04-03,194.71
2015-04-06,193.68
2015-04-07,191.99
2015-04-08,190.98
2015-04-09,188.87
2015-04-10,188.03
2015-04-13,187.53
2015-04-14,189.0
2015-04-15,188.91
2015-04-16,190.86
2015-04-17,191.68
2015-04-20,190.0
2015-04-21,190.48
2015-04-22,190.17
2015-04-23,191.58
2015-04-24,192.29
2015-04-27,192.52
2015-04-28,194.32
2015-04-29,196.62
2015-04-30,198.69
2015-05-01,198.11
2015-05-04,197.21
2015-05-05,198.33
2015-05-06,200.7
2015-05-07,199.7
2015-05-08,198.04
2015-05-11,197.45
2015-05-12,198.51
2015-05-13,200.76
2015-05-14,202.32
2015-05-15,203.13
2015-05-18,200.72
2015-05-19,197.71
2015-05-20,196.85
2015-05-21,197.03
2015-05-22,194.58
2015-05-25,193.95
2015-05-26,193.12
2015-05-27,193.44
2015-05-28,194.59
2015-05-29,194.98
2015-06-01,193.81
2015-06-02,197.0
2015-06-03,199.92
2015-06-04,198.75
2015-06-05,197.09
2015-06-08,200.19
2015-06-09,200.02
2015-06-10,200.33
2015-06-11,198.75
2015-06-12,199.18
2015-06-15,199.33
2015-06-16,199.51
2015-06-17,200.34
2015-06-18,200.98
2015-06-19,200.67
2015-06-22,200.42
2015-06-23,197.41
2015-06-24,198.3
2015-06-25,198.1
2015-06-26,197.4
2015-06-29,198.33
2015-06-30,196.77
2015-07-01,195.64
2015-07-02,195.92
2015-07-03,196.54
2015-07-06,195.32
2015-07-07,194.52
2015-07-08,195.56
2015-07-09,195.36
2015-07-10,197.83
2015-07-13,194.58
2015-07-14,194.51
2015-07-15,193.42
2015-07-16,192.95
2015-07-17,191.77
2015-07-20,191.13
2015-07-21,193.21
2015-07-22,193.83
2015-07-23,194.54
2015-07-24,193.72
2015-07-27,195.79
2015-07-28,196.2
2015-07-29,194.55
2015-07-30,193.59
2015-07-31,195.38
2015-08-03,195.06
2015-08-04,193.17
2015-08-05,193.59
2015-08-06,193.71
2015-08-07,194.39
2015-08-10,195.48
2015-08-11,196.05
2015-08-12,197.89
2015-08-13,197.59
2015-08-14,197.05
2015-08-17,196.49
2015-08-18,195.6
2015-08-19,197.18
2015-08-20,199.28
2015-08-21,202.1
2015-08-24,205.42
2015-08-25,204.63
2015-08-26,201.05
2015-08-27,199.41
2015-08-28,198.32
2015-08-31,198.86
2015-09-01,200.5
2015-09-02,198.98
2015-09-03,197.28
2015-09-04,197.8
2015-09-07,197.66
2015-09-08,198.81
2015-09-09,199.02
2015-09-10,199.17
2015-09-11,201.16
2015-09-14,199.74
2015-09-15,199.16
2015-09-16,200.29
2015-09-17,201.98
2015-09-18,199.63
2015-09-21,198.43
2015-09-22,196.89
2015-09-23,197.59
2015-09-24,198.24
2015-09-25,198.54
2015-09-28,198.39
2015-09-29,198.68
2015-09-30,197.85
2015-10-01,198.52
2015-10-02,198.85
2015-10-05,197.37
2015-10-06,198.97
2015-10-07,198.48
2015-10-08,199.1
2015-10-09,201.48
2015-10-12,201.45
2015-10-13,202.72
2015-10-14,203.5
2015-10-15,201.57
2015-10-16,200.97
2015-10-19,200.73
2015-10-20,201.16
2015-10-21,200.85
2015-10-22,196.73
2015-10-23,195.11
2015-10-26,196.92
2015-10-27,196.6
2015-10-28,193.54
2015-10-29,194.7
2015-10-30,195.1
2015-11-02,195.14
2015-11-03,195.21
2015-11-04,192.54
2015-11-05,192.7
2015-11-06,190.27
2015-11-09,190.54
2015-11-10,190.04
2015-11-11,190.43
2015-11-12,191.5
2015-11-13,190.9
2015-11-16,188.39
2015-11-17,188.98
2015-11-18,188.84
2015-11-19,190.13
2015-11-20,188.61
2015-11-23,188.44
2015-11-24,187.68
2015-11-25,188.21
2015-11-26,187.93
2015-11-27,187.64
2015-11-30,187.25
2015-12-01,188.26
2015-12-02,187.01
2015-12-03,193.65
2015-12-04,192.62
2015-12-07,191.94
2015-12-08,193.15
2015-12-09,195.24
2015-12-10,193.81
2015-12-11,194.72
2015-12-14,194.87
2015-12-15,193.71
2015-12-16,193.73
2015-12-17,191.98
2015-12-18,192.54
2015-12-21,193.4
2015-12-22,194.38
2015-12-23,193.24
2015-12-24,194.64
2015-12-25,194.48
2015-12-28,193.45
2015-12-29,193.52
2015-12-30,193.93
2015-12-31,192.59
2016-01-01,192.45
2016-01-04,191.89
2016-01-05,190.54
2016-01-06,191.0
2016-01-07,194.27
2016-01-08,193.53
2016-01-11,193.13
2016-01-12,193.15
2016-01-13,193.57
2016-01-14,193.35
2016-01-15,193.42
2016-01-18,193.32
2016-01-19,194.1
2016-01-20,192.96
2016-01-21,192.68
2016-01-22,191.29
2016-01-25,192.24
2016-01-26,193.24
2016-01-27,193.98
2016-01-28,194.21
2016-01-29,191.87
2016-02-01,193.51
2016-02-02,193.52
2016-02-03,197.14
2016-02-04,198.46
2016-02-05,197.78
2016-02-08,198.44
2016-02-09,200.04
2016-02-10,199.87
2016-02-11,201.27
2016-02-12,199.2
2016-02-15,197.77
2016-02-16,198.21
2016-02-17,197.93
2016-02-18,197.6
2016-02-19,197.98
2016-02-22,195.35
2016-02-23,195.55
2016-02-24,195.97
2016-02-25,195.32
2016-02-26,193.73
2016-02-29,193.61
2016-03-01,192.55
2016-03-02,192.55
2016-03-03,194.77
2016-03-04,195.0
2016-03-07,195.91
2016-03-08,195.03
2016-03-09,194.9
2016-03-10,198.82
2016-03-11,197.61
2016-03-14,196.76
2016-03-15,196.82
2016-03-16,198.72
2016-03-17,200.29
2016-03-18,200.11
2016-03-21,199.95
2016-03-22,198.62
2016-03-23,198.17
2016-03-24,198.86
2016-03-25,198.62
2016-03-28,198.41
2016-03-29,200.01
2016-03-30,200.79
2016-03-31,202.07
2016-04-01,201.72
2016-04-04,201.8
2016-04-05,202.47
2016-04-06,201.94
2016-04-07,201.22
2016-04-08,201.62
2016-04-11,201.95
2016-04-12,202.55
2016-04-13,199.63
2016-04-14,199.37
2016-04-15,199.51
2016-04-18,200.18
2016-04-19,200.78
2016-04-20,200.0
2016-04-21,200.81
2016-04-22,198.53
2016-04-25,199.43
2016-04-26,199.94
2016-04-27,200.43
2016-04-28,200.71
2016-04-29,203.52
2016-05-02,203.79
2016-05-03,203.5
2016-05-04,203.13
2016-05-05,202.84
2016-05-06,201.81
2016-05-09,201.47
2016-05-10,201.54
2016-05-11,201.67
2016-05-12,201.37
2016-05-13,199.79
2016-05-16,199.9
2016-05-17,200.16
2016-05-18,199.67
2016-05-19,197.94
2016-05-20,198.28
2016-05-23,198.37
2016-05-24,197.0
2016-05-25,196.51
2016-05-26,198.07
2016-05-27,195.83
2016-05-30,196.3
2016-05-31,196.79
2016-06-01,197.95
2016-06-02,196.55
2016-06-03,201.34
2016-06-06,200.07
2016-06-07,201.23
2016-06-08,200.89
2016-06-09,199.48
2016-06-10,199.47
2016-06-13,199.79
2016-06-14,197.44
2016-06-15,199.59
2016-06-16,198.71
2016-06-17,200.56
2016-06-20,199.42
2016-06-21,198.36
2016-06-22,200.11
2016-06-23,200.85
2016-06-24,196.77
2016-06-27,195.73
2016-06-28,196.01
2016-06-29,196.88
2016-06-30,196.55
2016-07-01,197.21
2016-07-04,197.52
2016-07-05,195.07
2016-07-06,196.04
2016-07-07,195.13
2016-07-08,196.25
2016-07-11,195.79
2016-07-12,195.8
2016-07-13,195.77
2016-07-14,196.12
2016-07-15,196.46
2016-07-18,195.13
2016-07-19,195.27
2016-07-20,195.15
2016-07-21,194.51
2016-07-22,193.45
2016-07-25,193.84
2016-07-26,193.53
2016-07-27,194.85
2016-07-28,195.31
2016-07-29,196.88
2016-08-01,196.82
2016-08-02,197.78
2016-08-03,197.32
2016-08-04,196.04
2016-08-05,195.56
2016-08-08,196.14
2016-08-09,196.03
2016-08-10,197.37
2016-08-11,197.11
2016-08-12,197.58
2016-08-15,197.25
2016-08-16,199.64
2016-08-17,200.52
2016-08-18,200.24
2016-08-19,200.49
2016-08-22,200.35
