date,exchange_rate
2014-11-24,7.43908
2014-11-25,7.439
2014-11-26,7.43981
2014-11-27,7.43943
2014-11-28,7.44085
2014-12-01,7.44039
2014-12-02,7.44008
2014-12-03,7.43966
2014-12-04,7.44061
2014-12-05,7.43554
2014-12-08,7.4399
2014-12-09,7.4392
2014-12-10,7.4388
2014-12-11,7.43671
2014-12-12,7.43849
2014-12-15,7.4396
2014-12-16,7.44266
2014-12-17,7.4406
2014-12-18,7.44055
2014-12-19,7.43822
2014-12-22,7.4415
2014-12-23,7.43939
2014-12-24,7.4421
2014-12-25,7.43798
2014-12-26,7.44283
2014-12-29,7.44278
2014-12-30,7.44664
2014-12-31,7.4432
2015-01-01,7.44716
2015-01-02,7.44506
2015-01-05,7.44181
2015-01-06,7.44123
2015-01-07,7.44045
2015-01-08,7.4394
2015-01-09,7.43925
2015-01-12,7.44041
2015-01-13,7.43762
2015-01-14,7.43898
2015-01-15,7.4325
2015-01-16,7.42449
2015-01-19,7.43242
2015-01-20,7.43386
2015-01-21,7.43504
2015-01-22,7.4436
2015-01-23,7.44489
2015-01-26,7.44827
2015-01-27,7.4426
2015-01-28,7.44504
2015-01-29,7.44161
2015-01-30,7.43332
2015-02-02,7.44345
2015-02-03,7.44362
2015-02-04,7.44355
2015-02-05,7.44419
2015-02-06,7.44011
2015-02-09,7.44302
2015-02-10,7.44319
2015-02-11,7.4435
2015-02-12,7.44411
2015-02-13,7.43533
2015-02-16,7.44375
2015-02-17,7.44268
2015-02-18,7.4447
2015-02-19,7.4434
2015-02-20,7.46416
2015-02-23,7.45795
2015-02-24,7.4616
2015-02-25,7.4671
2015-02-26,7.4609
2015-02-27,7.45594
2015-03-02,7.44917
2015-03-03,7.45295
2015-03-04,7.45271
2015-03-05,7.45323
2015-03-06,7.44588
2015-03-09,7.45097
2015-03-10,7.4505
2015-03-11,7.45382
2015-03-12,7.45714
2015-03-13,7.46332
2015-03-16,7.46321
2015-03-17,7.4584
2015-03-18,7.45374
2015-03-19,7.44884
2015-03-20,7.4465
2015-03-23,7.45591
2015-03-24,7.46117
2015-03-25,7.4675
2015-03-26,7.46826
2015-03-27,7.47452
2015-03-30,7.46896
2015-03-31,7.47164
2015-04-01,7.4708
2015-04-02,7.47291
2015-04-03,7.47161
2015-04-06,7.4729
2015-04-07,7.47164
2015-04-08,7.47309
2015-04-09,7.47181
2015-04-10,7.4696
2015-04-13,7.47075
2015-04-14,7.46837
2015-04-15,7.46702
2015-04-16,7.46295
2015-04-17,7.45759
2015-04-20,7.46193
2015-04-21,7.46101
2015-04-22,7.46158
2015-04-23,7.46015
2015-04-24,7.46132
2015-04-27,7.46073
2015-04-28,7.46073
2015-04-29,7.46103
2015-04-30,7.46491
2015-05-01,7.46573
2015-05-04,7.46432
2015-05-05,7.46288
2015-05-06,7.46605
2015-05-07,7.46205
2015-05-08,7.45251
2015-05-11,7.46251
2015-05-12,7.4625
2015-05-13,7.46568
2015-05-14,7.4631
2015-05-15,7.46424
2015-05-18,7.46056
2015-05-19,7.4576
2015-05-20,7.4585
2015-05-21,7.45442
2015-05-22,7.4504
2015-05-25,7.45551
2015-05-26,7.4524
2015-05-27,7.45711
2015-05-28,7.45855
2015-05-29,7.45995
2015-06-01,7.4578
2015-06-02,7.4603
2015-06-03,7.4598
2015-06-04,7.4601
2015-06-05,7.4594
2015-06-08,7.4579
2015-06-09,7.4597
