date,exchange_rate
2023-10-28,60.024929
2023-10-30,60.407774
2023-10-31,60.085144
2023-11-01,60.221212
2023-11-02,60.214352
2023-11-03,60.445318
2023-11-04,60.445318
2023-11-05,60.400613
2023-11-06,60.993135
2023-11-07,60.891504
2023-11-08,60.883563
2023-11-09,60.660966
2023-11-10,60.934472
2023-11-12,60.705021
2023-11-13,60.708879
2023-11-14,61.753792
2023-11-15,61.678294
2023-11-16,61.709956
2023-11-17,62.071248
2023-11-18,61.692649
2023-11-19,61.65228
2023-11-20,62.630141
2023-11-21,62.359734
2023-11-22,61.859673
2023-11-23,62.076322
2023-11-24,62.411149
2023-11-25,62.082944
2023-11-26,62.057063
2023-11-27,62.134763
2023-11-28,62.411641
2023-11-29,62.280841
2023-11-30,61.911686
2023-12-01,61.925132
2023-12-02,62.015674
2023-12-03,62.031243
2023-12-04,61.540907
2023-12-05,61.320909
2023-12-06,61.310402
2023-12-07,61.428899
2023-12-08,61.293332
2023-12-09,61.429957
2023-12-10,61.399791
2023-12-11,61.34611
2023-12-12,61.528301
2023-12-13,61.888187
2023-12-14,62.867707
2023-12-15,62.316967
2023-12-16,62.73824
2023-12-17,62.712497
2023-12-18,62.533723
2023-12-19,62.916526
2023-12-20,62.95359
2023-12-21,63.333252
2023-12-22,63.428179
2023-12-23,63.494136
2023-12-24,63.494161
2023-12-25,63.518426
2023-12-26,63.654055
2023-12-27,64.135816
2023-12-28,64.242177
2023-12-29,64.022869
2023-12-30,64.234536
2023-12-31,64.234697
2024-01-01,64.246803
2024-01-02,63.376414
2024-01-03,63.251019
2024-01-04,36.343314
2024-01-05,63.882416
2024-01-06,63.567934
2024-01-07,63.567956
2024-01-08,64.248303
2024-01-09,64.008757
2024-01-10,64.244854
2024-01-11,64.272441
2024-01-12,64.139861
2024-01-13,64.162201
2024-01-14,64.162408
2024-01-15,64.11454
2024-01-16,63.651496
2024-01-17,64.375287
2024-01-18,64.313112
2024-01-19,64.004415
2024-01-20,63.974716
2024-01-21,63.974832
2024-01-22,64.155988
2024-01-23,63.71701
2024-01-24,63.965192
2024-01-25,63.694744
2024-01-26,63.90218
2024-01-27,64.02477
2024-01-28,64.024736
2024-01-29,63.939821
2024-01-30,64.015011
2024-01-31,63.86239
2024-02-01,63.911704
2024-02-02,63.631068
2024-02-03,63.695384
2024-02-04,63.695421
2024-02-05,63.279271
2024-02-06,63.105873
2024-02-07,63.13659
2024-02-08,63.197044
2024-02-09,63.322298
2024-02-10,63.218015
2024-02-11,63.218032
2024-02-12,63.184846
2024-02-13,62.575789
2024-02-14,62.755952
2024-02-15,63.159625
2024-02-16,63.178993
2024-02-17,63.16092
2024-02-18,63.190636
2024-02-19,63.179706
2024-02-20,63.348517
2024-02-21,63.540845
2024-02-22,63.644481
2024-02-23,63.637797
2024-02-24,63.603235
2024-02-25,63.603267
2024-02-26,63.768535
2024-02-27,63.709955
2024-02-28,63.45645
2024-02-29,63.482664
2024-03-01,63.645969
2024-03-02,63.507444
2024-03-03,63.507769
2024-03-04,63.771793
2024-03-05,63.860068
2024-03-06,64.065698
2024-03-07,64.28721
2024-03-08,64.168155
2024-03-09,64.453888
2024-03-10,64.454319
2024-03-11,64.553519
2024-03-12,64.549653
2024-03-13,64.820218
2024-03-14,64.457536
2024-03-15,64.495593
2024-03-16,64.497839
2024-03-17,64.497845
2024-03-18,64.236759
2024-03-19,64.204664
2024-03-20,64.366027
2024-03-21,64.22999
2024-03-22,64.142448
2024-03-23,63.90478
2024-03-24,63.904904
2024-03-25,64.307807
2024-03-26,64.282336
2024-03-27,64.105732
2024-03-28,63.967209
2024-03-29,63.895514
2024-03-30,63.889436
2024-03-31,63.889447
2024-04-01,63.614755
2024-04-02,63.7114
2024-04-03,64.305671
2024-04-04,64.537992
2024-04-05,64.38727
2024-04-06,64.149633
2024-04-07,64.149654
2024-04-08,64.353054
2024-04-09,64.493913
2024-04-10,63.869822
2024-04-11,63.476253
2024-04-12,63.275215
2024-04-13,63.421025
2024-04-14,62.989062
2024-04-15,63.209238
2024-04-16,63.179822
2024-04-17,62.920322
2024-04-18,63.361937
2024-04-19,63.238777
2024-04-20,62.807154
2024-04-21,62.807154
2024-04-22,63.232502
2024-04-23,63.556393
2024-04-24,62.863584
2024-04-25,63.191635
2024-04-26,62.641934
2024-04-27,62.896598
2024-04-28,62.896598
2024-04-29,63.113361
2024-04-30,62.482342
2024-05-01,62.079979
2024-05-02,62.252656
2024-05-03,62.54108
2024-05-04,62.420117
2024-05-05,62.420117
2024-05-06,62.498217
2024-05-07,62.539013
2024-05-08,62.421057
2024-05-09,62.654247
2024-05-10,62.697904
2024-05-11,62.765492
2024-05-12,62.711387
2024-05-13,62.834848
2024-05-14,63.121012
2024-05-15,63.349559
2024-05-16,63.545815
2024-05-17,63.655229
2024-05-18,63.483498
2024-05-19,63.483498
2024-05-20,63.766339
2024-05-21,63.646059
2024-05-22,63.608158
2024-05-23,63.63421
2024-05-24,63.865759
2024-05-25,63.847717
2024-05-26,63.847717
2024-05-27,63.951488
2024-05-28,64.03819
2024-05-29,63.747618
2024-05-30,64.093711
2024-05-31,64.188633
2024-06-01,64.194301
2024-06-02,64.194301
2024-06-03,64.372464
2024-06-04,64.527077
2024-06-05,64.381453
2024-06-06,64.5919
2024-06-07,64.299338
2024-06-08,64.630697
2024-06-09,64.630697
2024-06-10,64.335858
2024-06-11,63.902108
2024-06-12,64.424597
2024-06-13,64.092826
2024-06-14,63.506982
2024-06-15,63.498274
2024-06-16,63.498274
2024-06-17,63.518573
2024-06-18,63.521157
2024-06-19,63.425591
2024-06-20,63.186445
2024-06-21,63.060154
2024-06-22,63.04158
2024-06-23,63.04158
2024-06-24,63.275764
2024-06-25,63.234592
2024-06-26,63.072679
2024-06-27,63.315693
2024-06-28,63.250511
2024-06-29,63.325762
2024-06-30,63.261961
2024-07-01,63.312206
2024-07-02,63.387352
