date,exchange_rate
2014-11-24,107.707
2014-11-25,107.078
2014-11-26,107.398
2014-11-27,107.055
2014-11-28,107.071
2014-12-01,107.261
2014-12-02,106.953
2014-12-03,106.864
2014-12-04,107.459
2014-12-05,107.769
2014-12-08,107.218
2014-12-09,107.34
2014-12-10,107.984
2014-12-11,108.138
2014-12-12,107.664
2014-12-15,107.586
2014-12-16,108.404
2014-12-17,106.218
2014-12-18,105.821
2014-12-19,107.479
2014-12-22,107.63
2014-12-23,106.822
2014-12-24,107.972
2014-12-25,106.916
2014-12-26,107.825
2014-12-29,107.69
2014-12-30,106.91
2014-12-31,107.272
2015-01-01,106.351
2015-01-02,106.429
2015-01-05,105.025
2015-01-06,104.327
2015-01-07,105.385
2015-01-08,104.011
2015-01-09,105.07
2015-01-12,103.85
2015-01-13,103.428
2015-01-14,103.336
2015-01-15,102.314
2015-01-16,103.215
2015-01-19,102.487
2015-01-20,102.955
2015-01-21,103.511
2015-01-22,100.933
2015-01-23,103.434
2015-01-26,103.689
2015-01-27,105.909
2015-01-28,105.007
2015-01-29,105.577
2015-01-30,105.408
2015-02-02,105.379
2015-02-03,106.317
2015-02-04,105.549
2015-02-05,106.96
2015-02-06,106.083
2015-02-09,105.976
2015-02-10,106.436
2015-02-11,107.656
2015-02-12,107.214
2015-02-13,108.087
2015-02-16,107.69
2015-02-17,107.446
2015-02-18,108.491
2015-02-19,108.179
2015-02-20,108.445
2015-02-23,108.082
2015-02-24,108.137
2015-02-25,108.214
2015-02-26,106.594
2015-02-27,105.736
2015-03-02,107.025
2015-03-03,107.168
2015-03-04,106.275
2015-03-05,106.142
2015-03-06,104.835
2015-03-09,105.106
2015-03-10,103.974
2015-03-11,101.856
2015-03-12,104.079
2015-03-13,102.967
2015-03-16,103.881
2015-03-17,103.856
2015-03-18,106.122
2015-03-19,104.361
2015-03-20,105.366
2015-03-23,106.345
2015-03-24,105.246
2015-03-25,105.872
2015-03-26,105.657
2015-03-27,106.576
2015-03-30,106.097
2015-03-31,105.61
2015-04-01,105.864
2015-04-02,106.628
2015-04-03,107.231
2015-04-06,107.084
2015-04-07,106.34
2015-04-08,106.009
2015-04-09,105.403
2015-04-10,105.527
2015-04-13,105.41
2015-04-14,105.896
2015-04-15,106.386
2015-04-16,106.669
2015-04-17,106.891
2015-04-20,106.513
2015-04-21,106.51
2015-04-22,106.178
2015-04-23,107.098
2015-04-24,107.257
2015-04-27,107.275
2015-04-28,107.937
2015-04-29,109.021
2015-04-30,109.95
2015-05-01,109.611
2015-05-04,109.46
2015-05-05,109.983
2015-05-06,110.922
2015-05-07,109.975
2015-05-08,110.414
2015-05-11,110.156
2015-05-12,110.79
2015-05-13,112.238
2015-05-14,112.404
2015-05-15,113.101
2015-05-18,111.716
2015-05-19,110.776
2015-05-20,110.491
2015-05-21,110.508
2015-05-22,110.204
2015-05-25,109.849
2015-05-26,109.228
2015-05-27,109.516
2015-05-28,109.925
2015-05-29,110.051
2015-06-01,109.74
2015-06-02,111.541
2015-06-03,112.255
2015-06-04,110.517
2015-06-05,110.073
2015-06-08,111.53
2015-06-09,111.413
2015-06-10,111.586
2015-06-11,111.137
2015-06-12,111.722
2015-06-15,111.7
2015-06-16,111.32
2015-06-17,112.151
2015-06-18,112.284
2015-06-19,112.455
2015-06-22,112.091
2015-06-23,110.992
2015-06-24,110.352
2015-06-25,111.653
2015-06-26,111.265
2015-06-29,113.037
2015-06-30,110.845
2015-07-01,109.725
2015-07-02,110.801
2015-07-03,110.823
2015-07-06,110.732
2015-07-07,110.742
2015-07-08,111.124
2015-07-09,110.824
2015-07-10,111.061
2015-07-13,110.162
2015-07-14,110.113
2015-07-15,109.888
2015-07-16,109.833
2015-07-17,108.46
2015-07-20,109.228
2015-07-21,110.302
2015-07-22,110.046
2015-07-23,110.175
2015-07-24,110.397
2015-07-27,110.864
2015-07-28,110.464
2015-07-29,109.718
2015-07-30,109.446
2015-07-31,109.569
2015-08-03,109.769
2015-08-04,108.886
2015-08-05,109.29
2015-08-06,110.978
