date,exchange_rate
2014-11-24,8.8971
2014-11-25,8.9214
2014-11-26,8.9314
2014-11-27,8.9054
2014-11-28,8.9151
2014-12-01,8.92
2014-12-02,8.8566
2014-12-03,8.8021
2014-12-04,8.8526
2014-12-05,8.784
2014-12-08,8.8069
2014-12-09,8.851
2014-12-10,8.9013
2014-12-11,8.8694
2014-12-12,8.9281
2014-12-15,8.8979
2014-12-16,8.9479
2014-12-17,8.8076
2014-12-18,8.7863
2014-12-19,8.7454
2014-12-22,8.7419
2014-12-23,8.7025
2014-12-24,8.7245
2014-12-25,8.7375
2014-12-26,8.7103
2014-12-29,8.693
2014-12-30,8.6913
2014-12-31,8.6518
2015-01-01,8.6523
2015-01-02,8.5796
2015-01-05,8.5097
2015-01-06,8.4881
2015-01-07,8.462
2015-01-08,8.4283
2015-01-09,8.4648
2015-01-12,8.4589
2015-01-13,8.4192
2015-01-14,8.429
2015-01-15,8.3153
2015-01-16,8.2719
2015-01-19,8.4119
2015-01-20,8.3781
2015-01-21,8.5395
2015-01-22,8.3863
2015-01-23,8.2939
2015-01-26,8.3603
2015-01-27,8.4631
2015-01-28,8.4234
2015-01-29,8.5987
2015-01-30,8.5662
2015-02-02,8.6247
2015-02-03,8.7502
2015-02-04,8.6408
2015-02-05,8.754
2015-02-06,8.6314
2015-02-09,8.6411
2015-02-10,8.6332
2015-02-11,8.6124
2015-02-12,8.665
2015-02-13,8.6656
2015-02-16,8.6287
2015-02-17,8.7065
2015-02-18,8.6994
2015-02-19,8.6391
2015-02-20,8.6869
2015-02-23,8.6532
2015-02-24,8.6522
2015-02-25,8.6697
2015-02-26,8.544
2015-02-27,8.5381
2015-03-02,8.5001
2015-03-03,8.5305
2015-03-04,8.4562
2015-03-05,8.3862
2015-03-06,8.2794
2015-03-09,8.2715
2015-03-10,8.1583
2015-03-11,8.0339
2015-03-12,8.101
2015-03-13,8.0101
2015-03-16,8.0655
2015-03-17,8.0842
2015-03-18,8.2323
2015-03-19,8.1394
2015-03-20,8.221
2015-03-23,8.3312
2015-03-24,8.3247
2015-03-25,8.3657
2015-03-26,8.2981
2015-03-27,8.314
2015-03-30,8.2312
2015-03-31,8.1952
2015-04-01,8.2088
2015-04-02,8.3
2015-04-03,8.3713
2015-04-06,8.3433
2015-04-07,8.2576
2015-04-08,8.23
2015-04-09,8.1366
2015-04-10,8.0876
2015-04-13,8.0677
2015-04-14,8.1267
2015-04-15,8.146
2015-04-16,8.209
2015-04-17,8.2464
2015-04-20,8.1949
2015-04-21,8.1924
2015-04-22,8.1493
2015-04-23,8.2506
2015-04-24,8.2929
2015-04-27,8.2686
2015-04-28,8.3763
2015-04-29,8.4828
2015-04-30,8.5544
2015-05-01,8.5448
2015-05-04,8.5048
2015-05-05,8.5324
2015-05-06,8.6512
2015-05-07,8.5728
2015-05-08,8.5419
2015-05-11,8.5069
2015-05-12,8.5591
2015-05-13,8.6603
2015-05-14,8.6996
2015-05-15,8.7298
2015-05-18,8.6352
2015-05-19,8.4723
2015-05-20,8.4352
2015-05-21,8.4766
2015-05-22,8.4043
2015-05-25,8.3772
2015-05-26,8.2756
2015-05-27,8.2892
2015-05-28,8.3714
2015-05-29,8.3882
2015-06-01,8.3326
2015-06-02,8.5088
2015-06-03,8.5669
2015-06-04,8.5504
2015-06-05,8.4457
2015-06-08,8.6122
2015-06-09,8.6014
2015-06-10,8.6396
2015-06-11,8.5736
2015-06-12,8.5938
2015-06-15,8.6017
2015-06-16,8.5829
2015-06-17,8.6487
2015-06-18,8.6731
2015-06-19,8.6596
2015-06-22,8.653
2015-06-23,8.5191
2015-06-24,8.5501
2015-06-25,8.5377
2015-06-26,8.5132
2015-06-29,8.5566
2015-06-30,8.4986
2015-07-01,8.4255
2015-07-02,8.5695
2015-07-03,8.4842
2015-07-06,8.5357
2015-07-07,8.5841
2015-07-08,8.6686
2015-07-09,8.6664
2015-07-10,8.7318
2015-07-13,8.6177
2015-07-14,8.6261
2015-07-15,8.5769
2015-07-16,8.5175
2015-07-17,8.48
2015-07-20,8.4787
2015-07-21,8.565
2015-07-22,8.5575
2015-07-23,8.5704
2015-07-24,8.5963
2015-07-27,8.6498
2015-07-28,8.6618
2015-07-29,8.5708
2015-07-30,8.5285
2015-07-31,8.5685
2015-08-03,8.5448
2015-08-04,8.5227
2015-08-05,8.536
2015-08-06,8.5569
2015-08-07,8.5847
2015-08-10,8.6195
2015-08-11,8.6436
2015-08-12,8.7345
2015-08-13,8.7341
2015-08-14,8.6996
2015-08-17,8.6722
2015-08-18,8.6305
2015-08-19,8.7054
2015-08-20,8.7902
2015-08-21,8.9122
2015-08-24,9.0852
2015-08-25,9.0246
2015-08-26,8.8738
2015-08-27,8.8037
2015-08-28,8.7555
2015-08-31,8.7834
2015-09-01,8.8518
2015-09-02,8.7845
2015-09-03,8.7027
2015-09-04,8.7274
2015-09-07,8.745
2015-09-08,8.7771
2015-09-09,8.7843
2015-09-10,8.8408
2015-09-11,8.8786
2015-09-14,8.8522
2015-09-15,8.825
2015-09-16,8.8422
2015-09-17,8.9335
2015-09-18,8.8524
2015-09-21,8.7604
2015-09-22,8.7195
2015-09-23,8.7627
2015-09-24,8.7518
2015-09-25,8.7653
2015-09-28,8.7982
2015-09-29,8.812
2015-09-30,8.7496
2015-10-01,8.7642
2015-10-02,8.779
2015-10-05,8.7632
2015-10-06,8.7903
2015-10-07,8.8021
2015-10-08,8.8295
2015-10-09,8.8608
2015-10-12,8.8936
2015-10-13,8.9146
2015-10-14,8.9839
2015-10-15,9.0226
2015-10-16,9.0009
2015-10-19,9.0643
2015-10-20,9.0839
2015-10-21,9.1066
2015-10-22,8.9172
2015-10-23,8.849
2015-10-26,8.8806
2015-10-27,8.8332
2015-10-28,8.7775
2015-10-29,8.7921
2015-10-30,8.8433
2015-11-02,8.845
2015-11-03,8.8034
2015-11-04,8.7273
2015-11-05,8.7346
2015-11-06,8.6138
2015-11-09,8.6369
2015-11-10,8.614
2015-11-11,8.3847
2015-11-12,8.464
2015-11-13,8.4375
2015-11-16,8.3691
2015-11-17,8.3303
2015-11-18,8.3468
2015-11-19,8.4036
2015-11-20,8.3364
2015-11-23,8.3288
2015-11-24,8.3375
2015-11-25,8.3186
2015-11-26,8.3062
2015-11-27,8.2937
2015-11-30,8.2762
2015-12-01,8.3208
2015-12-02,8.3077
2015-12-03,8.559
2015-12-04,8.5137
2015-12-07,8.4837
2015-12-08,8.5323
2015-12-09,8.5962
2015-12-10,8.5672
2015-12-11,8.6063
2015-12-14,8.6132
2015-12-15,8.5618
2015-12-16,8.5426
2015-12-17,8.4855
2015-12-18,8.5099
2015-12-21,8.548
2015-12-22,8.5677
2015-12-23,8.541
2015-12-24,8.5785
2015-12-25,8.5957
2015-12-28,8.594
2015-12-29,8.5535
2015-12-30,8.5599
2015-12-31,8.4861
2016-01-01,8.5059
2016-01-04,8.4812
2016-01-05,8.4218
2016-01-06,8.4421
2016-01-07,8.5526
2016-01-08,8.5536
2016-01-11,8.5024
2016-01-12,8.5035
2016-01-13,8.522
2016-01-14,8.5121
2016-01-15,8.5487
2016-01-18,8.5098
2016-01-19,8.5451
2016-01-20,8.5285
2016-01-21,8.5161
2016-01-22,8.4546
2016-01-25,8.4969
2016-01-26,8.5074
2016-01-27,8.5398
2016-01-28,8.5598
2016-01-29,8.4806
2016-02-01,8.5288
2016-02-02,8.5534
2016-02-03,8.679
2016-02-04,8.7715
2016-02-05,8.7414
2016-02-08,8.7707
2016-02-09,8.8416
2016-02-10,8.8337
2016-02-11,8.8608
2016-02-12,8.814
2016-02-15,8.7412
2016-02-16,8.7258
2016-02-17,8.7137
2016-02-18,8.6992
2016-02-19,8.7159
2016-02-22,8.6342
2016-02-23,8.6306
2016-02-24,8.6276
2016-02-25,8.6328
2016-02-26,8.5628
2016-02-29,8.5236
2016-03-01,8.5103
2016-03-02,8.5103
2016-03-03,8.5748
2016-03-04,8.6187
2016-03-07,8.6249
2016-03-08,8.6199
2016-03-09,8.6141
2016-03-10,8.7531
2016-03-11,8.7351
2016-03-14,9.9398
2016-03-15,9.9425
2016-03-16,10.0389
2016-03-17,10.0504
2016-03-18,10.01
2016-03-21,9.9826
2016-03-22,9.961
2016-03-23,9.9329
2016-03-24,9.9283
2016-03-25,9.9163
2016-03-28,9.9447
2016-03-29,10.0249
2016-03-30,10.0644
2016-03-31,10.1069
2016-04-01,10.1219
2016-04-04,10.1146
2016-04-05,10.1083
2016-04-06,10.1218
2016-04-07,10.1031
2016-04-08,10.1228
2016-04-11,10.1335
2016-04-12,10.1121
2016-04-13,10.0175
2016-04-14,10.0044
2016-04-15,10.0228
2016-04-18,10.0443
2016-04-19,10.0864
2016-04-20,10.036
2016-04-21,10.0255
2016-04-22,9.9732
2016-04-25,10.0073
2016-04-26,10.0331
2016-04-27,10.0574
2016-04-28,10.0826
2016-04-29,10.162
2016-05-02,10.2377
2016-05-03,10.2115
2016-05-04,10.2042
2016-05-05,10.1267
2016-05-06,10.1264
2016-05-09,10.1096
2016-05-10,10.1017
2016-05-11,10.1455
2016-05-12,10.1049
2016-05-13,10.0429
2016-05-16,10.0486
2016-05-17,10.0467
2016-05-18,9.9687
2016-05-19,9.9494
2016-05-20,9.9667
2016-05-23,9.9624
2016-05-24,9.8938
2016-05-25,9.9074
2016-05-26,9.9391
2016-05-27,9.8686
2016-05-30,9.8921
2016-05-31,9.8858
2016-06-01,9.9331
2016-06-02,9.9048
2016-06-03,10.0916
2016-06-06,10.085
2016-06-07,10.086
2016-06-08,10.1235
2016-06-09,10.0496
2016-06-10,9.9927
2016-06-13,10.0251
2016-06-14,9.9544
2016-06-15,10.0041
2016-06-16,9.9715
2016-06-17,10.0115
2016-06-20,10.0494
2016-06-21,9.9961
2016-06-22,10.0529
2016-06-23,10.1215
2016-06-24,9.874
2016-06-27,9.7853
2016-06-28,9.8358
2016-06-29,9.8795
2016-06-30,9.8575
2016-07-01,9.8905
2016-07-04,9.9059
2016-07-05,9.8252
2016-07-06,9.8552
2016-07-07,9.8248
2016-07-08,9.8129
2016-07-11,9.8218
2016-07-12,9.8251
2016-07-13,9.8571
2016-07-14,9.8726
2016-07-15,9.8009
2016-07-18,9.8364
2016-07-19,9.785
2016-07-20,9.7791
2016-07-21,9.7936
2016-07-22,9.7489
2016-07-25,9.7632
2016-07-26,9.7555
2016-07-27,9.8217
2016-07-28,9.8396
2016-07-29,9.9244
2016-08-01,9.9154
2016-08-02,9.9694
2016-08-03,9.9016
2016-08-04,9.883
2016-08-05,9.844
2016-08-08,9.8274
2016-08-09,9.883
2016-08-10,9.9419
2016-08-11,9.9009
2016-08-12,9.9244
2016-08-15,9.9428
2016-08-16,10.0018
2016-08-17,10.0065
2016-08-18,10.0923
2016-08-19,10.0707
2016-08-22,10.0631
2016-08-23,10.0269
2016-08-24,10.0033
2016-08-25,10.0067
2016-08-26,9.9299
2016-08-29,9.921
2016-08-30,9.7844
2016-08-31,9.8951
2016-09-01,9.9285
2016-09-02,9.8913
2016-09-05,9.9006
2016-09-06,9.9712
2016-09-07,9.9681
2016-09-08,9.9868
2016-09-09,9.9551
2016-09-12,9.9621
2016-09-13,9.9434
2016-09-14,9.9721
2016-09-15,9.9734
2016-09-16,9.8931
2016-09-19,9.9105
2016-09-20,9.888
2016-09-21,9.9219
2016-09-22,9.9395
2016-09-23,9.9556
2016-09-26,9.9768
2016-09-27,9.9449
2016-09-28,9.9452
2016-09-29,9.9509
2016-09-30,9.9672
2016-10-03,9.941
2016-10-04,9.9349
2016-10-05,9.9374
2016-10-06,9.8826
2016-10-07,9.9338
2016-10-10,9.8751
2016-10-11,9.8013
2016-10-12,9.7606
2016-10-13,9.8
2016-10-14,9.7264
2016-10-17,9.7579
2016-10-18,9.733
2016-10-19,9.7325
2016-10-20,9.6926
2016-10-21,9.6474
2016-10-24,9.6401
2016-10-25,9.6564
2016-10-26,9.6699
2016-10-27,9.66
2016-10-28,9.7397
2016-10-31,9.7288
2016-11-01,9.8071
2016-11-02,9.8413
2016-11-03,14.9924
2016-11-04,17.3258
2016-11-08,20.2092
2016-11-09,19.1597
2016-11-10,18.2331
2016-11-11,17.9087
2016-11-14,17.0794
2016-11-15,16.7786
2016-11-16,16.575
2016-11-17,16.8936
2016-11-18,16.8571
2016-11-21,18.6069
2016-11-22,19.121
2016-11-23,18.8326
2016-11-24,18.841
2016-11-25,18.9058
2016-11-28,19.0475
2016-11-29,19.6467
2016-11-30,19.2768
2016-12-01,19.241
2016-12-02,19.5243
2016-12-05,19.8025
2016-12-06,19.5736
2016-12-07,19.8955
2016-12-08,19.4193
2016-12-09,19.4834
2016-12-12,19.6227
2016-12-13,19.7667
2016-12-14,19.8491
2016-12-15,19.5921
2016-12-16,19.4891
2016-12-19,20.3339
2016-12-20,20.9015
2016-12-21,20.2802
2016-12-22,20.1422
2016-12-23,20.1131
2016-12-26,20.1821
2016-12-27,20.1836
2016-12-28,19.9323
2016-12-29,19.3988
2016-12-30,19.458
2017-01-02,19.3081
2017-01-03,19.1971
2017-01-04,19.561
2017-01-05,19.5632
2017-01-06,19.3318
2017-01-09,19.8447
2017-01-10,20.2179
2017-01-11,19.6804
2017-01-12,20.5868
2017-01-13,20.5928
2017-01-16,20.56
2017-01-17,20.5106
2017-01-18,20.5733
2017-01-19,19.9396
2017-01-20,20.6341
2017-01-23,20.9454
2017-01-24,20.829
2017-01-25,20.7956
2017-01-26,20.5033
2017-01-27,20.54
2017-01-30,20.6927
2017-01-31,20.7214
2017-02-01,20.3176
2017-02-02,20.1795
2017-02-03,20.7029
2017-02-06,19.8306
2017-02-07,20.0573
2017-02-08,19.3083
2017-02-09,19.2861
2017-02-10,19.47
2017-02-13,18.4879
2017-02-14,17.4597
2017-02-15,17.968
2017-02-16,17.5979
2017-02-17,17.0054
2017-02-20,17.2447
2017-02-21,16.9063
2017-02-22,17.1519
2017-02-23,16.7059
2017-02-24,17.149
2017-02-27,16.7513
2017-02-28,16.7046
2017-03-01,17.0358
2017-03-02,16.9534
2017-03-03,17.1793
2017-03-06,17.7264
2017-03-07,18.4936
2017-03-08,18.7073
2017-03-09,18.7961
2017-03-10,18.936
2017-03-13,18.9085
2017-03-14,19.2258
2017-03-15,19.4837
2017-03-16,19.3932
2017-03-17,19.448
2017-03-20,19.4978
2017-03-21,19.6387
2017-03-22,19.6011
2017-03-23,19.6264
2017-03-24,19.6356
2017-03-27,19.6594
2017-03-28,19.5825
2017-03-29,19.4874
2017-03-30,19.4374
2017-03-31,19.3669
2017-04-03,19.3688
2017-04-04,19.2803
2017-04-05,19.3052
2017-04-06,19.284
2017-04-07,19.201
2017-04-10,19.1718
2017-04-11,19.1946
2017-04-12,19.3127
2017-04-13,19.2162
2017-04-14,19.2376
2017-04-17,19.2648
2017-04-18,19.3465
2017-04-19,19.3881
2017-04-20,19.4327
2017-04-21,19.3784
2017-04-24,19.693
2017-04-25,19.7757
2017-04-26,19.7471
2017-04-27,19.6945
2017-04-28,19.7363
2017-05-01,19.7551
2017-05-02,19.8051
2017-05-03,19.7177
2017-05-04,19.9017
2017-05-05,19.9141
2017-05-08,19.8125
2017-05-09,19.6969
2017-05-10,19.6952
2017-05-11,19.6872
2017-05-12,19.8135
2017-05-15,19.8675
2017-05-16,20.0781
2017-05-17,20.1816
2017-05-18,20.0829
2017-05-19,20.304
2017-05-22,20.3565
2017-05-23,20.2625
2017-05-24,20.2934
2017-05-25,20.3203
2017-05-26,20.1977
2017-05-30,20.2498
2017-05-31,20.337
2017-06-01,20.327
2017-06-02,20.4482
2017-06-05,20.3988
2017-06-06,20.4203
2017-06-07,20.4148
2017-06-08,20.33
2017-06-09,20.3079
2017-06-12,20.3042
2017-06-13,20.3157
2017-06-14,20.4366
2017-06-15,20.2227
2017-06-16,20.2938
2017-06-19,20.1962
2017-06-20,20.1621
2017-06-21,20.2351
2017-06-22,20.2011
2017-06-23,20.296
2017-06-26,20.2826
2017-06-27,20.5579
2017-06-28,20.6085
2017-06-29,20.7278
2017-06-30,20.6909
2017-07-03,20.3993
2017-07-05,20.2874
2017-07-06,20.4584
2017-07-07,20.4119
2017-07-10,20.4011
2017-07-11,20.492
2017-07-12,20.4281
2017-07-13,20.4141
2017-07-14,20.5251
2017-07-17,20.5417
2017-07-18,20.6823
2017-07-19,20.6325
2017-07-20,20.8289
2017-07-21,20.8414
2017-07-24,20.8138
2017-07-25,20.8529
2017-07-26,20.9417
2017-07-27,20.8575
2017-07-31,21.1922
2017-08-01,21.1243
2017-08-02,21.2216
2017-08-03,21.1345
2017-08-04,20.9302
2017-08-07,20.9853
2017-08-08,20.9096
2017-08-14,21.504
2017-08-23,20.9307
2017-08-24,20.9034
2017-08-25,21.0963
2017-08-28,21.1751
2017-08-29,21.1557
2017-08-30,21.0027
2017-08-31,21.0025
2017-09-01,20.9568
2017-09-05,21.049
2017-09-06,21.1914
2017-09-07,21.2015
2017-09-08,21.2573
2017-09-11,21.1102
2017-09-12,21.1322
2017-09-13,20.9796
2017-09-14,21.019
2017-09-15,21.0976
2017-09-18,21.0745
2017-09-19,21.179
2017-09-20,21.0269
2017-09-21,21.1052
2017-09-22,21.1045
2017-09-25,20.9665
2017-09-26,20.8543
2017-09-27,20.7811
2017-09-28,20.8182
2017-09-29,20.9008
2017-10-02,20.7072
2017-10-03,20.7309
2017-10-04,20.7606
2017-10-05,20.6678
2017-10-06,20.7133
2017-10-10,20.8448
2017-10-11,20.9301
2017-10-12,20.9023
