date,exchange_rate
2014-11-07,18.779
2014-11-10,18.735
2014-11-11,18.811
2014-11-12,18.746
2014-11-13,18.814
2014-11-14,18.888
2014-11-17,18.774
2014-11-18,18.897
2014-11-19,18.921
2014-11-20,18.915
2014-11-21,18.69
2014-11-24,18.761
2014-11-25,18.812
2014-11-26,18.86
2014-11-27,18.805
2014-11-28,18.779
2014-12-01,18.809
2014-12-02,18.675
2014-12-03,18.56
2014-12-04,18.667
2014-12-05,18.522
2014-12-08,18.57
2014-12-09,18.663
2014-12-10,18.77
2014-12-11,18.702
2014-12-12,18.793
2014-12-15,18.762
2014-12-16,18.868
2014-12-17,18.598
2014-12-18,18.527
2014-12-19,18.44
2014-12-22,18.438
2014-12-23,18.355
2014-12-24,18.396
2014-12-25,18.436
2014-12-26,18.371
2014-12-30,18.331
2014-12-31,18.243
2015-01-01,18.249
2015-01-02,18.094
2015-01-05,17.993
2015-01-06,17.902
2015-01-07,17.847
2015-01-08,17.776
2015-01-09,17.853
2015-01-12,17.843
2015-01-13,17.757
2015-01-14,17.777
2015-01-15,17.537
2015-01-16,17.446
2015-01-19,17.505
2015-01-20,17.421
2015-01-21,17.515
2015-01-22,17.084
2015-01-23,16.896
2015-01-26,16.953
2015-01-27,17.148
2015-01-28,16.999
2015-01-29,17.079
2015-01-30,17.018
2015-02-02,17.09
2015-02-03,17.293
2015-02-04,17.104
2015-02-05,17.301
2015-02-06,17.058
2015-02-09,17.077
2015-02-10,17.057
2015-02-11,17.083
2015-02-12,17.188
2015-02-13,17.161
2015-02-16,17.116
2015-02-17,17.207
2015-02-18,17.079
2015-02-19,17.023
2015-02-20,17.05
2015-02-23,16.984
2015-02-24,16.983
2015-02-25,17.074
2015-02-26,16.825
2015-02-27,16.822
2015-03-02,16.86
2015-03-03,16.854
2015-03-04,16.707
2015-03-05,16.634
2015-03-06,16.357
2015-03-09,16.352
2015-03-10,16.118
2015-03-11,15.898
2015-03-12,16.015
2015-03-13,15.835
2015-03-16,15.934
2015-03-17,15.971
2015-03-18,16.328
2015-03-19,16.085
2015-03-20,16.306
2015-03-23,16.525
2015-03-24,16.452
2015-03-25,16.532
2015-03-26,16.394
2015-03-27,16.43
2015-03-30,16.326
2015-03-31,16.191
2015-04-01,16.239
2015-04-02,16.398
2015-04-03,16.55
2015-04-06,16.485
2015-04-07,16.318
2015-04-08,16.26
2015-04-09,16.08
2015-04-10,15.982
2015-04-13,15.938
2015-04-14,16.064
2015-04-15,16.098
2015-04-16,16.222
2015-04-17,16.292
2015-04-20,16.19
2015-04-21,16.19
2015-04-22,16.164
2015-04-23,16.315
2015-04-24,16.376
2015-04-27,16.4
2015-04-28,16.549
2015-04-29,16.76
2015-04-30,16.931
2015-05-01,16.887
2015-05-04,16.805
2015-05-05,16.858
2015-05-06,17.103
2015-05-07,16.974
2015-05-08,16.881
2015-05-11,16.812
2015-05-12,16.911
2015-05-13,17.122
2015-05-14,17.197
2015-05-15,17.266
2015-05-18,17.061
2015-05-19,16.805
2015-05-20,16.731
2015-05-21,16.747
2015-05-22,16.582
2015-05-25,16.529
2015-05-26,16.414
2015-05-27,16.441
2015-05-28,16.517
2015-05-29,16.573
2015-06-01,16.451
2015-06-02,16.811
2015-06-03,16.993
2015-06-04,16.893
2015-06-05,16.752
2015-06-08,17.016
2015-06-09,16.979
2015-06-10,17.074
2015-06-11,16.95
2015-06-12,16.979
2015-06-15,16.983
2015-06-16,16.958
2015-06-17,17.091
2015-06-18,17.146
2015-06-19,17.12
2015-06-22,17.103
2015-06-23,16.819
2015-06-24,16.855
2015-06-25,16.891
2015-06-26,16.835
2015-06-29,16.91
2015-06-30,16.791
2015-07-01,16.665
2015-07-02,16.709
2015-07-03,16.762
2015-07-06,16.667
2015-07-07,16.59
2015-07-08,16.696
2015-07-09,16.671
2015-07-10,16.815
2015-07-13,16.595
2015-07-14,16.607
2015-07-15,16.491
2015-07-16,16.367
2015-07-17,16.308
2015-07-20,16.291
2015-07-21,16.468
2015-07-22,16.431
2015-07-23,16.563
2015-07-24,16.55
2015-07-27,16.695
2015-07-28,16.676
2015-07-29,16.564
2015-07-30,16.461
2015-07-31,16.56
2015-08-03,16.492
2015-08-04,16.386
2015-08-05,16.379
2015-08-06,16.419
2015-08-07,16.49
2015-08-10,16.569
2015-08-11,16.571
2015-08-12,16.765
2015-08-13,16.736
2015-08-14,16.66
2015-08-17,16.569
2015-08-18,16.493
2015-08-19,16.649
2015-08-20,16.804
2015-08-21,17.065
2015-08-24,17.357
2015-08-25,17.278
2015-08-26,16.976
2015-08-27,16.803
2015-08-28,16.745
2015-08-31,16.768
2015-09-01,16.896
2015-09-02,16.801
2015-09-03,16.635
2015-09-04,16.701
2015-09-07,16.729
2015-09-08,16.786
2015-09-09,16.782
2015-09-10,16.901
2015-09-11,16.962
2015-09-14,16.941
2015-09-15,16.882
2015-09-16,16.911
2015-09-17,17.085
2015-09-18,16.908
2015-09-21,16.721
2015-09-22,16.668
2015-09-23,16.736
2015-09-24,16.716
2015-09-25,16.764
2015-09-28,16.804
2015-09-29,17.101
2015-09-30,16.957
2015-10-01,16.963
2015-10-02,16.981
2015-10-05,16.95
2015-10-06,17.327
2015-10-07,16.834
2015-10-08,16.853
2015-10-09,16.989
2015-10-12,17.009
2015-10-13,17.3
2015-10-14,17.389
2015-10-15,17.209
2015-10-16,17.168
2015-10-19,17.138
2015-10-20,17.493
2015-10-21,17.471
2015-10-22,17.073
2015-10-23,16.921
2015-10-26,17.247
2015-10-27,17.197
2015-10-28,17.002
2015-10-29,16.622
2015-10-30,16.646
2015-11-02,16.638
2015-11-03,16.833
2015-11-04,16.655
2015-11-05,16.648
2015-11-06,16.427
2015-11-09,16.429
2015-11-10,16.385
2015-11-11,16.398
2015-11-12,16.457
2015-11-13,16.405
2015-11-16,16.347
2015-11-17,16.286
2015-11-18,16.282
2015-11-19,16.372
2015-11-20,16.262
2015-11-23,16.226
2015-11-24,16.498
2015-11-25,16.439
2015-11-26,16.415
2015-11-27,16.39
2015-11-30,16.334
2015-12-01,16.497
2015-12-02,16.503
2015-12-03,16.97
2015-12-04,16.88
2015-12-07,16.82
2015-12-08,16.895
2015-12-09,17.087
2015-12-10,17.019
2015-12-11,17.119
2015-12-14,17.132
2015-12-15,17.008
2015-12-16,16.959
2015-12-17,17.095
2015-12-18,17.122
2015-12-21,17.166
2015-12-22,17.202
2015-12-23,17.098
2015-12-24,17.189
2015-12-25,17.207
2015-12-28,17.292
2015-12-29,17.21
2015-12-30,17.201
2015-12-31,17.106
2016-01-01,17.093
2016-01-04,17.281
2016-01-05,17.149
2016-01-06,17.169
2016-01-07,17.645
2016-01-08,17.636
2016-01-11,17.759
2016-01-12,17.457
2016-01-13,17.734
2016-01-14,17.714
2016-01-15,17.768
2016-01-18,17.737
2016-01-19,17.739
2016-01-20,17.944
2016-01-21,17.939
2016-01-22,17.983
2016-01-25,18.149
2016-01-26,18.28
2016-01-27,17.771
2016-01-28,17.828
2016-01-29,17.626
2016-02-01,17.966
2016-02-02,17.745
2016-02-03,18.261
2016-02-04,18.444
2016-02-05,18.37
2016-02-08,18.398
2016-02-09,18.49
2016-02-10,18.812
2016-02-11,18.87
2016-02-12,19.018
2016-02-15,18.861
2016-02-16,19.073
2016-02-17,18.979
2016-02-18,19.026
2016-02-19,19.207
2016-02-22,19.015
2016-02-23,16.616
2016-02-24,16.61
2016-02-25,16.62
2016-02-26,16.485
2016-02-29,16.41
2016-03-01,16.384
2016-03-02,17.449
2016-03-03,17.571
2016-03-04,17.661
2016-03-07,17.695
2016-03-08,17.674
2016-03-09,17.662
2016-03-10,18.137
2016-03-11,18.123
2016-03-14,18.02
2016-03-15,18.003
2016-03-16,18.143
2016-03-17,18.33
2016-03-18,18.245
2016-03-21,18.465
2016-03-22,18.402
2016-03-23,18.317
2016-03-24,18.309
2016-03-25,18.286
2016-03-28,18.093
2016-03-29,18.205
2016-03-30,18.424
2016-03-31,18.49
2016-04-01,18.484
2016-04-04,18.425
2016-04-05,18.39
2016-04-06,18.37
2016-04-07,18.347
2016-04-08,18.371
2016-04-11,18.402
2016-04-12,18.398
2016-04-13,18.192
2016-04-14,18.177
2016-04-15,18.216
2016-04-18,18.241
2016-04-19,18.305
2016-04-20,18.248
2016-04-21,18.318
2016-04-22,18.212
2016-04-25,18.229
2016-04-26,18.253
2016-04-27,18.343
2016-04-28,18.344
2016-04-29,18.498
2016-05-02,18.591
2016-05-03,18.601
2016-05-04,18.565
2016-05-05,18.47
2016-05-06,18.446
2016-05-09,18.473
2016-05-10,18.401
2016-05-11,18.458
2016-05-12,18.339
2016-05-13,18.746
2016-05-16,18.757
2016-05-17,18.244
2016-05-18,18.159
2016-05-19,18.146
2016-05-20,18.211
2016-05-23,18.192
2016-05-24,18.078
2016-05-25,18.047
2016-05-26,18.082
2016-05-27,18.02
2016-05-30,18.063
2016-05-31,18.008
2016-06-01,18.15
2016-06-02,18.064
2016-06-03,18.36
2016-06-06,18.337
2016-06-07,18.327
2016-06-08,18.372
2016-06-09,18.25
2016-06-10,18.135
2016-06-13,18.205
2016-06-14,16.956
