date,exchange_rate
2014-11-24,25.0857
2014-11-25,25.2546
2014-11-26,25.3439
2014-11-27,25.0836
2014-11-28,25.2034
2014-12-01,25.2555
2014-12-02,25.0319
2014-12-03,24.9176
2014-12-04,24.9115
2014-12-05,24.8771
2014-12-08,24.9681
2014-12-09,25.0572
2014-12-10,25.2207
2014-12-11,25.0268
2014-12-12,25.1533
2014-12-15,25.159
2014-12-16,25.3941
2014-12-17,25.2412
2014-12-18,24.962
2014-12-19,24.8892
2014-12-22,24.7909
2014-12-23,24.7074
2014-12-24,24.7184
2014-12-25,24.8315
2014-12-26,24.6955
2014-12-29,24.6573
2014-12-30,24.6764
2014-12-31,24.6693
2015-01-02,24.4657
2015-01-05,24.1864
2015-01-06,24.1827
2015-01-07,24.0685
2015-01-08,24.0098
2015-01-09,24.1071
2015-01-12,23.9845
2015-01-13,24.0203
2015-01-14,23.9239
2015-01-15,23.7788
2015-01-16,23.5845
2015-01-20,23.5743
2015-01-21,23.7021
2015-01-22,23.2911
2015-01-23,22.8882
2015-01-26,23.0107
2015-01-27,23.2122
2015-01-28,23.056
2015-01-29,23.0812
2015-01-30,23.0642
2015-02-02,23.0794
2015-02-03,23.4408
2015-02-04,23.1664
2015-02-05,23.4074
2015-02-06,23.0895
2015-02-09,23.1131
2015-02-10,23.1569
2015-02-11,23.1046
2015-02-12,23.3446
2015-02-13,23.3305
2015-02-16,23.3138
2015-02-17,23.2413
2015-02-18,23.2698
2015-02-19,23.2155
2015-02-20,23.2577
2015-02-23,23.179
2015-02-24,23.1921
2015-02-25,23.239
2015-02-26,22.9685
2015-02-27,22.954
2015-03-02,22.9264
2015-03-03,22.914
2015-03-04,22.7978
2015-03-05,22.6903
2015-03-06,22.3175
2015-03-09,22.3042
2015-03-10,21.9995
2015-03-11,21.6746
2015-03-12,21.7498
2015-03-13,21.4744
2015-03-16,21.6376
2015-03-17,21.6541
2015-03-18,22.0146
2015-03-19,21.8731
2015-03-20,22.1667
2015-03-23,22.4582
2015-03-24,22.4325
