date,exchange_rate
2014-11-24,2.3769
2014-11-25,2.4378
2014-11-26,2.435
2014-11-27,2.4309
2014-11-28,2.3948
2014-12-01,2.4314
2014-12-02,2.4263
2014-12-03,2.4262
2014-12-04,2.4337
2014-12-05,2.3784
2014-12-08,2.3626
2014-12-09,2.3867
2014-12-10,2.3975
2014-12-11,2.4
2014-12-12,2.3985
2014-12-15,2.3929
2014-12-16,2.4374
2014-12-17,2.3986
2014-12-18,2.3709
2014-12-19,2.373
2014-12-22,2.377
2014-12-23,2.369
2014-12-24,2.355
2014-12-26,2.3681
2014-12-29,2.3553
2014-12-30,2.3504
2014-12-31,2.3505
2015-01-01,2.3404
2015-01-02,2.331
2015-01-05,2.3026
2015-01-06,2.3049
2015-01-07,2.2918
2015-01-08,2.2761
2015-01-09,2.2847
2015-01-12,2.2813
2015-01-13,2.2754
2015-01-14,2.2741
2015-01-15,2.2654
2015-01-16,2.2383
2015-01-19,2.2364
2015-01-20,2.2348
2015-01-21,2.2338
2015-01-22,2.2584
2015-01-23,2.1771
2015-01-26,2.238
2015-01-27,2.1955
2015-01-28,2.2107
2015-01-29,2.3016
2015-02-02,2.3148
2015-02-03,2.3183
2015-02-04,2.3438
2015-02-05,2.3196
2015-02-09,2.3011
2015-02-10,2.3
2015-02-12,2.2938
2015-02-16,2.3432
2015-02-17,2.3265
2015-02-23,2.302
2015-02-25,2.2966
2015-02-26,2.2972
2015-03-02,2.2694
2015-03-03,2.2877
2015-03-04,2.2777
2015-03-05,2.2375
2015-03-09,2.2262
2015-03-10,2.219
2015-03-12,2.189
2015-03-17,2.1804
2015-03-23,2.1974
2015-03-24,2.2272
2015-03-25,2.2249
2015-03-26,2.2345
2015-03-30,2.2306
2015-04-01,2.2024
2015-04-02,2.2246
2015-05-08,2.274
2015-05-11,2.2522
2015-05-12,2.2953
2015-05-13,2.3318
2015-05-14,2.3347
2015-05-15,2.3365
2015-05-18,2.3128
2015-05-19,2.2814
2015-05-20,2.2801
2015-05-21,2.2893
2015-05-22,2.2739
2015-05-26,2.2396
2015-05-27,2.2421
2015-05-28,2.2512
2015-05-29,2.2804
2015-06-01,2.2676
2015-06-02,2.3146
2015-06-03,2.3083
2015-06-04,2.3303
2015-06-05,2.3148
2015-06-08,2.3401
2015-06-09,2.3386
2015-06-10,2.3481
2015-06-11,2.3356
2015-06-12,2.3372
2015-06-15,2.3446
2015-06-16,2.3361
2015-06-17,2.3445
2015-06-18,2.3581
2015-06-19,2.3595
2015-06-22,2.3572
2015-06-23,2.3151
2015-06-24,2.3287
2015-06-25,2.3402
2015-06-26,2.3251
2015-06-29,2.3362
2015-06-30,2.3176
2015-07-01,2.3116
2015-07-02,2.3158
2015-07-03,2.3184
2015-07-06,2.3386
2015-07-07,2.3275
2015-07-08,2.3451
2015-07-09,2.3302
2015-07-10,2.3578
2015-07-13,2.3233
2015-07-14,2.3264
2015-07-15,2.3168
2015-07-16,2.3018
2015-07-17,2.2995
2015-07-20,2.3242
2015-07-21,2.3478
2015-07-22,2.3388
2015-07-23,2.3588
2015-07-24,2.3537
2015-07-29,2.3405
2015-07-30,2.3241
2015-07-31,2.3499
2015-08-03,2.3468
2015-08-04,2.3349
2015-08-05,2.3374
2015-08-06,2.3352
2015-08-07,2.3449
