date,exchange_rate
2014-11-24,0.7897
2014-11-25,0.7917
2014-11-26,0.7893
2014-11-27,0.7901
2014-11-28,0.7933
2014-12-01,0.7902
2014-12-02,0.7892
2014-12-03,0.7822
2014-12-04,0.7874
2014-12-05,0.7859
2014-12-08,0.7839
2014-12-09,0.7872
2014-12-10,0.7894
2014-12-11,0.7859
2014-12-12,0.7904
2014-12-15,0.7928
2014-12-16,0.792
2014-12-17,0.7896
2014-12-18,0.7817
2014-12-19,0.78
2014-12-22,0.782
2014-12-23,0.7819
2014-12-24,0.7817
2014-12-25,0.7826
2014-12-26,0.7803
2014-12-29,0.7811
2014-12-30,0.7788
2014-12-31,0.7742
2015-01-01,0.7742
2015-01-02,0.7805
2015-01-05,0.7798
2015-01-06,0.7816
2015-01-07,0.7809
2015-01-08,0.7792
2015-01-09,0.7789
2015-01-12,0.7776
2015-01-13,0.7742
2015-01-14,0.7714
2015-01-15,0.7638
2015-01-16,0.7609
2015-01-19,0.7657
2015-01-20,0.7602
2015-01-21,0.7646
2015-01-22,0.7544
2015-01-23,0.7451
2015-01-26,0.7429
2015-01-27,0.7462
2015-01-28,0.7422
2015-01-29,0.749
2015-01-30,0.7475
2015-02-02,0.7519
2015-02-03,0.7547
2015-02-04,0.744
2015-02-05,0.7462
2015-02-06,0.7398
2015-02-09,0.7419
2015-02-10,0.7393
2015-02-11,0.741
2015-02-12,0.7387
2015-02-13,0.7365
2015-02-16,0.7362
2015-02-17,0.7411
2015-02-18,0.7359
2015-02-19,0.7347
2015-02-20,0.7365
2015-02-23,0.7311
2015-02-24,0.7315
2015-02-25,0.7293
2015-02-26,0.7244
2015-02-27,0.7231
2015-03-02,0.7254
2015-03-03,0.7253
2015-03-04,0.7234
2015-03-05,0.7209
2015-03-06,0.7183
2015-03-09,0.7149
2015-03-10,0.7069
2015-03-11,0.7039
2015-03-12,0.711
2015-03-13,0.7099
2015-03-16,0.7107
2015-03-17,0.7159
2015-03-18,0.7222
2015-03-19,0.7205
2015-03-20,0.7209
2015-03-23,0.7297
2015-03-24,0.7327
2015-03-25,0.7342
2015-03-26,0.7301
2015-03-27,0.7293
2015-03-30,0.729
2015-03-31,0.7217
2015-04-01,0.7238
2015-04-02,0.7306
2015-04-03,0.7327
2015-04-06,0.7318
2015-04-07,0.7277
2015-04-08,0.7224
2015-04-09,0.7222
2015-04-10,0.7227
2015-04-13,0.7181
2015-04-14,0.7184
2015-04-15,0.7176
2015-04-16,0.7181
2015-04-17,0.7199
2015-04-20,0.7182
2015-04-21,0.7168
2015-04-22,0.7106
2015-04-23,0.7162
2015-04-24,0.7135
2015-04-27,0.7118
2015-04-28,0.7131
2015-04-29,0.718
2015-04-30,0.7279
2015-05-01,0.7371
2015-05-04,0.7349
2015-05-05,0.7345
2015-05-06,0.7417
2015-05-07,0.7279
2015-05-08,0.7238
2015-05-11,0.7133
2015-05-12,0.7134
2015-05-13,0.7189
2015-05-14,0.7205
2015-05-15,0.7256
2015-05-18,0.7202
2015-05-19,0.7158
2015-05-20,0.7116
2015-05-21,0.7068
2015-05-22,0.7085
2015-05-25,0.7069
2015-05-26,0.7048
2015-05-27,0.7078
2015-05-28,0.7138
2015-05-29,0.7166
2015-06-01,0.7164
2015-06-02,0.7244
2015-06-03,0.7321
2015-06-04,0.7273
2015-06-05,0.7253
2015-06-08,0.7331
2015-06-09,0.7304
2015-06-10,0.7275
2015-06-11,0.7222
2015-06-12,0.721
2015-06-15,0.7207
2015-06-16,0.7162
2015-06-17,0.7138
2015-06-18,0.7137
2015-06-19,0.7124
2015-06-22,0.7143
2015-06-23,0.7076
2015-06-24,0.711
2015-06-25,0.7088
2015-06-26,0.7064
2015-06-29,0.7105
2015-06-30,0.7073
2015-07-01,0.705
2015-07-02,0.708
2015-07-03,0.7116
2015-07-06,0.706
2015-07-07,0.7092
2015-07-08,0.718
2015-07-09,0.7174
2015-07-10,0.7166
2015-07-13,0.7082
2015-07-14,0.7019
2015-07-15,0.698
2015-07-16,0.6947
2015-07-17,0.6916
2015-07-20,0.6932
2015-07-21,0.7005
2015-07-22,0.6973
2015-07-23,0.7054
2015-07-24,0.7056
2015-07-27,0.7101
2015-07-28,0.706
2015-07-29,0.7015
2015-07-30,0.6985
2015-07-31,0.7006
2015-08-03,0.7001
2015-08-04,0.6972
2015-08-05,0.6963
2015-08-06,0.7019
2015-08-07,0.7051
2015-08-10,0.7043
2015-08-11,0.7063
2015-08-12,0.7119
2015-08-13,0.712
2015-08-14,0.7077
2015-08-17,0.7082
2015-08-18,0.7015
2015-08-19,0.7065
2015-08-20,0.7134
2015-08-21,0.723
2015-08-24,0.7338
2015-08-25,0.7318
2015-08-26,0.7298
2015-08-27,0.7273
2015-08-28,0.724
2015-08-31,0.7283
2015-09-01,0.7361
2015-09-02,0.7303
2015-09-03,0.7265
2015-09-04,0.7321
2015-09-07,0.7288
2015-09-08,0.7255
2015-09-09,0.7281
2015-09-10,0.7288
2015-09-11,0.7325
2015-09-14,0.7309
2015-09-15,0.732
2015-09-16,0.7261
2015-09-17,0.7306
2015-09-18,0.7259
2015-09-21,0.7186
2015-09-22,0.7225
2015-09-23,0.7313
2015-09-24,0.7315
2015-09-25,0.7351
2015-09-28,0.7383
2015-09-29,0.7402
2015-09-30,0.7361
2015-10-01,0.7369
2015-10-02,0.7357
2015-10-05,0.7364
2015-10-06,0.7373
2015-10-07,0.7314
2015-10-08,0.733
2015-10-09,0.7387
2015-10-12,0.7377
2015-10-13,0.7439
2015-10-14,0.7388
2015-10-15,0.7326
2015-10-16,0.7327
2015-10-19,0.7299
2015-10-20,0.7325
2015-10-21,0.7331
2015-10-22,0.719
2015-10-23,0.7171
2015-10-26,0.718
2015-10-27,0.7183
2015-10-28,0.7132
2015-10-29,0.7149
2015-10-30,0.7109
2015-11-02,0.7119
2015-11-03,0.7083
2015-11-04,0.7036
2015-11-05,0.7129
2015-11-06,0.7111
2015-11-09,0.7089
2015-11-10,0.7066
2015-11-11,0.7047
2015-11-12,0.7073
2015-11-13,0.7045
2015-11-16,0.7004
2015-11-17,0.697
2015-11-18,0.6975
2015-11-19,0.6993
2015-11-20,0.6984
2015-11-23,0.7007
2015-11-24,0.7032
2015-11-25,0.6994
2015-11-26,0.6998
2015-11-27,0.702
2015-11-30,0.6992
2015-12-01,0.7022
2015-12-02,0.7073
2015-12-03,0.7195
2015-12-04,0.7179
2015-12-07,0.7174
2015-12-08,0.7233
2015-12-09,0.7235
2015-12-10,0.7192
2015-12-11,0.7195
