date,exchange_rate
2014-11-10,2.1918
2014-11-11,2.1826
2014-11-12,2.1961
2014-11-13,2.1983
2014-11-14,2.1932
2014-11-17,2.2033
2014-11-18,2.2066
2014-11-19,2.2143
2014-11-20,2.2281
2014-11-21,2.2274
2014-11-24,2.2595
2014-11-25,2.2591
2014-11-26,2.2896
2014-11-27,2.2924
2014-11-28,2.2923
2014-12-01,2.2958
2014-12-02,2.3079
2014-12-03,2.2949
2014-12-04,2.3361
2014-12-05,2.4127
2014-12-08,2.3847
2014-12-09,2.3817
2014-12-10,2.3423
2014-12-12,2.279
2014-12-15,2.2867
2014-12-16,2.3295
2014-12-17,2.3782
2014-12-18,2.3548
2014-12-19,2.3504
2014-12-22,2.3295
2014-12-23,2.3162
2014-12-24,2.3073
2014-12-25,2.2994
2014-12-26,2.27
2014-12-30,2.2636
2014-12-31,2.2845
2015-01-05,2.2362
2015-01-06,2.2422
2015-01-07,2.2273
2015-01-08,2.2448
2015-01-09,2.2537
2015-01-12,2.2633
2015-01-13,2.2647
2015-01-14,2.2691
2015-01-15,2.2632
2015-01-16,2.2515
2015-01-20,2.249
2015-01-21,2.2638
2015-01-22,2.3063
2015-01-23,2.2335
2015-01-26,2.2462
2015-01-27,2.2778
2015-01-30,2.3223
2015-02-02,2.2566
2015-02-03,2.2665
2015-02-04,2.285
2015-02-05,2.2923
2015-02-06,2.3245
2015-02-09,2.2929
2015-02-10,2.3056
2015-02-11,2.2904
2015-02-12,2.2995
2015-02-13,2.3113
2015-02-16,2.339
2015-02-17,2.3653
2015-02-18,2.3688
2015-02-19,2.4423
2015-02-20,2.4598
2015-02-23,2.481
2015-02-24,2.5618
2015-02-25,2.5669
2015-02-26,2.5442
2015-02-27,2.4328
2015-03-02,2.401
2015-03-04,2.3449
2015-03-05,2.3703
2015-03-06,2.384
2015-03-09,2.359
2015-03-10,2.3435
2015-03-11,2.3102
2015-03-12,2.3239
2015-03-13,2.3085
2015-03-16,2.2984
2015-03-17,2.3318
2015-03-18,2.33
2015-03-19,2.3703
2015-03-20,2.394
2015-03-23,2.4284
2015-03-24,2.4435
2015-03-25,2.4435
2015-03-26,2.4388
2015-03-27,2.4135
2015-03-30,2.4088
2015-03-31,2.3996
2015-04-01,2.4145
2015-04-02,2.4374
2015-04-03,2.4871
2015-04-06,2.4796
2015-04-07,2.4397
2015-04-08,2.434
2015-04-14,2.393
2015-04-15,2.3851
2015-04-16,2.4142
2015-04-17,2.4249
2015-04-20,2.4198
2015-04-21,2.4096
2015-04-22,2.4148
2015-04-23,2.4315
2015-04-24,2.4805
2015-04-27,2.4765
2015-04-28,2.5207
2015-04-29,2.5456
2015-04-30,2.5996
2015-05-01,2.6228
2015-05-04,2.5956
2015-05-05,2.5886
2015-05-06,2.6224
2015-05-07,2.6261
2015-05-08,2.6237
2015-05-11,2.6125
2015-05-13,2.6691
2015-05-14,2.6941
2015-05-15,2.6779
2015-05-18,2.6824
2015-05-19,2.6045
2015-05-20,2.582
2015-05-21,2.5059
2015-05-22,2.5123
2015-05-25,2.5021
2015-05-27,2.4781
2015-05-28,2.5068
2015-05-29,2.5361
2015-06-01,2.5305
2015-06-02,2.5592
2015-06-03,2.5642
2015-06-04,2.588
2015-06-05,2.5458
2015-06-08,2.5581
2015-06-09,2.5499
2015-06-10,2.5516
2015-06-11,2.5324
2015-06-12,2.5264
2015-06-15,2.508
2015-06-16,2.5154
2015-06-17,2.5251
2015-06-18,2.5562
2015-06-19,2.5378
2015-06-22,2.5471
2015-06-23,2.5099
2015-06-24,2.5142
2015-06-25,2.5165
2015-06-26,2.5087
2015-06-29,2.4971
2015-06-30,2.521
2015-07-01,2.4897
2015-07-02,2.4902
2015-07-03,2.4924
2015-07-06,2.4763
2015-07-07,2.4531
2015-07-08,2.479
2015-07-09,2.4787
2015-07-10,2.5165
2015-07-13,2.4874
2015-07-14,2.4989
2015-07-15,2.4888
2015-07-16,2.4678
2015-07-17,2.468
2015-07-20,2.451
2015-07-21,2.4551
2015-07-22,2.4588
2015-07-23,2.4696
2015-07-24,2.4687
2015-07-27,2.499
2015-07-28,2.4968
2015-07-29,2.5061
2015-07-30,2.4921
2015-07-31,2.5205
2015-08-03,2.4875
2015-08-04,2.4981
2015-08-05,2.4955
2015-08-06,2.507
2015-08-07,2.5057
2015-08-10,2.5185
2015-08-11,2.5432
2015-08-12,2.5761
2015-08-13,2.5774
2015-08-14,2.5875
2015-08-17,2.5779
2015-08-18,2.5596
2015-08-19,2.5643
2015-08-21,2.6314
2015-08-24,2.7446
2015-08-25,2.7693
2015-08-26,2.703
2015-08-27,2.6352
2015-08-31,2.6375
2015-09-01,2.6634
2015-09-02,2.6547
2015-09-03,2.625
