date,exchange_rate
2023-10-28,0.870784
2023-10-30,0.871138
2023-10-31,0.873725
2023-11-01,0.872297
2023-11-02,0.875429
2023-11-03,0.881921
2023-11-04,0.8677
2023-11-05,0.866725
2023-11-06,0.866172
2023-11-07,0.863428
2023-11-08,0.871028
2023-11-09,0.867221
2023-11-10,0.872805
2023-11-12,0.87804
2023-11-13,0.874305
2023-11-14,0.887088
2023-11-15,0.86923
2023-11-16,0.873141
2023-11-17,0.878888
2023-11-18,0.878435
2023-11-19,0.875775
2023-11-20,0.877897
2023-11-21,0.872673
2023-11-22,0.868294
2023-11-23,0.874915
2023-11-24,0.873554
2023-11-25,0.86902
2023-11-26,0.868393
2023-11-27,0.869136
2023-11-28,0.871875
2023-11-29,0.863323
2023-11-30,0.858377
2023-12-01,0.861997
2023-12-02,0.858377
2023-12-03,0.85692
2023-12-04,0.85304
2023-12-05,0.854798
2023-12-06,0.855302
2023-12-07,0.85766
2023-12-08,0.855662
2023-12-09,0.859337
2023-12-10,0.857418
2023-12-11,0.857708
2023-12-12,0.860209
2023-12-13,0.866732
2023-12-14,0.877856
2023-12-15,0.853299
2023-12-16,0.858277
2023-12-17,0.859579
2023-12-18,0.861357
2023-12-19,0.869291
2023-12-20,0.85789
2023-12-21,0.869354
2023-12-22,0.869173
2023-12-23,0.866838
2023-12-24,0.867981
2023-12-25,0.867312
2023-12-26,0.869714
2023-12-27,0.873887
2023-12-28,0.864818
2023-12-29,0.866411
2023-12-30,0.8678
2023-12-31,0.867859
2024-01-01,0.867597
2024-01-02,0.860821
2024-01-03,0.864561
2024-01-04,0.865977
2024-01-05,0.861904
2024-01-06,0.86014
2024-01-07,0.860937
2024-01-08,0.861237
2024-01-09,0.856146
2024-01-10,0.862059
2024-01-11,0.861789
2024-01-12,0.861952
2024-01-13,0.860091
2024-01-14,0.859848
2024-01-15,0.8588
2024-01-16,0.854095
2024-01-17,0.859309
2024-01-18,0.857738
2024-01-19,0.858628
2024-01-20,0.861109
2024-01-21,0.859146
2024-01-22,0.856733
2024-01-23,0.852212
2024-01-24,0.860133
2024-01-25,0.849144
2024-01-26,0.855269
2024-01-27,0.854201
2024-01-28,0.855092
2024-01-29,0.85163
2024-01-30,0.855313
2024-01-31,0.856429
2024-02-01,0.854026
2024-02-02,0.84822
2024-02-03,0.855982
2024-02-04,0.855574
2024-02-05,0.850093
2024-02-06,0.858072
2024-02-07,0.855839
2024-02-08,0.853317
2024-02-09,0.854832
2024-02-10,0.85414
2024-02-11,0.854038
2024-02-12,0.853531
2024-02-13,0.84777
2024-02-14,0.851171
2024-02-15,0.857403
2024-02-16,0.857206
2024-02-17,0.856208
2024-02-18,0.855393
2024-02-19,0.855555
2024-02-20,0.858936
2024-02-21,0.855551
2024-02-22,0.857472
2024-02-23,0.855762
2024-02-24,0.854626
2024-02-25,0.854782
2024-02-26,0.856366
2024-02-27,0.855526
2024-02-28,0.853793
2024-02-29,0.853034
2024-03-01,0.858248
2024-03-02,0.857711
2024-03-03,0.85755
2024-03-04,0.858066
2024-03-05,0.854565
2024-03-06,0.857642
2024-03-07,0.857785
2024-03-08,0.854822
2024-03-09,0.851735
2024-03-10,0.85174
2024-03-11,0.84995
2024-03-12,0.852864
2024-03-13,0.8568
2024-03-14,0.850746
2024-03-15,0.854255
2024-03-16,0.855475
2024-03-17,0.855673
2024-03-18,0.85308
2024-03-19,0.853332
2024-03-20,0.855487
2024-03-21,0.854423
2024-03-22,0.853187
2024-03-23,0.862053
2024-03-24,0.862044
2024-03-25,0.859334
2024-03-26,0.856552
2024-03-27,0.856833
2024-03-28,0.854895
2024-03-29,0.854003
2024-03-30,0.854841
2024-03-31,0.855417
2024-04-01,0.850763
2024-04-02,0.858391
2024-04-03,0.863435
2024-04-04,0.865826
2024-04-05,0.863804
2024-04-06,0.864816
2024-04-07,0.864817
2024-04-08,0.86553
2024-04-09,0.865234
2024-04-10,0.856499
2024-04-11,0.854495
2024-04-12,0.848742
2024-04-13,0.856599
2024-04-14,0.856599
2024-04-15,0.853739
2024-04-16,0.852768
2024-04-17,0.855153
2024-04-18,0.855226
2024-04-19,0.855002
2024-04-20,0.856276
2024-04-21,0.856276
2024-04-22,0.854916
2024-04-23,0.858904
2024-04-24,0.857908
2024-04-25,0.860515
