date,exchange_rate
2014-11-07,3.9974
2014-11-10,4.0017
2014-11-11,4.006
2014-11-12,4.0047
2014-11-13,4.0067
2014-11-14,4.0287
2014-11-17,3.9951
2014-11-18,3.9867
2014-11-19,3.9982
2014-11-20,3.9906
2014-11-21,3.9556
2014-11-24,3.9705
2014-11-25,3.9751
2014-11-26,3.9664
2014-11-27,3.9548
2014-11-28,3.9744
2014-12-01,3.9807
2014-12-02,3.9524
2014-12-03,3.9281
2014-12-04,3.9507
2014-12-05,3.9384
2014-12-08,3.9542
2014-12-09,3.9827
2014-12-10,4.0035
2014-12-11,3.9705
2014-12-12,3.9743
2014-12-15,3.9958
2014-12-16,4.012
2014-12-17,3.9669
2014-12-18,3.9518
2014-12-19,3.9211
2014-12-22,3.9161
2014-12-23,3.9091
2014-12-24,3.9179
2014-12-25,3.9263
2014-12-26,3.9125
2014-12-30,3.8979
2014-12-31,3.8792
2015-01-01,3.8804
2015-01-02,3.8595
2015-01-05,3.8291
2015-01-06,3.8186
2015-01-07,3.8188
2015-01-08,3.8094
2015-01-09,3.8378
2015-01-12,3.8475
2015-01-13,3.8048
2015-01-14,3.8569
2015-01-15,3.77
2015-01-16,3.7503
2015-01-19,3.8327
2015-01-20,3.8155
2015-01-21,3.7943
2015-01-22,3.7294
2015-01-23,3.6659
2015-01-26,3.6894
2015-01-27,3.7308
2015-01-28,3.6995
2015-01-29,3.7508
2015-01-30,3.7263
2015-02-02,3.7986
2015-02-03,3.8781
2015-02-04,3.8016
2015-02-05,3.8568
2015-02-06,3.735
2015-02-09,3.8778
2015-02-10,3.7348
2015-02-11,3.8311
2015-02-12,3.9172
2015-02-13,3.9054
2015-02-16,3.8611
2015-02-17,3.9386
2015-02-18,3.8784
2015-02-19,3.934
2015-02-20,3.9344
2015-02-23,3.9476
2015-02-24,3.9475
2015-02-25,3.9554
2015-02-26,3.8977
2015-02-27,3.897
2015-03-02,3.9154
2015-03-03,3.9139
2015-03-04,3.8793
2015-03-05,3.918
2015-03-06,3.8421
2015-03-09,3.8518
2015-03-10,3.7966
2015-03-11,3.766
2015-03-12,3.8361
2015-03-13,3.8246
2015-03-16,3.8353
2015-03-17,3.868
2015-03-18,3.9652
2015-03-19,3.9808
2015-03-20,4.0247
2015-03-23,4.0458
2015-03-24,4.1037
2015-03-25,4.1238
2015-03-26,4.1443
2015-03-27,4.1315
2015-03-30,4.1055
2015-03-31,4.093
2015-04-01,4.1159
2015-04-02,4.1502
2015-04-03,4.1891
2015-04-06,4.1727
2015-04-07,4.1306
2015-04-08,4.0996
2015-04-09,4.0651
2015-04-10,4.0296
2015-04-13,4.0293
2015-04-14,4.0769
2015-04-15,4.0854
2015-04-16,4.117
2015-04-17,4.1293
2015-04-20,4.1143
2015-04-21,4.1088
2015-04-22,4.0968
2015-04-23,4.1569
2015-04-24,4.162
2015-04-27,4.1622
2015-04-28,4.2383
2015-04-29,4.2866
2015-04-30,4.3024
2015-05-01,4.2911
2015-05-04,4.2759
2015-05-05,4.2893
2015-05-06,4.3686
2015-05-07,4.3302
2015-05-08,4.3398
2015-05-11,4.3111
2015-05-12,4.3645
2015-05-13,4.47
2015-05-14,4.4894
2015-05-15,4.4555
2015-05-18,4.5277
2015-05-19,4.4152
2015-05-20,4.4514
2015-05-21,4.4557
2015-05-22,4.4397
2015-05-25,4.4254
2015-05-26,4.3998
2015-05-27,4.4288
2015-05-28,4.4552
2015-05-29,4.4642
2015-06-01,4.4593
2015-06-02,4.5841
2015-06-03,4.6223
2015-06-04,4.6507
2015-06-05,4.5681
2015-06-08,4.7414
2015-06-09,4.7825
2015-06-10,4.7803
2015-06-11,4.8581
2015-06-12,4.8664
2015-06-15,4.8394
2015-06-16,4.8771
2015-06-17,4.9551
2015-06-18,4.9539
2015-06-19,4.9292
2015-06-22,4.9699
2015-06-23,4.9051
2015-06-24,4.9189
2015-06-25,4.9138
2015-06-26,4.8921
2015-06-29,4.9138
2015-06-30,4.8348
2015-07-01,4.8039
2015-07-02,4.8224
2015-07-03,4.8321
2015-07-06,4.2349
2015-07-07,4.2158
2015-07-08,4.2398
2015-07-09,3.9072
2015-07-13,3.8063
2015-07-14,3.8517
2015-07-22,3.561
2015-07-23,3.6039
2015-07-24,3.7329
2015-07-29,4.0752
2015-07-30,4.0693
2015-07-31,4.1387
2015-08-03,4.1888
2015-08-06,4.0638
2015-08-07,4.1021
2015-08-10,4.2952
2015-08-11,4.3203
2015-08-12,4.5139
2015-08-13,4.3478
2015-08-14,4.4798
2015-08-21,4.8066
2015-08-24,4.8855
2015-08-25,4.9821
2015-08-26,4.8995
2015-08-27,4.6639
2015-08-28,4.5714
2015-08-31,4.4268
2015-09-01,4.2939
2015-09-02,4.2612
2015-09-03,4.2527
2015-09-04,4.2917
2015-09-07,4.2804
2015-09-08,4.3697
2015-09-09,4.3744
2015-09-10,4.6171
2015-09-11,4.6425
2015-09-14,4.6135
2015-09-15,4.6178
2015-09-16,4.5715
2015-09-17,4.6247
2015-09-18,4.5232
2015-09-21,4.3614
2015-09-22,4.3397
2015-09-23,4.3066
2015-09-24,4.3347
2015-09-25,4.3414
2015-09-28,4.324
2015-09-29,4.2408
2015-09-30,4.2437
2015-10-01,4.2738
2015-10-02,4.2586
2015-10-05,4.2844
2015-10-06,4.3368
2015-10-07,4.3597
2015-10-08,4.3225
2015-10-09,4.417
2015-10-12,4.3936
2015-10-13,4.4496
2015-10-14,4.4727
2015-10-15,4.4865
2015-10-16,4.4473
2015-10-19,4.4735
2015-10-20,4.381
2015-10-21,4.2848
2015-10-22,4.3178
2015-10-23,4.2517
2015-10-26,4.1453
2015-10-27,4.2711
2015-10-28,4.2337
2015-10-29,4.3281
2015-10-30,4.293
2015-11-02,4.3489
2015-11-03,4.2627
2015-11-04,4.2258
2015-11-05,4.2185
2015-11-06,4.1868
2015-11-09,4.1498
2015-11-10,4.1817
2015-11-11,4.2065
2015-11-12,4.2462
2015-11-13,4.2006
2015-11-16,4.1153
2015-11-17,4.0713
2015-11-18,4.1554
2015-11-19,4.2052
2015-11-20,4.1769
2015-11-23,4.1572
2015-11-24,4.1721
2015-11-25,4.1096
2015-11-26,4.1034
2015-11-27,4.0972
2015-11-30,4.1044
2015-12-01,4.1372
2015-12-02,4.0257
2015-12-03,4.2611
2015-12-04,4.2277
2015-12-07,4.2128
2015-12-08,4.2171
2015-12-09,4.265
2015-12-10,4.2761
2015-12-11,4.2901
2015-12-14,4.3101
2015-12-15,4.2898
2015-12-16,4.2857
2015-12-17,4.2408
2015-12-18,4.2552
2015-12-21,4.2884
2015-12-22,4.1819
2015-12-23,4.2734
2015-12-24,4.1817
2015-12-25,4.2792
2015-12-28,4.2369
2015-12-29,4.2693
2015-12-30,4.2397
2015-12-31,4.1313
2016-01-01,4.213
2016-01-04,4.2332
2016-01-05,4.2089
2016-01-06,4.2029
2016-01-07,4.2798
2016-01-08,4.2912
2016-01-11,4.2981
2016-01-12,4.3038
2016-01-13,4.3102
2016-01-14,4.303
2016-01-15,4.3313
2016-01-18,4.2189
2016-01-19,4.3849
2016-01-20,4.3221
2016-01-21,4.3159
2016-01-22,4.2734
2016-01-25,4.3056
2016-01-26,4.5287
2016-01-27,4.4151
2016-01-28,4.3367
2016-01-29,4.5036
2016-02-01,4.453
2016-02-02,4.4658
2016-02-03,4.5026
2016-02-04,4.5545
2016-02-05,4.5863
2016-02-08,4.5177
2016-02-09,4.5824
2016-02-10,4.5897
2016-02-11,4.6037
2016-02-12,4.6019
2016-02-15,4.5304
2016-02-16,4.5336
2016-02-17,4.4717
2016-02-18,4.4642
2016-02-19,4.4728
2016-02-22,4.497
2016-02-23,4.3409
2016-02-24,4.368
2016-02-25,4.4081
2016-02-26,4.3505
2016-02-29,4.3197
2016-03-01,4.3238
2016-03-02,4.3238
2016-03-03,4.2974
2016-03-04,4.3458
2016-03-07,4.3005
2016-03-08,4.341
2016-03-09,4.2885
2016-03-10,4.4038
2016-03-11,4.3878
2016-03-14,4.3845
2016-03-15,4.3752
2016-03-16,4.4175
2016-03-17,4.4291
2016-03-18,4.4621
2016-03-21,4.4386
2016-03-22,4.429
2016-03-23,4.4053
2016-03-24,4.3849
2016-03-25,4.3795
2016-03-28,4.3938
2016-03-29,4.4349
2016-03-30,4.4523
2016-03-31,4.4711
2016-04-01,4.4664
2016-04-04,4.4631
2016-04-05,4.4717
2016-04-06,4.472
2016-04-07,4.4694
2016-04-08,4.4753
2016-04-11,4.4429
2016-04-12,4.4621
2016-04-13,4.4374
2016-04-14,4.4141
2016-04-15,4.4318
2016-04-18,4.4379
2016-04-19,4.428
2016-04-20,4.4336
2016-04-21,4.4367
2016-04-22,4.3951
2016-04-25,4.3983
2016-04-26,4.4158
2016-04-27,4.4152
2016-04-28,4.4292
2016-04-29,4.452
2016-05-02,4.5232
2016-05-03,4.4656
2016-05-04,4.4797
2016-05-05,4.4571
2016-05-06,4.4342
2016-05-09,4.4382
2016-05-10,4.4517
2016-05-11,4.4711
2016-05-12,4.4582
2016-05-13,4.4287
2016-05-16,4.4312
2016-05-17,4.4388
2016-05-18,4.4234
2016-05-19,4.4171
2016-05-20,4.395
2016-05-23,4.4397
2016-05-24,4.4041
2016-05-25,4.3716
2016-05-26,4.4298
2016-05-27,4.4101
2016-05-30,4.4206
2016-05-31,4.4178
2016-06-01,4.4641
2016-06-02,4.4553
2016-06-03,4.5211
2016-06-06,4.5182
2016-06-07,4.5641
2016-06-08,4.5696
2016-06-09,4.5703
2016-06-10,4.5499
2016-06-13,4.5704
2016-06-14,4.5381
