date,exchange_rate
2014-11-24,54.167
2014-11-25,54.378
2014-11-26,54.515
2014-11-27,54.356
2014-11-28,53.672
2014-12-01,54.37
2014-12-02,53.983
2014-12-03,53.651
2014-12-04,53.959
2014-12-05,53.54
2014-12-08,53.68
2014-12-09,53.949
2014-12-10,54.255
2014-12-11,54.805
2014-12-12,53.713
2014-12-15,54.235
2014-12-16,54.54
2014-12-17,53.76
2014-12-18,53.554
2014-12-19,53.305
2014-12-22,53.298
2014-12-23,53.058
2014-12-24,53.056
2014-12-25,53.17
2014-12-26,52.984
2014-12-29,53.0
2014-12-30,52.966
2014-12-31,52.553
2015-01-01,52.57
2015-01-02,52.304
2015-01-05,52.014
2015-01-06,51.754
2015-01-07,51.592
2015-01-08,51.386
2015-01-09,51.608
2015-01-12,51.581
2015-01-13,51.331
2015-01-14,51.449
2015-01-15,50.697
2015-01-16,50.432
2015-01-19,50.604
2015-01-20,50.362
2015-01-21,50.634
2015-01-22,49.389
2015-01-23,48.285
2015-01-26,48.525
2015-01-27,49.574
2015-01-28,49.143
2015-01-29,49.373
2015-01-30,49.199
2015-02-02,49.405
2015-02-03,51.369
2015-02-04,50.806
2015-02-05,50.014
2015-02-06,49.313
2015-02-09,48.859
2015-02-10,49.311
2015-02-11,49.386
2015-02-12,49.574
2015-02-13,49.587
2015-02-16,49.48
2015-02-17,49.743
2015-02-18,49.702
2015-02-19,49.54
2015-02-20,49.618
2015-02-23,49.426
2015-02-24,49.425
2015-02-25,49.41
2015-02-26,48.801
2015-02-27,48.224
2015-03-02,48.743
2015-03-03,48.724
2015-03-04,48.3
2015-03-05,48.089
2015-03-06,47.29
2015-03-09,47.276
2015-03-10,46.598
2015-03-11,45.436
2015-03-12,46.301
2015-03-13,45.782
2015-03-16,46.068
2015-03-17,46.175
2015-03-18,47.206
2015-03-19,46.502
2015-03-20,47.142
2015-03-23,47.719
2015-03-24,47.562
2015-03-25,47.795
2015-03-26,47.396
2015-03-27,47.478
2015-03-30,47.2
2015-03-31,46.809
2015-04-01,46.948
2015-04-02,47.408
2015-04-03,47.846
2015-04-06,47.637
2015-04-07,47.178
2015-04-08,47.008
2015-04-09,46.49
2015-04-10,46.206
2015-04-13,46.081
2015-04-14,46.442
2015-04-15,46.54
2015-04-16,46.9
2015-04-17,46.864
2015-04-20,46.807
2015-04-21,46.806
2015-04-22,46.731
2015-04-23,47.169
2015-04-24,47.344
2015-04-27,47.415
2015-04-28,47.844
2015-04-29,48.452
2015-04-30,48.947
2015-05-01,48.796
2015-05-04,48.583
2015-05-05,48.735
2015-05-06,49.443
2015-05-07,49.071
2015-05-08,48.78
2015-05-11,48.546
2015-05-12,48.888
2015-05-13,49.498
2015-05-14,49.692
2015-05-15,49.914
2015-05-18,49.323
2015-05-19,48.583
2015-05-20,48.37
2015-05-21,48.416
2015-05-22,48.003
2015-05-25,47.849
2015-05-26,47.455
2015-05-27,47.478
2015-05-28,47.794
2015-05-29,47.857
2015-06-01,47.603
2015-06-02,48.601
2015-06-03,49.103
2015-06-04,48.838
2015-06-05,48.431
2015-06-08,49.135
2015-06-09,49.15
2015-06-10,49.337
2015-06-11,49.003
2015-06-12,49.086
2015-06-15,49.139
2015-06-16,49.001
2015-06-17,49.387
2015-06-18,49.534
2015-06-19,49.059
2015-06-22,48.593
2015-06-23,47.883
2015-06-24,46.304
2015-06-25,46.253
2015-06-26,44.483
2015-06-29,44.68
2015-06-30,44.589
2015-07-01,44.066
2015-07-02,44.151
2015-07-03,44.324
2015-07-06,43.764
2015-07-07,43.671
2015-07-08,43.948
2015-07-09,43.916
2015-07-10,44.285
2015-07-13,43.628
2015-07-14,43.606
2015-07-15,43.5
2015-07-16,43.552
2015-07-17,43.398
2015-07-20,43.186
2015-07-21,43.822
2015-07-22,43.587
2015-07-23,44.04
2015-07-24,43.73
2015-07-27,44.393
2015-07-28,44.118
2015-07-29,43.768
2015-07-30,43.552
2015-07-31,43.427
2015-08-03,44.073
2015-08-04,43.786
2015-08-05,43.608
2015-08-06,43.529
2015-08-07,43.439
2015-08-10,44.17
2015-08-11,44.436
2015-08-12,44.89
2015-08-13,44.761
2015-08-14,44.533
2015-08-17,44.628
2015-08-18,43.157
2015-08-19,43.729
2015-08-20,44.172
2015-08-21,44.819
2015-08-24,46.481
2015-08-25,46.418
2015-08-26,45.21
2015-08-27,45.234
2015-08-28,44.987
2015-08-31,45.221
2015-09-01,45.516
2015-09-02,45.136
2015-09-03,44.752
2015-09-04,44.645
2015-09-07,44.602
2015-09-08,45.132
2015-09-09,45.18
2015-09-10,44.703
2015-09-11,45.177
2015-09-14,44.778
2015-09-15,44.623
2015-09-16,44.699
2015-09-17,45.733
2015-09-18,44.779
2015-09-21,44.285
2015-09-22,43.519
2015-09-23,44.297
2015-09-24,44.241
2015-09-25,44.31
2015-09-28,44.476
2015-09-29,44.546
2015-09-30,44.208
2015-10-01,44.282
2015-10-02,44.379
2015-10-05,44.299
2015-10-06,44.607
2015-10-07,44.496
2015-10-08,44.612
2015-10-09,44.942
2015-10-12,44.936
2015-10-13,45.896
2015-10-14,45.954
2015-10-15,45.605
2015-10-16,45.211
2015-10-19,45.358
2015-10-20,44.945
2015-10-21,45.887
2015-10-22,43.955
2015-10-23,43.597
2015-10-26,43.664
2015-10-27,44.256
2015-10-28,43.244
2015-10-29,43.479
2015-10-30,43.591
2015-11-02,43.577
2015-11-03,43.394
2015-11-04,42.997
2015-11-05,43.329
2015-11-06,42.459
2015-11-09,42.573
2015-11-10,42.461
2015-11-11,43.355
2015-11-12,42.786
2015-11-13,42.653
2015-11-16,42.574
2015-11-17,42.124
2015-11-18,42.674
2015-11-19,42.513
2015-11-20,42.588
2015-11-23,42.369
2015-11-24,42.679
2015-11-25,42.317
2015-11-26,42.254
2015-11-27,42.19
