date,exchange_rate
2014-11-24,8769.5
2014-11-25,8830.9
2014-11-26,8953.3
2014-11-27,8927.2
2014-11-28,8740.8
2014-12-01,8792.2
2014-12-02,8717.3
2014-12-03,8649.4
2014-12-04,8577.2
2014-12-05,8658.1
2014-12-08,8680.6
2014-12-09,8689.0
2014-12-10,8745.2
2014-12-11,8866.3
2014-12-12,8759.9
2014-12-15,8813.9
2014-12-16,8787.1
2014-12-17,8853.9
2014-12-18,8666.5
2014-12-19,8669.0
2014-12-22,8594.2
2014-12-23,8768.8
2014-12-24,8557.3
2014-12-25,8679.1
2014-12-26,8636.5
2014-12-29,8541.6
2014-12-30,8733.2
2014-12-31,8800.0
2015-01-01,8802.9
2015-01-02,8434.4
2015-01-05,8671.4
2015-01-06,8624.4
2015-01-07,8319.1
2015-01-08,8395.1
2015-01-09,8422.5
2015-01-12,8279.5
2015-01-13,8257.5
2015-01-14,8310.6
2015-01-15,8182.5
2015-01-16,8178.5
2015-01-20,8376.6
2015-01-21,8307.1
2015-01-22,8138.6
2015-01-23,8045.6
2015-01-26,8059.7
2015-01-27,8196.6
2015-01-28,8096.1
2015-01-29,8107.4
2015-01-30,8192.5
2015-02-02,8250.8
2015-02-03,8359.4
2015-02-04,8258.7
2015-02-05,8244.7
2015-02-06,8136.7
2015-02-09,8147.8
2015-02-10,8068.7
2015-02-11,8063.0
2015-02-12,8147.1
2015-02-13,8119.3
2015-02-17,8087.6
2015-02-18,8074.3
2015-02-19,8043.5
2015-02-20,8060.6
2015-02-23,8040.4
2015-02-24,8030.6
2015-02-25,8049.9
2015-02-26,7930.8
2015-02-27,7922.5
2015-03-02,7919.0
2015-03-03,7915.4
2015-03-04,7882.6
2015-03-05,7837.9
2015-03-06,7700.5
2015-03-09,7704.5
2015-03-10,7594.5
2015-03-11,7485.6
2015-03-12,7545.3
2015-03-13,7461.2
2015-03-16,7526.1
2015-03-17,7529.7
2015-03-18,7721.9
2015-03-19,7592.1
2015-03-20,7695.0
2015-03-23,7973.3
2015-03-24,8022.7
2015-03-25,8063.6
2015-03-26,7880.3
2015-03-27,7904.1
2015-03-30,7847.5
2015-03-31,7795.5
2015-04-01,7801.3
2015-04-02,7895.2
2015-04-03,7956.8
2015-04-06,7946.0
2015-04-07,7605.3
2015-04-08,7816.9
2015-04-09,7715.1
2015-04-10,7737.5
2015-04-13,7734.2
2015-04-14,7697.7
