date,exchange_rate
2014-11-07,9.455
2014-11-10,9.427
2014-11-11,9.473
2014-11-12,9.444
2014-11-13,9.477
2014-11-14,9.523
2014-11-17,9.468
2014-11-18,9.54
2014-11-19,9.55
2014-11-20,9.544
2014-11-21,9.431
2014-11-24,9.472
2014-11-25,9.5
2014-11-26,9.524
2014-11-27,9.496
2014-11-28,9.512
2014-12-01,9.53
2014-12-02,9.457
2014-12-03,9.398
2014-12-04,9.452
2014-12-05,9.364
2014-12-08,9.395
2014-12-09,9.442
2014-12-10,9.493
2014-12-11,9.46
2014-12-12,9.5
2014-12-15,9.482
2014-12-16,9.528
2014-12-17,9.383
2014-12-18,9.34
2014-12-19,9.301
2014-12-22,9.299
2014-12-23,9.257
2014-12-24,9.276
2014-12-25,9.296
2014-12-26,9.263
2014-12-30,9.224
2014-12-31,9.18
2015-01-01,9.183
2015-01-02,9.105
2015-01-05,9.047
2015-01-06,9.002
2015-01-07,8.976
2015-01-08,8.961
2015-01-09,9.029
2015-01-12,9.049
2015-01-13,9.023
2015-01-14,9.027
2015-01-15,8.887
2015-01-16,8.837
2015-01-19,8.865
2015-01-20,8.823
2015-01-21,8.866
2015-01-22,8.648
2015-01-23,8.561
2015-01-26,8.589
2015-01-27,8.692
2015-01-28,8.617
2015-01-29,8.657
2015-01-30,8.629
2015-02-02,8.662
2015-02-03,8.761
2015-02-04,8.666
2015-02-05,8.769
2015-02-06,8.647
2015-02-09,8.658
2015-02-10,8.643
2015-02-11,8.661
2015-02-12,8.714
2015-02-13,8.696
2015-02-16,8.679
2015-02-17,8.72
2015-02-18,8.706
2015-02-19,8.672
2015-02-20,8.684
2015-02-23,8.645
2015-02-24,8.647
2015-02-25,8.662
2015-02-26,8.533
2015-02-27,8.527
2015-03-02,8.516
2015-03-03,8.512
2015-03-04,8.437
2015-03-05,8.399
2015-03-06,8.259
2015-03-09,8.256
2015-03-10,8.135
2015-03-11,8.025
2015-03-12,8.082
2015-03-13,7.986
2015-03-16,8.033
2015-03-17,8.053
2015-03-18,8.237
2015-03-19,8.116
2015-03-20,8.238
2015-03-23,8.354
2015-03-24,8.317
2015-03-25,8.358
2015-03-26,8.295
2015-03-27,8.318
2015-03-30,8.269
2015-03-31,8.199
2015-04-01,8.217
2015-04-02,8.297
2015-04-03,8.375
2015-04-06,8.339
2015-04-07,8.257
2015-04-08,8.228
2015-04-09,8.142
2015-04-10,8.103
2015-04-13,8.086
2015-04-14,8.153
2015-04-15,8.179
2015-04-16,8.243
2015-04-17,8.291
2015-04-20,8.257
2015-04-21,8.263
2015-04-22,8.264
2015-04-23,8.357
2015-04-24,8.403
2015-04-27,8.438
2015-04-28,8.52
2015-04-29,8.625
2015-04-30,8.699
2015-05-01,8.676
2015-05-04,8.621
2015-05-05,8.642
2015-05-06,8.766
2015-05-07,8.693
2015-05-08,8.634
2015-05-11,8.58
2015-05-12,8.618
2015-05-13,8.719
2015-05-14,8.738
2015-05-15,8.736
2015-05-18,8.623
2015-05-19,8.494
2015-05-20,8.471
2015-05-21,8.496
2015-05-22,8.438
2015-05-25,8.411
2015-05-26,8.354
2015-05-27,8.372
2015-05-28,8.416
2015-05-29,8.416
2015-06-01,8.367
2015-06-02,8.535
2015-06-03,8.631
2015-06-04,8.595
2015-06-05,8.533
2015-06-08,8.669
2015-06-09,8.662
2015-06-10,8.688
2015-06-11,8.607
2015-06-12,8.614
2015-06-15,8.621
2015-06-16,8.589
2015-06-17,8.644
2015-06-18,8.672
2015-06-19,8.659
2015-06-22,8.65
2015-06-23,8.506
2015-06-24,8.523
2015-06-25,8.521
2015-06-26,8.502
2015-06-29,8.54
2015-06-30,8.48
2015-07-01,8.418
2015-07-02,8.438
2015-07-03,8.467
2015-07-06,8.411
2015-07-07,8.38
2015-07-08,8.441
2015-07-09,8.437
2015-07-10,8.509
2015-07-13,8.415
2015-07-14,8.43
2015-07-15,8.378
2015-07-16,8.313
2015-07-17,8.27
2015-07-20,8.269
2015-07-21,8.361
2015-07-22,8.359
2015-07-23,8.404
2015-07-24,8.406
2015-07-27,8.489
2015-07-28,8.471
2015-07-29,8.413
2015-07-30,8.359
2015-07-31,8.39
2015-08-03,8.36
2015-08-04,8.314
2015-08-05,8.321
2015-08-06,8.337
2015-08-07,8.359
2015-08-10,8.404
2015-08-11,8.439
2015-08-12,8.527
2015-08-13,8.517
2015-08-14,8.48
2015-08-17,8.455
2015-08-18,8.409
2015-08-19,8.473
2015-08-20,8.561
2015-08-21,8.68
2015-08-24,8.822
2015-08-25,8.799
2015-08-26,8.657
2015-08-27,8.612
2015-08-28,8.573
2015-08-31,8.598
2015-09-01,8.683
2015-09-02,8.632
2015-09-03,8.585
2015-09-04,8.617
2015-09-07,8.631
2015-09-08,8.647
2015-09-09,8.654
2015-09-10,8.706
2015-09-11,8.738
2015-09-14,8.697
2015-09-15,8.667
2015-09-16,8.66
2015-09-17,8.743
2015-09-18,8.645
2015-09-21,8.545
2015-09-22,8.498
2015-09-23,8.553
2015-09-24,8.567
2015-09-25,8.595
2015-09-28,8.617
2015-09-29,8.62
2015-09-30,8.565
2015-10-01,8.608
2015-10-02,8.647
2015-10-05,8.625
2015-10-06,8.669
2015-10-07,8.645
2015-10-08,8.662
2015-10-09,8.709
2015-10-12,8.708
2015-10-13,8.726
2015-10-14,8.786
2015-10-15,8.709
2015-10-16,8.684
2015-10-19,8.665
2015-10-20,8.684
2015-10-21,8.683
2015-10-22,8.513
2015-10-23,8.465
2015-10-26,8.502
2015-10-27,8.474
2015-10-28,8.385
2015-10-29,8.416
2015-10-30,8.426
2015-11-02,8.428
2015-11-03,8.382
2015-11-04,8.306
2015-11-05,8.317
2015-11-06,8.22
2015-11-09,8.238
2015-11-10,8.217
2015-11-11,8.227
2015-11-12,8.268
2015-11-13,8.237
2015-11-16,8.167
2015-11-17,8.137
2015-11-18,8.139
2015-11-19,8.193
2015-11-20,8.129
2015-11-23,8.112
2015-11-24,8.114
2015-11-25,8.089
2015-11-26,8.077
2015-11-27,8.065
2015-11-30,8.033
2015-12-01,8.065
2015-12-02,8.052
2015-12-03,8.306
2015-12-04,8.263
2015-12-07,8.233
2015-12-08,8.276
2015-12-09,8.37
2015-12-10,8.314
2015-12-11,8.352
2015-12-14,8.357
2015-12-15,8.305
2015-12-16,8.286
2015-12-17,8.239
2015-12-18,8.269
2015-12-21,8.312
2015-12-22,8.334
2015-12-23,8.298
2015-12-24,8.337
2015-12-25,8.346
2015-12-28,8.342
2015-12-29,8.306
2015-12-30,8.331
2015-12-31,8.284
2016-01-01,8.278
2016-01-04,8.273
2016-01-05,8.219
2016-01-06,8.245
2016-01-07,8.349
2016-01-08,8.352
2016-01-11,8.296
2016-01-12,8.293
2016-01-13,8.31
2016-01-14,8.293
2016-01-15,8.32
2016-01-18,8.299
2016-01-19,8.312
2016-01-20,8.291
2016-01-21,8.292
2016-01-22,8.243
2016-01-25,8.286
2016-01-26,8.302
2016-01-27,8.358
2016-01-28,8.393
2016-01-29,8.302
2016-02-01,8.342
2016-02-02,8.357
2016-02-03,8.473
2016-02-04,8.554
2016-02-05,8.524
2016-02-08,8.555
2016-02-09,8.624
2016-02-10,8.621
2016-02-11,8.649
2016-02-12,8.605
2016-02-15,8.534
2016-02-16,8.519
2016-02-17,8.512
2016-02-18,8.501
2016-02-19,8.524
2016-02-22,8.445
2016-02-23,8.446
2016-02-24,8.441
2016-02-25,8.451
2016-02-26,8.382
2016-02-29,8.351
2016-03-01,8.342
2016-03-02,8.34
2016-03-03,8.395
2016-03-04,8.415
2016-03-07,8.45
2016-03-08,8.459
2016-03-09,8.464
2016-03-10,8.597
2016-03-11,8.586
2016-03-14,8.562
2016-03-15,8.574
2016-03-16,8.666
2016-03-17,8.748
2016-03-18,8.717
2016-03-21,8.693
2016-03-22,8.671
2016-03-23,8.646
2016-03-24,8.642
2016-03-25,8.632
2016-03-28,8.649
2016-03-29,8.715
2016-03-30,8.74
2016-03-31,8.763
2016-04-01,8.777
2016-04-04,8.77
2016-04-05,8.763
2016-04-06,8.776
2016-04-07,8.771
2016-04-08,8.789
2016-04-11,8.806
2016-04-12,8.796
2016-04-13,8.718
2016-04-14,8.712
2016-04-15,8.734
2016-04-18,8.736
2016-04-19,8.769
2016-04-20,8.734
2016-04-21,8.727
2016-04-22,8.681
2016-04-25,8.711
2016-04-26,8.733
2016-04-27,8.756
2016-04-28,8.772
2016-04-29,8.848
2016-05-02,8.904
2016-05-03,8.872
2016-05-04,8.855
2016-05-05,8.782
2016-05-06,8.767
2016-05-09,8.717
2016-05-10,8.694
2016-05-11,8.718
2016-05-12,8.663
2016-05-13,8.62
2016-05-16,8.625
2016-05-17,8.629
2016-05-18,8.562
2016-05-19,8.537
2016-05-20,8.557
2016-05-23,8.555
2016-05-24,8.499
2016-05-25,8.507
2016-05-26,8.527
2016-05-27,8.465
2016-05-30,8.485
2016-05-31,8.477
2016-06-01,8.517
2016-06-02,8.494
2016-06-03,8.662
2016-06-06,8.667
2016-06-07,8.671
2016-06-08,8.706
2016-06-09,8.647
2016-06-10,8.612
2016-06-13,8.647
2016-06-14,8.579
2016-06-15,8.612
2016-06-16,8.572
2016-06-17,8.601
2016-06-20,8.627
2016-06-21,8.577
2016-06-22,8.623
2016-06-23,8.69
2016-06-24,8.477
2016-06-27,8.407
2016-06-28,8.448
2016-06-29,8.484
2016-06-30,8.465
2016-07-01,8.493
2016-07-04,8.507
2016-07-05,8.436
2016-07-06,8.457
2016-07-07,8.43
2016-07-08,8.413
2016-07-11,8.417
2016-07-12,8.412
2016-07-13,8.439
2016-07-14,8.452
2016-07-15,8.41
2016-07-18,8.406
2016-07-19,8.347
2016-07-20,8.339
2016-07-21,8.352
2016-07-22,8.653
2016-07-25,8.333
2016-07-26,8.312
2016-07-27,8.368
2016-07-28,8.371
2016-07-29,8.438
2016-08-01,8.429
2016-08-02,8.474
2016-08-03,8.406
2016-08-04,8.38
2016-08-05,8.345
2016-08-08,8.344
2016-08-09,8.367
2016-08-10,8.417
2016-08-11,8.368
2016-08-12,8.368
2016-08-15,8.383
2016-08-16,8.452
2016-08-17,8.456
2016-08-18,8.515
2016-08-19,8.511
2016-08-22,8.513
2016-08-23,8.514
2016-08-24,8.498
2016-08-25,8.513
2016-08-26,8.448
2016-08-29,8.441
2016-08-30,8.406
2016-08-31,8.417
2016-09-01,8.441
2016-09-02,8.404
2016-09-05,8.415
2016-09-06,8.471
2016-09-07,8.463
2016-09-08,8.477
2016-09-09,8.45
2016-09-12,8.445
2016-09-13,8.423
2016-09-14,8.445
2016-09-15,8.446
2016-09-16,8.377
2016-09-19,8.384
2016-09-20,8.367
2016-09-21,8.399
2016-09-22,8.416
2016-09-23,8.431
2016-09-26,8.448
2016-09-27,8.421
2016-09-28,8.427
2016-09-29,8.43
2016-09-30,8.444
2016-10-03,8.42
2016-10-04,8.406
2016-10-05,8.408
2016-10-06,8.353
2016-10-07,8.385
2016-10-10,8.323
2016-10-11,8.251
2016-10-12,8.217
2016-10-13,8.243
2016-10-14,8.185
2016-10-17,8.219
2016-10-18,8.195
2016-10-19,8.205
2016-10-20,8.174
2016-10-21,8.139
2016-10-24,8.142
2016-10-25,8.159
2016-10-26,8.193
2016-10-27,8.193
2016-10-28,8.255
2016-10-31,8.235
2016-11-01,8.298
2016-11-02,8.32
2016-11-03,8.314
2016-11-04,8.355
2016-11-07,8.286
2016-11-08,8.261
2016-11-09,8.181
2016-11-10,8.155
2016-11-11,8.126
2016-11-14,8.041
2016-11-15,8.019
2016-11-16,7.999
2016-11-17,7.949
2016-11-18,7.927
2016-11-21,7.969
2016-11-22,7.965
2016-11-23,7.91
2016-11-24,7.913
2016-11-25,7.95
2016-11-28,7.964
2016-11-29,7.99
2016-11-30,7.946
2016-12-01,8.001
2016-12-02,8.022
2016-12-05,8.092
2016-12-06,8.068
