date,exchange_rate
2014-11-24,255.78
2014-11-25,256.48
2014-11-26,257.13
2014-11-27,256.38
2014-11-28,256.03
2014-12-01,256.44
2014-12-02,254.62
2014-12-03,253.05
2014-12-04,254.5
2014-12-05,252.53
2014-12-08,253.19
2014-12-09,254.46
2014-12-10,255.9
2014-12-11,254.99
2014-12-12,256.22
2014-12-15,255.81
2014-12-16,257.25
2014-12-17,253.57
2014-12-18,252.6
2014-12-19,251.42
2014-12-22,251.39
2014-12-23,250.26
2014-12-24,250.82
2014-12-25,251.36
2014-12-26,250.48
2014-12-29,249.98
2014-12-30,249.93
2014-12-31,248.73
2015-01-01,248.81
2015-01-02,246.7
2015-01-05,245.33
2015-01-06,247.35
2015-01-07,246.59
2015-01-08,242.37
2015-01-09,243.42
2015-01-12,243.29
2015-01-13,242.11
2015-01-14,242.39
2015-01-15,239.12
2015-01-16,237.87
2015-01-19,238.68
2015-01-20,237.54
2015-01-21,238.82
2015-01-22,236.06
2015-01-23,230.38
2015-01-26,231.15
2015-01-27,233.82
2015-01-28,231.79
2015-01-29,232.87
2015-01-30,232.05
2015-02-02,233.02
2015-02-03,235.79
2015-02-04,233.21
2015-02-05,235.89
2015-02-06,232.59
2015-02-09,232.84
2015-02-10,232.58
2015-02-11,232.93
2015-02-12,234.36
2015-02-13,233.99
2015-02-16,233.37
2015-02-17,234.61
2015-02-18,234.42
2015-02-19,233.66
2015-02-20,234.02
2015-02-23,236.24
2015-02-24,233.12
2015-02-25,233.58
2015-02-26,230.17
2015-02-27,230.13
2015-03-02,229.9
2015-03-03,229.81
2015-03-04,227.81
2015-03-05,226.81
2015-03-06,223.04
2015-03-09,222.98
2015-03-10,219.78
2015-03-11,216.79
2015-03-12,218.38
2015-03-13,215.93
2015-03-16,217.28
2015-03-17,217.78
2015-03-18,222.65
2015-03-19,219.33
2015-03-20,222.34
2015-03-23,225.33
2015-03-24,224.33
2015-03-25,225.43
2015-03-26,223.54
2015-03-27,224.03
2015-03-30,222.62
2015-03-31,220.77
2015-04-01,221.43
2015-04-02,223.6
2015-04-03,225.58
2015-04-06,224.78
2015-04-07,222.51
2015-04-08,221.71
2015-04-09,219.27
2015-04-10,217.93
2015-04-13,217.34
2015-04-14,219.04
2015-04-15,219.51
2015-04-16,221.2
2015-04-17,222.15
2015-04-20,220.76
2015-04-21,220.76
2015-04-22,220.4
2015-04-23,222.47
2015-04-24,223.3
2015-04-27,223.63
2015-04-28,225.66
2015-04-29,228.52
2015-04-30,230.86
2015-05-01,230.25
2015-05-04,229.14
2015-05-05,229.86
2015-05-06,233.2
2015-05-07,231.45
2015-05-08,230.18
2015-05-11,229.23
2015-05-12,230.58
2015-05-13,233.46
2015-05-14,234.48
2015-05-15,235.42
2015-05-18,232.63
2015-05-19,229.14
2015-05-20,228.14
2015-05-21,228.36
