date,exchange_rate
2006-07-10,9.8919
2006-07-21,9.8704
2006-07-31,9.9202
2006-08-01,9.9685
2006-08-02,9.9406
2006-08-03,9.951
2006-08-04,10.0071
2006-08-07,9.9661
2006-08-08,9.9707
2006-08-09,10.0037
2006-08-10,9.9493
2006-08-11,9.8935
2006-08-14,9.896
2006-08-15,9.9446
2006-08-16,9.9854
2006-08-17,9.9734
2006-08-18,9.97
2006-08-21,10.0191
2006-08-22,9.958
2006-08-23,9.9435
2006-08-24,9.9261
2006-08-25,9.9197
2006-08-28,9.9446
2006-08-29,9.9778
2006-08-30,9.9834
2006-08-31,9.9594
2006-09-01,9.9836
2006-09-04,10.0019
2006-09-05,9.9683
2006-09-06,9.9576
2006-09-07,9.902
2006-09-08,9.8566
2006-09-11,9.8794
2006-09-12,9.8705
2006-09-13,9.8753
2006-09-14,9.9022
2006-09-15,9.8561
2006-09-18,9.8894
2006-09-19,9.8663
2006-09-20,9.8779
2006-09-21,9.9481
2006-09-22,9.9504
2006-09-25,9.9206
2006-09-26,9.8758
2006-09-27,9.8942
2006-09-28,9.8879
2006-09-29,9.8749
2006-10-02,9.9249
2006-10-03,9.9169
2006-10-04,9.9064
2006-10-05,9.8796
2006-10-06,9.8106
2006-10-09,9.8089
2006-10-10,9.7694
2006-10-11,9.7573
2006-10-12,9.7809
2006-10-13,9.7441
2006-10-16,9.7537
2006-10-17,9.7546
2006-10-18,9.7548
2006-10-19,9.8301
2006-10-20,9.819
2006-10-23,9.7655
2006-10-24,9.7689
2006-10-25,9.8099
2006-10-26,9.8727
2006-10-27,9.9067
2006-10-30,9.8951
2006-10-31,9.9254
2006-11-01,9.92
2006-11-02,9.9375
2006-11-03,9.8905
2006-11-06,9.9014
2006-11-07,9.943
2006-11-08,9.9305
2006-11-09,9.9859
2006-11-10,9.9917
2006-11-13,9.9685
2006-11-14,9.9719
2006-11-15,9.9882
2006-11-16,9.9614
2006-11-17,9.9881
2006-11-20,9.9793
2006-11-21,9.9991
2006-11-22,10.0756
2006-11-23,10.0765
2006-11-24,10.1877
2006-11-27,10.213
2006-11-28,10.2633
2006-11-29,10.2279
2006-11-30,10.299
2006-12-01,10.3685
2006-12-04,10.3697
2006-12-05,10.3479
2006-12-06,10.3209
2006-12-07,10.3223
2006-12-08,10.2609
2006-12-11,10.2907
2006-12-12,10.3239
2006-12-13,10.2673
2006-12-14,10.2143
2006-12-15,10.166
2006-12-18,10.18
2006-12-19,10.2622
2006-12-20,10.2438
2006-12-21,10.2468
2006-12-22,10.2107
2006-12-25,10.2079
2006-12-26,10.1907
2006-12-27,10.1986
2006-12-28,10.2207
2006-12-29,10.2661
2007-01-01,10.2673
2007-01-02,10.3287
