date,exchange_rate
2014-11-24,26.418
2014-11-25,26.49
2014-11-26,26.557
2014-11-27,26.48
2014-11-28,26.419
2014-12-01,26.461
2014-12-02,26.273
2014-12-03,26.111
2014-12-04,26.261
2014-12-05,25.99
2014-12-08,26.046
2014-12-09,26.17
2014-12-10,26.294
2014-12-11,26.187
2014-12-12,26.289
2014-12-15,26.228
2014-12-16,26.35
2014-12-17,25.979
2014-12-18,25.862
2014-12-19,25.729
2014-12-22,25.72
2014-12-23,25.604
2014-12-24,25.661
2014-12-25,25.717
2014-12-26,25.627
2014-12-29,25.576
2014-12-30,25.571
2014-12-31,25.448
2015-01-01,25.456
2015-01-02,25.24
2015-01-05,25.076
2015-01-06,24.949
2015-01-07,24.872
2015-01-08,24.773
2015-01-09,24.88
2015-01-12,24.867
2015-01-13,24.747
2015-01-14,24.775
2015-01-15,24.441
2015-01-16,24.313
2015-01-19,24.396
2015-01-20,24.279
2015-01-21,24.41
2015-01-22,23.81
2015-01-23,23.548
2015-01-26,23.627
2015-01-27,23.899
2015-01-28,23.692
2015-01-29,23.802
2015-01-30,23.718
2015-02-02,23.818
2015-02-03,24.101
2015-02-04,23.837
2015-02-05,24.111
2015-02-06,23.774
2015-02-09,23.8
2015-02-10,23.773
2015-02-11,23.809
2015-02-12,23.954
2015-02-13,23.917
2015-02-16,23.854
2015-02-17,23.981
2015-02-18,23.961
2015-02-19,23.883
2015-02-20,23.92
2015-02-23,23.828
2015-02-24,23.827
2015-02-25,23.875
2015-02-26,23.527
2015-02-27,23.522
2015-03-02,23.498
2015-03-03,23.49
2015-03-04,23.285
2015-03-05,23.183
2015-03-06,22.798
2015-03-09,22.791
2015-03-10,22.464
2015-03-11,22.158
2015-03-12,22.321
2015-03-13,22.491
2015-03-16,22.61
2015-03-17,22.695
2015-03-18,23.202
2015-03-19,22.706
2015-03-20,23.192
2015-03-23,23.47
2015-03-24,23.311
2015-03-25,23.425
2015-03-26,23.23
2015-03-27,23.28
2015-03-30,23.134
2015-03-31,22.92
2015-04-01,23.01
2015-04-02,23.235
2015-04-03,23.45
2015-04-06,23.337
2015-04-07,23.101
2015-04-08,22.985
2015-04-09,22.711
2015-04-10,22.572
2015-04-13,22.5
2015-04-14,22.666
2015-04-15,22.703
2015-04-16,22.879
2015-04-17,22.956
2015-04-20,22.801
2015-04-21,22.79
2015-04-22,22.743
2015-04-23,23.741
2015-04-24,23.829
2015-04-27,23.864
2015-04-28,24.08
2015-04-29,24.331
2015-04-30,24.58
2015-05-01,24.515
2015-05-04,24.396
2015-05-05,24.473
2015-05-06,24.829
2015-05-07,24.619
2015-05-08,24.473
2015-05-11,24.54
2015-05-12,24.64
2015-05-13,24.936
2015-05-14,25.056
2015-05-15,25.134
2015-05-18,24.825
2015-05-19,24.452
2015-05-20,24.345
2015-05-21,24.346
2015-05-22,24.139
2015-05-25,24.061
2015-05-26,23.863
2015-05-27,23.899
2015-05-28,24.011
2015-05-29,24.049
2015-06-01,23.566
2015-06-02,24.372
2015-06-03,24.613
2015-06-04,24.435
2015-06-05,24.387
2015-06-08,24.601
2015-06-09,24.569
2015-06-10,24.64
2015-06-11,24.439
2015-06-12,24.48
2015-06-15,24.507
2015-06-16,24.427
2015-06-17,24.585
2015-06-18,24.63
2015-06-19,24.569
2015-06-22,24.545
2015-06-23,24.148
2015-06-24,24.204
2015-06-25,24.409
2015-06-26,24.329
2015-06-29,24.437
2015-06-30,24.243
2015-07-01,24.049
2015-07-02,24.092
2015-07-03,24.19
2015-07-06,24.031
2015-07-07,23.92
2015-07-08,24.072
2015-07-09,24.014
2015-07-10,24.211
2015-07-13,23.949
2015-07-14,23.945
2015-07-15,23.808
2015-07-16,23.646
2015-07-17,23.545
2015-07-20,23.514
2015-07-21,23.808
2015-07-22,23.776
2015-07-23,23.86
2015-07-24,23.895
2015-07-27,24.158
2015-07-28,24.099
2015-07-29,23.905
2015-07-30,23.776
2015-07-31,23.931
2015-08-03,23.887
2015-08-04,23.76
2015-08-05,23.803
2015-08-06,23.829
2015-08-07,23.889
2015-08-10,24.008
2015-08-11,24.114
2015-08-12,24.33
2015-08-13,24.298
2015-08-14,24.238
2015-08-17,24.158
2015-08-18,24.037
2015-08-19,24.276
2015-08-20,24.512
2015-08-21,24.881
2015-08-24,25.267
2015-08-25,25.158
2015-08-26,24.673
2015-08-27,24.437
2015-08-28,24.282
2015-08-31,24.336
2015-09-01,24.515
2015-09-02,24.295
2015-09-03,24.066
2015-09-04,24.106
2015-09-07,24.146
2015-09-08,24.476
2015-09-09,24.502
2015-09-10,24.637
2015-09-11,24.731
2015-09-14,24.679
2015-09-15,24.582
2015-09-16,24.601
2015-09-17,24.876
2015-09-18,24.645
2015-09-21,24.362
2015-09-22,24.247
2015-09-23,24.436
2015-09-24,24.383
2015-09-25,24.41
2015-09-28,24.49
2015-09-29,24.551
2015-09-30,24.366
2015-10-01,24.395
2015-10-02,24.369
2015-10-05,24.359
2015-10-06,24.607
2015-10-07,24.512
2015-10-08,24.566
2015-10-09,24.714
2015-10-12,24.71
2015-10-13,25.065
2015-10-14,25.26
2015-10-15,25.014
2015-10-16,24.954
2015-10-19,24.91
2015-10-20,24.964
2015-10-21,24.933
2015-10-22,24.414
2015-10-23,24.205
2015-10-26,24.258
2015-10-27,24.186
2015-10-28,23.922
2015-10-29,24.14
2015-10-30,24.179
2015-11-02,24.139
2015-11-03,24.015
2015-11-04,23.785
2015-11-05,23.806
2015-11-06,23.505
2015-11-09,23.539
2015-11-10,23.476
2015-11-11,23.514
2015-11-12,23.635
2015-11-13,23.55
2015-11-16,23.338
2015-11-17,23.251
2015-11-18,23.222
2015-11-19,23.402
2015-11-20,23.183
2015-11-23,23.151
2015-11-24,23.122
2015-11-25,23.059
2015-11-26,23.025
2015-11-27,22.99
2015-11-30,22.92
2015-12-01,23.044
2015-12-02,23.018
2015-12-03,23.704
2015-12-04,23.578
2015-12-07,23.473
2015-12-08,23.597
2015-12-09,23.865
2015-12-10,23.65
2015-12-11,23.747
2015-12-14,23.722
2015-12-15,23.547
2015-12-16,23.473
2015-12-17,23.262
2015-12-18,23.296
2015-12-21,23.379
2015-12-22,23.446
2015-12-23,23.305
2015-12-24,23.429
2015-12-25,23.454
2015-12-28,24.306
2015-12-29,24.18
2015-12-30,24.176
2015-12-31,24.042
2016-01-01,24.024
2016-01-04,24.225
2016-01-05,24.044
2016-01-06,24.081
2016-01-07,24.45
2016-01-08,24.453
2016-01-11,24.339
2016-01-12,24.278
2016-01-13,24.396
2016-01-14,24.389
2016-01-15,24.472
2016-01-18,24.418
2016-01-19,24.429
2016-01-20,24.49
2016-01-21,24.455
2016-01-22,24.386
2016-01-25,24.432
2016-01-26,24.484
2016-01-27,24.447
2016-01-28,24.524
2016-01-29,24.255
2016-02-01,24.578
2016-02-02,24.431
2016-02-03,25.012
2016-02-04,25.267
2016-02-05,25.18
2016-02-08,25.242
2016-02-09,25.424
2016-02-10,25.48
2016-02-11,25.558
2016-02-12,25.423
2016-02-15,25.213
2016-02-16,25.135
2016-02-17,25.078
2016-02-18,25.092
2016-02-19,25.151
2016-02-22,24.904
2016-02-23,24.894
2016-02-24,24.907
2016-02-25,24.9
2016-02-26,24.644
2016-02-29,24.618
2016-03-01,24.569
2016-03-02,24.547
2016-03-03,24.722
2016-03-04,24.837
2016-03-07,24.91
2016-03-08,24.885
2016-03-09,24.846
2016-03-10,25.214
2016-03-11,25.162
2016-03-14,25.028
2016-03-15,25.013
2016-03-16,25.244
2016-03-17,25.449
2016-03-18,25.347
2016-03-21,25.446
2016-03-22,25.369
2016-03-23,25.286
2016-03-24,25.252
2016-03-25,25.222
2016-03-28,25.283
2016-03-29,25.464
2016-03-30,25.655
2016-03-31,25.706
2016-04-01,25.745
2016-04-04,25.726
2016-04-05,25.744
2016-04-06,25.767
2016-04-07,25.697
2016-04-08,25.747
2016-04-11,25.774
2016-04-12,25.72
2016-04-13,25.467
2016-04-14,25.446
2016-04-15,25.47
2016-04-18,25.514
2016-04-19,25.598
2016-04-20,25.492
2016-04-21,25.465
2016-04-22,25.31
2016-04-25,25.374
2016-04-26,25.428
2016-04-27,25.581
2016-04-28,25.645
2016-04-29,25.86
2016-05-02,26.027
2016-05-03,25.972
2016-05-04,25.931
2016-05-05,25.757
2016-05-06,25.756
2016-05-09,25.713
2016-05-10,25.693
2016-05-11,25.782
2016-05-12,25.644
2016-05-13,25.464
2016-05-16,25.479
2016-05-17,25.462
2016-05-18,25.377
2016-05-19,25.306
2016-05-20,25.383
2016-05-23,25.361
2016-05-24,25.197
2016-05-25,25.221
2016-05-26,25.29
2016-05-27,25.178
2016-05-30,25.238
2016-05-31,25.2
2016-06-01,25.354
2016-06-02,25.248
2016-06-03,25.701
2016-06-06,25.673
2016-06-07,25.653
2016-06-08,25.726
2016-06-09,25.504
2016-06-10,25.337
2016-06-13,25.408
2016-06-14,25.206
2016-06-15,25.614
2016-06-16,25.553
2016-06-17,25.641
2016-06-20,25.707
2016-06-21,25.559
2016-06-22,25.773
2016-06-23,25.835
2016-06-24,25.192
2016-06-27,24.943
2016-06-28,25.227
2016-06-29,25.317
2016-06-30,25.26
2016-07-01,25.323
2016-07-04,25.362
2016-07-05,25.133
2016-07-06,25.177
2016-07-07,25.088
2016-07-08,25.036
2016-07-11,25.036
2016-07-12,25.266
2016-07-13,25.326
2016-07-14,25.355
2016-07-15,25.221
2016-07-18,25.239
2016-07-19,25.096
2016-07-20,25.07
2016-07-21,25.075
2016-07-22,24.938
2016-07-25,24.964
2016-07-26,24.933
2016-07-27,25.014
2016-07-28,25.048
2016-07-29,25.264
2016-08-01,25.543
2016-08-02,25.671
2016-08-03,25.485
2016-08-04,25.437
2016-08-05,25.314
2016-08-08,25.3
2016-08-09,25.367
2016-08-10,25.507
2016-08-11,25.38
2016-08-12,25.44
2016-08-15,25.476
2016-08-16,25.683
2016-08-17,25.641
2016-08-18,25.814
2016-08-19,25.747
2016-08-22,25.922
2016-08-23,25.873
2016-08-24,25.772
2016-08-25,25.807
2016-08-26,25.575
2016-08-29,25.529
2016-08-30,25.518
2016-08-31,25.541
2016-09-01,25.606
2016-09-02,25.477
2016-09-05,25.494
2016-09-06,25.685
2016-09-07,25.655
2016-09-08,25.669
2016-09-09,25.587
2016-09-12,25.572
2016-09-13,25.625
2016-09-14,25.575
2016-09-15,25.556
2016-09-16,25.339
2016-09-19,25.362
2016-09-20,25.282
2016-09-21,25.357
2016-09-22,25.379
2016-09-23,25.399
2016-09-26,25.441
2016-09-27,25.337
2016-09-28,25.327
2016-09-29,25.61
2016-09-30,25.641
2016-10-03,25.562
2016-10-04,25.535
2016-10-05,25.531
2016-10-06,25.376
2016-10-07,25.497
2016-10-10,25.324
2016-10-11,25.124
2016-10-12,24.997
2016-10-13,25.098
2016-10-14,24.887
2016-10-17,24.968
2016-10-18,24.883
2016-10-19,24.86
2016-10-20,24.743
2016-10-21,24.609
2016-10-24,24.579
2016-10-25,24.599
2016-10-26,24.613
2016-10-27,24.576
2016-10-28,24.756
2016-10-31,24.729
2016-11-01,24.886
2016-11-02,25.381
2016-11-03,25.275
2016-11-04,25.26
2016-11-07,24.923
2016-11-08,24.769
2016-11-09,24.476
2016-11-10,25.156
2016-11-11,24.975
2016-11-14,24.674
2016-11-15,24.541
2016-11-16,24.456
2016-11-17,24.458
2016-11-18,24.317
2016-11-21,24.571
2016-11-22,24.506
2016-11-23,24.35
2016-11-24,24.361
2016-11-25,24.403
2016-11-28,24.448
2016-11-29,24.534
2016-11-30,24.403
2016-12-01,24.56
2016-12-02,24.581
2016-12-05,24.774
2016-12-06,25.104
2016-12-07,24.778
2016-12-08,24.444
2016-12-09,24.288
2016-12-12,24.408
2016-12-13,24.91
2016-12-14,24.691
2016-12-15,24.375
2016-12-16,24.442
2016-12-19,24.275
2016-12-20,24.36
2016-12-21,24.409
2016-12-22,24.41
2016-12-23,24.438
2016-12-26,24.438
2016-12-27,24.408
2016-12-28,24.241
2016-12-29,24.379
2016-12-30,24.422
2017-01-02,24.268
2017-01-03,24.076
2017-01-04,24.217
2017-01-05,24.472
2017-01-06,24.27
2017-01-09,24.342
2017-01-10,24.229
2017-01-11,24.264
2017-01-12,24.29
2017-01-13,24.988
2017-01-16,24.184
2017-01-17,25.277
2017-01-18,25.049
2017-01-19,25.141
2017-01-20,25.289
2017-01-23,25.35
2017-01-24,25.342
2017-01-25,25.363
2017-01-26,25.202
2017-01-27,25.236
2017-01-30,25.259
2017-01-31,25.516
2017-02-01,25.384
2017-02-02,25.366
2017-02-03,25.382
2017-02-06,25.322
2017-02-07,25.055
2017-02-08,25.209
2017-02-09,25.136
2017-02-10,25.066
2017-02-13,24.919
2017-02-14,24.844
2017-02-15,24.958
2017-02-16,24.994
2017-02-17,24.913
2017-02-20,24.973
2017-02-21,24.786
2017-02-22,24.794
2017-02-23,24.863
2017-02-24,24.789
2017-02-27,24.931
2017-02-28,24.845
2017-03-01,24.751
2017-03-02,24.729
2017-03-03,25.0
2017-03-06,24.851
2017-03-07,24.869
2017-03-08,24.758
2017-03-09,24.896
2017-03-10,25.08
2017-03-13,25.022
2017-03-14,24.842
2017-03-15,25.248
2017-03-16,25.326
2017-03-17,25.237
2017-03-20,25.261
2017-03-21,25.368
2017-03-22,25.377
2017-03-23,25.323
2017-03-24,25.33
2017-03-27,25.414
2017-03-28,25.251
2017-03-29,25.105
2017-03-30,24.876
2017-03-31,25.073
2017-04-03,25.034
2017-04-04,25.029
2017-04-05,24.994
2017-04-06,24.893
2017-04-07,24.748
2017-04-10,24.827
2017-04-11,24.718
2017-04-12,24.842
2017-04-13,24.899
2017-04-14,24.863
2017-04-17,24.927
2017-04-18,25.117
2017-04-19,25.105
2017-04-20,25.133
2017-04-21,25.097
2017-04-24,25.409
2017-04-25,25.519
2017-04-26,25.561
2017-04-27,25.451
2017-04-28,25.568
2017-05-01,25.59
2017-05-02,25.639
2017-05-03,25.553
2017-05-04,25.758
2017-05-05,25.774
2017-05-08,25.634
2017-05-09,25.521
2017-05-10,25.449
2017-05-11,25.433
2017-05-12,25.605
2017-05-15,25.694
2017-05-16,25.992
2017-05-17,26.112
2017-05-18,25.935
2017-05-19,26.241
2017-05-22,26.358
2017-05-23,26.248
2017-05-24,26.318
2017-05-25,26.307
2017-05-26,26.205
2017-05-29,26.227
2017-05-30,26.252
2017-05-31,26.377
2017-06-01,26.32
2017-06-02,26.439
2017-06-05,26.382
2017-06-06,26.412
2017-06-07,26.353
2017-06-08,26.218
2017-06-09,26.186
2017-06-12,26.224
2017-06-13,26.215
2017-06-14,26.2
2017-06-15,26.015
2017-06-16,26.177
2017-06-19,26.133
2017-06-20,26.069
2017-06-21,26.179
2017-06-22,26.14
2017-06-23,26.188
2017-06-26,26.154
2017-06-27,26.51
2017-06-28,26.555
2017-06-29,26.683
2017-06-30,26.619
2017-07-03,26.669
2017-07-04,26.628
2017-07-05,26.626
2017-07-06,26.788
2017-07-07,26.742
2017-07-10,26.708
2017-07-11,26.867
2017-07-12,26.739
2017-07-13,26.692
2017-07-14,26.863
2017-07-17,26.869
2017-07-18,27.053
2017-07-19,26.971
2017-07-20,27.234
2017-07-21,27.3
2017-07-24,27.234
2017-07-25,27.241
2017-07-26,27.494
2017-07-27,27.343
2017-07-28,27.521
2017-07-31,27.708
2017-08-01,27.614
2017-08-02,27.71
2017-08-03,27.756
2017-08-04,27.529
2017-08-07,27.55
2017-08-08,27.474
2017-08-09,27.45
2017-08-10,27.427
2017-08-11,27.559
2017-08-14,27.514
2017-08-15,27.411
2017-08-16,27.492
2017-08-17,27.383
2017-08-18,27.46
2017-08-21,27.593
2017-08-22,27.471
2017-08-23,27.553
2017-08-24,27.632
2017-08-25,27.861
2017-08-28,27.981
2017-08-29,27.982
2017-08-30,27.777
2017-08-31,27.846
2017-09-01,27.727
2017-09-04,27.793
2017-09-05,27.843
2017-09-06,27.865
2017-09-07,28.065
2017-09-08,28.114
2017-09-11,27.969
2017-09-12,27.977
2017-09-13,27.781
2017-09-14,27.846
2017-09-15,27.912
2017-09-18,27.928
2017-09-19,28.019
2017-09-20,27.784
2017-09-21,27.899
2017-09-22,27.902
2017-09-25,27.688
2017-09-26,27.54
2017-09-27,27.419
2017-09-28,27.547
2017-09-29,27.642
2017-10-02,27.438
2017-10-03,27.455
2017-10-04,27.492
2017-10-05,27.374
2017-10-06,27.429
2017-10-09,27.448
2017-10-10,27.616
2017-10-11,27.72
2017-10-12,27.712
2017-10-13,27.676
2017-10-16,27.616
2017-10-17,27.538
2017-10-18,27.627
2017-10-19,27.771
2017-10-20,27.647
2017-10-23,27.561
2017-10-24,27.607
2017-10-25,27.72
2017-10-26,27.365
2017-10-27,27.285
2017-10-30,27.374
2017-10-31,27.368
2017-11-01,27.231
2017-11-02,27.413
2017-11-03,27.291
2017-11-06,27.281
2017-11-07,27.266
2017-11-08,27.275
2017-11-09,27.398
2017-11-10,27.387
2017-11-13,27.477
2017-11-14,27.788
2017-11-15,27.743
2017-11-16,27.74
2017-11-17,27.707
2017-11-20,27.613
2017-11-21,27.628
2017-11-22,27.865
2017-11-23,27.888
2017-11-24,28.142
2017-11-27,28.037
2017-11-28,27.92
2017-11-29,27.911
2017-11-30,28.021
2017-12-01,28.028
2017-12-04,27.962
2017-12-05,27.822
2017-12-06,27.803
2017-12-07,27.737
2017-12-08,27.713
2017-12-11,27.693
2017-12-12,27.634
2017-12-13,27.818
2017-12-14,27.705
2017-12-15,27.632
2017-12-18,27.671
2017-12-19,27.867
2017-12-20,27.941
2017-12-21,27.925
2017-12-22,27.906
2017-12-25,27.935
2017-12-26,27.925
2017-12-27,27.895
2017-12-28,28.065
2017-12-29,28.263
2018-01-01,28.305
2018-01-02,28.38
2018-01-03,28.289
2018-01-04,28.448
2018-01-05,28.304
2018-01-08,28.171
2018-01-09,28.148
2018-01-10,28.175
2018-01-11,28.399
2018-01-12,28.76
2018-01-15,28.956
2018-01-16,28.922
2018-01-17,28.73
2018-01-18,28.875
2018-01-19,28.815
2018-01-22,28.93
2018-01-23,29.005
2018-01-24,29.254
2018-01-25,29.178
2018-01-26,29.249
2018-01-29,29.214
2018-01-30,29.273
2018-01-31,29.268
2018-02-01,29.495
2018-02-02,29.353
2018-02-05,29.102
2018-02-06,29.139
2018-02-07,28.81
2018-02-08,28.815
2018-02-09,28.849
2018-02-12,28.933
2018-02-13,29.061
2018-02-14,29.333
2018-02-15,29.417
2018-02-16,29.222
2018-02-19,29.22
2018-02-20,29.054
2018-02-21,28.912
2018-02-22,29.058
2018-02-23,28.995
2018-02-26,29.022
2018-02-27,28.83
2018-02-28,28.723
2018-03-01,28.882
2018-03-02,28.987
2018-03-05,29.065
2018-03-06,29.198
2018-03-07,29.261
2018-03-08,29.042
2018-03-09,28.985
2018-03-12,29.112
2018-03-13,29.225
2018-03-14,29.2
2018-03-15,29.012
2018-03-16,29.0
2018-03-19,29.124
2018-03-20,28.941
2018-03-21,29.16
2018-03-22,29.059
2018-03-23,29.149
2018-03-26,29.387
2018-03-27,29.297
2018-03-28,29.083
2018-03-29,29.023
2018-03-30,29.123
2018-04-02,29.014
2018-04-03,28.951
2018-04-04,28.974
2018-04-05,28.89
2018-04-06,29.019
2018-04-09,29.084
2018-04-10,29.168
2018-04-11,29.195
2018-04-12,29.098
2018-04-13,29.103
2018-04-16,29.273
2018-04-17,29.196
2018-04-18,29.223
2018-04-19,29.139
2018-04-20,29.002
2018-04-23,28.818
2018-04-24,28.87
2018-04-25,28.706
2018-04-26,28.578
2018-04-27,28.662
2018-04-30,28.517
2018-05-01,28.305
2018-05-02,28.262
2018-05-03,28.342
2018-05-04,28.284
2018-05-07,28.204
2018-05-08,28.089
2018-05-09,28.087
2018-05-10,28.259
2018-05-11,28.283
2018-05-14,28.325
2018-05-15,28.058
2018-05-16,28.106
2018-05-17,28.074
2018-05-18,28.047
2018-05-21,28.059
2018-05-22,28.087
2018-05-23,27.892
2018-05-24,27.966
2018-05-25,27.803
2018-05-28,27.74
2018-05-29,27.554
2018-05-30,27.862
2018-05-31,27.957
2018-06-01,27.858
2018-06-04,27.95
2018-06-05,28.0
2018-06-06,28.165
2018-06-07,28.208
2018-06-08,28.145
2018-06-11,28.156
2018-06-12,28.09
2018-06-13,28.228
2018-06-14,27.707
2018-06-15,27.745
2018-06-18,27.811
2018-06-19,27.732
2018-06-20,27.706
2018-06-21,27.787
2018-06-22,27.897
2018-06-25,28.014
2018-06-26,27.89
2018-06-27,27.69
2018-06-28,27.694
2018-06-29,27.986
2018-07-02,27.884
2018-07-03,27.941
2018-07-04,27.945
2018-07-05,28.016
2018-07-06,28.139
2018-07-09,28.16
2018-07-10,28.131
2018-07-11,27.98
2018-07-12,27.944
2018-07-13,28.005
2018-07-16,28.063
2018-07-17,27.938
2018-07-18,27.893
2018-07-19,27.901
2018-07-20,28.1
2018-07-23,28.001
2018-07-24,27.972
2018-07-25,28.086
2018-07-26,27.875
2018-07-27,27.94
2018-07-30,28.038
2018-07-31,27.994
2018-08-01,27.935
2018-08-02,27.75
2018-08-03,27.723
2018-08-06,27.683
2018-08-07,27.787
2018-08-08,27.82
2018-08-09,27.606
2018-08-10,27.33
2018-08-13,27.304
2018-08-14,27.208
2018-08-15,27.154
2018-08-16,27.223
2018-08-17,27.439
2018-08-20,27.503
2018-08-21,27.744
2018-08-22,27.803
2018-08-23,27.685
2018-08-24,27.872
2018-08-27,28.017
2018-08-28,28.061
2018-08-29,28.097
2018-08-30,28.003
2018-08-31,27.846
2018-09-03,27.88
2018-09-04,27.8
2018-09-05,27.919
2018-09-06,27.896
2018-09-07,27.746
2018-09-10,27.818
2018-09-11,27.861
2018-09-12,27.923
2018-09-13,28.033
2018-09-14,27.921
2018-09-17,28.023
2018-09-18,28.044
2018-09-19,28.03
2018-09-20,28.293
2018-09-21,28.232
2018-09-24,28.232
2018-09-25,28.275
2018-09-26,28.232
2018-09-27,27.964
2018-09-28,27.919
2018-10-01,27.814
2018-10-02,27.752
2018-10-03,27.597
2018-10-04,27.679
2018-10-05,27.686
2018-10-08,27.614
2018-10-09,27.613
2018-10-10,27.709
2018-10-11,27.846
2018-10-12,27.772
2018-10-15,27.828
2018-10-16,27.813
2018-10-17,27.658
2018-10-18,27.542
2018-10-19,27.678
2018-10-22,27.575
2018-10-23,27.599
2018-10-24,27.428
2018-10-25,27.372
2018-10-26,27.437
2018-10-29,27.371
2018-10-30,27.304
2018-10-31,27.25
2018-11-01,27.467
2018-11-02,27.435
2018-11-05,27.49
2018-11-06,27.529
2018-11-07,27.579
2018-11-08,27.422
2018-11-09,27.377
2018-11-12,27.118
2018-11-13,27.307
2018-11-14,27.378
2018-11-15,27.417
2018-11-16,27.665
2018-11-19,27.734
2018-11-20,27.541
2018-11-21,27.588
2018-11-22,27.702
2018-11-23,27.495
2018-11-26,27.5
2018-11-27,27.407
2018-11-28,27.598
2018-11-29,27.612
2018-11-30,27.468
2018-12-03,27.559
2018-12-04,27.56
2018-12-05,27.556
2018-12-06,27.63
2018-12-07,27.597
2018-12-10,27.585
2018-12-11,27.507
2018-12-12,27.623
2018-12-13,27.544
2018-12-14,27.411
2018-12-17,27.581
2018-12-18,27.632
2018-12-19,27.652
2018-12-20,27.829
2018-12-21,27.643
2018-12-24,27.707
2018-12-25,27.72
2018-12-26,27.594
2018-12-27,27.785
2018-12-28,27.793
2018-12-31,27.844
2019-01-01,27.889
2019-01-02,27.558
2019-01-03,27.698
2019-01-04,27.701
2019-01-07,27.898
2019-01-08,27.809
