date,exchange_rate
2014-11-24,7.665
2014-11-25,7.6685
2014-11-26,7.6698
2014-11-27,7.6715
2014-11-28,7.6813
2014-12-01,7.6742
2014-12-02,7.674
2014-12-03,7.6742
2014-12-04,7.6724
2014-12-05,7.6743
2014-12-08,7.6682
2014-12-09,7.6625
2014-12-10,7.6655
2014-12-11,7.6655
2014-12-12,7.6747
2014-12-15,7.6613
2014-12-16,7.6641
2014-12-17,7.6704
2014-12-18,7.6566
2014-12-19,7.6688
2014-12-22,7.6585
2014-12-23,7.662
2014-12-24,7.6613
2014-12-25,7.6621
2014-12-26,7.663
2014-12-29,7.6579
2014-12-30,7.6586
2014-12-31,7.643
2015-01-02,7.6698
2015-01-05,7.6664
2015-01-06,7.6712
2015-01-07,7.6695
2015-01-08,7.6675
2015-01-09,7.682
2015-01-12,7.6745
2015-01-13,7.6815
2015-01-14,7.6788
2015-01-15,7.686
2015-01-16,7.6845
2015-01-19,7.6931
2015-01-20,7.6992
2015-01-21,7.706
2015-01-22,7.693
2015-01-23,7.6968
2015-01-26,7.6849
2015-01-27,7.6648
2015-01-28,7.6978
2015-01-29,7.6925
2015-01-30,7.6992
2015-02-02,7.7015
2015-02-03,7.7053
2015-02-04,7.7095
2015-02-05,7.7184
2015-02-06,7.7133
2015-02-09,7.7148
2015-02-10,7.7135
2015-02-11,7.7175
2015-02-12,7.7187
2015-02-13,7.7153
2015-02-16,7.7105
2015-02-17,7.7195
2015-02-18,7.7188
2015-02-19,7.72
2015-02-20,7.701
2015-02-23,7.7065
2015-02-24,7.694
2015-02-25,7.6805
2015-02-26,7.6903
2015-02-27,7.6839
2015-03-02,7.6799
2015-03-03,7.66
2015-03-04,7.6565
2015-03-05,7.6335
2015-03-06,7.6202
2015-03-09,7.619
2015-03-10,7.6108
2015-03-11,7.6245
2015-03-12,7.6398
2015-03-13,7.6543
2015-03-16,7.6478
2015-03-17,7.6433
2015-03-18,7.6395
2015-03-19,7.6468
2015-03-20,7.6114
2015-03-23,7.639
2015-03-24,7.6437
2015-03-25,7.6475
2015-03-26,7.6489
2015-03-27,7.6549
2015-03-30,7.6395
2015-03-31,7.6451
2015-04-01,7.6355
2015-04-02,7.6255
