date,exchange_rate
2014-11-24,57.84
2014-11-25,58.0
2014-11-26,58.14
2014-11-27,57.97
2014-11-28,57.89
2014-12-01,57.99
2014-12-02,57.57
2014-12-03,57.22
2014-12-04,57.55
2014-12-05,57.1
2014-12-08,57.25
2014-12-09,57.54
2014-12-10,57.87
2014-12-11,57.66
2014-12-12,57.94
2014-12-15,57.84
2014-12-16,58.17
2014-12-17,57.34
2014-12-18,57.12
2014-12-19,56.85
2014-12-22,56.84
2014-12-23,56.59
2014-12-24,56.72
2014-12-25,56.84
2014-12-26,56.64
2014-12-29,56.53
2014-12-30,56.52
2014-12-31,56.24
2015-01-01,56.26
2015-01-02,55.78
2015-01-05,55.48
2015-01-06,55.19
2015-01-07,55.02
2015-01-08,54.81
2015-01-09,55.04
2015-01-12,55.01
2015-01-13,54.75
2015-01-14,54.81
2015-01-15,54.07
2015-01-16,53.79
2015-01-19,53.97
2015-01-20,53.71
2015-01-21,54.0
2015-01-22,52.68
2015-01-23,52.1
2015-01-26,52.27
2015-01-27,52.87
2015-01-28,52.41
2015-01-29,52.66
2015-01-30,52.47
2015-02-02,52.69
2015-02-03,53.32
2015-02-04,52.73
2015-02-05,53.34
2015-02-06,52.59
2015-02-09,52.65
2015-02-10,52.59
2015-02-11,52.67
2015-02-12,52.99
2015-02-13,52.91
2015-02-16,52.77
2015-02-17,53.05
2015-02-18,53.01
2015-02-19,52.84
2015-02-20,52.92
2015-02-23,52.71
2015-02-24,52.71
2015-02-25,52.82
2015-02-26,52.05
2015-02-27,52.04
2015-03-02,51.99
2015-03-03,51.97
2015-03-04,51.51
2015-03-05,51.29
2015-03-06,50.44
2015-03-09,50.42
2015-03-10,49.7
2015-03-11,49.02
2015-03-12,49.38
2015-03-13,48.83
2015-03-16,49.13
2015-03-17,49.25
2015-03-18,50.35
2015-03-19,49.6
2015-03-20,51.58
2015-03-23,52.27
2015-03-24,52.04
2015-03-25,52.29
2015-03-26,51.85
2015-03-27,51.97
2015-03-30,51.64
2015-03-31,51.21
2015-04-01,51.36
2015-04-02,51.87
2015-04-03,52.35
2015-04-06,52.14
2015-04-07,51.62
2015-04-08,51.52
2015-04-09,50.86
2015-04-10,50.55
2015-04-13,50.42
2015-04-14,50.81
2015-04-15,50.92
2015-04-16,51.31
2015-04-17,51.53
2015-04-20,51.21
2015-04-21,51.21
2015-04-22,51.13
2015-04-23,51.61
2015-04-24,51.8
2015-04-27,51.88
2015-04-28,52.34
2015-04-29,53.01
2015-04-30,53.55
2015-05-01,53.41
2015-05-04,53.15
