date,exchange_rate
2014-11-24,305.5
2014-11-25,306.1
2014-11-26,306.7
2014-11-27,306.97
2014-11-28,306.45
2014-12-01,306.05
2014-12-02,306.93
2014-12-03,306.85
2014-12-04,306.54
2014-12-05,306.55
2014-12-08,305.92
2014-12-09,305.79
2014-12-10,306.82
2014-12-11,307.73
2014-12-12,308.62
2014-12-15,308.74
2014-12-16,312.02
2014-12-17,313.88
2014-12-18,314.59
2014-12-19,315.35
2014-12-22,313.4
2014-12-23,315.67
2014-12-24,316.32
2014-12-25,316.7
2014-12-26,316.71
2014-12-29,314.18
2014-12-30,314.5
2014-12-31,315.96
2015-01-01,315.8
2015-01-02,317.87
2015-01-05,317.49
2015-01-06,319.54
2015-01-07,317.76
2015-01-08,315.86
2015-01-09,316.58
2015-01-12,317.19
2015-01-13,318.05
2015-01-14,319.37
2015-01-15,322.63
2015-01-16,318.42
2015-01-19,319.79
2015-01-20,315.78
2015-01-21,314.94
2015-01-22,312.03
2015-01-23,309.33
2015-01-26,310.73
2015-01-27,311.06
2015-01-28,312.12
2015-01-29,310.62
2015-01-30,310.21
2015-02-02,310.5
2015-02-03,308.55
2015-02-04,308.56
2015-02-05,306.62
2015-02-06,305.84
2015-02-09,307.42
2015-02-10,308.57
2015-02-11,308.85
2015-02-12,305.7
2015-02-13,305.51
2015-02-16,306.35
2015-02-17,307.53
2015-02-18,305.85
2015-02-19,305.4
2015-02-20,305.12
2015-02-23,305.47
2015-02-24,305.15
2015-02-25,304.43
2015-02-26,302.67
2015-02-27,302.33
2015-03-02,304.53
2015-03-03,306.33
2015-03-04,306.06
2015-03-05,304.84
2015-03-06,305.73
2015-03-09,304.99
2015-03-10,307.36
2015-03-11,303.15
2015-03-12,303.77
2015-03-13,305.85
2015-03-16,302.82
2015-03-17,303.54
2015-03-18,302.87
2015-03-19,303.24
2015-03-20,302.56
2015-03-23,303.29
2015-03-24,298.71
2015-03-25,298.63
2015-03-26,299.48
2015-03-27,300.1
2015-03-30,298.91
2015-03-31,299.95
2015-04-01,298.58
2015-04-02,299.45
2015-04-03,298.7
2015-04-06,298.78
2015-04-07,298.21
2015-04-08,296.46
2015-04-09,298.17
2015-04-10,297.19
2015-04-13,296.34
2015-04-14,296.5
2015-04-15,300.1
2015-04-16,301.73
2015-04-17,301.05
2015-04-20,297.88
2015-04-21,298.49
2015-04-22,300.37
2015-04-23,299.73
2015-04-24,302.69
2015-04-27,299.88
2015-04-28,300.79
2015-04-29,302.18
2015-04-30,303.32
2015-05-01,303.1
2015-05-04,303.32
2015-05-05,303.49
2015-05-06,305.29
2015-05-07,303.18
2015-05-08,301.54
2015-05-11,304.85
2015-05-12,306.78
2015-05-13,307.66
2015-05-14,306.19
2015-05-15,306.16
2015-05-18,308.59
2015-05-19,305.75
2015-05-20,306.72
2015-05-21,307.34
2015-05-22,306.96
2015-05-25,307.8
2015-05-26,308.61
2015-05-27,308.88
2015-05-28,309.0
2015-05-29,308.86
2015-06-01,308.46
2015-06-02,311.56
2015-06-03,312.21
2015-06-04,311.0
2015-06-05,311.07
2015-06-08,313.67
2015-06-09,312.73
2015-06-10,311.96
2015-06-11,310.62
2015-06-12,311.23
2015-06-15,312.21
2015-06-16,311.2
2015-06-17,310.81
2015-06-18,312.35
2015-06-19,313.55
2015-06-22,310.72
2015-06-23,309.49
2015-06-24,310.93
2015-06-25,312.06
2015-06-26,311.55
2015-06-29,315.53
2015-06-30,314.64
2015-07-01,313.41
2015-07-02,314.62
2015-07-03,314.93
2015-07-06,315.89
2015-07-07,316.62
2015-07-08,317.69
2015-07-09,314.86
2015-07-10,311.56
2015-07-13,309.98
2015-07-14,310.45
2015-07-15,309.21
2015-07-16,309.25
2015-07-17,308.29
2015-07-20,309.73
2015-07-21,307.99
2015-07-22,307.57
2015-07-23,310.24
2015-07-24,311.11
2015-07-27,310.03
2015-07-28,308.91
2015-07-29,308.64
2015-07-30,308.52
2015-07-31,307.31
2015-08-03,307.39
2015-08-04,309.79
2015-08-05,309.21
2015-08-06,310.75
2015-08-07,309.66
2015-08-10,311.12
2015-08-11,311.19
2015-08-12,310.69
2015-08-13,309.56
2015-08-14,309.11
2015-08-17,308.89
2015-08-18,308.85
2015-08-19,309.67
2015-08-20,311.81
2015-08-21,314.59
2015-08-24,312.65
2015-08-25,314.06
2015-08-26,315.75
2015-08-27,314.1
2015-08-28,313.89
2015-08-31,313.65
2015-09-01,314.04
2015-09-02,313.19
2015-09-03,312.47
2015-09-04,313.45
2015-09-07,313.98
2015-09-08,313.15
2015-09-09,314.85
2015-09-10,314.95
2015-09-11,312.68
2015-09-14,313.27
2015-09-15,312.06
2015-09-16,311.6
2015-09-17,309.81
2015-09-18,310.66
2015-09-21,310.3
2015-09-22,311.12
2015-09-23,312.1
2015-09-24,313.92
2015-09-25,314.77
2015-09-28,314.21
2015-09-29,313.56
2015-09-30,313.36
2015-10-01,312.58
2015-10-02,311.44
2015-10-05,312.04
2015-10-06,311.08
2015-10-07,312.34
2015-10-08,311.06
2015-10-09,310.5
2015-10-12,309.71
2015-10-13,311.58
2015-10-14,309.63
2015-10-15,309.24
2015-10-16,309.91
2015-10-19,309.85
2015-10-20,310.24
2015-10-21,311.45
2015-10-22,309.99
2015-10-23,311.66
2015-10-26,311.5
2015-10-27,311.46
2015-10-28,311.09
2015-10-29,310.05
2015-10-30,310.52
2015-11-02,312.56
2015-11-03,313.09
2015-11-04,314.15
2015-11-05,313.16
2015-11-06,314.6
2015-11-09,313.44
2015-11-10,312.21
2015-11-11,311.52
2015-11-12,312.39
2015-11-13,311.28
2015-11-16,311.71
2015-11-17,311.01
2015-11-18,310.22
2015-11-19,310.0
2015-11-20,310.37
2015-11-23,311.6
2015-11-24,311.87
2015-11-25,311.85
2015-11-26,311.89
2015-11-27,311.9
2015-11-30,310.63
2015-12-01,312.18
2015-12-02,310.12
2015-12-03,313.09
2015-12-04,312.28
2015-12-07,312.94
2015-12-08,313.6
2015-12-09,315.5
2015-12-10,317.31
2015-12-11,317.09
2015-12-14,317.03
2015-12-15,315.6
2015-12-16,315.64
2015-12-17,316.61
2015-12-18,313.38
2015-12-21,313.2
2015-12-22,313.72
2015-12-23,314.3
2015-12-24,315.39
2015-12-25,316.23
2015-12-28,313.5
2015-12-29,312.64
2015-12-30,313.08
2015-12-31,315.13
2016-01-04,314.46
