date,exchange_rate
2014-11-24,15107.0
2014-11-25,15218.0
2014-11-26,15270.0
2014-11-27,15155.0
2014-11-28,15241.0
2014-12-01,15298.0
2014-12-02,15186.0
2014-12-03,15184.0
2014-12-04,15226.0
2014-12-05,15095.0
2014-12-08,15254.0
2014-12-09,15306.0
2014-12-10,15403.0
2014-12-11,15362.0
2014-12-12,15571.0
2014-12-15,15845.0
2014-12-16,15878.0
2014-12-17,15657.0
2014-12-18,15480.0
2014-12-19,15304.0
2014-12-22,15257.0
2014-12-23,15142.0
2014-12-24,15200.0
2014-12-25,15233.0
2014-12-26,15180.0
2014-12-29,15122.0
2014-12-30,15122.0
2014-12-31,14971.0
2015-01-01,14976.0
2015-01-02,15035.0
2015-01-05,15112.0
2015-01-06,15072.0
2015-01-07,15122.0
2015-01-08,14989.0
2015-01-09,15024.0
2015-01-12,14951.0
2015-01-13,14878.0
2015-01-14,14916.0
2015-01-15,14648.0
2015-01-16,14606.0
2015-01-19,14644.0
2015-01-20,14580.0
2015-01-21,14484.0
2015-01-22,14120.0
2015-01-23,14017.0
2015-01-26,14035.0
2015-01-27,14230.0
2015-01-28,14069.0
2015-01-29,14225.0
2015-01-30,14288.0
2015-02-02,14418.0
2015-02-03,14553.0
2015-02-04,14322.0
2015-02-05,14536.0
2015-02-06,14260.0
2015-02-09,14349.0
2015-02-10,14326.0
2015-02-11,14394.0
2015-02-12,14573.0
2015-02-13,14536.0
2015-02-16,14466.0
2015-02-17,14564.0
2015-02-18,14634.0
2015-02-19,14472.0
2015-02-20,14575.0
2015-02-23,14543.0
2015-02-24,14615.0
2015-02-25,14610.0
2015-02-26,14413.0
2015-02-27,14443.0
2015-03-02,14541.0
2015-03-03,14530.0
2015-03-04,14426.0
2015-03-05,14368.0
2015-03-06,14119.0
2015-03-09,14190.0
2015-03-10,14033.0
2015-03-11,13896.0
2015-03-12,13993.0
2015-03-13,13847.0
2015-03-16,14033.0
2015-03-17,13939.0
2015-03-18,14251.0
2015-03-19,13894.0
2015-03-20,14223.0
2015-03-23,14257.0
2015-03-24,14069.0
2015-03-25,14228.0
2015-03-26,14148.0
2015-03-27,14225.0
2015-03-30,14151.0
2015-03-31,14029.0
2015-04-01,14038.0
2015-04-02,14181.0
2015-04-03,14232.0
2015-04-06,14160.0
2015-04-07,14042.0
2015-04-08,13959.0
2015-04-09,13746.0
2015-04-10,13678.0
2015-04-13,13724.0
2015-04-14,13866.0
2015-04-15,13762.0
2015-04-16,13821.0
2015-04-17,13873.0
2015-04-20,13942.0
2015-04-21,13904.0
2015-04-22,13817.0
2015-04-23,14055.0
2015-04-24,14021.0
2015-04-27,14156.0
2015-04-28,14284.0
2015-04-29,14371.0
2015-04-30,14546.0
2015-05-01,14508.0
2015-05-04,14455.0
2015-05-05,14629.0
2015-05-06,14824.0
2015-05-07,14836.0
2015-05-08,14688.0
2015-05-11,14655.0
2015-05-12,14794.0
2015-05-13,14909.0
2015-05-14,14974.0
2015-05-15,14982.0
2015-05-18,14853.0
2015-05-19,14606.0
2015-05-20,14608.0
2015-05-21,14571.0
2015-05-22,14524.0
2015-05-25,14428.0
2015-05-26,14418.0
2015-05-27,14384.0
2015-05-28,14544.0
2015-05-29,14577.0
2015-06-01,14437.0
2015-06-02,14733.0
2015-06-03,14892.0
2015-06-04,14871.0
2015-06-05,14737.0
2015-06-08,15086.0
2015-06-09,14990.0
2015-06-10,15065.0
2015-06-11,15012.0
2015-06-12,15055.0
2015-06-15,15078.0
2015-06-16,15005.0
2015-06-17,15143.0
2015-06-18,15120.0
2015-06-19,15128.0
2015-06-22,15085.0
2015-06-23,14793.0
2015-06-24,14889.0
2015-06-25,14920.0
2015-06-26,14849.0
2015-06-29,15005.0
2015-06-30,14838.0
2015-07-01,14730.0
2015-07-02,14771.0
2015-07-03,14872.0
2015-07-06,14798.0
2015-07-07,14655.0
2015-07-08,14815.0
2015-07-09,14734.0
2015-07-10,14837.0
2015-07-13,14676.0
2015-07-14,14676.0
2015-07-15,14654.0
2015-07-16,14506.0
2015-07-17,14458.0
2015-07-20,14438.0
2015-07-21,14585.0
2015-07-22,14608.0
2015-07-23,14736.0
2015-07-24,14746.0
