date,exchange_rate
2014-11-07,4.7405
2014-11-10,4.7251
2014-11-11,4.7517
2014-11-12,4.7307
2014-11-13,4.7451
2014-11-14,4.7868
2014-11-17,4.768
2014-11-18,4.8133
2014-11-19,4.8157
2014-11-20,4.8046
2014-11-21,4.7869
2014-11-24,4.7908
2014-11-25,4.8155
2014-11-26,4.8396
2014-11-27,4.8434
2014-11-28,4.8366
2014-12-01,4.8835
2014-12-02,4.9223
2014-12-03,4.8959
2014-12-04,4.8909
2014-12-05,4.8852
2014-12-08,4.8832
2014-12-09,4.8687
2014-12-10,4.8915
2014-12-11,4.8653
2014-12-12,4.8642
2014-12-15,4.8708
2014-12-16,4.876
2014-12-17,4.8423
2014-12-18,4.8334
2014-12-19,4.7987
2014-12-22,4.7727
2014-12-23,4.7835
2014-12-24,4.7907
2014-12-25,4.7845
2014-12-26,4.7662
2014-12-30,4.7372
2014-12-31,4.7249
2015-01-01,4.708
2015-01-02,4.7209
2015-01-05,4.7165
2015-01-06,4.6974
2015-01-07,4.6935
2015-01-08,4.6634
2015-01-09,4.6631
2015-01-12,4.6516
2015-01-13,4.6294
2015-01-14,4.592
2015-01-15,4.5554
2015-01-16,4.5557
2015-01-19,4.5511
2015-01-20,4.5458
2015-01-21,4.573
2015-01-22,4.489
2015-01-23,4.4867
2015-01-26,4.4777
2015-01-27,4.4707
2015-01-28,4.4432
2015-01-29,4.4514
2015-01-30,4.4441
2015-02-02,4.4513
2015-02-03,4.4625
2015-02-04,4.4199
2015-02-05,4.4201
2015-02-06,4.3875
2015-02-09,4.3953
2015-02-10,4.3759
2015-02-11,4.3979
2015-02-12,4.4238
2015-02-13,4.4356
2015-02-16,4.3895
2015-02-17,4.3975
2015-02-18,4.3878
2015-02-19,4.3662
2015-02-20,4.3994
2015-02-23,4.4358
2015-02-24,4.4849
2015-02-25,4.479
2015-02-26,4.4274
2015-02-27,4.4581
2015-03-02,4.4692
2015-03-03,4.4442
2015-03-04,4.421
2015-03-05,4.4018
2015-03-06,4.3683
2015-03-09,4.3369
2015-03-10,4.3156
2015-03-11,4.2588
2015-03-12,4.2506
2015-03-13,4.2339
2015-03-16,4.2371
2015-03-17,4.2463
2015-03-18,4.3066
2015-03-19,4.305
2015-03-20,4.3914
2015-03-23,4.3301
2015-03-24,4.2726
2015-03-25,4.3218
2015-03-26,4.303
2015-03-27,4.326
2015-03-30,4.2837
2015-03-31,4.2698
2015-04-01,4.2593
2015-04-02,4.275
2015-04-03,4.301
2015-04-06,4.2848
2015-04-07,4.2668
2015-04-08,4.2376
2015-04-09,4.2161
2015-04-10,4.216
2015-04-13,4.2135
2015-04-14,4.2166
2015-04-15,4.2279
2015-04-16,4.2177
2015-04-17,4.2318
2015-04-20,4.2249
2015-04-21,4.2327
2015-04-22,4.2287
2015-04-23,4.2408
2015-04-24,4.2469
2015-04-27,4.228
2015-04-28,4.2244
2015-04-29,4.2907
2015-04-30,4.3196
2015-05-01,4.3519
2015-05-04,4.3248
2015-05-05,4.315
2015-05-06,4.3628
2015-05-07,4.3405
2015-05-08,4.3276
2015-05-11,4.2913
2015-05-12,4.3218
2015-05-13,4.3495
2015-05-14,4.3519
2015-05-15,4.3593
2015-05-18,4.3434
2015-05-19,4.2998
2015-05-20,4.29
2015-05-21,4.2979
2015-05-22,4.2787
2015-05-25,4.2504
2015-05-26,4.2225
2015-05-27,4.2104
2015-05-28,4.2387
2015-05-29,4.2348
2015-06-01,4.2273
2015-06-02,4.2859
2015-06-03,4.3115
2015-06-04,4.2966
2015-06-05,4.2931
2015-06-08,4.3333
2015-06-09,4.307
2015-06-10,4.3197
2015-06-11,4.2966
2015-06-12,4.3292
2015-06-15,4.3207
2015-06-16,4.3189
2015-06-17,4.3258
2015-06-18,4.3507
2015-06-19,4.3451
2015-06-22,4.2836
2015-06-23,4.1946
2015-06-24,4.1952
2015-06-25,4.2278
2015-06-26,4.24
2015-06-29,4.2309
2015-06-30,4.1906
2015-07-01,4.1756
2015-07-02,4.1806
2015-07-03,4.2051
2015-07-06,4.1645
2015-07-07,4.1559
2015-07-08,4.192
2015-07-09,4.1918
2015-07-10,4.1999
2015-07-13,4.1505
2015-07-14,4.1456
2015-07-15,4.1342
2015-07-16,4.1239
2015-07-17,4.1286
2015-07-20,4.1411
2015-07-21,4.1498
2015-07-22,4.1704
2015-07-23,4.2004
2015-07-24,4.1993
2015-07-27,4.1773
2015-07-28,4.1777
2015-07-29,4.1496
2015-07-30,4.1292
2015-07-31,4.175
2015-08-03,4.1303
2015-08-04,4.1351
2015-08-05,4.1552
2015-08-06,4.1441
2015-08-07,4.169
2015-08-10,4.1791
2015-08-11,4.2075
2015-08-12,4.245
2015-08-13,4.2258
2015-08-14,4.1929
2015-08-17,4.2371
2015-08-18,4.242
2015-08-19,4.2957
2015-08-20,4.3315
2015-08-21,4.4098
2015-08-24,4.4468
2015-08-25,4.4443
2015-08-26,4.4459
2015-08-27,4.3942
2015-08-28,4.3909
2015-08-31,4.4001
2015-09-01,4.4313
2015-09-02,4.4047
2015-09-03,4.3535
2015-09-04,4.3742
2015-09-07,4.3878
2015-09-08,4.351
2015-09-09,4.3595
2015-09-10,4.3832
2015-09-11,4.3794
2015-09-14,4.3947
2015-09-15,4.3728
2015-09-16,4.3498
2015-09-17,4.4154
2015-09-18,4.4129
2015-09-21,4.3947
2015-09-22,4.3865
2015-09-23,4.414
2015-09-24,4.3855
2015-09-25,4.4112
2015-09-28,4.4193
2015-09-29,4.4186
2015-09-30,4.3735
2015-10-01,4.4019
2015-10-02,4.3802
2015-10-05,4.3326
2015-10-06,4.3384
2015-10-07,4.3256
2015-10-08,4.349
2015-10-09,4.3511
2015-10-12,4.3479
2015-10-13,4.3979
2015-10-14,4.4071
2015-10-15,4.334
2015-10-16,4.353
2015-10-19,4.3644
2015-10-20,4.3692
2015-10-21,4.3824
2015-10-22,4.3027
2015-10-23,4.2958
2015-10-26,4.2781
2015-10-27,4.271
2015-10-28,4.2534
2015-10-29,4.2516
2015-10-30,4.2449
2015-11-02,4.2637
2015-11-03,4.2403
2015-11-04,4.2112
2015-11-05,4.2233
2015-11-06,4.2163
2015-11-09,4.2078
2015-11-10,4.2038
2015-11-11,4.1876
2015-11-12,4.1878
2015-11-13,4.1909
2015-11-16,4.1625
2015-11-17,4.1586
2015-11-18,4.1528
2015-11-19,4.1489
2015-11-20,4.139
2015-11-23,4.1192
2015-11-24,4.1029
2015-11-25,4.1174
2015-11-26,4.1098
2015-11-27,4.1147
