date,exchange_rate
2014-11-07,76.4849
2014-11-10,76.4893
2014-11-11,76.7887
2014-11-12,76.2959
2014-11-13,76.7795
2014-11-14,77.4659
2014-11-17,76.9282
2014-11-18,77.3648
2014-11-19,77.7239
2014-11-20,77.6791
2014-11-21,76.4388
2014-11-24,76.9585
2014-11-25,77.1557
2014-11-26,77.2824
2014-11-27,77.0803
2014-11-28,77.5062
2014-12-01,77.2755
2014-12-02,76.521
2014-12-03,76.1407
2014-12-04,76.2825
2014-12-05,76.1518
2014-12-08,76.1347
2014-12-09,76.5845
2014-12-10,77.3142
2014-12-11,77.488
2014-12-12,78.0452
2014-12-15,78.602
2014-12-16,79.6504
2014-12-17,78.3451
2014-12-18,77.3905
2014-12-19,77.3826
2014-12-22,77.3123
2014-12-23,77.2195
2014-12-24,77.5147
2014-12-25,77.6281
2014-12-26,77.4095
2014-12-30,77.0533
2014-12-31,76.2588
2015-01-01,76.2837
2015-01-02,75.948
2015-01-05,75.587
2015-01-06,75.4772
2015-01-07,74.8963
2015-01-08,73.885
2015-01-09,73.5467
2015-01-12,73.4431
2015-01-13,72.987
2015-01-14,73.2072
2015-01-15,72.2015
2015-01-16,71.2928
2015-01-19,71.5291
2015-01-20,71.2411
2015-01-21,71.5084
2015-01-22,69.9798
2015-01-23,68.8923
2015-01-26,69.089
2015-01-27,69.7923
2015-01-28,69.1863
2015-01-29,69.9814
2015-01-30,70.1359
2015-02-02,69.994
2015-02-03,70.6495
2015-02-04,70.0557
2015-02-05,70.849
2015-02-06,69.9882
2015-02-09,70.3992
2015-02-10,70.5304
2015-02-11,70.7053
2015-02-12,70.8374
2015-02-13,70.6479
2015-02-16,70.6061
2015-02-17,70.9322
2015-02-18,70.7965
2015-02-19,70.6448
2015-02-20,70.9049
2015-02-23,70.5035
2015-02-24,70.5829
2015-02-25,70.2939
2015-02-26,69.1102
2015-02-27,68.9755
2015-03-02,69.2189
2015-03-03,69.1104
2015-03-04,69.02
2015-03-05,68.8851
2015-03-06,68.1212
2015-03-09,67.9467
2015-03-10,67.047
2015-03-11,66.2498
2015-03-12,66.4321
2015-03-13,66.1587
2015-03-16,66.362
2015-03-17,66.4112
2015-03-18,67.814
2015-03-19,66.7999
2015-03-20,67.5075
2015-03-23,68.2147
2015-03-24,67.9391
2015-03-25,68.4837
2015-03-26,68.3426
2015-03-27,68.1333
2015-03-30,67.7872
2015-03-31,67.003
2015-04-01,67.0951
2015-04-02,67.5081
2015-04-03,68.0
2015-04-06,68.0296
2015-04-07,67.4729
2015-04-08,67.0676
2015-04-09,66.3187
2015-04-10,66.1674
2015-04-13,65.9481
2015-04-14,66.3627
2015-04-15,66.625
2015-04-16,67.0717
2015-04-17,67.5908
2015-04-20,67.6363
2015-04-21,67.6022
2015-04-22,67.4815
2015-04-23,68.5645
2015-04-24,69.0438
2015-04-27,69.1457
2015-04-28,69.3299
2015-04-29,70.4497
2015-04-30,71.4598
2015-05-01,71.3079
2015-05-04,70.9687
2015-05-05,70.8919
2015-05-06,72.0563
2015-05-07,72.2338
2015-05-08,71.3844
2015-05-11,71.3025
2015-05-12,72.0675
2015-05-13,72.5352
2015-05-14,72.3942
2015-05-15,72.6053
2015-05-18,72.1288
2015-05-19,71.1039
2015-05-20,70.8808
2015-05-21,70.5983
2015-05-22,69.886
2015-05-25,69.7104
2015-05-26,69.644
2015-05-27,69.7058
2015-05-28,70.0365
2015-05-29,70.1484
2015-06-01,69.5147
2015-06-02,71.004
2015-06-03,72.1874
2015-06-04,71.7
2015-06-05,70.8634
2015-06-08,72.2477
2015-06-09,72.1935
2015-06-10,72.3501
2015-06-11,71.9172
2015-06-12,72.1126
2015-06-15,72.2986
2015-06-16,72.2373
2015-06-17,72.7638
2015-06-18,72.5063
2015-06-19,72.1296
2015-06-22,72.049
2015-06-23,71.102
2015-06-24,71.2279
2015-06-25,71.2468
2015-06-26,71.0249
2015-06-29,71.6246
2015-06-30,70.9123
2015-07-01,70.3595
2015-07-02,70.2947
2015-07-03,70.7672
2015-07-06,70.0639
2015-07-07,69.9074
2015-07-08,70.418
2015-07-09,70.0283
2015-07-10,70.6878
2015-07-13,69.9381
2015-07-14,69.7445
2015-07-15,69.648
2015-07-16,69.1075
2015-07-17,68.7594
2015-07-20,68.9761
2015-07-21,69.5849
2015-07-22,69.5231
2015-07-23,70.1362
2015-07-24,70.3517
2015-07-27,71.2244
2015-07-28,70.5254
2015-07-29,70.1482
2015-07-30,70.0568
2015-07-31,70.4408
2015-08-03,70.0702
2015-08-04,69.4637
2015-08-05,69.4269
2015-08-06,69.6141
2015-08-07,69.9058
2015-08-10,70.2927
2015-08-11,70.9338
2015-08-12,72.2249
2015-08-13,72.8534
2015-08-14,72.2553
2015-08-17,72.4621
2015-08-18,72.1759
2015-08-19,72.3361
2015-08-20,73.6011
2015-08-21,75.1641
2015-08-24,77.3871
2015-08-25,76.2796
2015-08-26,74.9521
2015-08-27,74.2228
2015-08-28,74.0204
2015-08-31,74.486
2015-09-01,75.0247
2015-09-02,74.2825
2015-09-03,73.5108
2015-09-04,74.377
2015-09-07,74.6411
2015-09-08,74.3978
2015-09-09,74.5934
2015-09-10,75.0445
2015-09-11,75.2918
2015-09-14,74.9574
2015-09-15,74.8663
2015-09-16,75.054
2015-09-17,75.4938
2015-09-18,74.519
2015-09-21,73.4637
2015-09-22,73.2656
2015-09-23,74.0086
2015-09-24,74.1409
2015-09-25,74.0394
2015-09-28,74.4633
2015-09-29,74.1887
2015-09-30,73.182
2015-10-01,73.4415
2015-10-02,73.2886
2015-10-05,72.8958
2015-10-06,73.4695
2015-10-07,72.9682
2015-10-08,73.2943
2015-10-09,73.5089
2015-10-12,73.5444
2015-10-13,74.0829
2015-10-14,74.4452
2015-10-15,73.6949
2015-10-16,73.4558
2015-10-19,73.568
2015-10-20,73.7835
2015-10-21,73.9444
2015-10-22,72.0954
2015-10-23,71.5133
2015-10-26,71.6839
2015-10-27,71.8897
2015-10-28,71.0023
2015-10-29,71.8348
2015-10-30,72.0525
2015-11-02,72.2576
2015-11-03,71.861
2015-11-04,71.1428
2015-11-05,71.6783
2015-11-06,71.04
2015-11-09,71.5018
2015-11-10,71.018
2015-11-11,71.0202
2015-11-12,71.3897
2015-11-13,71.1858
2015-11-16,70.5398
2015-11-17,70.255
2015-11-18,70.5017
2015-11-19,70.929
2015-11-20,70.3381
2015-11-23,70.5778
2015-11-24,70.6
2015-11-25,70.4753
2015-11-26,70.6668
2015-11-27,70.9175
2015-11-30,70.2879
2015-12-01,70.6691
2015-12-02,70.5843
2015-12-03,73.0605
2015-12-04,72.5046
2015-12-07,72.3412
2015-12-08,72.7551
2015-12-09,73.6829
2015-12-10,72.9896
2015-12-11,73.7361
2015-12-14,73.7555
2015-12-15,73.0904
2015-12-16,72.6488
2015-12-17,71.9069
2015-12-18,72.0458
2015-12-21,72.2745
2015-12-22,72.5198
2015-12-23,72.1666
2015-12-24,72.3483
2015-12-25,72.4447
2015-12-28,72.616
2015-12-29,72.3653
2015-12-30,72.6087
2015-12-31,72.2058
2016-01-01,71.8175
2016-01-04,72.1028
2016-01-05,71.543
2016-01-06,71.9377
2016-01-07,73.0872
2016-01-08,73.0034
2016-01-11,72.5225
2016-01-12,72.5659
2016-01-13,72.8041
2016-01-14,73.2771
2016-01-15,74.0474
2016-01-18,73.7778
2016-01-19,73.9079
2016-01-20,74.1019
2016-01-21,73.8443
2016-01-22,72.9574
2016-01-25,73.4862
2016-01-26,73.5585
2016-01-27,74.3194
2016-01-28,74.4357
2016-01-29,73.519
2016-02-01,73.984
2016-02-02,74.1984
2016-02-03,75.4248
2016-02-04,75.6731
2016-02-05,75.705
2016-02-08,76.1858
2016-02-09,76.6741
2016-02-10,76.5667
2016-02-11,77.4164
2016-02-12,76.6807
2016-02-15,76.1083
2016-02-16,76.2924
2016-02-17,76.0531
2016-02-18,76.1632
2016-02-19,76.4854
2016-02-22,75.578
2016-02-23,75.5791
2016-02-24,75.525
2016-02-25,75.9006
2016-02-26,75.2728
2016-02-29,74.2708
2016-03-01,73.5683
2016-03-02,73.3002
2016-03-03,73.5622
2016-03-04,73.7045
2016-03-07,73.7556
2016-03-08,74.1112
2016-03-09,73.8964
2016-03-10,75.3842
2016-03-11,74.7094
2016-03-14,74.5855
2016-03-15,74.882
2016-03-16,75.2295
2016-03-17,75.2405
2016-03-18,74.912
2016-03-21,74.8121
2016-03-22,74.8252
2016-03-23,74.7697
2016-03-24,74.8196
2016-03-25,74.7105
2016-03-28,74.58
2016-03-29,74.946
2016-03-30,75.2382
2016-03-31,75.4194
2016-04-01,75.6406
2016-04-04,75.2484
2016-04-05,75.7473
2016-04-06,75.942
2016-04-07,75.8951
2016-04-08,75.8707
2016-04-11,75.7007
2016-04-12,75.4857
2016-04-13,75.1251
2016-04-14,74.9485
2016-04-15,75.2302
2016-04-18,75.1486
2016-04-19,75.1427
2016-04-20,74.7694
2016-04-21,74.9897
2016-04-22,74.8581
2016-04-25,75.1379
2016-04-26,75.0285
2016-04-27,75.1394
2016-04-28,75.364
2016-04-29,76.0081
2016-05-02,76.5036
2016-05-03,76.5151
2016-05-04,76.5936
2016-05-05,75.8908
2016-05-06,75.8883
2016-05-09,75.9426
2016-05-10,75.801
2016-05-11,76.0479
2016-05-12,75.8971
2016-05-13,75.6153
2016-05-16,75.6469
2016-05-17,75.5255
2016-05-18,75.1355
2016-05-19,75.5699
2016-05-20,75.7115
2016-05-23,75.6757
2016-05-24,75.4459
2016-05-25,75.0319
2016-05-26,75.067
2016-05-27,74.4038
2016-05-30,74.6132
2016-05-31,74.7325
2016-06-01,75.453
2016-06-02,75.0272
2016-06-03,76.0327
2016-06-06,75.926
2016-06-07,75.7284
2016-06-08,75.814
2016-06-09,75.5055
2016-06-10,75.3764
2016-06-13,75.8677
2016-06-14,75.5068
2016-06-15,75.5909
2016-06-16,75.5699
2016-06-17,75.6873
2016-06-20,76.4535
2016-06-21,76.2325
2016-06-22,76.3739
2016-06-23,76.7208
2016-06-24,75.4419
2016-06-27,74.8555
2016-06-28,75.1831
2016-06-29,75.0068
2016-06-30,74.9461
2016-07-01,74.8403
2016-07-04,74.9572
2016-07-05,74.5664
2016-07-06,74.8789
2016-07-07,74.6805
2016-07-08,74.2406
2016-07-11,74.2743
2016-07-12,74.1952
2016-07-13,74.3978
2016-07-14,74.3124
2016-07-15,74.0028
2016-07-18,74.3867
2016-07-19,74.0345
2016-07-20,74.0
2016-07-21,74.0901
2016-07-22,73.7796
2016-07-25,74.1194
2016-07-26,74.0175
2016-07-27,74.271
2016-07-28,74.2556
2016-07-29,74.6154
2016-08-01,74.4954
2016-08-02,74.9056
2016-08-03,74.5508
2016-08-04,74.3123
2016-08-05,74.0997
2016-08-08,74.0779
2016-08-09,74.2404
2016-08-10,74.6631
2016-08-11,74.3774
2016-08-12,74.7066
2016-08-15,74.8015
2016-08-16,75.4121
2016-08-17,75.5281
2016-08-18,75.9343
2016-08-19,76.0334
2016-08-22,76.0813
2016-08-23,75.8666
2016-08-24,75.6299
2016-08-25,75.6445
2016-08-26,75.195
2016-08-29,75.1675
2016-08-30,74.8402
2016-08-31,74.7118
2016-09-01,74.8422
2016-09-02,74.5155
2016-09-05,74.1424
2016-09-06,74.5445
2016-09-07,74.6821
2016-09-08,74.9579
2016-09-09,74.9849
2016-09-12,75.0594
2016-09-13,75.2837
2016-09-14,75.1371
2016-09-15,75.2578
2016-09-16,74.8875
2016-09-19,74.8495
2016-09-20,74.724
2016-09-21,74.8781
2016-09-22,74.6842
2016-09-23,74.8782
2016-09-26,74.9284
2016-09-27,74.612
2016-09-28,74.4549
2016-09-29,74.9502
2016-09-30,74.9189
2016-10-03,74.5973
2016-10-04,74.5215
2016-10-05,74.5752
2016-10-06,74.4486
2016-10-07,74.6679
2016-10-10,74.0991
2016-10-11,73.8437
2016-10-12,73.6095
2016-10-13,73.9416
2016-10-14,73.1894
2016-10-17,73.5242
2016-10-18,73.2626
2016-10-19,73.1666
2016-10-20,72.9615
2016-10-21,72.8621
2016-10-24,72.7337
2016-10-25,72.7664
2016-10-26,72.9263
2016-10-27,72.8503
2016-10-28,73.3944
2016-10-31,73.2078
2016-11-01,73.7378
2016-11-02,74.0653
2016-11-03,74.0813
2016-11-04,74.473
2016-11-07,73.7411
2016-11-08,73.0779
2016-11-09,72.6301
2016-11-10,73.061
2016-11-11,73.3252
2016-11-14,72.8332
2016-11-15,72.7043
2016-11-16,72.8316
2016-11-17,72.2694
2016-11-18,72.2081
2016-11-21,72.5799
2016-11-22,72.7556
2016-11-23,72.6016
2016-11-24,72.655
2016-11-25,72.5394
2016-11-28,72.7861
2016-11-29,73.0796
2016-11-30,72.6432
2016-12-01,72.9432
2016-12-02,72.6157
2016-12-05,73.2237
2016-12-06,72.6133
2016-12-07,72.5538
2016-12-08,71.539
2016-12-09,71.2673
2016-12-12,71.7464
2016-12-13,71.6263
2016-12-14,71.4616
2016-12-15,70.7128
2016-12-16,70.927
2016-12-19,70.5892
2016-12-20,70.5805
2016-12-21,70.7524
2016-12-22,70.8246
2016-12-23,70.8963
2016-12-26,70.8625
2016-12-27,71.1058
2016-12-28,71.075
2016-12-29,71.3009
2016-12-30,71.4919
2017-01-02,71.3354
2017-01-03,71.0877
2017-01-04,71.2258
2017-01-05,71.8465
2017-01-06,71.7238
2017-01-09,72.0993
2017-01-10,72.1385
2017-01-11,72.0856
2017-01-12,72.3279
2017-01-13,72.5674
2017-01-16,72.1964
2017-01-17,72.7339
2017-01-18,72.5541
2017-01-19,72.6206
2017-01-20,72.8584
2017-01-23,73.311
2017-01-24,73.1687
2017-01-25,73.0781
2017-01-26,72.8016
2017-01-27,72.8602
2017-01-30,72.601
2017-01-31,72.8669
2017-02-01,72.5645
2017-02-02,72.3499
2017-02-03,72.4621
2017-02-06,72.2354
2017-02-07,71.9393
2017-02-08,71.6419
2017-02-09,71.1425
2017-02-10,71.1133
2017-02-13,70.9081
2017-02-14,70.6914
2017-02-15,70.8939
2017-02-16,71.5952
2017-02-17,71.1951
2017-02-20,71.0203
2017-02-21,70.5539
2017-02-22,70.6434
2017-02-23,70.5822
2017-02-24,70.3348
2017-02-27,70.6292
2017-02-28,70.5385
2017-03-01,70.3886
2017-03-02,70.1624
2017-03-03,70.9208
2017-03-06,70.5405
2017-03-07,70.4192
2017-03-08,70.4169
2017-03-09,70.6234
2017-03-10,71.0318
2017-03-13,70.5032
2017-03-14,69.7818
2017-03-15,70.0747
2017-03-16,70.4392
2017-03-17,70.2959
2017-03-20,70.17
2017-03-21,70.7982
2017-03-22,70.6694
2017-03-23,70.566
2017-03-24,70.6447
2017-03-27,70.5931
2017-03-28,70.3313
2017-03-29,69.8331
2017-03-30,69.2953
2017-03-31,69.1895
2017-04-03,69.3189
2017-04-04,69.5114
2017-04-05,69.3835
2017-04-06,68.7826
2017-04-07,68.1151
2017-04-10,68.4501
2017-04-11,68.4802
2017-04-12,68.9148
2017-04-13,68.4115
2017-04-14,68.4428
2017-04-17,68.6381
2017-04-18,69.3212
2017-04-19,69.2846
2017-04-20,69.2466
2017-04-21,69.3466
2017-04-24,70.1114
2017-04-25,70.315
2017-04-26,69.9582
2017-04-27,69.719
2017-04-28,70.0946
2017-05-01,70.1146
2017-05-02,70.1528
2017-05-03,69.8837
2017-05-04,70.5191
2017-05-05,70.7337
2017-05-08,70.3547
2017-05-09,70.4206
2017-05-10,70.2046
2017-05-11,69.9823
2017-05-12,70.2307
2017-05-15,70.3472
2017-05-16,70.8682
2017-05-17,71.7864
2017-05-18,72.0828
2017-05-19,72.3716
2017-05-22,72.4484
2017-05-23,72.6022
2017-05-24,72.663
2017-05-25,72.4138
2017-05-26,72.1433
2017-05-29,72.0664
2017-05-30,72.2256
2017-05-31,72.524
2017-06-01,72.3193
2017-06-02,72.6883
2017-06-05,72.4358
2017-06-06,72.6787
2017-06-07,72.5356
2017-06-08,72.0062
2017-06-09,71.9455
2017-06-12,72.2506
2017-06-13,72.1294
2017-06-14,72.0373
2017-06-15,71.9674
2017-06-16,72.0993
2017-06-19,71.9063
2017-06-20,71.8634
2017-06-21,72.0927
2017-06-22,72.097
2017-06-23,72.1916
2017-06-26,72.0736
2017-06-27,73.1628
2017-06-28,73.4137
2017-06-29,74.0085
2017-06-30,73.8823
2017-07-03,73.7178
2017-07-04,73.5299
2017-07-05,73.5933
2017-07-06,73.9684
2017-07-07,73.6966
2017-07-10,73.4733
2017-07-11,74.0188
2017-07-12,73.6044
2017-07-13,73.4851
2017-07-14,73.7523
2017-07-17,73.8549
2017-07-18,74.2646
2017-07-19,74.086
2017-07-20,74.9257
2017-07-21,75.1079
2017-07-24,74.8809
2017-07-25,74.987
2017-07-26,75.5558
2017-07-27,74.8952
2017-07-28,75.3754
2017-07-31,75.9357
2017-08-01,75.6943
2017-08-02,75.4434
2017-08-03,75.6225
2017-08-04,74.9443
2017-08-07,75.2751
2017-08-08,74.9318
2017-08-09,75.0831
2017-08-10,75.4378
2017-08-11,75.8567
2017-08-14,75.6906
2017-08-15,75.2651
