date,exchange_rate
2023-10-28,1382.683193
2023-10-30,1390.517941
2023-10-31,1385.876262
2023-11-01,1386.463059
2023-11-02,1387.164458
2023-11-03,1394.92272
2023-11-04,1394.92272
2023-11-05,1393.891046
2023-11-06,1404.369217
2023-11-07,1401.398933
2023-11-08,1402.945426
2023-11-09,1396.79255
2023-11-10,1403.079653
2023-11-12,1398.585296
2023-11-13,1398.680719
2023-11-14,1425.508176
2023-11-15,1421.263623
2023-11-16,1421.741796
2023-11-17,1430.052292
2023-11-18,1423.099747
2023-11-19,1422.168544
2023-11-20,1433.111438
2023-11-21,1429.428399
2023-11-22,1424.255763
2023-11-23,1429.465359
2023-11-24,1434.352471
2023-11-25,1429.637507
2023-11-26,1429.041523
2023-11-27,1435.066263
2023-11-28,1440.431498
2023-11-29,1437.428359
2023-11-30,1425.644491
2023-12-01,1426.93688
2023-12-02,1426.580347
2023-12-03,1426.938482
2023-12-04,1419.369518
2023-12-05,1414.312628
2023-12-06,1410.308168
2023-12-07,1414.769181
2023-12-08,1409.898347
2023-12-09,1411.499022
2023-12-10,1410.805866
2023-12-11,1410.42939
2023-12-12,1414.612548
2023-12-13,1424.493679
2023-12-14,1440.114672
2023-12-15,1427.092329
2023-12-16,1436.63072
2023-12-17,1436.04122
2023-12-18,1429.715094
2023-12-19,1438.500853
2023-12-20,1433.009643
2023-12-21,1441.643694
2023-12-22,1443.940198
2023-12-23,1444.039209
2023-12-24,1444.039772
2023-12-25,1444.591632
2023-12-26,1446.443658
2023-12-27,1454.860465
2023-12-28,1456.976167
2023-12-29,1445.038491
2023-12-30,1449.776669
2023-12-31,1449.780302
2024-01-01,1450.053555
2024-01-02,1433.415859
2024-01-03,1430.576107
2024-01-04,1433.779397
2024-01-05,1432.883489
2024-01-06,1429.303844
2024-01-07,1429.304356
2024-01-08,1435.042421
2024-01-09,1430.802184
2024-01-10,1436.17517
2024-01-11,1437.083791
2024-01-12,1435.058142
2024-01-13,1434.102163
2024-01-14,1434.106804
2024-01-15,1433.251284
2024-01-16,1424.145201
2024-01-17,1425.021884
2024-01-18,1423.131868
2024-01-19,1426.797006
2024-01-20,1426.18221
2024-01-21,1426.184791
2024-01-22,1426.23156
2024-01-23,1421.289534
2024-01-24,1426.837169
2024-01-25,1418.988788
2024-01-26,1422.994859
2024-01-27,1424.483641
2024-01-28,1424.482891
2024-01-29,1417.876035
2024-01-30,1420.747771
2024-01-31,1422.862316
2024-02-01,1424.331171
2024-02-02,1414.0143
2024-02-03,1415.679913
2024-02-04,1415.680722
2024-02-05,1406.802145
2024-02-06,1408.457219
2024-02-07,1410.75709
2024-02-08,1411.562042
2024-02-09,1413.061652
2024-02-10,1411.502224
2024-02-11,1411.502612
2024-02-12,1411.288469
2024-02-13,1402.47896
2024-02-14,1405.3837
2024-02-15,1410.718228
2024-02-16,1412.269496
2024-02-17,1411.865506
2024-02-18,1411.914215
2024-02-19,1411.793422
2024-02-20,1416.001628
2024-02-21,1416.821237
2024-02-22,1417.779311
2024-02-23,1417.687159
2024-02-24,1417.926255
2024-02-25,1417.926971
2024-02-26,1420.497292
2024-02-27,1421.201946
2024-02-28,1416.458321
2024-02-29,1415.527611
2024-03-01,1420.284497
2024-03-02,1416.796788
2024-03-03,1416.804054
2024-03-04,1422.764993
2024-03-05,1421.936745
2024-03-06,1427.921391
2024-03-07,1433.464218
2024-03-08,1432.641255
2024-03-09,1432.264181
2024-03-10,1432.273769
2024-03-11,1430.849714
2024-03-12,1430.771133
2024-03-13,1434.972226
2024-03-14,1426.246196
2024-03-15,1426.579479
2024-03-16,1428.15929
2024-03-17,1428.159421
2024-03-18,1423.805049
2024-03-19,1423.232858
2024-03-20,1424.56408
2024-03-21,1422.455898
2024-03-22,1415.771713
2024-03-23,1416.784274
2024-03-24,1416.787023
2024-03-25,1419.431036
2024-03-26,1418.869937
2024-03-27,1416.628448
2024-03-28,1414.30458
2024-03-29,1413.244146
2024-03-30,1412.866391
2024-03-31,1412.866635
2024-04-01,1407.096708
2024-04-02,1410.509077
2024-04-03,1418.785368
2024-04-04,1422.714561
2024-04-05,1419.391795
2024-04-06,1419.070662
2024-04-07,1419.071136
2024-04-08,1422.227668
2024-04-09,1421.741796
2024-04-10,1407.387752
2024-04-11,1404.000066
2024-04-12,1394.641237
2024-04-13,1397.854576
2024-04-14,1394.45786
2024-04-15,1393.187541
2024-04-16,1390.923433
2024-04-17,1394.365412
2024-04-18,1395.613937
2024-04-19,1395.247942
2024-04-20,1394.292822
2024-04-21,1394.292822
2024-04-22,1395.1086
2024-04-23,1401.616674
2024-04-24,1400.273272
2024-04-25,1404.245968
2024-04-26,1399.843432
2024-04-27,1405.547442
2024-04-28,1405.547442
2024-04-29,1404.306182
2024-04-30,1398.952388
2024-05-01,1398.793391
2024-05-02,1402.822886
2024-05-03,1409.777738
2024-05-04,1407.077227
2024-05-05,1407.077227
2024-05-06,1411.134883
2024-05-07,1411.295753
2024-05-08,1408.633363
2024-05-09,1411.390849
2024-05-10,1411.502552
2024-05-11,1413.02416
2024-05-12,1411.806092
2024-05-13,1414.09755
2024-05-14,1417.120363
2024-05-15,1422.243979
2024-05-16,1424.207351
2024-05-17,1424.224067
2024-05-18,1419.654606
2024-05-19,1419.654606
2024-05-20,1424.062865
2024-05-21,1422.019593
2024-05-22,1419.484797
2024-05-23,1418.119574
2024-05-24,1421.649222
2024-05-25,1420.271652
2024-05-26,1420.271652
2024-05-27,1422.588206
2024-05-28,1423.516822
2024-05-29,1417.511595
2024-05-30,1420.700553
2024-05-31,1421.035262
2024-06-01,1421.173829
2024-06-02,1421.173829
2024-06-03,1426.595694
2024-06-04,1425.000187
2024-06-05,1422.953141
2024-06-06,1426.387764
2024-06-07,1415.466517
2024-06-08,1425.974114
2024-06-09,1425.974114
2024-06-10,1405.846518
2024-06-11,1405.737771
2024-06-12,1421.070794
2024-06-13,1412.946895
2024-06-14,1401.112791
2024-06-15,1400.920681
2024-06-16,1400.920681
2024-06-17,1404.294946
2024-06-18,1405.681132
2024-06-19,1407.771341
2024-06-20,1403.422075
2024-06-21,1399.647328
2024-06-22,1399.235072
2024-06-23,1399.235072
2024-06-24,1404.505973
2024-06-25,1401.672875
2024-06-26,1399.759459
2024-06-27,1404.322442
2024-06-28,1402.689557
2024-06-29,1404.358388
2024-06-30,1402.943483
2024-07-01,1406.593825
2024-07-02,1405.493395
2024-07-03,1416.135684
2024-07-04,1416.002774
2024-07-05,1417.129516
2024-07-06,1418.148138
2024-07-07,1418.148138
2024-07-08,1419.826431
2024-07-09,1417.480246
2024-07-10,1418.064658
2024-07-11,1424.545115
2024-07-12,1427.233349
2024-07-13,1426.476987
2024-07-14,1426.476987
2024-07-15,1429.602226
2024-07-16,1425.90041
2024-07-17,1432.100563
2024-07-18,1429.063211
2024-07-19,1425.297345
2024-07-20,1425.950277
2024-07-21,1425.950277
2024-07-22,1425.20962
2024-07-23,1421.236623
2024-07-24,1423.734488
2024-07-25,1420.617561
2024-07-26,1423.232645
2024-07-27,1422.201931
2024-07-28,1422.201931
2024-07-29,1417.224226
2024-07-30,1416.52994
2024-07-31,1419.604435
2024-08-01,1413.164205
2024-08-02,1427.268282
2024-08-03,1417.677746
2024-08-04,1417.677746
2024-08-05,1437.886078
2024-08-06,1431.36773
2024-08-07,1430.646246
2024-08-08,1426.741675
2024-08-09,1431.820521
2024-08-10,1430.833272
2024-08-11,1429.931194
2024-08-12,1431.628597
2024-08-13,1435.418876
2024-08-14,1446.009769
2024-08-15,1435.01574
2024-08-16,1441.220087
2024-08-17,1440.066579
2024-08-18,1440.066579
2024-08-19,1445.392214
2024-08-20,1454.28886
2024-08-21,1457.931855
2024-08-22,1460.232724
2024-08-23,1455.660396
2024-08-24,1456.585103
2024-08-25,1456.585103
2024-08-26,1461.374408
2024-08-27,1461.309656
2024-08-28,1455.477557
2024-08-29,1452.308947
2024-08-30,1449.314514
2024-08-31,1448.948187
2024-09-01,1451.029155
2024-09-02,1450.089405
2024-09-03,1448.36303
2024-09-04,1448.845391
2024-09-05,1454.062034
2024-09-06,1451.401867
2024-09-07,1454.847254
2024-09-08,1454.847254
2024-09-09,1446.742145
2024-09-10,1444.074434
2024-09-11,1443.044535
2024-09-12,1446.464931
2024-09-13,1453.465399
2024-09-14,1452.523395
2024-09-15,1452.523395
2024-09-16,1458.476035
2024-09-17,1459.787669
2024-09-18,1457.901766
2024-09-19,1463.840469
2024-09-20,1463.040053
2024-09-21,1461.522939
2024-09-22,1461.522939
2024-09-23,1455.898211
2024-09-24,1458.593487
2024-09-25,1456.387775
2024-09-26,1467.271594
2024-09-27,1460.673058
2024-09-28,1463.026578
2024-09-29,1463.026578
2024-09-30,1464.155438
2024-10-01,1459.067739
2024-10-02,1452.882154
2024-10-03,1445.517325
2024-10-04,1445.99662
2024-10-05,1444.497505
2024-10-06,1444.497505
2024-10-07,1444.12548
2024-10-08,1437.032546
2024-10-09,1436.498069
2024-10-10,1435.777438
2024-10-11,1432.238656
2024-10-12,1432.49537
2024-10-13,1432.49537
2024-10-14,1433.292376
2024-10-15,1430.404482
2024-10-16,1429.491339
2024-10-17,1426.502025
2024-10-18,1425.281065
2024-10-19,1420.405405
2024-10-20,1420.405405
2024-10-21,1418.466105
2024-10-22,1422.399797
2024-10-23,1415.966523
2024-10-24,1413.107368
2024-10-25,1415.376127
2024-10-26,1417.778707
2024-10-27,1417.778707
2024-10-28,1420.203184
2024-10-29,1417.782999
2024-10-30,1416.792459
2024-10-31,1421.203267
2024-11-01,1420.632424
2024-11-02,1425.38426
2024-11-03,1423.607875
2024-11-04,1423.679312
2024-11-05,1426.883132
2024-11-06,1408.609724
2024-11-07,1406.813628
2024-11-08,1408.058546
2024-11-09,1412.489812
2024-11-10,1412.489812
2024-11-11,1407.209204
2024-11-12,1393.324721
2024-11-13,1390.893616
2024-11-14,1388.769898
2024-11-15,1383.227226
2024-11-16,1385.485097
2024-11-17,1385.485097
2024-11-18,1388.422164
2024-11-19,1374.369117
2024-11-20,1378.482212
2024-11-21,1379.189036
2024-11-22,1370.044333
2024-11-23,1364.44153
2024-11-24,1364.44153
2024-11-25,1364.586075
2024-11-26,1379.562931
2024-11-27,1380.925909
2024-11-28,1377.786645
2024-11-29,1382.159355
2024-11-30,1383.269451
2024-12-01,1383.269451
2024-12-02,1383.039587
2024-12-03,1383.097495
2024-12-04,1378.911728
2024-12-05,1377.92049
2024-12-06,1386.668244
2024-12-07,1386.945985
2024-12-08,1386.945985
2024-12-09,1390.820468
2024-12-10,1381.532879
2024-12-11,1374.283761
2024-12-12,1375.913339
2024-12-13,1379.434396
2024-12-14,1373.640241
2024-12-15,1373.640241
2024-12-16,1370.484165
2024-12-17,1370.665539
2024-12-18,1373.782996
2024-12-19,1378.981681
2024-12-20,1365.390407
2024-12-21,1365.97448
2024-12-22,1360.875069
2024-12-23,1355.926062
2024-12-24,1361.542599
2024-12-25,1362.089118
2024-12-26,1360.528652
2024-12-27,1363.014893
2024-12-28,1367.771691
2024-12-29,1367.771691
2024-12-30,1370.440307
2024-12-31,1369.49312
2025-01-01,1362.27394
2025-01-02,1350.7969
2025-01-03,1357.392313
2025-01-04,1348.867606
2025-01-05,1348.867606
2025-01-06,1359.248818
2025-01-07,1371.35724
2025-01-08,1359.790745
2025-01-09,1350.000451
2025-01-10,1349.527751
2025-01-11,1349.280032
2025-01-12,1349.280032
2025-01-13,1343.24927
2025-01-14,1336.883107
2025-01-15,1349.624835
2025-01-16,1349.601853
2025-01-17,1350.501403
2025-01-18,1351.260553
2025-01-19,1351.260553
2025-01-20,1352.063911
2025-01-21,1349.365751
2025-01-22,1362.116039
2025-01-23,1368.717391
2025-01-24,1372.322059
2025-01-25,1373.457493
2025-01-26,1373.457493
2025-01-27,1380.239629
2025-01-28,1376.017694
2025-01-29,1361.770838
2025-01-30,1360.026541
2025-01-31,1360.219143
2025-02-01,1356.915318
2025-02-02,1359.154474
2025-02-03,1360.673013
2025-02-04,1344.298798
2025-02-05,1359.015251
2025-02-06,1358.649298
2025-02-07,1356.745014
2025-02-08,1359.662461
2025-02-09,1359.662461
2025-02-10,1362.618841
2025-02-11,1353.801661
2025-02-12,1358.682029
2025-02-13,1364.846311
2025-02-14,1365.672579
2025-02-15,1371.174651
2025-02-16,1371.174651
2025-02-17,1368.526617
2025-02-18,1372.57079
2025-02-19,1364.772432
2025-02-20,1366.967989
2025-02-21,1365.088962
2025-02-22,1369.474303
2025-02-23,1371.182606
2025-02-24,1365.112805
2025-02-25,1371.088365
2025-02-26,1371.592117
2025-02-27,1371.538357
2025-02-28,1360.014555
2025-03-01,1360.793621
2025-03-02,1359.555219
2025-03-03,1365.103104
2025-03-04,1372.581279
2025-03-05,1398.766142
2025-03-06,1395.2713
2025-03-07,1414.267085
2025-03-08,1421.304739
2025-03-09,1421.304739
2025-03-10,1422.780943
2025-03-11,1426.614726
2025-03-12,1430.229619
2025-03-13,1425.760038
2025-03-14,1422.250503
2025-03-15,1427.485805
2025-03-16,1427.485805
2025-03-17,1428.735452
2025-03-18,1431.673151
2025-03-19,1424.531267
2025-03-20,1420.570091
2025-03-21,1419.089123
2025-03-22,1425.199044
2025-03-23,1421.466713
2025-03-24,1422.853493
2025-03-25,1414.791115
2025-03-26,1417.87823
2025-03-27,1412.193402
2025-03-28,1412.883337
2025-03-29,1410.845141
2025-03-30,1426.339376
2025-03-31,1418.814546
2025-04-01,1413.806192
2025-04-02,1413.114694
2025-04-03,1432.301749
2025-04-04,1435.083126
2025-04-05,1444.604509
2025-04-06,1435.708041
2025-04-07,1446.515469
2025-04-08,1432.523097
2025-04-09,1434.228
2025-04-10,1453.036509
2025-04-11,1463.704716
2025-04-12,1484.996829
2025-04-13,1484.996829
2025-04-14,1491.369589
2025-04-15,1484.28314
2025-04-16,1488.424443
2025-04-17,1488.598852
2025-04-18,1489.779092
2025-04-19,1489.779092
2025-04-20,1489.779092
2025-04-21,1489.779092
