date,exchange_rate
2014-11-24,33393.7
2014-11-25,33483.7
2014-11-26,33565.9
2014-11-27,33468.1
2014-11-28,33422.6
2014-12-01,33513.6
2014-12-02,33275.4
2014-12-03,33113.6
2014-12-04,33343.3
2014-12-05,33084.8
2014-12-08,33199.3
2014-12-09,33364.3
2014-12-10,33552.6
2014-12-11,33431.2
2014-12-12,33592.6
2014-12-15,33593.5
2014-12-16,33782.3
2014-12-17,33296.8
2014-12-18,33211.5
2014-12-19,33056.9
2014-12-22,33094.2
2014-12-23,32945.1
2014-12-24,33057.1
2014-12-25,33128.4
2014-12-26,33011.0
2014-12-29,32989.2
2014-12-30,33020.7
2014-12-31,32860.4
2015-01-01,32871.1
2015-01-02,32635.5
2015-01-05,32524.9
2015-01-06,32362.0
2015-01-07,32296.3
2015-01-08,32204.3
2015-01-09,32343.5
2015-01-12,32323.9
2015-01-13,32193.2
2015-01-14,32270.6
2015-01-15,31834.0
2015-01-16,31668.0
2015-01-19,31832.6
2015-01-20,31680.4
2015-01-21,31879.3
2015-01-22,31094.7
2015-01-23,30751.0
2015-01-26,30942.8
2015-01-27,31297.1
2015-01-28,31025.3
2015-01-29,31210.0
2015-01-30,31099.9
2015-02-02,31198.5
2015-02-03,31567.2
2015-02-04,31220.3
2015-02-05,31620.8
2015-02-06,31178.1
2015-02-09,31239.4
2015-02-10,31210.6
2015-02-11,31258.2
2015-02-12,31479.9
2015-02-13,31428.1
2015-02-16,31345.8
2015-02-17,31557.8
2015-02-18,31530.8
2015-02-19,31426.9
2015-02-20,31476.3
2015-02-23,31399.8
2015-02-24,31447.1
2015-02-25,31507.6
2015-02-26,31044.8
2015-02-27,31039.0
2015-03-02,31074.5
2015-03-03,31066.2
2015-03-04,30834.7
2015-03-05,30748.5
2015-03-06,30237.8
2015-03-09,30269.7
2015-03-10,29884.0
2015-03-11,29508.9
2015-03-12,29762.9
2015-03-13,29428.9
2015-03-16,29613.1
2015-03-17,29681.6
2015-03-18,30344.4
2015-03-19,29889.9
2015-03-20,30299.8
2015-03-23,30705.8
2015-03-24,30567.6
2015-03-25,30717.3
2015-03-26,30463.2
2015-03-27,30527.4
2015-03-30,30400.2
2015-03-31,30142.8
2015-04-01,30232.2
2015-04-02,30522.7
2015-04-03,30805.1
2015-04-06,30684.3
2015-04-07,30369.2
2015-04-08,30384.1
2015-04-09,30081.6
2015-04-10,29865.8
2015-04-13,29784.9
2015-04-14,30133.6
2015-04-15,30196.0
2015-04-16,30428.1
2015-04-17,30558.1
2015-04-20,30383.3
2015-04-21,30420.1
2015-04-22,30371.1
2015-04-23,30691.6
2015-04-24,30805.5
2015-04-27,30888.4
2015-04-28,31166.8
2015-04-29,31561.6
2015-04-30,31883.2
2015-05-01,31799.5
2015-05-04,31680.3
2015-05-05,31813.3
2015-05-06,32274.1
2015-05-07,32030.3
2015-05-08,31854.7
2015-05-11,31804.4
2015-05-12,31991.5
2015-05-13,32390.7
2015-05-14,32530.2
2015-05-15,32660.6
2015-05-18,32312.1
2015-05-19,31872.1
2015-05-20,31775.0
2015-05-21,31849.6
2015-05-22,31578.0
2015-05-25,31476.3
2015-05-26,31358.8
2015-05-27,31464.7
2015-05-28,31651.0
2015-05-29,31714.5
2015-06-01,31591.4
2015-06-02,32305.3
2015-06-03,32654.0
2015-06-04,32462.9
2015-06-05,32192.3
2015-06-08,32720.2
2015-06-09,32691.9
2015-06-10,32879.1
2015-06-11,32639.9
2015-06-12,32695.4
2015-06-15,32835.7
2015-06-16,32742.8
2015-06-17,33043.6
2015-06-18,33148.1
2015-06-19,33096.8
2015-06-22,33102.5
2015-06-23,32642.3
2015-06-24,32773.5
2015-06-25,32775.7
2015-06-26,32668.5
2015-06-29,32909.8
2015-06-30,32677.5
2015-07-01,32477.3
2015-07-02,32608.9
2015-07-03,32667.5
2015-07-06,32571.1
2015-07-07,32419.0
2015-07-08,32625.0
2015-07-09,32575.0
2015-07-10,32857.4
2015-07-13,32462.3
2015-07-14,32519.9
2015-07-15,32333.4
2015-07-16,32152.5
2015-07-17,32015.2
2015-07-20,32040.1
2015-07-21,32365.0
2015-07-22,32335.6
2015-07-23,32507.8
2015-07-24,32481.0
2015-07-27,32807.0
2015-07-28,32725.4
2015-07-29,32504.9
2015-07-30,32384.9
2015-07-31,32537.1
2015-08-03,32479.7
2015-08-04,32336.0
2015-08-05,32409.2
2015-08-06,32487.3
2015-08-07,32583.6
2015-08-10,32795.2
2015-08-11,32864.5
2015-08-12,33203.5
2015-08-13,33188.8
2015-08-14,33061.6
2015-08-17,33033.0
2015-08-18,32918.8
2015-08-19,33218.9
2015-08-20,33571.2
2015-08-21,34045.6
2015-08-24,34602.3
2015-08-25,34466.8
2015-08-26,33904.1
2015-08-27,33672.1
2015-08-28,33488.4
2015-08-31,33610.3
2015-09-01,33886.3
2015-09-02,33627.5
2015-09-03,33343.2
2015-09-04,33430.2
2015-09-07,33486.1
2015-09-08,33601.2
2015-09-09,33636.2
2015-09-10,33851.3
2015-09-11,33996.1
2015-09-14,33906.1
2015-09-15,33790.7
2015-09-16,33849.5
2015-09-17,34242.5
2015-09-18,33909.1
2015-09-21,33534.2
2015-09-22,33362.7
2015-09-23,33546.2
2015-09-24,33504.4
2015-09-25,33555.0
2015-09-28,33682.0
2015-09-29,33732.7
2015-09-30,33493.9
2015-10-01,33551.9
2015-10-02,33608.6
2015-10-05,33544.7
2015-10-06,33779.2
2015-10-07,33693.8
2015-10-08,33802.0
2015-10-09,34052.3
2015-10-12,34047.2
2015-10-13,34124.4
2015-10-14,34387.3
2015-10-15,34097.9
2015-10-16,34015.6
2015-10-19,33955.8
2015-10-20,34031.3
2015-10-21,33986.7
2015-10-22,33274.1
2015-10-23,33019.7
2015-10-26,33137.8
2015-10-27,33084.4
2015-10-28,32747.5
2015-10-29,32936.2
2015-10-30,33004.2
2015-11-02,33004.9
2015-11-03,32844.3
2015-11-04,32549.4
2015-11-05,32571.3
2015-11-06,32160.9
2015-11-09,32206.8
2015-11-10,32116.4
2015-11-11,32177.7
2015-11-12,32357.3
2015-11-13,32256.1
2015-11-16,31991.7
2015-11-17,31869.9
2015-11-18,31898.7
2015-11-19,32110.5
2015-11-20,31848.3
2015-11-23,31814.2
2015-11-24,31842.0
2015-11-25,31769.9
2015-11-26,31722.5
2015-11-27,31674.6
2015-11-30,31607.8
2015-12-01,31773.0
2015-12-02,31712.3
2015-12-03,32671.6
2015-12-04,32495.1
2015-12-07,32378.4
2015-12-08,32556.6
2015-12-09,32925.3
2015-12-10,32686.1
2015-12-11,32835.4
2015-12-14,32861.7
2015-12-15,32665.7
2015-12-16,32587.1
2015-12-17,32369.1
2015-12-18,32457.0
2015-12-21,32602.3
2015-12-22,32710.7
2015-12-23,32569.8
2015-12-24,32743.0
2015-12-25,32778.6
2015-12-28,32770.0
2015-12-29,32612.1
2015-12-30,32631.2
2015-12-31,32450.1
2016-01-01,32425.5
2016-01-04,32331.3
2016-01-05,32099.4
2016-01-06,32171.5
2016-01-07,32592.3
2016-01-08,32596.4
2016-01-11,32395.6
2016-01-12,32394.5
2016-01-13,32459.5
2016-01-14,32416.3
2016-01-15,32544.8
2016-01-18,32487.1
2016-01-19,32528.8
2016-01-20,32464.5
2016-01-21,32415.2
2016-01-22,32181.3
2016-01-25,32342.3
2016-01-26,32379.0
2016-01-27,32500.1
2016-01-28,32597.1
2016-01-29,32263.8
2016-02-01,32445.1
2016-02-02,32538.7
2016-02-03,33473.1
2016-02-04,33829.6
2016-02-05,33711.3
2016-02-08,33826.7
2016-02-09,34099.9
2016-02-10,34067.4
2016-02-11,34171.6
2016-02-12,33990.3
2016-02-15,33709.6
2016-02-16,33659.2
2016-02-17,33610.3
2016-02-18,33556.6
2016-02-19,33615.1
2016-02-22,33300.1
2016-02-23,33297.5
2016-02-24,33285.9
