date,exchange_rate
2014-11-10,154.116
2014-11-11,154.492
2014-11-12,154.59801
2014-11-13,154.479
2014-11-14,154.78101
2014-11-17,154.884
2014-11-19,154.61501
2014-11-20,154.448
2014-11-21,153.308
2014-11-24,154.05901
2014-11-25,154.218
2014-11-26,154.468
2014-11-27,154.32401
2014-11-28,154.226
2014-12-01,153.96201
2014-12-02,153.7
2014-12-03,153.47
2014-12-04,153.466
2014-12-05,153.201
2014-12-08,153.752
2014-12-09,153.681
2014-12-10,153.48199
2014-12-11,153.67
2014-12-12,153.927
2014-12-15,153.991
2014-12-16,154.621
2014-12-17,155.08
2014-12-18,154.65401
2014-12-19,155.245
2014-12-22,155.045
2014-12-23,154.459
2014-12-24,154.683
2014-12-30,154.746
2014-12-31,154.063
2015-01-02,154.12199
2015-01-05,153.593
2015-01-06,153.957
2015-01-07,153.80299
2015-01-08,153.64799
2015-01-09,153.771
2015-01-12,153.802
2015-01-13,153.605
2015-01-14,153.35001
2015-01-15,153.465
2015-01-16,152.67101
2015-01-19,152.95
2015-01-20,152.53101
2015-01-21,152.724
2015-01-22,153.23
2015-01-23,150.716
2015-01-26,151.44299
2015-01-27,151.23801
2015-01-28,151.034
2015-01-29,151.134
2015-01-30,150.592
2015-02-02,150.295
2015-02-03,150.47
2015-02-04,150.339
2015-02-05,150.078
2015-02-06,150.08701
2015-02-09,149.603
2015-02-10,150.026
2015-02-11,149.696
2015-02-12,149.76199
2015-02-13,149.647
2015-02-16,149.834
2015-02-17,150.48
2015-02-18,149.76401
2015-02-19,149.769
2015-02-20,149.845
2015-02-23,149.80299
2015-02-24,150.153
2015-02-25,149.799
2015-02-26,149.52499
2015-02-27,149.30499
2015-03-02,149.528
2015-03-03,149.243
2015-03-04,149.245
2015-03-05,149.069
2015-03-06,148.39101
2015-03-09,148.412
2015-03-10,147.993
2015-03-11,147.951
2015-03-12,147.827
2015-03-13,147.336
2015-03-16,147.211
2015-03-17,147.045
2015-03-18,147.21001
2015-03-19,147.80499
2015-03-20,147.91499
2015-03-23,149.177
2015-03-24,148.461
2015-03-25,148.502
2015-03-26,148.131
2015-03-27,148.207
2015-03-30,147.56799
2015-03-31,147.416
2015-04-01,147.317
2015-04-02,147.702
2015-04-07,147.843
2015-04-08,147.14
2015-04-09,147.369
2015-04-10,146.828
2015-04-13,146.726
2015-04-14,146.14301
2015-04-15,145.707
2015-04-16,145.597
2015-04-17,146.23399
2015-04-20,146.517
2015-04-21,146.812
2015-04-22,146.342
2015-04-24,147.01601
2015-04-27,146.981
2015-04-28,146.692
2015-04-29,146.534
2015-04-30,146.604
2015-05-04,147.035
2015-05-05,147.23399
2015-05-06,147.08
2015-05-07,147.769
2015-05-08,148.3
2015-05-11,147.849
2015-05-12,148.03999
2015-05-13,147.686
2015-05-15,147.98801
2015-05-18,147.651
2015-05-19,147.892
2015-05-20,147.94501
2015-05-21,147.78999
2015-05-22,147.78
2015-05-26,147.655
2015-05-27,147.726
2015-05-28,147.011
2015-05-29,147.423
2015-06-01,147.3
2015-06-02,147.76601
2015-06-03,147.60899
2015-06-04,148.351
2015-06-05,148.40401
2015-06-08,148.556
2015-06-09,148.88901
2015-06-10,149.02
2015-06-11,148.82899
2015-06-12,149.106
2015-06-15,148.688
2015-06-16,148.323
2015-06-18,148.991
2015-06-19,148.548
2015-06-22,148.31799
2015-06-23,147.755
2015-06-24,148.024
2015-06-25,147.80299
2015-06-26,147.547
2015-06-29,147.229
2015-06-30,147.11301
2015-07-01,146.936
2015-07-02,146.918
2015-07-03,146.868
2015-07-06,146.803
2015-07-07,146.698
2015-07-08,147.495
2015-07-09,147.401
2015-07-10,147.179
2015-07-13,146.855
2015-07-14,147.445
2015-07-15,146.406
2015-07-16,147.253
2015-07-17,146.956
2015-07-20,147.236
2015-07-21,148.457
2015-07-22,146.885
2015-07-23,147.806
2015-07-24,147.91
2015-07-27,148.443
2015-07-28,148.239
2015-07-29,147.212
2015-07-30,146.589
2015-07-31,147.8
2015-08-04,146.811
2015-08-05,147.037
2015-08-06,146.945
2015-08-07,147.308
2015-08-10,148.175
2015-08-11,146.901
2015-08-12,147.769
2015-08-13,147.426
2015-08-14,146.323
2015-08-17,146.446
2015-08-18,146.403
2015-08-19,147.076
2015-08-20,147.299
2015-08-21,148.067
2015-08-24,148.356
2015-08-25,147.058
2015-08-26,145.983
2015-08-27,145.438
2015-08-28,144.85
2015-08-31,145.212
2015-09-01,145.172
2015-09-02,144.521
2015-09-03,143.577
2015-09-04,144.682
2015-09-07,144.523
2015-09-08,144.36
2015-09-09,144.025
2015-09-10,145.102
2015-09-11,144.829
2015-09-14,143.885
2015-09-15,143.363
2015-09-16,144.493
2015-09-17,143.744
2015-09-18,142.936
2015-09-21,142.444
2015-09-22,142.941
2015-09-23,143.135
2015-09-24,144.22
2015-09-25,143.602
2015-09-28,144.001
2015-09-29,143.465
2015-09-30,142.288
2015-10-01,142.875
2015-10-02,143.071
2015-10-05,141.464
2015-10-06,142.77
2015-10-07,141.868
2015-10-08,142.083
2015-10-09,142.095
2015-10-12,141.805
2015-10-13,142.079
2015-10-14,142.419
2015-10-15,141.366
2015-10-16,142.068
2015-10-19,141.69
2015-10-20,141.587
2015-10-21,142.185
2015-10-22,140.09
2015-10-23,140.898
2015-10-26,141.764
2015-10-27,142.219
2015-10-28,141.982
2015-10-29,141.576
2015-10-30,141.483
2015-11-02,141.219
2015-11-03,140.736
2015-11-04,140.12
2015-11-05,141.049
2015-11-06,139.082
2015-11-09,140.548
2015-11-10,140.167
2015-11-11,140.527
2015-11-12,141.666
2015-11-13,140.014
2015-11-16,140.349
2015-11-17,140.197
2015-11-18,139.969
2015-11-19,141.397
2015-11-20,140.318
2015-11-23,140.579
2015-11-24,140.858
2015-11-25,141.007
2015-11-26,140.603
2015-11-27,140.585
2015-11-30,140.184
2015-12-01,140.738
2015-12-02,139.992
2015-12-03,144.456
2015-12-04,141.429
2015-12-07,141.419
2015-12-08,141.298
2015-12-09,141.591
2015-12-10,141.447
2015-12-11,142.078
2015-12-14,142.169
2015-12-15,140.188
2015-12-16,141.439
2015-12-17,140.987
2015-12-18,141.753
2015-12-21,142.419
2015-12-22,142.135
2015-12-23,140.903
2015-12-28,141.722
2015-12-29,140.936
2015-12-30,141.14
2015-12-31,140.721
2016-01-04,140.113
2016-01-05,140.755
2016-01-06,141.629
2016-01-07,141.842
2016-01-08,141.58
2016-01-11,141.068
2016-01-12,141.179
2016-01-13,141.976
2016-01-14,141.214
