date,exchange_rate
2023-10-28,163.296205
2023-10-30,163.880254
2023-10-31,163.413699
2023-11-01,164.049288
2023-11-02,164.258241
2023-11-03,165.04452
2023-11-04,165.04452
2023-11-05,164.922454
2023-11-06,165.644538
2023-11-07,166.216977
2023-11-08,167.715566
2023-11-09,166.409131
2023-11-10,167.025283
2023-11-12,166.456348
2023-11-13,166.019514
2023-11-14,169.141093
2023-11-15,169.091144
2023-11-16,169.230703
2023-11-17,170.166766
2023-11-18,169.282389
2023-11-19,169.171619
2023-11-20,170.075711
2023-11-21,169.678665
2023-11-22,169.450392
2023-11-23,169.762593
2023-11-24,169.91071
2023-11-25,169.460739
2023-11-26,169.390095
2023-11-27,170.063444
2023-11-28,170.628284
2023-11-29,170.736375
2023-11-30,169.367799
2023-12-01,168.391369
2023-12-02,168.299707
2023-12-03,168.341958
2023-12-04,168.190415
2023-12-05,167.423786
2023-12-06,167.25734
2023-12-07,168.251883
2023-12-08,167.530205
2023-12-09,167.819884
2023-12-10,167.737471
2023-12-11,167.580395
2023-12-12,167.763729
2023-12-13,169.297521
2023-12-14,170.942753
2023-12-15,169.663538
2023-12-16,170.648014
2023-12-17,170.577991
2023-12-18,169.661863
2023-12-19,170.18193
2023-12-20,169.62256
2023-12-21,171.090013
2023-12-22,170.847148
2023-12-23,170.857312
2023-12-24,170.857378
2023-12-25,170.922674
2023-12-26,171.447415
2023-12-27,172.11834
2023-12-28,171.824122
2023-12-29,170.554662
2023-12-30,171.115443
2023-12-31,171.115872
2024-01-01,171.148124
2024-01-02,168.85436
2024-01-03,168.358601
2024-01-04,168.949666
2024-01-05,169.00138
2024-01-06,168.591477
2024-01-07,168.591537
2024-01-08,169.057016
2024-01-09,168.686501
2024-01-10,169.724966
2024-01-11,169.99029
2024-01-12,170.092708
2024-01-13,170.07282
2024-01-14,170.07337
2024-01-15,170.095925
2024-01-16,168.97671
2024-01-17,168.581387
2024-01-18,168.557482
2024-01-19,169.469292
2024-01-20,169.286018
2024-01-21,169.286325
2024-01-22,168.788858
2024-01-23,168.508921
2024-01-24,169.464645
2024-01-25,168.673288
2024-01-26,169.160522
2024-01-27,169.366165
2024-01-28,169.366076
2024-01-29,168.161696
2024-01-30,168.426539
2024-01-31,168.65805
2024-02-01,169.108088
2024-02-02,168.425499
2024-02-03,169.777697
2024-02-04,169.777794
2024-02-05,167.618469
2024-02-06,167.967636
2024-02-07,168.169757
2024-02-08,167.642889
2024-02-09,168.792676
2024-02-10,168.61805
2024-02-11,168.618096
2024-02-12,168.565118
2024-02-13,167.375863
2024-02-14,168.204078
2024-02-15,169.002628
2024-02-16,168.786023
2024-02-17,168.737741
2024-02-18,168.691698
2024-02-19,168.857647
2024-02-20,169.332861
2024-02-21,169.330177
2024-02-22,169.590391
2024-02-23,169.298378
2024-02-24,169.295376
2024-02-25,169.295462
2024-02-26,169.698266
2024-02-27,169.070961
2024-02-28,168.895494
2024-02-29,168.63785
2024-03-01,169.04715
2024-03-02,168.700082
2024-03-03,168.700947
2024-03-04,169.157174
2024-03-05,168.781024
2024-03-06,169.477572
2024-03-07,170.179459
2024-03-08,169.769835
2024-03-09,169.67391
2024-03-10,169.675046
2024-03-11,169.421061
2024-03-12,169.025864
2024-03-13,169.631551
2024-03-14,168.613586
2024-03-15,168.39005
2024-03-16,168.565028
2024-03-17,168.565043
2024-03-18,167.539589
2024-03-19,167.413035
2024-03-20,167.538954
