date,exchange_rate
2014-11-07,0.8829
2014-11-10,0.8805
2014-11-11,0.8828
2014-11-12,0.8792
2014-11-13,0.8821
2014-11-14,0.8845
2014-11-17,0.8784
2014-11-18,0.8866
2014-11-19,0.8865
2014-11-20,0.8855
2014-11-21,0.8745
2014-11-24,0.877
2014-11-25,0.8792
2014-11-26,0.8808
2014-11-27,0.8782
2014-11-28,0.877
2014-12-01,0.8783
2014-12-02,0.8722
2014-12-03,0.8668
2014-12-04,0.8718
2014-12-05,0.8641
2014-12-08,0.8725
2014-12-09,0.8765
2014-12-10,0.8812
2014-12-11,0.8769
2014-12-12,0.8807
2014-12-15,0.8781
2014-12-16,0.8874
2014-12-17,0.8747
2014-12-18,0.8714
2014-12-19,0.8673
2014-12-22,0.8696
2014-12-23,0.8657
2014-12-24,0.8642
2014-12-25,0.8661
2014-12-26,0.8631
2014-12-30,0.8597
2014-12-31,0.8556
2015-01-01,0.8559
2015-01-02,0.8506
2015-01-05,0.8459
2015-01-06,0.8414
2015-01-07,0.8384
2015-01-08,0.8351
2015-01-09,0.8388
2015-01-12,0.8386
2015-01-13,0.8343
2015-01-14,0.8355
2015-01-15,0.8234
2015-01-16,0.819
2015-01-19,0.8221
2015-01-20,0.8185
2015-01-21,0.823
2015-01-22,0.8029
2015-01-23,0.7941
2015-01-26,0.7965
2015-01-27,0.8057
2015-01-28,0.7986
2015-01-29,0.8023
2015-01-30,0.7993
2015-02-02,0.8023
2015-02-03,0.8125
2015-02-04,0.8038
2015-02-05,0.8131
2015-02-06,0.8019
2015-02-09,0.8028
2015-02-10,0.8019
2015-02-11,0.8029
2015-02-12,0.808
2015-02-13,0.807
2015-02-16,0.8046
2015-02-17,0.8087
2015-02-18,0.808
2015-02-19,0.8052
2015-02-20,0.8064
2015-02-23,0.8032
2015-02-24,0.8033
2015-02-25,0.804
2015-02-26,0.792
2015-02-27,0.7919
2015-03-02,0.7913
2015-03-03,0.7912
2015-03-04,0.7841
2015-03-05,0.7807
2015-03-06,0.7677
2015-03-09,0.7675
2015-03-10,0.7564
2015-03-11,0.7461
2015-03-12,0.7516
2015-03-13,0.7429
2015-03-16,0.7478
2015-03-17,0.7492
2015-03-18,0.7663
2015-03-19,0.7549
2015-03-20,0.7656
2015-03-23,0.776
2015-03-24,0.7721
2015-03-25,0.7757
2015-03-26,0.7693
2015-03-27,0.7711
2015-03-30,0.7662
2015-03-31,0.7599
2015-04-01,0.7623
2015-04-02,0.7696
2015-04-03,0.7767
2015-04-06,0.7737
2015-04-07,0.7661
2015-04-08,0.7631
2015-04-09,0.7547
2015-04-10,0.7501
2015-04-13,0.748
2015-04-14,0.7539
2015-04-15,0.7555
2015-04-16,0.7613
2015-04-17,0.7646
2015-04-20,0.7598
